Open,High,Low,Close,Volume
86.95,86.95,86.95,86.95,100.0
87.07,87.07,86.95,86.95,31399.0
87.42,87.42,87.055,87.055,4886.0
87.96,87.97,87.36,87.41,9262.0
87.79,87.97,87.6502,87.97,8981.0
87.64,87.82,87.64,87.79,3325.0
87.37,87.76,87.28,87.61,7587.0
87.21,87.43,87.03,87.28,14331.0
87.48,87.5,87.22,87.22,3230.0
87.45,87.55,87.3722,87.47,3874.0
87.41,87.46,87.34,87.45,3000.0
87.44,87.56,87.36,87.41,13785.0
87.17,87.4525,87.17,87.4525,3207.0
87.23,87.23,87.18,87.18,708.0
87.2058,87.25,87.2058,87.23,2950.0
87.37,87.38,87.18,87.18,5034.0
87.32,87.37,87.3,87.36,2692.0
87.46,87.46,87.37,87.37,1808.0
87.53,87.53,87.41,87.43,7202.0
87.47,87.53,87.47,87.49,2800.0
87.71,87.71,87.46,87.47,6982.0
87.48,87.66,87.48,87.631,2784.0
87.45,87.54,87.41,87.51,5711.0
87.52,87.56,87.48,87.48,2375.0
87.5,87.55,87.46,87.4768,4187.0
87.5,87.53,87.5,87.51,400.0
87.56,87.56,87.45,87.46,2000.0
87.56,87.56,87.48,87.48,300.0
87.6,87.63,87.56,87.59,900.0
87.49,87.57,87.468,87.57,10170.0
87.59,87.59,87.53,87.53,500.0
87.6,87.72,87.6,87.62,6490.0
87.52,87.6,87.49,87.6,7310.0
87.6699,87.67,87.51,87.51,2422.0
87.64,87.71,87.6,87.65,2800.0
87.86,87.86,87.57,87.59,3000.0
87.67,87.84,87.67,87.84,4184.0
87.52,87.66,87.52,87.66,19071.0
87.64,87.66,87.52,87.545,3255.0
87.62,87.62,87.59,87.6101,7422.0
87.65,87.65,87.51,87.6,5432.0
87.64,87.69,87.63,87.64,2500.0
87.5,87.64,87.5,87.64,2200.0
87.36,87.48,87.35,87.48,2200.0
87.42,87.42,87.32,87.36,2363.0
87.485,87.485,87.455,87.47,5953.0
87.57,87.57,87.49,87.5,1500.0
87.37,87.55,87.37,87.55,2800.0
87.43,87.44,87.37,87.37,1300.0
87.37,87.44,87.37,87.42,3850.0
87.355,87.38,87.28,87.37,3751.0
87.53,87.53,87.39,87.39,1403.0
87.5364,87.54,87.47,87.51,5408.0
87.62,87.62,87.51,87.51,1663.0
87.68,87.68,87.52,87.62,14426.0
87.55,87.63,87.51,87.63,2200.0
87.5668,87.57,87.54,87.57,1300.0
87.63,87.66,87.58,87.58,2595.0
87.6059,87.63,87.6059,87.63,299.0
87.55,87.6,87.54,87.59,4000.0
87.54,87.56,87.53,87.55,1500.0
87.55,87.59,87.53,87.55,1300.0
87.56,87.6,87.54,87.55,3900.0
87.4755,87.54,87.45,87.54,7557.0
87.45,87.475,87.45,87.46,446.0
87.47,87.47,87.44,87.44,1106.0
87.45,87.47,87.41,87.46,1806.0
87.36,87.43,87.36,87.43,1100.0
87.37,87.37,87.31,87.34,12502.0
87.44,87.44,87.4,87.4,2502.0
87.5,87.5,87.435,87.46,5537.0
87.43,87.5,87.43,87.5,1745.0
87.46,87.46,87.35,87.38,1668.0
87.45,87.45,87.45,87.45,200.0
87.38,87.43,87.37,87.4,3434.0
87.42,87.43,87.42,87.43,700.0
87.32,87.42,87.32,87.41,2600.0
87.38,87.38,87.34,87.34,1300.0
87.35,87.36,87.33,87.36,1900.0
87.34,87.35,87.325,87.34,1700.0
87.35,87.35,87.33,87.35,2118.0
87.32,87.35,87.31,87.35,2100.0
87.3,87.33,87.3,87.32,900.0
87.225,87.3,87.2,87.3,3400.0
87.21,87.28,87.21,87.24,12077.0
87.23,87.24,87.22,87.24,500.0
87.33,87.33,87.27,87.27,1100.0
87.31,87.33,87.3,87.33,1549.0
87.3,87.3,87.26,87.3,1700.0
87.26,87.3,87.26,87.29,900.0
87.26,87.26,87.25,87.25,400.0
87.28,87.3,87.26,87.27,9238.0
87.29,87.3,87.27,87.29,10900.0
87.28,87.315,87.26,87.29,6987.0
87.3,87.31,87.28,87.31,4920.0
87.31,87.32,87.28,87.3,2735.0
87.31,87.31,87.3,87.31,1600.0
87.33,87.34,87.32,87.32,800.0
87.35,87.35,87.32,87.335,2692.0
87.35,87.35,87.34,87.35,800.0
87.33,87.35,87.33,87.34,3000.0
87.35,87.35,87.33,87.33,2255.0
87.31,87.335,87.31,87.33,4734.0
87.33,87.33,87.32,87.32,300.0
87.3475,87.36,87.33,87.33,4575.0
87.37,87.37,87.35,87.35,300.0
87.342,87.39,87.34,87.37,5418.0
87.37,87.39,87.3417,87.3417,800.0
87.37,87.37,87.37,87.37,2600.0
87.44,87.47,87.37,87.37,7272.0
87.5,87.53,87.45,87.52,2700.0
87.52,87.52,87.44,87.44,940.0
87.56,87.58,87.49,87.5,1700.0
87.63,87.63,87.57,87.6,16700.0
87.625,87.63,87.625,87.63,700.0
87.57,87.625,87.57,87.61,4246.0
87.57,87.59,87.52,87.55,9477.0
87.57,87.61,87.52,87.61,7861.0
87.55,87.57,87.55,87.57,603.0
87.58,87.59,87.57,87.57,1327.0
87.54,87.57,87.526,87.56,1535.0
87.43,87.49,87.43,87.49,3223.0
87.4,87.42,87.4,87.42,400.0
87.47,87.47,87.42,87.42,1930.0
87.45,87.45,87.45,87.45,100.0
