Open,High,Low,Close,Volume
30.22,30.245,30.21,30.21,2600.0
30.21,30.28,30.21,30.22,2800.0
30.195,30.215,30.19,30.215,4500.0
30.2,30.205,30.15,30.19,10689.0
30.17,30.215,30.16,30.2,8485.0
30.22,30.22,30.17,30.17,3266.0
30.24,30.24,30.215,30.215,1100.0
30.3,30.3,30.23,30.23,5263.0
30.265,30.3004,30.26,30.3,2150.0
30.23,30.27,30.23,30.27,1700.0
30.26,30.26,30.24,30.24,1770.0
30.27,30.27,30.23,30.2448,3200.0
30.29,30.29,30.265,30.265,1900.0
30.27,30.3,30.27,30.29,2900.0
30.23,30.265,30.22,30.265,3676.0
30.195,30.22,30.195,30.22,1500.0
30.175,30.195,30.17,30.195,1700.0
30.15,30.16,30.15,30.16,900.0
30.16,30.1601,30.15,30.15,4521.0
30.15,30.16,30.135,30.155,4500.0
30.14,30.16,30.14,30.16,14500.0
30.14,30.15,30.14,30.15,106100.0
30.155,30.16,30.14,30.14,3874.0
30.145,30.1542,30.14,30.1542,11337.0
30.15,30.15,30.14,30.15,1834.0
30.15,30.16,30.14,30.14,13157.0
30.175,30.2,30.155,30.155,13500.0
30.17,30.185,30.165,30.18,11465.0
30.16,30.17,30.15,30.17,4800.0
30.14,30.16,30.14,30.16,5570.0
30.1,30.14,30.1,30.14,14968.0
30.095,30.11,30.085,30.1,5603.0
30.09,30.1,30.08,30.095,7321.0
30.065,30.085,30.06,30.085,5575.0
30.095,30.1,30.065,30.07,7344.0
30.06,30.09,30.055,30.09,7300.0
30.045,30.065,30.045,30.065,1961.0
30.115,30.115,30.045,30.045,8518.0
30.08,30.1,30.075,30.1,4200.0
30.0899,30.09,30.0799,30.0799,3428.0
30.075,30.09,30.065,30.085,7494.0
30.07,30.075,30.06,30.075,3946.0
30.05,30.065,30.05,30.06,6000.0
30.045,30.06,30.035,30.055,8785.0
30.01,30.05,30.01,30.045,13734.0
30.025,30.04,30.01,30.015,11469.0
30.0428,30.045,30.015,30.025,13134.0
30.07,30.07,30.045,30.05,6288.0
30.08,30.1,30.07,30.07,6510.0
30.08,30.09,30.075,30.08,6812.0
30.105,30.105,30.075,30.08,10100.0
30.1,30.105,30.085,30.1,6634.0
30.055,30.1,30.055,30.1,7880.0
30.045,30.055,30.03,30.055,8800.0
30.05,30.05,30.03,30.035,5800.0
30.04,30.06,30.04,30.04,13308.0
30.08,30.08,30.03,30.045,12300.0
30.08,30.09,30.055,30.08,6633.0
30.04,30.08,30.04,30.08,2800.0
30.02,30.045,30.01,30.045,5100.0
30.025,30.03,30.015,30.015,7100.0
30.025,30.03,30.01,30.02,13822.0
30.08,30.08,30.02,30.025,10922.0
30.09,30.09,30.07,30.08,4627.0
30.07,30.1,30.065,30.09,5463.0
30.065,30.075,30.06,30.07,2736.0
30.06,30.07,30.055,30.065,5700.0
30.055,30.07,30.05,30.055,3210.0
30.085,30.1,30.055,30.055,11600.0
30.095,30.105,30.08,30.09,8001.0
30.1,30.11,30.085,30.095,14300.0
30.09,30.1,30.085,30.1,8210.0
30.08,30.1,30.08,30.095,4102.0
30.07,30.08,30.07,30.08,7000.0
30.075,30.08,30.065,30.065,6720.0
30.07,30.075,30.055,30.07,9957.0
30.055,30.065,30.04,30.065,12990.0
30.04,30.06,30.04,30.05,4107.0
30.04,30.05,30.04,30.045,1822.0
30.05,30.06,30.04,30.045,7325.0
30.075,30.09,30.055,30.055,9008.0
30.055,30.075,30.05,30.075,11173.0
30.03,30.05,30.03,30.05,7800.0
30.015,30.04,30.01,30.03,5200.0
29.995,30.015,29.98,30.015,18988.0
29.985,30.0,29.98,29.995,5850.0
29.965,29.99,29.955,29.98,11629.0
