Open,High,Low,Close,Volume
47.43,47.43,47.2,47.2,2434.0
47.28,47.34,47.2,47.34,5366.0
47.34,47.4,47.305,47.34,11700.0
47.27,47.34,47.26,47.34,1500.0
47.33,47.4,47.31,47.31,5200.0
47.37,47.4,47.34,47.37,4100.0
47.34,47.35,47.34,47.35,840.0
47.3,47.3399,47.28,47.33,1434.0
47.24,47.31,47.24,47.31,1300.0
47.16,47.25,47.16,47.23,5716.0
47.205,47.22,47.15,47.17,9955.0
47.3,47.3,47.17,47.2,2800.0
47.31,47.36,47.26,47.3,7100.0
47.28,47.3,47.28,47.3,4253.0
47.36,47.36,47.27,47.27,7331.0
47.354,47.42,47.35,47.36,4300.0
47.404,47.42,47.39,47.39,900.0
47.46,47.46,47.4,47.4,800.0
47.42,47.46,47.42,47.45,2099.0
47.4,47.41,47.37,47.41,1400.0
47.35,47.39,47.35,47.39,1000.0
47.32,47.35,47.32,47.34,1300.0
47.34,47.35,47.32,47.34,2400.0
47.28,47.34,47.28,47.34,1715.0
47.29,47.3,47.27,47.28,2600.0
47.24,47.28,47.24,47.28,1400.0
47.21,47.23,47.19,47.23,5658.0
47.23,47.23,47.2048,47.22,4834.0
47.23,47.23,47.21,47.21,1700.0
47.19,47.21,47.16,47.21,2003.0
47.1631,47.2025,47.15,47.2025,3546.0
47.2,47.2,47.15,47.15,2900.0
47.34,47.34,47.22,47.22,6992.0
47.315,47.35,47.28,47.35,8492.0
47.26,47.32,47.26,47.32,1033.0
47.25,47.26,47.21,47.23,4500.0
47.24,47.26,47.2301,47.242,1600.0
47.2791,47.2791,47.19,47.23,6585.0
47.26,47.265,47.23,47.25,2801.0
47.32,47.32,47.27,47.28,3395.0
47.22,47.35,47.22,47.35,10950.0
47.15,47.2,47.14,47.2,3343.0
47.1243,47.15,47.12,47.123,620.0
47.11,47.17,47.11,47.14,3800.0
47.14,47.16,47.12,47.12,2700.0
47.19,47.2,47.11,47.12,5259.0
47.113,47.2,47.1,47.2,2200.0
47.11,47.135,47.1,47.13,1341.0
47.12,47.14,47.1,47.11,4569.0
47.11,47.12,47.1,47.12,1700.0
47.135,47.14,47.11,47.12,5144.0
47.18,47.19,47.14,47.15,5593.0
47.17,47.21,47.16,47.18,3800.0
47.14,47.17,47.14,47.16,2000.0
47.11,47.151,47.09,47.151,1392.0
47.1,47.1,47.1,47.1,700.0
47.065,47.08,47.06,47.08,4699.0
47.09,47.1,47.07,47.07,5408.0
47.09,47.09,47.07,47.08,400.0
47.04,47.09,47.01,47.06,11785.0
46.99,47.04,46.99,47.035,9585.0
46.87,47.0,46.86,46.98,15201.0
46.81,46.9,46.81,46.87,8375.0
46.78,46.84,46.78,46.84,3761.0
46.83,46.83,46.77,46.77,7370.0
46.95,46.96,46.82,46.83,10071.0
46.87,46.95,46.86,46.93,4389.0
46.99,46.99,46.9,46.9,4349.0
47.07,47.14,47.04,47.04,8595.0
47.1,47.19,47.07,47.07,16000.0
47.22,47.23,47.11,47.12,4855.0
47.21,47.24,47.16,47.2,9121.0
47.17,47.25,47.17,47.18,4725.0
47.11,47.17,47.09,47.17,1200.0
47.08,47.17,47.08,47.085,6252.0
47.04,47.0899,47.01,47.0716,6043.0
47.015,47.05,47.01,47.05,2600.0
47.06,47.06,47.0,47.02,8906.0
47.09,47.1,47.05,47.06,3700.0
47.03,47.0925,47.03,47.0925,2591.0
47.01,47.06,46.99,46.99,9426.0
47.015,47.015,46.962,47.0,5074.0
47.045,47.06,47.02,47.02,3200.0
47.03,47.04,47.02,47.03,3260.0
47.03,47.04,47.012,47.03,5900.0
46.905,47.0,46.9,47.0,2700.0
46.9,46.92,46.873,46.92,2485.0
46.92,46.93,46.89,46.89,3900.0
46.91,46.94,46.91,46.94,11887.0
46.91,46.93,46.89,46.93,6749.0
46.94,46.99,46.92,46.93,23176.0
46.93,46.97,46.93,46.97,1000.0
46.88,46.93,46.875,46.92,2351.0
46.88,46.895,46.865,46.87,2400.0
46.905,46.925,46.87,46.875,5200.0
46.89,46.92,46.87,46.89,6901.0
46.83,46.88,46.82,46.88,4532.0
46.83,46.84,46.82,46.83,2619.0
46.81,46.875,46.79,46.838,12346.0
46.7875,46.82,46.78,46.8,2500.0
46.8,46.8,46.783,46.8,1400.0
46.72,46.8,46.71,46.7999,5929.0
46.703,46.74,46.703,46.73,2425.0
46.73,46.73,46.69,46.72,3153.0
46.75,46.78,46.715,46.715,2664.0
46.91,46.955,46.77,46.78,12575.0
46.89,46.95,46.89,46.9368,2300.0
46.95,46.95,46.895,46.91,13000.0
47.0,47.02,46.9,46.96,9269.0
46.95,46.99,46.93,46.99,4416.0
46.92,46.94,46.92,46.93,1700.0
46.87,46.9,46.86,46.9,6364.0
46.89,46.91,46.87,46.87,16429.0
46.9,46.94,46.9,46.91,5100.0
46.97,46.99,46.92,46.92,5571.0
46.95,46.989,46.94,46.989,7200.0
46.925,46.96,46.925,46.96,1200.0
46.92,46.95,46.92,46.9328,6008.0
46.93,46.95,46.93,46.935,4351.0
46.91,46.95,46.89,46.93,7600.0
46.89,46.93,46.88,46.91,13350.0
46.9,46.94,46.86,46.89,29199.0
46.83,46.89,46.82,46.89,1092.0
46.84,46.85,46.8,46.82,6550.0
46.78,46.855,46.77,46.85,5938.0
46.75,46.78,46.75,46.78,2900.0
