Open,High,Low,Close,Volume
65.87,66.01,65.81,66.01,14820.0
65.335,65.9,65.33,65.89,10626.0
65.6801,65.73,65.335,65.34,16340.0
65.79,65.88,65.65,65.65,9293.0
65.94,65.97,65.75,65.79,7855.0
65.8,65.93,65.8,65.93,1400.0
65.75,65.815,65.74,65.74,1400.0
65.96,65.96,65.76,65.77,2263.0
65.85,65.91,65.82,65.88,2000.0
65.75,65.9,65.75,65.83,6061.0
65.81,65.86,65.66,65.795,29277.0
65.89,65.89,65.79,65.82,8980.0
65.81,65.91,65.81,65.9,1100.0
65.73,65.81,65.71,65.81,800.0
65.66,65.745,65.66,65.72,3589.0
65.61,65.61,65.6,65.6,400.0
65.52,65.672,65.52,65.672,2424.0
65.629,65.65,65.56,65.61,3772.0
65.52,65.68,65.52,65.56,6185.0
65.56,65.5725,65.54,65.5725,2506.0
65.69,65.835,65.52,65.52,5111.0
65.84,65.85,65.7295,65.7295,3158.0
65.91,65.96,65.81,65.86,15052.0
65.9705,65.9705,65.93,65.93,700.0
66.11,66.11,65.97,65.99,4810.0
65.9,66.1291,65.9,66.1291,2100.0
65.87,65.89,65.87,65.89,500.0
65.93,65.99,65.9,65.9,5957.0
65.81,65.88,65.81,65.88,800.0
65.91,65.91,65.84,65.84,1323.0
65.79,65.865,65.76,65.8362,6100.0
65.88,65.93,65.71,65.745,9013.0
66.0854,66.1,65.94,65.94,3817.0
66.28,66.28,66.05,66.09,2320.0
66.04,66.253,66.04,66.24,5400.0
66.18,66.19,66.04,66.04,2800.0
66.13,66.16,66.13,66.16,200.0
66.1,66.19,66.1,66.16,4600.0
66.3,66.3,66.16,66.16,2700.0
66.45,66.45,66.31,66.31,1600.0
66.31,66.47,66.31,66.43,5591.0
66.47,66.49,66.335,66.35,1907.0
66.49,66.55,66.49,66.55,1800.0
66.36,66.45,66.29,66.45,3302.0
66.28,66.41,66.28,66.36,5020.0
66.15,66.2885,66.15,66.27,7887.0
66.305,66.4,66.17,66.195,6475.0
66.28,66.33,66.16,66.31,3200.0
66.29,66.29,66.18,66.28,6218.0
66.24,66.37,66.24,66.3,4100.0
66.31,66.31,66.246,66.246,640.0
66.24,66.28,66.24,66.28,500.0
66.15,66.22,66.15,66.22,500.0
66.29,66.38,66.23,66.23,5279.0
66.26,66.26,66.13,66.24,5265.0
66.28,66.33,66.26,66.26,1321.0
66.24,66.33,66.24,66.31,2446.0
66.24,66.26,66.24,66.26,500.0
66.0,66.22,66.0,66.11,6200.0
66.065,66.11,66.0,66.0,3250.0
66.04,66.11,66.02,66.1,3150.0
66.08,66.12,66.07,66.1,1000.0
66.096,66.13,66.096,66.12,5608.0
66.06,66.12,66.06,66.12,300.0
65.91,66.01,65.91,66.01,1100.0
66.0,66.03,65.91,65.95,3110.0
65.93,65.99,65.93,65.99,1815.0
65.88,65.88,65.88,65.88,400.0
65.96,66.07,65.92,65.92,5747.0
65.89,65.97,65.88,65.97,8695.0
65.87,65.88,65.76,65.87,5643.0
65.8,65.89,65.8,65.86,4221.0
65.76,65.79,65.74,65.79,706.0
65.68,65.74,65.68,65.74,400.0
65.71,65.85,65.69,65.735,33305.0
65.65,65.74,65.59,65.71,3650.0
65.744,65.75,65.598,65.598,2782.0
65.69,65.7557,65.68,65.7299,975.0
65.67,65.67,65.6,65.63,549.0
65.74,65.74,65.63,65.67,8214.0
65.71,65.74,65.71,65.74,300.0
65.65,65.72,65.58,65.72,2600.0
65.74,65.74,65.6,65.6,3545.0
65.68,65.71,65.64,65.71,1200.0
65.61,65.74,65.61,65.72,1300.0
65.78,65.78,65.6483,65.6483,2795.0
65.71,65.77,65.71,65.73,3200.0
65.83,65.83,65.74,65.74,2510.0
65.87,65.92,65.87,65.9,1550.0
65.8,65.8,65.8,65.8,100.0
65.7871,65.8,65.75,65.8,901.0
65.88,65.9,65.78,65.79,4754.0
65.95,65.95,65.9,65.92,1763.0
65.97,65.98,65.93,65.97,1400.0
66.02,66.02,65.89,65.93,2358.0
65.98,65.99,65.94,65.96,2050.0
66.09,66.115,65.91,65.98,5195.0
66.01,66.06,65.98,65.99,2315.0
65.94,65.97,65.94,65.96,900.0
65.9519,66.0,65.9,65.92,1650.0
66.11,66.12,65.95,65.95,3500.0
65.9865,66.07,65.94,66.07,2660.0
65.99,66.0,65.99,66.0,300.0
65.92,65.961,65.92,65.96,831.0
65.92,65.98,65.92,65.96,4300.0
65.95,65.95,65.88,65.91,2498.0
66.06,66.07,65.96,65.99,1892.0
66.06,66.1,65.99,66.1,2267.0
66.0799,66.08,66.0301,66.0301,1821.0
66.01,66.1,66.01,66.1,1000.0
66.02,66.13,66.02,66.06,3000.0
66.075,66.09,66.02,66.02,1149.0
66.06,66.06,65.98,66.02,2034.0
65.98,66.05,65.98,66.03,1800.0
65.98,65.98,65.92,65.93,1400.0
65.99,66.05,65.99,66.05,800.0
65.95,65.955,65.9081,65.955,2065.0
65.965,65.965,65.95,65.95,500.0
66.04,66.04,65.97,65.97,200.0
65.92,65.98,65.88,65.98,2011.0
65.94,65.94,65.89,65.89,2500.0
65.9122,66.02,65.9,65.97,16300.0
65.8956,65.92,65.8956,65.92,550.0
65.9,65.96,65.856,65.856,5300.0
65.94,65.94,65.94,65.94,100.0
65.86,65.905,65.855,65.88,650.0
65.9,65.9,65.87,65.87,1100.0
66.0,66.0,65.9,65.9,1400.0
65.92,66.0,65.92,66.0,600.0
65.96,65.99,65.93,65.95,2938.0
65.92,65.92,65.92,65.92,200.0
65.89,65.95,65.89,65.95,910.0
65.89,65.91,65.865,65.865,2400.0
65.98,65.98,65.9,65.9,2755.0
65.86,65.99,65.86,65.99,2602.0
65.89,65.89,65.89,65.89,200.0
65.89,65.89,65.86,65.87,1500.0
65.9,65.9,65.86,65.8818,2773.0
65.86,65.9,65.84,65.89,1982.0
65.8,65.85,65.78,65.82,2004.0
65.82,65.82,65.82,65.82,300.0
65.8,65.9,65.8,65.85,4080.0
65.77,65.77,65.77,65.77,100.0
65.75,65.85,65.75,65.85,812.0
65.71,65.75,65.71,65.75,300.0
65.7,65.734,65.7,65.734,380.0
65.5934,65.74,65.59,65.7,2840.0
65.59,65.64,65.57,65.63,4100.0
65.65,65.69,65.59,65.65,5450.0
65.61,65.67,65.55,65.61,6100.0
65.67,65.67,65.56,65.57,1562.0
65.7,65.74,65.66,65.66,1100.0
65.7,65.7,65.7,65.7,500.0
65.68,65.71,65.66,65.67,1700.0
65.67,65.71,65.63,65.67,3800.0
65.7,65.7,65.67,65.69,800.0
65.695,65.695,65.695,65.695,140.0
65.66,65.7,65.6,65.65,2800.0
65.59,65.67,65.59,65.67,901.0
65.71,65.71,65.598,65.598,11098.0
65.74,65.76,65.7125,65.7125,1769.0
65.6,65.74,65.6,65.74,1790.0
65.57,65.57,65.57,65.57,100.0
65.5708,65.65,65.57,65.57,2902.0
65.5101,65.58,65.5,65.58,3185.0
65.5,65.55,65.5,65.51,1865.0
65.51,65.52,65.44,65.44,1230.0
65.38,65.4729,65.38,65.4729,750.0
65.539,65.539,65.36,65.36,3200.0
65.56,65.56,65.53,65.53,1000.0
65.44,65.54,65.44,65.54,600.0
65.4348,65.4348,65.38,65.41,1000.0
65.39,65.39,65.35,65.39,1319.0
65.44,65.44,65.35,65.38,3371.0
65.44,65.48,65.44,65.46,850.0
65.3871,65.45,65.3871,65.43,4922.0
65.47,65.47,65.36,65.36,2300.0
65.42,65.49,65.42,65.47,300.0
65.36,65.47,65.36,65.42,2279.0
65.4001,65.45,65.4001,65.41,1400.0
65.35,65.41,65.34,65.41,4863.0
65.35,65.38,65.34,65.38,700.0
65.37,65.42,65.37,65.39,2600.0
65.4,65.4,65.369,65.38,2100.0
65.42,65.43,65.36,65.36,3800.0
