Open,High,Low,Close,Volume
126.5,126.5,126.5,126.5,6227.0
126.08,126.18,126.02,126.02,1060.0
126.5,126.5,126.5,126.5,100.0
126.92,126.93,126.92,126.93,200.0
126.99,127.0,126.91,126.91,1050.0
127.135,127.19,126.95,126.98,4100.0
127.33,127.33,127.21,127.21,625.0
127.58,127.58,127.4,127.4,885.0
127.56,127.56,127.56,127.56,100.0
127.51,127.57,127.51,127.57,601.0
127.47,127.47,127.39,127.39,200.0
127.38,127.38,127.29,127.35,800.0
127.3,127.3,127.29,127.29,500.0
127.39,127.39,127.39,127.39,194.0
127.36,127.36,127.36,127.36,100.0
127.24,127.28,127.24,127.28,602.0
127.25,127.25,127.25,127.25,100.0
127.06,127.2,127.06,127.2,601.0
127.12,127.17,127.12,127.12,879.0
127.07,127.18,127.03,127.18,1100.0
127.07,127.07,127.07,127.07,100.0
126.99,126.99,126.99,126.99,100.0
127.03,127.03,126.98,127.0,819.0
126.92,126.93,126.9,126.93,500.0
127.11,127.11,127.02,127.02,1100.0
127.26,127.26,127.08,127.08,800.0
127.29,127.29,127.28,127.28,200.0
127.33,127.33,127.33,127.33,100.0
127.37,127.37,127.31,127.31,200.0
127.21,127.23,127.2,127.23,904.0
127.19,127.2,127.19,127.2,300.0
127.0416,127.0416,127.0416,127.0416,600.0
127.11,127.11,127.05,127.05,200.0
127.17,127.17,127.12,127.12,1205.0
127.19,127.22,127.19,127.2,500.0
127.24,127.24,127.24,127.24,100.0
127.1005,127.33,127.1005,127.25,4045.0
127.27,127.27,127.2,127.2,700.0
127.19,127.19,127.19,127.19,100.0
127.15,127.15,127.15,127.15,300.0
127.04,127.11,127.04,127.1,875.0
127.0,127.0,127.0,127.0,100.0
127.07,127.07,127.07,127.07,100.0
126.96,127.0,126.96,127.0,400.0
127.01,127.01,126.97,127.0,800.0
126.97,126.97,126.97,126.97,200.0
127.01,127.01,126.93,126.95,1378.0
127.0,127.05,127.0,127.05,509.0
127.04,127.04,127.04,127.04,200.0
127.09,127.09,127.02,127.02,400.0
127.19,127.19,127.12,127.12,300.0
127.07,127.07,127.06,127.07,300.0
127.04,127.04,127.04,127.04,100.0
127.0125,127.0125,127.0,127.0,600.0
127.11,127.11,127.05,127.05,1100.0
127.08,127.11,127.08,127.11,300.0
127.0,127.0,127.0,127.0,200.0
127.035,127.04,127.0,127.04,400.0
127.0,127.0,127.0,127.0,301.0
127.0,127.1,127.0,127.03,1368.0
126.97,126.97,126.97,126.97,100.0
126.95,127.03,126.95,127.03,1553.0
126.92,126.92,126.92,126.92,100.0
126.92,126.92,126.9,126.9,600.0
126.93,126.93,126.91,126.91,400.0
126.93,126.93,126.89,126.91,1192.0
127.05,127.05,126.97,126.97,361.0
127.01,127.015,126.98,126.98,400.0
127.0,127.0,126.98,126.98,300.0
126.99,127.0,126.98,126.98,400.0
127.01,127.01,127.01,127.01,100.0
127.08,127.08,126.99,126.99,1617.0
127.14,127.14,127.12,127.12,700.0
127.18,127.18,127.13,127.14,300.0
127.145,127.145,127.145,127.145,100.0
127.145,127.145,127.145,127.145,100.0
127.25,127.25,127.16,127.16,2400.0
127.27,127.27,127.27,127.27,651.0
127.265,127.265,127.265,127.265,100.0
127.37,127.37,127.2001,127.26,2300.0
127.3,127.34,127.3,127.31,400.0
127.3,127.31,127.3,127.31,400.0
127.24,127.27,127.24,127.27,200.0
127.3,127.3,127.27,127.27,200.0
127.33,127.33,127.3,127.3,500.0
127.33,127.33,127.33,127.33,400.0
127.35,127.35,127.34,127.34,300.0
127.31,127.31,127.31,127.31,100.0
127.3338,127.3338,127.3338,127.3338,127.0
127.26,127.29,127.26,127.29,892.0
127.2501,127.275,127.25,127.26,415.0
127.24,127.25,127.24,127.25,400.0
127.25,127.25,127.2,127.2,800.0
127.25,127.25,127.25,127.25,200.0
127.26,127.26,127.26,127.26,100.0
127.25,127.26,127.25,127.26,400.0
127.24,127.24,127.2,127.23,400.0
127.2,127.2,127.2,127.2,200.0
127.235,127.235,127.235,127.235,100.0
127.28,127.28,127.2,127.2,666.0
127.285,127.285,127.27,127.27,700.0
127.32,127.32,127.25,127.25,1100.0
127.35,127.35,127.35,127.35,648.0
127.34,127.34,127.3,127.34,2800.0
127.295,127.325,127.295,127.3,300.0
127.285,127.285,127.285,127.285,100.0
127.245,127.26,127.2,127.26,4575.0
127.255,127.27,127.245,127.245,1454.0
127.27,127.27,127.27,127.27,100.0
127.265,127.265,127.24,127.25,1000.0
127.205,127.205,127.205,127.205,100.0
127.17,127.17,127.17,127.17,100.0
127.21,127.25,127.14,127.14,3210.0
127.18,127.24,127.17,127.24,29000.0
127.17,127.17,127.125,127.16,27017.0
127.17,127.17,127.11,127.16,1800.0
127.2,127.2,127.15,127.16,1600.0
127.205,127.205,127.2,127.2,2300.0
127.22,127.24,127.22,127.22,400.0
127.15,127.22,127.15,127.22,1500.0
127.17,127.17,127.17,127.17,100.0
127.25,127.25,127.19,127.19,600.0
127.23,127.23,127.23,127.23,1004.0
127.2,127.2,127.2,127.2,398.0
127.235,127.24,127.2,127.2,2400.0
127.23,127.23,127.23,127.23,100.0
127.18,127.22,127.18,127.22,910.0
127.18,127.18,127.18,127.18,100.0
127.15,127.2,127.15,127.175,800.0
127.12,127.2,127.11,127.175,7790.0
127.11,127.17,127.11,127.14,800.0
127.16,127.16,127.16,127.16,100.0
127.145,127.16,127.14,127.16,700.0
127.12,127.13,127.12,127.13,400.0
127.04,127.1,127.04,127.1,1046.0
127.04,127.04,127.04,127.04,796.0
127.04,127.055,127.04,127.055,200.0
127.03,127.03,127.0,127.02,835.0
127.02,127.04,127.01,127.02,2059.0
127.03,127.03,127.0,127.0285,2931.0
127.04,127.04,127.04,127.04,100.0
127.05,127.05,127.01,127.01,500.0
127.07,127.07,127.02,127.02,1200.0
127.065,127.065,127.065,127.065,289.0
127.07,127.07,127.03,127.03,600.0
127.05,127.07,127.05,127.07,200.0
127.06,127.06,127.05,127.05,700.0
127.06,127.06,127.06,127.06,300.0
127.05,127.05,127.04,127.04,800.0
127.0,127.03,127.0,127.03,1100.0
126.95,126.95,126.95,126.95,100.0
126.94,126.97,126.94,126.95,990.0
126.91,126.92,126.91,126.92,200.0
126.92,126.92,126.92,126.92,100.0
126.91,126.91,126.9,126.9,850.0
126.88,126.88,126.88,126.88,600.0
126.93,126.93,126.89,126.89,1100.0
126.89,126.89,126.89,126.89,100.0
126.9,126.9,126.88,126.88,300.0
126.81,126.92,126.78,126.92,2500.0
126.82,126.82,126.78,126.78,200.0
126.76,126.79,126.76,126.79,1000.0
126.79,126.8,126.785,126.79,982.0
126.8315,126.84,126.82,126.82,620.0
126.81,126.84,126.76,126.83,1300.0
126.63,126.77,126.6,126.77,4060.0
126.4,126.62,126.4,126.62,3170.0
126.28,126.54,126.2,126.45,8538.0
126.44,126.44,126.32,126.32,3818.0
126.49,126.49,126.49,126.49,100.0
126.56,126.56,126.55,126.56,900.0
126.5,126.58,126.5,126.58,200.0
126.5,126.5,126.44,126.45,2604.0
126.42,126.49,126.42,126.49,2438.0
126.445,126.445,126.445,126.445,100.0
126.37,126.445,126.28,126.42,5300.0
126.37,126.37,126.37,126.37,501.0
126.75,127.22,126.42,126.42,14755.0
126.57,126.75,126.57,126.75,716.0
126.63,126.63,126.63,126.63,100.0
126.7,126.7,126.54,126.54,1900.0
126.77,126.77,126.74,126.74,1000.0
126.72,126.76,126.72,126.76,200.0
126.75,126.75,126.73,126.75,400.0
126.83,126.83,126.7,126.7,1045.0
126.845,126.88,126.845,126.88,200.0
126.82,126.82,126.81,126.82,800.0
126.72,126.78,126.72,126.76,1402.0
126.783,126.83,126.69,126.69,2990.0
126.702,126.75,126.702,126.75,500.0
126.82,126.82,126.765,126.8,1300.0
126.86,126.86,126.73,126.81,1703.0
127.22,127.22,126.96,126.96,1200.0
127.35,127.35,127.2,127.2,200.0
126.955,127.2,126.955,127.2,3030.0
127.16,127.16,126.97,126.98,11769.0
127.29,127.49,127.29,127.49,700.0
127.5,127.5,127.29,127.46,466.0
127.43,127.49,127.38,127.395,400.0
127.44,127.49,127.33,127.49,2308.0
127.35,127.3775,127.35,127.35,518.0
127.3,127.39,127.3,127.39,1800.0
127.28,127.28,127.25,127.265,300.0
127.46,127.46,127.305,127.39,1500.0
127.51,127.51,127.475,127.5,500.0
127.445,127.54,127.429,127.53,3900.0
127.47,127.54,127.47,127.49,1100.0
127.51,127.54,127.48,127.49,1007.0
127.43,127.44,127.43,127.44,333.0
127.29,127.43,127.29,127.43,1482.0
127.3,127.3,127.3,127.3,300.0
127.46,127.46,127.35,127.35,1100.0
127.425,127.43,127.42,127.42,400.0
127.7,127.71,127.46,127.46,2690.0
127.58,127.6,127.55,127.6,1174.0
127.82,127.82,127.59,127.59,1000.0
127.755,127.8,127.755,127.8,300.0
127.86,127.86,127.7675,127.7675,600.0
127.79,127.8,127.75,127.8,1802.0
127.64,127.7,127.64,127.7,368.0
127.66,127.69,127.66,127.69,600.0
127.58,127.64,127.55,127.62,1300.0
127.51,127.62,127.51,127.59,1704.0
127.5,127.56,127.47,127.47,1696.0
127.4833,127.56,127.47,127.48,1445.0
127.5,127.51,127.46,127.5,1100.0
127.495,127.5,127.41,127.47,1400.0
127.52,127.57,127.5,127.57,700.0
127.52,127.52,127.52,127.52,200.0
127.53,127.56,127.53,127.56,200.0
127.59,127.6,127.565,127.59,800.0
127.59,127.59,127.58,127.59,500.0
127.6,127.6,127.59,127.59,400.0
127.68,127.68,127.63,127.63,500.0
127.83,127.83,127.72,127.73,1278.0
127.86,127.86,127.8,127.8,200.0
127.88,127.88,127.87,127.87,430.0
127.85,127.9,127.85,127.8611,1197.0
127.74,127.87,127.725,127.87,3000.0
127.78,127.81,127.78,127.8,428.0
127.9,127.9,127.81,127.81,700.0
127.93,127.93,127.93,127.93,100.0
127.94,127.94,127.94,127.94,100.0
127.91,127.95,127.89,127.94,1100.0
127.85,127.876,127.85,127.876,443.0
127.89,127.89,127.82,127.85,1100.0
127.87,127.87,127.87,127.87,100.0
127.95,127.96,127.86,127.86,1404.0
127.97,127.9724,127.91,127.94,1314.0
127.93,127.93,127.93,127.93,100.0
127.86,127.92,127.85,127.9,1600.0
127.91,127.91,127.86,127.87,803.0
127.9103,127.94,127.9103,127.92,800.0
127.91,128.01,127.91,127.94,2434.0
127.95,127.99,127.94,127.94,1200.0
127.97,127.97,127.96,127.96,400.0
127.96,127.96,127.96,127.96,300.0
128.03,128.03,128.0,128.0,400.0
128.04,128.04,128.03,128.03,200.0
128.06,128.07,128.03,128.04,1200.0
128.1214,128.1214,128.075,128.09,500.0
128.12,128.16,128.11,128.15,1800.0
128.16,128.16,128.12,128.12,2500.0
128.2,128.2,128.18,128.18,400.0
128.19,128.21,128.19,128.21,300.0
128.2,128.21,128.2,128.2,900.0
128.14,128.2,128.14,128.18,1744.0
128.17,128.17,128.17,128.17,100.0
128.12,128.18,128.12,128.17,1826.0
128.07,128.1096,128.07,128.1,1716.0
128.075,128.1,128.07,128.08,1900.0
128.17,128.17,128.08,128.09,2700.0
128.23,128.23,128.17,128.17,500.0
128.16,128.22,128.16,128.16,1800.0
128.19,128.19,128.15,128.15,1700.0
128.22,128.25,128.2,128.23,3434.0
128.27,128.3,128.24,128.24,1500.0
128.26,128.31,128.26,128.28,1700.0
128.32,128.32,128.25,128.265,1290.0
128.355,128.419,128.355,128.41,600.0
128.3,128.36,128.3,128.35,1308.0
128.38,128.38,128.335,128.36,400.0
128.34,128.43,128.34,128.4,1700.0
128.37,128.37,128.35,128.37,1500.0
128.37,128.39,128.36,128.39,1320.0
128.35,128.37,128.33,128.37,1889.0
128.27,128.305,128.25,128.3,2000.0
128.3,128.325,128.27,128.27,3232.0
128.25,128.29,128.24,128.28,1500.0
128.2,128.25,128.2,128.23,2118.0
128.18,128.23,128.16,128.23,1500.0
128.13,128.17,128.1,128.17,1955.0
128.06,128.12,128.06,128.12,1200.0
128.04,128.06,128.0,128.05,4090.0
128.05,128.07,128.03,128.03,2408.0
128.12,128.12,128.07,128.07,1603.0
128.09,128.12,128.02,128.12,4908.0
128.08,128.12,128.08,128.12,2000.0
128.09,128.12,128.09,128.11,3100.0
128.11,128.12,128.09,128.1,3100.0
128.19,128.22,128.12,128.12,5799.0
128.21,128.25,128.17,128.18,9516.0
128.15,128.21,128.1,128.21,4900.0
128.19,128.23,128.11,128.12,10347.0
128.04,128.2,128.04,128.19,15151.0
