Open,High,Low,Close,Volume
32.71,32.72,32.68,32.72,374764.0
32.62,32.72,32.62,32.72,7600.0
32.56,32.61,32.52,32.61,15695.0
32.53,32.57,32.53,32.56,10200.0
32.44,32.54,32.44,32.52,13200.0
32.48,32.48,32.4152,32.4152,8613.0
32.47,32.48,32.46,32.4699,2005.0
32.42,32.475,32.42,32.47,3565.0
32.32,32.4057,32.31,32.4057,6450.0
32.3,32.35,32.3,32.31,2500.0
32.26,32.31,32.26,32.28,9583.0
32.2175,32.25,32.1902,32.25,4386.0
32.135,32.2096,32.13,32.2096,13164.0
32.17,32.17,32.14,32.14,3936.0
32.125,32.155,32.12,32.155,17400.0
32.12,32.14,32.115,32.13,33180.0
32.08,32.12,32.08,32.115,6200.0
32.09,32.095,32.09,32.09,4156.0
32.08,32.08,32.07,32.08,2638.0
32.16,32.16,32.08,32.08,10231.0
32.14,32.16,32.14,32.16,5429.0
32.14,32.15,32.13,32.14,9400.0
32.14,32.15,32.1332,32.15,1226.0
32.125,32.14,32.12,32.14,6544.0
32.1,32.12,32.09,32.12,6816.0
32.05,32.1,32.05,32.1,6426.0
32.06,32.08,32.05,32.05,6277.0
32.075,32.0799,32.06,32.06,2428.0
32.075,32.075,32.065,32.075,3700.0
32.01,32.07,32.0,32.07,42012.0
32.0245,32.06,32.01,32.01,8654.0
32.01,32.0267,31.98,32.0267,11850.0
32.0,32.03,31.99,32.02,12828.0
32.0,32.02,32.0,32.01,42785.0
31.995,32.0058,31.99,32.0058,6338.0
32.05,32.06,31.995,31.995,40235.0
32.01,32.05,32.0,32.05,12297.0
31.98,32.02,31.9754,32.005,12659.0
32.0,32.0,31.97,31.98,10266.0
31.995,32.02,31.99,31.9963,13638.0
31.96,31.99,31.95,31.99,9458.0
31.945,31.96,31.94,31.95,2473.0
31.99,32.0,31.96,31.96,21980.0
31.985,32.0,31.985,31.99,4266.0
31.9299,31.98,31.9299,31.98,4546.0
31.965,31.98,31.91,31.92,41083.0
31.97,31.97,31.955,31.96,3583.0
31.9436,31.96,31.9436,31.96,1307.0
31.94,31.95,31.94,31.9462,637.0
31.96,31.96,31.94,31.95,44474.0
