Open,High,Low,Close,Volume
94.93,94.93,94.93,94.93,162465.0
94.32,94.93,94.21,94.89,7676.0
94.37,94.56,94.28,94.56,1318.0
94.2,94.24,94.2,94.24,300.0
94.1401,94.23,94.04,94.22,1650.0
94.19,94.32,94.14,94.2,1000.0
94.17,94.17,94.17,94.17,100.0
94.34,94.35,94.26,94.26,1300.0
94.4,94.4,94.33,94.37,2303.0
94.27,94.27,94.27,94.27,100.0
94.115,94.26,94.115,94.26,800.0
94.05,94.11,94.05,94.055,1214.0
94.02,94.02,94.02,94.02,300.0
94.065,94.065,94.065,94.065,100.0
93.97,94.13,93.97,94.02,1000.0
94.03,94.03,93.93,93.95,800.0
94.0,94.0,93.995,93.995,600.0
94.12,94.13,94.03,94.04,1100.0
94.14,94.14,94.14,94.14,100.0
94.17,94.19,94.13,94.16,600.0
94.11,94.15,94.1,94.15,21715.0
94.12,94.22,94.12,94.19,3300.0
94.07,94.11,94.07,94.11,300.0
94.095,94.095,94.07,94.07,300.0
93.94,94.05,93.94,94.05,1500.0
93.965,93.965,93.93,93.93,200.0
93.94,93.94,93.93,93.93,300.0
93.91,93.96,93.9,93.96,1200.0
93.9,93.93,93.9,93.91,300.0
93.87,93.97,93.87,93.9,2200.0
94.0,94.0,93.85,93.9,1500.0
93.77,93.955,93.71,93.91,7700.0
93.845,93.86,93.73,93.73,3000.0
93.83,93.83,93.78,93.78,800.0
93.88,93.9,93.84,93.85,1600.0
93.82,93.82,93.82,93.82,100.0
93.82,93.85,93.82,93.85,1100.0
93.93,93.93,93.8,93.8,1407.0
93.74,93.93,93.74,93.93,2230.0
93.79,93.904,93.74,93.74,5164.0
93.81,93.84,93.78,93.84,1000.0
93.92,93.92,93.81,93.81,2600.0
93.8299,93.94,93.78,93.93,2206.0
93.76,93.8,93.76,93.8,900.0
93.84,93.84,93.75,93.77,1900.0
93.83,93.87,93.8,93.8,400.0
93.78,93.83,93.78,93.83,700.0
93.7,93.71,93.7,93.71,619.0
93.86,93.86,93.73,93.73,1800.0
93.78,93.845,93.76,93.83,2200.0
93.7,93.8,93.7,93.78,1400.0
93.7,93.76,93.66,93.66,1790.0
93.77,93.77,93.73,93.73,200.0
93.8,93.88,93.75,93.76,1900.0
93.75,93.8272,93.75,93.8272,519.0
93.75,93.76,93.75,93.76,900.0
