Open,High,Low,Close,Volume
21.4,21.4,21.4,21.4,128726.0
21.36,21.43,21.36,21.4,46701.0
21.33,21.39,21.32,21.36,30462.0
21.345,21.36,21.34,21.34,6500.0
21.39,21.42,21.345,21.345,36879.0
21.38,21.41,21.37,21.39,50989.0
21.37,21.42,21.36,21.375,65463.0
21.335,21.36,21.32,21.36,14771.0
21.34,21.36,21.31,21.34,21131.0
21.325,21.34,21.32,21.33,11670.0
21.32,21.355,21.32,21.33,26898.0
21.31,21.34,21.3,21.31,25601.0
21.32,21.335,21.315,21.32,16818.0
21.31,21.33,21.31,21.325,7198.0
21.33,21.33,21.3,21.31,18224.0
21.365,21.37,21.32,21.325,76772.0
21.375,21.375,21.345,21.365,62193.0
21.33,21.37,21.33,21.37,64423.0
21.37,21.37,21.33,21.33,43837.0
21.38,21.395,21.37,21.37,37129.0
21.39,21.3901,21.3708,21.385,33339.0
21.4,21.4,21.375,21.39,16133.0
21.432,21.44,21.4,21.4,61450.0
21.5209,21.5209,21.4325,21.4366,109783.0
21.52,21.53,21.49,21.53,55323.0
21.51,21.52,21.49,21.515,32048.0
21.465,21.51,21.455,21.5,22372.0
21.465,21.48,21.44,21.468,36608.0
21.465,21.475,21.45,21.465,14137.0
21.51,21.51,21.465,21.47,12854.0
21.52,21.53,21.505,21.505,54710.0
21.46,21.52,21.46,21.52,21583.0
21.425,21.4558,21.42,21.455,36922.0
21.465,21.48,21.424,21.424,62277.0
21.485,21.485,21.46,21.465,19440.0
21.52,21.52,21.49,21.49,58651.0
21.515,21.52,21.51,21.51,24006.0
21.525,21.53,21.51,21.515,61210.0
21.54,21.54,21.51,21.52,52045.0
21.55,21.55,21.5349,21.54,16796.0
21.565,21.565,21.53,21.54,25875.0
21.56,21.57,21.555,21.565,18939.0
21.52,21.56,21.515,21.555,74636.0
21.545,21.5653,21.52,21.52,107426.0
21.55,21.565,21.53,21.545,20689.0
21.555,21.56,21.5435,21.55,11000.0
21.54,21.555,21.53,21.555,46660.0
21.5,21.54,21.49,21.535,37530.0
21.48,21.5,21.475,21.49,10418.0
21.5,21.505,21.475,21.475,11647.0
21.5,21.51,21.49,21.505,13283.0
21.4943,21.51,21.4943,21.5,6693.0
21.499,21.5,21.49,21.5,5854.0
21.474,21.51,21.47,21.5,50863.0
21.465,21.475,21.46,21.47,18845.0
21.465,21.47,21.46,21.46,19701.0
21.46,21.48,21.46,21.465,22040.0
21.465,21.4657,21.4554,21.46,3146.0
21.46,21.47,21.45,21.47,27773.0
21.48,21.49,21.46,21.4646,18564.0
21.48,21.48,21.47,21.475,13750.0
21.489,21.49,21.47,21.479,15317.0
21.49,21.5,21.485,21.49,10256.0
21.48,21.5,21.48,21.495,15919.0
21.48,21.485,21.47,21.48,22381.0
21.475,21.48,21.47,21.48,8887.0
21.47,21.479,21.47,21.475,7072.0
21.48,21.48,21.455,21.47,28678.0
21.48,21.48,21.47,21.48,7476.0
21.49,21.49,21.475,21.48,11985.0
21.485,21.5,21.48,21.49,32292.0
21.469,21.49,21.465,21.485,28345.0
21.4646,21.47,21.46,21.4661,1950.0
21.465,21.469,21.45,21.46,21590.0
21.46,21.4779,21.45,21.46,26253.0
21.465,21.47,21.461,21.47,4872.0
21.4644,21.475,21.4644,21.469,16824.0
21.47,21.47,21.46,21.47,5716.0
21.45,21.46,21.445,21.46,9483.0
21.47,21.47,21.4424,21.45,12160.0
21.4652,21.47,21.46,21.4601,15201.0
21.485,21.49,21.465,21.47,13956.0
21.5044,21.51,21.485,21.49,33807.0
21.499,21.509,21.49,21.509,10831.0
21.4993,21.5099,21.49,21.5,25347.0
21.495,21.5,21.49,21.49,2783.0
21.495,21.5,21.49,21.499,1783.0
21.46,21.495,21.46,21.495,15361.0
21.4657,21.47,21.455,21.46,9554.0
21.46,21.465,21.445,21.465,14275.0
21.4249,21.46,21.4249,21.46,4400.0
21.45,21.45,21.42,21.425,12638.0
21.44,21.45,21.43,21.44,17088.0
21.43,21.44,21.415,21.44,8695.0
21.395,21.425,21.395,21.425,11306.0
21.395,21.41,21.39,21.399,16900.0
21.395,21.4,21.38,21.39,12623.0
21.4,21.4,21.38,21.39,7355.0
21.38,21.405,21.38,21.395,13700.0
21.38,21.38,21.37,21.38,9331.0
21.395,21.4,21.375,21.389,14204.0
21.375,21.39,21.375,21.39,5200.0
21.3738,21.3861,21.3701,21.375,14047.0
21.355,21.38,21.35,21.3748,15458.0
21.361,21.37,21.3501,21.36,18276.0
21.375,21.38,21.365,21.37,12442.0
21.39,21.39,21.37,21.37,8200.0
21.39,21.4,21.39,21.39,7637.0
21.42,21.42,21.39,21.39,39923.0
21.43,21.44,21.42,21.425,31007.0
21.44,21.44,21.41,21.42,27851.0
21.445,21.445,21.4301,21.44,6381.0
21.4499,21.455,21.43,21.45,15601.0
21.4328,21.45,21.43,21.44,20804.0
21.44,21.445,21.43,21.435,26148.0
21.465,21.465,21.44,21.44,47649.0
21.46,21.48,21.46,21.47,28707.0
21.47,21.48,21.46,21.46,20220.0
21.47,21.48,21.47,21.475,27717.0
21.455,21.48,21.45,21.475,12330.0
21.455,21.46,21.45,21.455,6624.0
21.455,21.46,21.45,21.46,4480.0
21.445,21.46,21.44,21.455,24386.0
21.45,21.455,21.44,21.45,11524.0
