Open,High,Low,Close,Volume
36.88,36.88,36.72,36.72,12330.0
36.93,36.98,36.84,36.88,2557.0
36.99,37.05,36.95,36.96,2500.0
37.14,37.19,37.04,37.05,8058.0
37.2,37.31,37.09,37.14,11671.0
37.24,37.24,37.14,37.21,3733.0
37.29,37.33,37.14,37.27,8763.0
37.215,37.33,37.2,37.3,6279.0
37.2,37.27,37.19,37.23,6158.0
37.2,37.2,37.17,37.17,1700.0
37.23,37.25,37.17,37.21,7000.0
37.27,37.27,37.24,37.24,4201.0
37.26,37.28,37.21,37.22,10600.0
37.26,37.28,37.23,37.27,7474.0
37.28,37.34,37.24,37.26,7064.0
37.27,37.33,37.27,37.3,2800.0
37.35,37.39,37.26,37.27,19797.0
37.4,37.43,37.36,37.36,7866.0
37.42,37.44,37.38,37.4,12065.0
37.46,37.48,37.42,37.42,7846.0
37.51,37.51,37.45,37.47,13432.0
37.47,37.49,37.45,37.48,11400.0
37.44,37.47,37.44,37.46,6811.0
37.52,37.54,37.46,37.46,5223.0
37.48,37.52,37.48,37.5,4718.0
37.49,37.5,37.46,37.46,6400.0
37.52,37.54,37.5,37.5,12681.0
37.5505,37.56,37.51,37.52,8329.0
37.58,37.58,37.535,37.54,7040.0
37.54,37.59,37.53,37.57,9683.0
37.465,37.53,37.46,37.53,4758.0
37.47,37.5,37.4,37.45,6100.0
37.42,37.49,37.42,37.49,9100.0
37.44,37.47,37.42,37.42,1738.0
37.4,37.43,37.4,37.42,5843.0
37.42,37.43,37.39,37.4,4600.0
37.46,37.46,37.4,37.42,5200.0
37.47,37.49,37.46,37.46,7000.0
37.46,37.48,37.46,37.47,800.0
37.47,37.475,37.46,37.475,5200.0
37.455,37.46,37.4,37.46,10450.0
37.47,37.5,37.44,37.45,13420.0
37.4822,37.49,37.45,37.47,6923.0
37.4825,37.5,37.48,37.5,4270.0
37.5,37.5,37.47,37.48,5501.0
37.48,37.495,37.48,37.495,1050.0
37.52,37.52,37.48,37.48,7338.0
37.58,37.58,37.52,37.52,7066.0
37.59,37.6,37.5701,37.5701,7002.0
37.58,37.65,37.58,37.59,5908.0
37.55,37.58,37.54,37.58,3300.0
37.55,37.58,37.54,37.55,3900.0
37.57,37.585,37.52,37.555,8300.0
37.58,37.5897,37.55,37.55,2800.0
37.63,37.63,37.57,37.57,8750.0
37.605,37.61,37.59,37.61,4500.0
37.53,37.605,37.53,37.59,5954.0
37.62,37.62,37.55,37.55,7800.0
37.62,37.63,37.61,37.62,2500.0
37.66,37.66,37.63,37.63,9220.0
37.68,37.7,37.66,37.66,8063.0
37.67,37.69,37.65,37.68,6452.0
37.7,37.71,37.67,37.6703,9277.0
37.67,37.72,37.67,37.7,7800.0
37.7,37.725,37.68,37.68,7374.0
37.72,37.72,37.71,37.71,2232.0
37.72,37.725,37.7,37.72,5363.0
37.78,37.78,37.73,37.73,7522.0
37.73,37.81,37.73,37.77,22823.0
37.69,37.7431,37.685,37.72,22457.0
37.715,37.74,37.68,37.69,5200.0
37.67,37.715,37.67,37.715,5450.0
37.62,37.66,37.62,37.66,2300.0
37.53,37.62,37.53,37.62,13955.0
37.44,37.53,37.435,37.53,19606.0
37.455,37.46,37.43,37.45,16883.0
37.44,37.47,37.43,37.44,8037.0
37.44,37.46,37.43,37.46,5000.0
37.435,37.45,37.43,37.44,5000.0
37.37,37.44,37.36,37.44,8380.0
37.365,37.38,37.36,37.37,3346.0
37.34,37.38,37.33,37.38,5000.0
37.36,37.36,37.35,37.35,1728.0
37.375,37.39,37.37,37.37,3729.0
37.37,37.4,37.36,37.36,6588.0
37.36,37.38,37.35,37.38,7209.0
37.34,37.36,37.33,37.36,3180.0
37.31,37.36,37.31,37.34,6191.0
37.29,37.29,37.29,37.29,1400.0
37.31,37.31,37.29,37.2964,3258.0
37.3,37.31,37.3,37.31,4756.0
37.28,37.31,37.28,37.29,3000.0
37.305,37.32,37.29,37.29,5423.0
37.29,37.31,37.29,37.29,7440.0
37.29,37.3,37.29,37.29,1000.0
37.32,37.325,37.29,37.29,6560.0
37.3,37.32,37.3,37.315,2009.0
37.31,37.33,37.31,37.31,4700.0
37.31,37.31,37.3,37.3,1000.0
37.31,37.31,37.29,37.3,3687.0
37.28,37.29,37.28,37.29,400.0
37.3,37.31,37.28,37.28,9201.0
37.29,37.3,37.29,37.3,6834.0
37.275,37.28,37.275,37.28,400.0
37.29,37.29,37.28,37.29,2700.0
37.28,37.3,37.27,37.29,5513.0
37.29,37.31,37.28,37.28,10200.0
37.33,37.34,37.28,37.31,7800.0
37.34,37.35,37.34,37.34,7100.0
37.35,37.37,37.34,37.35,5400.0
37.36,37.37,37.35,37.36,3661.0
37.38,37.39,37.35,37.35,4000.0
37.43,37.43,37.38,37.38,10885.0
37.39,37.43,37.39,37.43,9108.0
37.37,37.39,37.37,37.39,4040.0
37.38,37.38,37.36,37.38,2300.0
37.38,37.39,37.36,37.37,4600.0
37.38,37.39,37.38,37.38,4051.0
37.39,37.41,37.39,37.41,1825.0
37.38,37.39,37.38,37.38,1500.0
37.39,37.39,37.36,37.38,2756.0
37.41,37.41,37.39,37.398,4700.0
37.39,37.41,37.39,37.4,2117.0
37.395,37.395,37.395,37.395,300.0
37.4,37.41,37.39,37.39,4100.0
37.42,37.42,37.4,37.405,4619.0
37.43,37.44,37.41,37.43,3978.0
37.43,37.44,37.42,37.42,3111.0
37.44,37.44,37.41,37.422,4600.0
37.43,37.43,37.43,37.43,2000.0
37.41,37.42,37.41,37.42,1100.0
37.41,37.42,37.41,37.42,1097.0
37.4,37.41,37.38,37.4,4311.0
37.39,37.4,37.38,37.385,2450.0
37.39,37.4,37.39,37.39,1300.0
37.38,37.39,37.37,37.38,2100.0
37.36,37.38,37.36,37.38,1800.0
37.4,37.4,37.365,37.37,4600.0
37.39,37.4,37.39,37.4,1900.0
37.39,37.4,37.39,37.4,2300.0
37.43,37.43,37.4,37.4,5656.0
37.43,37.43,37.42,37.43,2400.0
37.42,37.43,37.42,37.43,3886.0
37.4386,37.44,37.42,37.43,2878.0
37.45,37.46,37.43,37.44,6290.0
37.435,37.46,37.43,37.45,4800.0
37.43,37.43,37.42,37.42,711.0
37.42,37.44,37.42,37.44,1300.0
37.43,37.44,37.42,37.44,2024.0
37.42,37.42,37.41,37.42,1100.0
37.42,37.42,37.41,37.41,500.0
37.414,37.414,37.414,37.414,1500.0
37.41,37.415,37.4,37.41,6274.0
37.41,37.42,37.4,37.4,2900.0
37.4,37.43,37.395,37.42,8050.0
37.4,37.41,37.4,37.4,1300.0
37.365,37.4,37.36,37.4,8450.0
37.38,37.385,37.36,37.365,2717.0
37.37,37.39,37.37,37.39,800.0
37.36,37.37,37.35,37.37,500.0
37.33,37.36,37.32,37.35,11301.0
37.3108,37.325,37.31,37.32,1300.0
37.31,37.34,37.31,37.31,6914.0
37.32,37.32,37.31,37.3175,3000.0
37.29,37.31,37.27,37.31,14090.0
37.3,37.3,37.29,37.3,1900.0
37.29,37.29,37.29,37.29,100.0
37.28,37.29,37.28,37.2863,3800.0
37.28,37.29,37.27,37.28,1625.0
37.28,37.285,37.27,37.285,2700.0
37.23,37.28,37.23,37.28,11625.0
37.21,37.24,37.21,37.24,4235.0
37.2,37.22,37.2,37.22,7600.0
37.19,37.19,37.19,37.19,100.0
37.16,37.2,37.16,37.19,7180.0
37.18,37.18,37.15,37.16,7947.0
37.18,37.19,37.18,37.19,1300.0
37.175,37.18,37.17,37.17,1522.0
37.17,37.18,37.17,37.18,2800.0
37.15,37.16,37.14,37.16,3512.0
37.15,37.15,37.15,37.15,211.0
37.145,37.15,37.14,37.14,1050.0
37.15,37.15,37.14,37.15,1291.0
37.14,37.15,37.135,37.15,4602.0
37.135,37.15,37.13,37.14,3036.0
37.1,37.13,37.09,37.13,4106.0
37.1,37.1,37.09,37.1,3810.0
37.12,37.12,37.1,37.1,4600.0
37.12,37.13,37.11,37.12,3280.0
37.13,37.13,37.11,37.12,3781.0
37.115,37.14,37.115,37.12,3270.0
37.145,37.15,37.12,37.12,2000.0
37.14,37.14,37.13,37.13,2300.0
37.14,37.14,37.14,37.14,2400.0
37.14,37.14,37.14,37.14,1000.0
37.14,37.15,37.13,37.15,4400.0
37.15,37.16,37.14,37.14,1854.0
37.15,37.16,37.15,37.15,2100.0
37.169,37.17,37.16,37.16,2700.0
37.1793,37.18,37.15,37.16,4500.0
37.16,37.17,37.15,37.17,600.0
37.18,37.185,37.16,37.161,2508.0
37.23,37.23,37.18,37.18,6481.0
37.22,37.22,37.19,37.22,1300.0
37.2,37.22,37.2,37.21,1600.0
37.2,37.21,37.2,37.21,1400.0
37.21,37.219,37.205,37.21,2945.0
37.22,37.22,37.205,37.21,4700.0
37.26,37.26,37.22,37.22,2717.0
37.24,37.26,37.24,37.26,2719.0
37.26,37.26,37.24,37.24,1700.0
37.26,37.26,37.25,37.26,4455.0
37.25,37.26,37.24,37.25,1900.0
37.25,37.26,37.25,37.25,2181.0
37.25,37.26,37.24,37.25,2094.0
37.26,37.26,37.25,37.25,400.0
37.25,37.255,37.25,37.255,1200.0
37.25,37.25,37.25,37.25,400.0
37.26,37.26,37.25,37.25,3500.0
37.27,37.28,37.26,37.26,2034.0
37.29,37.29,37.27,37.275,5143.0
37.299,37.299,37.28,37.28,1838.0
37.32,37.32,37.29,37.3,6117.0
