Open,High,Low,Close,Volume
268.805,268.98,268.25,268.56,2600.0
269.0,269.0,268.66,268.765,1023.0
268.895,269.395,268.78,269.115,1975.0
269.19,269.195,268.9742,268.9742,912.0
269.505,269.65,269.13,269.13,3177.0
269.1888,269.65,269.175,269.53,2594.0
269.05,269.29,268.94,269.23,1692.0
269.1,269.28,269.06,269.22,3200.0
269.155,269.25,269.08,269.1,1933.0
269.1,269.195,269.09,269.195,940.0
268.94,269.21,268.94,269.11,2909.0
268.74,269.185,268.74,269.075,1900.0
268.96,269.2099,268.64,268.64,2617.0
268.8,268.94,268.8,268.9322,600.0
268.8759,268.94,268.76,268.77,2077.0
268.895,268.895,268.78,268.78,200.0
268.95,269.1,268.77,268.77,3600.0
269.02,269.135,269.02,269.09,1400.0
268.78,269.02,268.78,269.02,1000.0
268.53,268.8406,268.52,268.77,2788.0
268.52,268.63,268.52,268.63,4900.0
268.5,268.5,268.27,268.495,3942.0
268.52,268.55,268.475,268.55,300.0
268.27,268.43,268.27,268.42,1189.0
268.16,268.2577,268.16,268.25,1464.0
268.03,268.2,268.03,268.15,789.0
268.1396,268.1396,268.05,268.07,1700.0
268.03,268.24,268.03,268.14,2700.0
268.14,268.16,268.12,268.16,800.0
268.055,268.12,268.03,268.105,1743.0
268.0,268.23,267.93,268.06,10418.0
268.01,268.02,267.91,267.99,2082.0
268.29,268.29,268.08,268.08,1000.0
268.09,268.249,268.09,268.249,405.0
268.27,268.27,268.1342,268.19,2462.0
268.21,268.44,268.21,268.44,2200.0
268.155,268.37,268.155,268.21,8085.0
268.24,268.3125,268.24,268.3125,790.0
268.03,268.245,268.03,268.245,1500.0
268.185,268.185,268.12,268.14,1794.0
268.29,268.54,268.225,268.225,11295.0
268.03,268.29,268.03,268.29,2400.0
268.14,268.22,268.065,268.12,2292.0
268.08,268.13,268.08,268.13,725.0
268.1,268.14,268.0201,268.07,1900.0
268.16,268.307,268.15,268.23,3010.0
268.16,268.18,268.1,268.15,2300.0
268.17,268.24,268.11,268.155,1425.0
268.17,268.17,268.0701,268.11,1431.0
268.0786,268.19,268.0786,268.19,1300.0
268.3,268.3,268.18,268.18,828.0
268.365,268.43,268.365,268.43,600.0
268.28,268.31,268.24,268.31,2786.0
268.3184,268.4,268.3184,268.35,700.0
268.36,268.38,268.29,268.3,1150.0
268.42,268.42,268.42,268.42,300.0
268.25,268.32,268.25,268.32,900.0
268.5,268.5,268.37,268.37,500.0
268.535,268.535,268.495,268.51,2205.0
268.44,268.555,268.385,268.555,703.0
268.32,268.33,268.32,268.33,400.0
268.29,268.32,268.2,268.32,2049.0
268.5,268.5,268.27,268.29,1482.0
268.45,268.51,268.4001,268.46,1500.0
268.31,268.45,268.31,268.38,1100.0
268.51,268.52,268.445,268.445,2188.0
268.58,268.59,268.5,268.59,1107.0
268.45,268.58,268.45,268.495,10400.0
268.44,268.55,268.44,268.5,3400.0
268.53,268.59,268.42,268.43,2600.0
268.58,268.65,268.52,268.52,5012.0
268.725,268.725,268.55,268.61,2900.0
268.62,268.72,268.58,268.72,1762.0
268.45,268.58,268.39,268.58,1000.0
268.41,268.41,268.41,268.41,200.0
268.495,268.54,268.385,268.385,2045.0
268.35,268.43,268.35,268.43,700.0
268.23,268.35,268.23,268.35,1327.0
268.114,268.33,268.114,268.23,2443.0
268.23,268.38,268.18,268.24,2100.0
268.335,268.335,268.24,268.24,1500.0
268.3302,268.3332,268.28,268.28,416.0
268.48,268.48,268.28,268.28,1300.0
268.39,268.39,268.327,268.35,870.0
268.2454,268.33,268.2454,268.33,1200.0
