Open,High,Low,Close,Volume
118.95,118.97,118.95,118.97,37913.0
118.99,119.225,118.85,119.05,8034.0
119.28,119.29,119.0,119.04,2942.0
119.26,119.3,119.12,119.16,7602.0
119.3,119.3,119.11,119.12,1799.0
119.24,119.3,119.12,119.3,4661.0
118.89,119.1401,118.89,119.1401,2155.0
118.895,118.93,118.83,118.85,1000.0
118.44,118.9,118.44,118.9,5740.0
118.63,118.68,118.44,118.5,5300.0
118.58,118.7,118.58,118.64,2313.0
118.4942,118.63,118.37,118.565,7310.0
118.54,118.54,118.49,118.52,2300.0
118.47,118.57,118.47,118.54,1300.0
118.44,118.47,118.33,118.47,2625.0
118.31,118.49,118.31,118.45,6830.0
118.55,118.6366,118.305,118.305,3917.0
118.5,118.61,118.49,118.61,1500.0
118.51,118.54,118.47,118.49,1100.0
118.64,118.64,118.44,118.48,3299.0
118.75,118.77,118.685,118.685,1383.0
118.74,118.76,118.72,118.76,1468.0
118.6266,118.73,118.6033,118.72,7070.0
118.49,118.63,118.49,118.62,2215.0
118.46,118.58,118.39,118.49,9706.0
118.44,118.47,118.37,118.46,8154.0
118.37,118.44,118.33,118.44,5799.0
118.61,118.63,118.44,118.44,6058.0
118.66,118.66,118.64,118.65,800.0
118.68,118.69,118.59,118.67,8371.0
118.89,118.89,118.61,118.64,8283.0
118.88,119.02,118.87,118.89,3200.0
119.091,119.15,118.85,118.86,7262.0
119.31,119.35,119.16,119.1672,6552.0
119.06,119.31,119.03,119.3,7719.0
119.055,119.08,118.99,119.02,2200.0
119.19,119.23,119.1,119.1,3047.0
119.22,119.25,119.2074,119.23,2324.0
119.25,119.25,119.14,119.25,4855.0
119.2827,119.3399,119.24,119.3399,3013.0
119.3,119.3,119.26,119.26,500.0
119.29,119.29,119.25,119.29,819.0
119.31,119.31,119.26,119.29,2621.0
119.37,119.4,119.31,119.33,1200.0
119.26,119.39,119.26,119.39,2269.0
119.29,119.29,119.23,119.274,2500.0
119.17,119.31,119.16,119.3,2300.0
119.1,119.22,119.09,119.22,1400.0
119.09,119.1,119.07,119.09,600.0
119.04,119.12,119.04,119.09,4001.0
118.91,119.04,118.91,119.04,3425.0
118.99,119.03,118.92,118.94,3400.0
119.01,119.01,118.95,118.95,1100.0
118.94,119.035,118.9,119.01,3300.0
119.08,119.08,118.98,118.98,500.0
119.0144,119.0144,119.0144,119.0144,1000.0
119.21,119.25,119.025,119.04,12275.0
119.19,119.19,119.15,119.15,200.0
119.12,119.19,119.09,119.19,2400.0
119.12,119.18,119.12,119.17,2581.0
119.1,119.13,119.07,119.12,1300.0
118.96,119.06,118.96,119.06,2176.0
119.035,119.035,119.01,119.01,600.0
119.12,119.12,119.06,119.06,509.0
119.01,119.19,119.01,119.14,3758.0
118.98,118.99,118.98,118.99,200.0
119.1,119.1125,119.05,119.05,1600.0
119.1,119.14,119.1,119.12,3500.0
118.97,119.1187,118.97,119.1187,582.0
119.05,119.09,119.03,119.03,900.0
118.95,119.04,118.95,119.04,1100.0
118.98,119.01,118.95,118.95,1500.0
119.01,119.01,119.0,119.0,200.0
118.98,118.98,118.98,118.98,100.0
118.99,118.99,118.9,118.95,2800.0
118.93,119.0,118.915,119.0,1026.0
118.98,119.0,118.9375,118.95,1800.0
119.02,119.02,119.0,119.02,1000.0
119.07,119.07,119.05,119.05,300.0
119.08,119.09,119.06,119.07,1400.0
119.11,119.11,119.08,119.08,400.0
119.05,119.12,119.03,119.1,1796.0
119.03,119.03,119.005,119.005,1600.0
119.01,119.01,118.97,119.0,1494.0
118.96,119.01,118.94,119.01,3451.0
119.04,119.07,118.98,118.98,2200.0
119.01,119.03,118.97,119.01,1569.0
118.92,119.0,118.92,119.0,2448.0
118.9461,118.98,118.9201,118.9504,464.0
118.92,118.99,118.9,118.92,3702.0
119.04,119.04,119.01,119.01,200.0
119.005,119.0214,119.005,119.0214,1523.0
119.1713,119.24,119.01,119.01,11471.0
119.16,119.16,119.12,119.12,500.0
119.178,119.22,119.14,119.14,1800.0
119.21,119.21,119.18,119.18,900.0
119.23,119.25,119.2,119.22,1700.0
119.19,119.25,119.19,119.22,1665.0
119.21,119.22,119.2,119.21,900.0
119.29,119.32,119.23,119.23,2800.0
119.36,119.37,119.31,119.32,1100.0
119.355,119.4,119.355,119.39,2774.0
119.45,119.45,119.35,119.35,1200.0
119.48,119.48,119.46,119.46,241.0
119.46,119.48,119.42,119.48,1986.0
119.475,119.475,119.42,119.42,1015.0
119.43,119.43,119.43,119.43,200.0
