Open,High,Low,Close,Volume
31.81,31.81,31.81,31.81,43167.0
31.77,31.87,31.77,31.83,9000.0
31.72,31.81,31.71,31.8,19224.0
31.613,31.73,31.6101,31.72,14035.0
31.6014,31.66,31.59,31.64,12084.0
31.6,31.62,31.5504,31.616,25481.0
31.539,31.59,31.5,31.59,77753.0
31.5,31.54,31.46,31.5252,47504.0
31.511,31.58,31.49,31.52,10849.0
31.57,31.57,31.5,31.5101,14083.0
31.57,31.62,31.57,31.58,11600.0
31.62,31.62,31.57,31.57,9040.0
31.6089,31.69,31.59,31.63,42798.0
31.65,31.65,31.6,31.6,20800.0
31.66,31.72,31.6454,31.6454,16235.0
31.68,31.68,31.63,31.66,18900.0
31.7,31.73,31.68,31.68,7317.0
31.7,31.706,31.69,31.69,11050.0
31.735,31.74,31.69,31.71,11367.0
31.75,31.76,31.73,31.73,19500.0
31.74,31.79,31.73,31.74,13092.0
31.7818,31.7818,31.75,31.75,7644.0
31.73,31.77,31.73,31.76,7501.0
31.725,31.73,31.72,31.73,4495.0
31.74,31.745,31.72,31.72,11845.0
31.695,31.74,31.685,31.74,13950.0
31.67,31.72,31.67,31.7,11301.0
31.68,31.69,31.67,31.67,13501.0
31.695,31.71,31.68,31.68,11678.0
31.71,31.71,31.6947,31.6947,3200.0
31.7,31.72,31.69,31.71,7068.0
31.7,31.74,31.69,31.695,9343.0
31.69,31.707,31.67,31.7,28942.0
31.72,31.73,31.69,31.691,10298.0
31.74,31.74,31.72,31.72,11279.0
31.69,31.75,31.69,31.74,50913.0
31.7,31.72,31.69,31.69,8119.0
31.63,31.7,31.63,31.7,18482.0
31.65,31.67,31.62,31.62,8150.0
31.615,31.65,31.603,31.64,8579.0
31.64,31.66,31.615,31.615,8619.0
31.66,31.66,31.645,31.645,5457.0
31.645,31.655,31.64,31.655,2200.0
31.7,31.7,31.64,31.64,11246.0
31.69,31.691,31.68,31.691,3866.0
31.67,31.71,31.67,31.7,8578.0
31.67,31.695,31.665,31.68,11300.0
31.66,31.69,31.66,31.675,18316.0
31.7,31.7,31.66,31.66,26010.0
31.675,31.7,31.67,31.69,23396.0
31.67,31.68,31.67,31.68,3502.0
31.65,31.68,31.65,31.68,8700.0
31.61,31.64,31.6,31.64,5432.0
31.62,31.64,31.605,31.61,7477.0
31.59,31.61,31.59,31.61,4135.0
31.58,31.59,31.56,31.585,5000.0
31.595,31.6,31.58,31.5857,7250.0
31.56,31.6,31.56,31.6,4201.0
31.55,31.57,31.525,31.56,35004.0
31.515,31.54,31.51,31.54,7474.0
31.515,31.515,31.5,31.51,15601.0
31.52,31.53,31.45,31.51,56776.0
31.51,31.52,31.5,31.5178,5589.0
31.55,31.55,31.507,31.507,6092.0
31.57,31.58,31.5428,31.5428,6761.0
31.595,31.595,31.57,31.57,4028.0
31.63,31.6352,31.59,31.59,2986.0
31.65,31.65,31.606,31.62,8762.0
31.67,31.68,31.65,31.655,3842.0
31.67,31.6809,31.66,31.67,9053.0
31.64,31.67,31.64,31.67,2500.0
31.61,31.64,31.57,31.64,9082.0
31.59,31.605,31.57,31.605,8000.0
31.59,31.6,31.59,31.6,17299.0
31.585,31.61,31.58,31.59,5011.0
31.54,31.58,31.53,31.58,8402.0
31.49,31.545,31.49,31.545,10177.0
31.46,31.51,31.46,31.5,11893.0
31.41,31.47,31.4,31.47,10263.0
31.44,31.45,31.415,31.415,8694.0
31.45,31.47,31.45,31.45,13100.0
31.45,31.46,31.44,31.4546,12763.0
31.47,31.48,31.45,31.45,4062.0
31.49,31.49,31.465,31.47,2225.0
31.46,31.4999,31.45,31.49,7818.0
31.465,31.47,31.445,31.455,3830.0
31.49,31.49,31.47,31.47,6565.0
31.5,31.505,31.48,31.5,8521.0
31.485,31.5,31.48,31.5,7694.0
31.5,31.5,31.49,31.49,3496.0
31.53,31.53,31.505,31.505,8774.0
31.48,31.5216,31.47,31.5216,11554.0
31.48,31.489,31.47,31.48,6606.0
31.441,31.485,31.44,31.48,8152.0
31.44,31.451,31.4343,31.45,11417.0
31.39,31.43,31.38,31.43,112217.0
31.345,31.386,31.34,31.38,13961.0
31.3596,31.36,31.34,31.341,21785.0
31.37,31.375,31.35,31.35,8992.0
31.39,31.39,31.36,31.36,10525.0
31.44,31.46,31.39,31.39,23735.0
31.44,31.45,31.44,31.45,1708.0
31.45,31.45,31.42,31.44,15952.0
31.45,31.48,31.44,31.45,23756.0
31.43,31.45,31.43,31.45,7243.0
31.41,31.44,31.41,31.43,8770.0
31.39,31.415,31.39,31.415,8056.0
31.41,31.42,31.385,31.39,17318.0
31.41,31.4299,31.3929,31.41,18518.0
31.41,31.435,31.4,31.4,19462.0
31.44,31.44,31.415,31.415,8297.0
31.42,31.44,31.42,31.435,4379.0
31.42,31.4299,31.42,31.42,1200.0
31.5,31.5,31.42,31.42,55316.0
31.55,31.55,31.49,31.501,24557.0
31.57,31.57,31.55,31.55,13871.0
31.615,31.63,31.57,31.57,8317.0
31.6,31.615,31.59,31.61,9942.0
31.595,31.62,31.58,31.61,15254.0
31.58,31.6,31.58,31.595,4200.0
31.595,31.62,31.59,31.59,6326.0
31.62,31.62,31.6,31.6,8221.0
31.64,31.67,31.62,31.62,15223.0
31.63,31.645,31.62,31.64,9361.0
31.625,31.64,31.62,31.635,9596.0
31.62,31.635,31.62,31.62,22663.0
31.625,31.63,31.619,31.619,7883.0
31.6393,31.6393,31.61,31.625,4605.0
31.616,31.64,31.61,31.64,11912.0
31.615,31.62,31.605,31.61,11629.0
31.6165,31.6165,31.59,31.61,3255.0
31.63,31.63,31.6147,31.62,3300.0
31.636,31.64,31.62,31.64,4252.0
31.625,31.64,31.62,31.64,6888.0
31.62,31.625,31.61,31.62,2095.0
31.605,31.63,31.605,31.615,6196.0
31.55,31.61,31.55,31.61,20829.0
31.53,31.56,31.53,31.56,8742.0
31.53,31.55,31.53,31.54,4117.0
31.5352,31.54,31.52,31.525,2769.0
31.536,31.54,31.53,31.54,3626.0
31.52,31.55,31.51,31.54,6508.0
31.55,31.55,31.52,31.52,4999.0
31.5565,31.56,31.545,31.545,2050.0
31.58,31.58,31.56,31.56,1318.0
31.545,31.58,31.53,31.58,8131.0
31.54,31.55,31.531,31.55,2500.0
31.5,31.56,31.48,31.55,12879.0
31.485,31.5,31.48,31.5,9700.0
31.47,31.49,31.47,31.485,4500.0
31.5,31.5,31.4673,31.4673,11427.0
31.5,31.5,31.49,31.5,1126.0
31.52,31.52,31.5,31.5,2240.0
31.5633,31.57,31.5248,31.5248,2544.0
31.54,31.57,31.525,31.57,9432.0
31.54,31.54,31.535,31.535,400.0
31.55,31.55,31.535,31.54,1800.0
31.55,31.55,31.545,31.55,1200.0
31.5126,31.55,31.51,31.54,7714.0
31.515,31.52,31.51,31.515,1800.0
31.51,31.52,31.5,31.52,4886.0
31.5299,31.53,31.505,31.505,1260.0
31.53,31.54,31.525,31.53,3000.0
31.55,31.55,31.52,31.53,2495.0
31.57,31.57,31.55,31.55,1900.0
31.55,31.585,31.55,31.57,6800.0
31.55,31.55,31.545,31.547,1200.0
31.55,31.55,31.52,31.5494,11116.0
31.54,31.55,31.521,31.55,2800.0
31.52,31.535,31.51,31.535,2700.0
31.52,31.525,31.51,31.51,3000.0
31.53,31.53,31.52,31.52,1300.0
31.53,31.53,31.525,31.53,1101.0
31.53,31.53,31.525,31.53,600.0
31.55,31.55,31.525,31.53,3200.0
31.52,31.545,31.51,31.54,6830.0
31.53,31.53,31.515,31.515,2800.0
31.51,31.53,31.5,31.53,3500.0
31.5,31.51,31.49,31.51,7678.0
31.48,31.4917,31.47,31.4917,5069.0
31.47,31.5,31.47,31.47,5969.0
31.47,31.48,31.47,31.47,4000.0
31.5,31.5,31.48,31.48,3556.0
31.48,31.5,31.47,31.5,3588.0
31.48,31.48,31.47,31.48,2600.0
31.52,31.52,31.49,31.49,5826.0
31.53,31.53,31.51,31.51,2000.0
31.56,31.56,31.53,31.53,3008.0
31.5399,31.57,31.53,31.57,9521.0
