Open,High,Low,Close,Volume
74.52,74.53,74.36,74.36,1147.0
74.51,74.62,74.46,74.55,2432.0
74.37,74.44,74.36,74.44,720.0
74.255,74.4,74.21,74.4,1635.0
74.38,74.38,74.23,74.26,1326.0
74.34,74.35,74.27,74.35,3707.0
74.41,74.41,74.36,74.3672,393.0
74.4,74.41,74.32,74.36,2128.0
74.5,74.5,74.3946,74.3946,4936.0
74.47,74.5,74.47,74.5,200.0
74.51,74.51,74.51,74.51,100.0
74.52,74.55,74.46,74.5,6500.0
74.4799,74.5,74.46,74.5,4106.0
74.485,74.49,74.47,74.48,1200.0
74.54,74.54,74.46,74.48,2800.0
74.51,74.56,74.46,74.55,2907.0
74.5,74.5163,74.47,74.51,1321.0
74.57,74.57,74.5,74.5,4219.0
74.59,74.59,74.58,74.59,640.0
74.6,74.68,74.6,74.64,3400.0
74.58,74.59,74.58,74.59,400.0
74.65,74.68,74.62,74.62,2750.0
74.675,74.68,74.6575,74.68,700.0
74.655,74.6794,74.59,74.63,4774.0
74.675,74.6825,74.65,74.68,2047.0
74.69,74.7,74.675,74.675,800.0
74.66,74.715,74.66,74.715,2100.0
74.725,74.74,74.685,74.685,1701.0
74.76,74.78,74.725,74.725,1224.0
74.71,74.77,74.71,74.77,5315.0
74.72,74.75,74.69,74.7,7996.0
74.66,74.74,74.66,74.74,1945.0
74.6904,74.7,74.65,74.65,2150.0
74.642,74.7,74.64,74.7,3200.0
74.62,74.66,74.61,74.64,19610.0
74.63,74.635,74.62,74.63,10238.0
74.64,74.661,74.62,74.62,8334.0
74.59,74.64,74.59,74.64,3117.0
74.6,74.6,74.585,74.585,200.0
74.62,74.62,74.6,74.6,400.0
74.6,74.64,74.6,74.64,3400.0
74.595,74.61,74.57,74.61,2413.0
74.595,74.6,74.57,74.58,1122.0
74.6,74.64,74.595,74.595,32636.0
74.57,74.6,74.55,74.6,14289.0
74.55,74.58,74.55,74.58,1500.0
74.58,74.63,74.57,74.57,6575.0
74.61,74.62,74.57,74.5824,3415.0
74.62,74.625,74.61,74.61,934.0
74.69,74.69,74.62,74.62,1725.0
74.63,74.65,74.61,74.65,3687.0
74.67,74.67,74.64,74.64,2400.0
74.66,74.67,74.66,74.67,600.0
74.695,74.695,74.675,74.675,431.0
74.67,74.7,74.655,74.7,1197.0
74.71,74.73,74.685,74.7,5139.0
74.74,74.74,74.71,74.71,1300.0
74.7,74.7192,74.69,74.7192,1153.0
74.71,74.71,74.71,74.71,200.0
74.7,74.7397,74.7,74.715,480.0
74.71,74.71,74.69,74.71,6149.0
74.6985,74.73,74.6985,74.71,1350.0
74.69,74.72,74.69,74.7,2700.0
74.64,74.69,74.64,74.69,6152.0
74.565,74.63,74.565,74.62,1000.0
74.54,74.58,74.53,74.57,6349.0
74.52,74.57,74.51,74.57,1238.0
74.54,74.55,74.53,74.53,2700.0
74.55,74.55,74.54,74.54,600.0
74.55,74.56,74.53,74.53,3290.0
74.61,74.61,74.55,74.55,2767.0
74.54,74.63,74.54,74.63,1800.0
74.58,74.58,74.55,74.55,1200.0
74.59,74.6,74.57,74.585,1600.0
74.6,74.6,74.58,74.59,900.0
74.64,74.64,74.6,74.6,941.0
74.58,74.62,74.58,74.62,300.0
74.56,74.575,74.56,74.575,900.0
74.63,74.63,74.58,74.58,1239.0
74.6,74.62,74.6,74.62,1100.0
74.62,74.65,74.62,74.62,1800.0
74.5998,74.6101,74.5998,74.61,600.0
74.55,74.565,74.55,74.565,1600.0
74.56,74.6,74.555,74.555,1300.0
74.47,74.52,74.465,74.52,4616.0
74.46,74.48,74.46,74.48,1000.0
74.48,74.48,74.47,74.48,600.0
74.49,74.5,74.46,74.46,2261.0
74.44,74.5,74.44,74.5,3715.0
74.42,74.44,74.42,74.44,1800.0
74.48,74.49,74.43,74.43,3547.0
74.4783,74.4783,74.44,74.45,1970.0
74.47,74.49,74.45,74.47,2478.0
74.46,74.48,74.455,74.47,3800.0
74.47,74.47,74.46,74.46,800.0
74.48,74.48,74.47,74.47,200.0
74.46,74.49,74.46,74.48,1934.0
74.48,74.48,74.47,74.47,900.0
74.49,74.5,74.48,74.49,3326.0
74.48,74.48,74.475,74.48,1000.0
74.47,74.49,74.47,74.49,1200.0
74.45,74.48,74.45,74.48,2100.0
74.462,74.47,74.45,74.45,1385.0
74.48,74.5,74.4685,74.4685,5000.0
74.42,74.49,74.405,74.48,7700.0
74.42,74.43,74.42,74.42,1614.0
74.43,74.449,74.424,74.43,1933.0
