Open,High,Low,Close,Volume
47.13,47.13,47.13,47.13,794161.0
47.01,47.14,46.77,47.12,12800.0
47.14,47.14,47.07,47.09,1200.0
47.06,47.06,47.05,47.06,1200.0
46.81,46.88,46.77,46.87,6569.0
46.87,46.9,46.85,46.85,2300.0
46.76,46.81,46.74,46.78,5511.0
46.83,46.85,46.8,46.8,2100.0
46.7,46.82,46.63,46.82,3700.0
46.75,46.75,46.75,46.75,700.0
46.76,46.78,46.7,46.73,2557.0
46.85,46.85,46.8,46.8,1944.0
46.96,46.96,46.92,46.92,300.0
46.74,46.94,46.74,46.92,7438.0
46.83,46.9,46.77,46.77,24400.0
46.89,46.948,46.79,46.81,28514.0
46.86,46.94,46.855,46.94,1300.0
46.85,46.885,46.82,46.885,2500.0
46.84,46.84,46.83,46.83,600.0
46.79,46.82,46.79,46.82,1000.0
46.795,46.795,46.77,46.77,200.0
46.84,46.87,46.77,46.77,5483.0
46.89,46.92,46.86,46.86,4742.0
46.89,46.89,46.85,46.87,2125.0
46.885,46.915,46.88,46.9,2700.0
46.87,46.92,46.8404,46.92,3777.0
46.89,46.9,46.89,46.89,300.0
46.88,46.89,46.84,46.89,4426.0
46.885,46.91,46.87,46.89,4420.0
46.96,46.96,46.88,46.89,1800.0
46.87,46.97,46.87,46.97,2700.0
46.89,46.9,46.85,46.9,3250.0
46.88,46.89,46.85,46.8756,5775.0
46.92,46.93,46.88,46.88,1500.0
46.92,46.93,46.91,46.93,2300.0
46.88,46.92,46.88,46.91,3100.0
46.98,47.01,46.9,46.9,3200.0
46.95,46.98,46.95,46.98,500.0
47.01,47.01,46.94,46.94,2324.0
46.98,46.99,46.97,46.99,1100.0
46.95,46.95,46.95,46.95,200.0
46.98,47.0,46.935,46.95,3494.0
46.99,47.0,46.97,46.98,1000.0
47.0,47.02,47.0,47.0,1800.0
46.97,47.0,46.97,47.0,1100.0
46.95,46.975,46.95,46.96,2100.0
46.96,46.96,46.96,46.96,100.0
46.96,46.96,46.93,46.94,1900.0
46.94,46.96,46.94,46.95,1200.0
46.96,46.96,46.94,46.95,1200.0
47.0,47.01,46.97,46.97,3482.0
47.0,47.0,46.985,47.0,1025.0
46.98,46.99,46.96,46.99,2525.0
46.97,46.98,46.965,46.97,1400.0
46.99,47.0,46.96,46.98,3100.0
46.99,47.0,46.97,47.0,2387.0
46.99,47.01,46.97,46.98,3400.0
46.98,47.003,46.98,46.99,922.0
47.0,47.0,46.976,46.976,1200.0
47.03,47.03,46.99,47.0,1600.0
47.02,47.03,47.005,47.01,2100.0
47.01,47.04,47.01,47.02,1800.0
46.98,47.01,46.98,47.01,2100.0
46.98,47.0,46.96,46.96,1100.0
47.0,47.0,46.97,47.0,1000.0
47.01,47.04,47.01,47.01,3977.0
47.03,47.03,47.0,47.0,4246.0
47.02,47.03,47.0,47.03,900.0
47.04,47.04,47.015,47.02,7851.0
47.04,47.06,47.02,47.04,6256.0
47.04,47.06,47.01,47.04,3312.0
47.07,47.07,47.05,47.05,3120.0
47.05,47.08,47.05,47.07,2700.0
47.05,47.05,47.045,47.05,600.0
47.08,47.09,47.06,47.06,4000.0
47.07,47.07,47.06,47.07,1000.0
47.07,47.07,47.05,47.06,1400.0
47.05,47.07,47.05,47.07,1900.0
47.05,47.05,47.04,47.04,700.0
47.05,47.05,47.05,47.05,697.0
47.05,47.06,47.05,47.06,1500.0
47.05,47.05,47.05,47.05,100.0
47.02,47.04,47.01,47.04,2100.0
47.036,47.04,47.03,47.03,8837.0
47.055,47.06,47.04,47.04,900.0
47.06,47.06,47.0402,47.06,1425.0
47.01,47.05,47.01,47.05,4774.0
47.02,47.03,47.01,47.01,1343.0
47.0,47.03,47.0,47.03,1500.0
47.05,47.05,47.0,47.0,1114.0
47.03,47.05,47.02,47.05,700.0
47.03,47.04,47.03,47.04,500.0
47.02,47.02,47.02,47.02,1200.0
47.01,47.03,47.01,47.01,1946.0
46.99,47.005,46.96,47.005,2500.0
46.98,46.99,46.98,46.99,200.0
46.99,46.99,46.97,46.98,1600.0
46.97,46.99,46.94,46.99,51900.0
46.96,46.96,46.96,46.96,100.0
46.99,46.99,46.96,46.96,2011.0
