Open,High,Low,Close,Volume
75.78,75.84,75.75,75.82,18376.0
75.74,75.7925,75.73,75.78,13369.0
75.74,75.8,75.71,75.78,20124.0
75.84,75.85,75.73,75.73,50970.0
75.8348,75.85,75.8096,75.85,9535.0
75.84,75.9,75.81,75.835,74714.0
75.86,75.87,75.82,75.82,4329.0
75.8546,75.88,75.8546,75.87,10833.0
75.86,75.87,75.85,75.855,7561.0
75.84,75.87,75.84,75.86,5371.0
75.85,75.85,75.83,75.85,11545.0
75.82,75.86,75.8022,75.85,7426.0
75.835,75.86,75.815,75.82,7916.0
75.87,75.875,75.835,75.84,18485.0
75.86,75.88,75.85,75.88,13868.0
75.85,75.85,75.83,75.84,8387.0
75.835,75.86,75.835,75.845,13266.0
75.835,75.85,75.825,75.85,12794.0
75.8469,75.85,75.825,75.83,9591.0
75.825,75.85,75.82,75.849,6625.0
75.855,75.86,75.825,75.83,7010.0
75.87,75.89,75.8548,75.8548,25002.0
75.85,75.88,75.85,75.865,7949.0
75.86,75.86,75.85,75.86,3724.0
75.855,75.8653,75.85,75.86,7317.0
75.86,75.87,75.8546,75.8546,6836.0
75.87,75.88,75.86,75.86,29739.0
75.88,75.89,75.865,75.87,15334.0
75.8803,75.9,75.88,75.885,15297.0
75.9157,75.9157,75.88,75.88,18595.0
75.92,75.92,75.91,75.92,4997.0
75.8631,75.93,75.8631,75.925,18395.0
75.89,75.89,75.86,75.87,6951.0
75.855,75.889,75.85,75.889,8983.0
75.86,75.87,75.84,75.85,7330.0
75.87,75.89,75.855,75.86,14027.0
75.8463,75.8772,75.83,75.8772,14971.0
75.855,75.86,75.84,75.8461,13043.0
75.88,75.88,75.855,75.86,13144.0
75.89,75.89,75.88,75.885,4865.0
75.89,75.89,75.883,75.89,3213.0
75.8879,75.89,75.875,75.89,7244.0
75.885,75.8899,75.875,75.8857,3919.0
75.91,75.94,75.88,75.8877,20489.0
75.9,75.91,75.89,75.91,11300.0
75.87,75.91,75.87,75.9003,16667.0
75.8803,75.89,75.8637,75.87,10171.0
75.88,75.885,75.86,75.88,8230.0
75.89,75.89,75.87,75.8881,8224.0
75.85,75.89,75.85,75.885,6214.0
75.855,75.87,75.84,75.84,12370.0
75.855,75.86,75.845,75.85,12820.0
75.84,75.845,75.825,75.845,8653.0
75.8,75.84,75.795,75.83,16353.0
75.745,75.805,75.74,75.805,10622.0
75.77,75.77,75.7437,75.7437,5862.0
75.755,75.77,75.755,75.76,4486.0
75.77,75.77,75.72,75.76,10412.0
75.735,75.77,75.7,75.77,7239.0
75.71,75.75,75.7,75.74,8424.0
75.7,75.71,75.665,75.7,9664.0
75.715,75.72,75.7,75.71,9109.0
75.725,75.73,75.715,75.715,9701.0
75.72,75.725,75.71,75.72,6696.0
75.72,75.72,75.705,75.72,4505.0
75.675,75.7171,75.67,75.7171,8510.0
75.685,75.685,75.66,75.68,8153.0
75.66,75.68,75.66,75.68,5714.0
75.65,75.65,75.635,75.65,4363.0
75.64,75.65,75.63,75.64,10953.0
75.68,75.7,75.635,75.635,29262.0
75.7455,75.76,75.675,75.68,8493.0
75.7735,75.7775,75.74,75.75,8127.0
75.78,75.7867,75.77,75.7769,6306.0
75.8,75.8,75.76,75.78,24969.0
75.82,75.83,75.79,75.8,13707.0
75.84,75.84,75.815,75.82,13954.0
75.87,75.87,75.83,75.8354,7745.0
75.875,75.89,75.85,75.86,30032.0
75.89,75.89,75.8701,75.875,4875.0
75.885,75.9,75.8732,75.89,13717.0
75.8946,75.9,75.875,75.88,10600.0
75.89,75.895,75.88,75.89,12435.0
75.84,75.9,75.83,75.89,23174.0
75.83,75.859,75.83,75.85,7402.0
75.78,75.8299,75.78,75.8239,24076.0
75.8,75.83,75.775,75.7754,13519.0
75.7365,75.8,75.695,75.8,21131.0
