Open,High,Low,Close,Volume
15.64,15.69,15.64,15.69,2600.0
15.36,15.68,15.3,15.64,821011.0
15.455,15.49,15.33,15.36,377289.0
15.6,15.64,15.41,15.455,473780.0
15.805,15.84,15.6,15.6001,441143.0
15.865,15.9,15.73,15.8,757906.0
15.78,15.94,15.78,15.861,318702.0
15.8,15.84,15.771,15.785,367007.0
15.875,15.93,15.805,15.805,333543.0
15.768,15.88,15.75,15.88,199460.0
15.81,15.82,15.76,15.76,222454.0
15.82,15.84,15.78,15.82,271662.0
15.6605,15.83,15.65,15.8269,372398.0
15.725,15.74,15.66,15.66,265023.0
15.66,15.74,15.64,15.73,180605.0
15.715,15.72,15.66,15.665,227880.0
15.73,15.75,15.71,15.72,202612.0
15.695,15.76,15.695,15.72,219445.0
15.68,15.8,15.671,15.705,362834.0
15.59,15.72,15.575,15.68,302073.0
15.595,15.65,15.53,15.59,324964.0
15.64,15.65,15.57,15.59,480672.0
15.665,15.67,15.61,15.65,126211.0
15.67,15.68,15.63,15.665,222043.0
15.74,15.775,15.675,15.68,273007.0
15.6992,15.7478,15.6575,15.74,242697.0
15.65,15.7,15.65,15.695,118967.0
15.625,15.6767,15.62,15.65,111376.0
15.585,15.63,15.534,15.625,181514.0
15.57,15.6068,15.57,15.585,71663.0
15.525,15.57,15.5,15.57,379209.0
15.46,15.53,15.455,15.525,565293.0
15.46,15.5,15.45,15.455,141685.0
15.485,15.5,15.46,15.465,417867.0
15.4701,15.5,15.465,15.49,117568.0
15.49,15.525,15.47,15.475,147396.0
15.47,15.49,15.45,15.485,261756.0
15.475,15.48,15.455,15.465,251860.0
15.51,15.51,15.4735,15.475,343836.0
15.5299,15.56,15.505,15.51,136695.0
15.565,15.57,15.525,15.525,107078.0
15.625,15.63,15.565,15.565,54086.0
15.6,15.65,15.6,15.62,105156.0
15.535,15.605,15.53,15.605,116015.0
15.55,15.57,15.53,15.53,86197.0
15.555,15.56,15.54,15.55,104247.0
15.595,15.6,15.555,15.555,103402.0
15.545,15.6,15.54,15.595,128211.0
15.525,15.545,15.515,15.54,62245.0
15.544,15.555,15.5235,15.5248,96937.0
15.55,15.565,15.53,15.545,70093.0
15.56,15.5699,15.5447,15.56,28658.0
15.55,15.57,15.54,15.565,94599.0
15.485,15.555,15.48,15.555,130800.0
15.485,15.49,15.47,15.485,64401.0
15.49,15.5,15.48,15.485,76454.0
15.4682,15.5,15.46,15.5,78143.0
15.465,15.48,15.45,15.465,77309.0
15.4446,15.48,15.435,15.47,81064.0
15.44,15.46,15.435,15.445,57002.0
15.47,15.47,15.44,15.4401,162050.0
15.485,15.5,15.465,15.47,220549.0
15.475,15.49,15.47,15.49,19196.0
15.44,15.48,15.44,15.4705,69402.0
15.425,15.46,15.425,15.44,73082.0
15.42,15.43,15.415,15.43,33837.0
15.395,15.42,15.39,15.41,95711.0
15.375,15.4,15.3738,15.39,155560.0
15.365,15.38,15.36,15.38,120134.0
15.3,15.3601,15.3,15.36,166604.0
15.305,15.31,15.29,15.3,134767.0
15.32,15.33,15.305,15.305,86251.0
15.2581,15.32,15.25,15.31,174329.0
15.23,15.269,15.22,15.25,103067.0
15.3152,15.32,15.23,15.23,138168.0
15.34,15.34,15.31,15.31,60652.0
15.315,15.35,15.31,15.3399,62173.0
15.32,15.33,15.31,15.31,386841.0
15.325,15.33,15.31,15.32,196122.0
15.41,15.415,15.32,15.32,150632.0
15.425,15.46,15.405,15.41,87481.0
15.45,15.46,15.41,15.42,131965.0
15.4239,15.46,15.41,15.4455,98850.0
15.41,15.4299,15.405,15.4299,102459.0
15.4,15.42,15.4,15.41,23874.0
15.435,15.44,15.405,15.4053,18509.0
15.41,15.4399,15.41,15.43,20457.0
15.445,15.45,15.41,15.415,42712.0
15.46,15.47,15.4449,15.45,79594.0
15.45,15.46,15.45,15.45,9560.0
15.41,15.455,15.4,15.45,43684.0
15.44,15.45,15.4,15.404,66788.0
15.43,15.44,15.42,15.435,28697.0
15.45,15.46,15.435,15.44,41925.0
15.49,15.5,15.44,15.45,77395.0
15.54,15.54,15.49,15.49,95623.0
15.58,15.62,15.54,15.55,338995.0
15.53,15.575,15.53,15.57,36575.0
15.48,15.53,15.48,15.53,66989.0
15.445,15.485,15.44,15.48,74322.0
15.47,15.48,15.435,15.44,117811.0
15.47,15.48,15.4647,15.47,18126.0
15.49,15.53,15.4765,15.48,78712.0
15.4747,15.495,15.47,15.49,15700.0
15.455,15.47,15.45,15.47,35798.0
15.465,15.47,15.421,15.455,92894.0
15.495,15.5,15.4684,15.47,38769.0
15.52,15.53,15.49,15.49,49236.0
15.5499,15.56,15.52,15.5201,69015.0
15.545,15.55,15.54,15.54,15646.0
15.5883,15.5883,15.54,15.545,73883.0
15.59,15.6,15.58,15.59,64758.0
15.58,15.6,15.575,15.59,53459.0
15.555,15.59,15.545,15.58,54188.0
15.57,15.57,15.54,15.55,39939.0
15.56,15.6,15.56,15.57,52050.0
15.56,15.57,15.54,15.565,63396.0
15.59,15.59,15.55,15.5601,66425.0
15.59,15.6,15.58,15.58,66975.0
15.584,15.6,15.575,15.585,71164.0
15.564,15.585,15.55,15.585,36695.0
15.57,15.58,15.56,15.56,42836.0
15.545,15.5745,15.53,15.5745,41530.0
15.545,15.56,15.53,15.545,61462.0
15.51,15.55,15.51,15.55,55395.0
15.51,15.52,15.5,15.51,75287.0
15.51,15.515,15.5,15.51,48911.0
15.575,15.575,15.505,15.505,157653.0
15.545,15.58,15.545,15.575,38299.0
15.57,15.5799,15.54,15.54,50001.0
15.575,15.58,15.56,15.565,45485.0
15.57,15.58,15.55,15.575,55589.0
15.58,15.59,15.56,15.56,64711.0
15.575,15.59,15.57,15.585,52806.0
