Open,High,Low,Close,Volume
172.01,172.01,172.01,172.01,7214.0
171.755,171.94,171.755,171.94,200.0
171.74,171.74,171.52,171.52,200.0
171.08,171.55,170.85,171.54,7784.0
170.66,171.16,170.66,170.96,1900.0
171.095,171.095,170.63,170.63,300.0
170.52,170.71,170.52,170.71,1000.0
170.76,170.76,170.76,170.76,101.0
170.7,170.7,170.49,170.52,2201.0
170.87,170.87,170.85,170.85,400.0
170.93,170.93,170.93,170.93,100.0
171.28,171.28,171.28,171.28,100.0
171.13,171.38,171.13,171.38,2220.0
171.23,171.23,171.23,171.23,200.0
171.27,171.28,171.03,171.23,1500.0
171.23,171.42,171.18,171.25,1700.0
171.11,171.11,171.11,171.11,100.0
171.195,171.22,171.0,171.11,890.0
170.99,171.155,170.99,171.155,1000.0
171.02,171.065,170.84,171.065,1581.0
170.97,171.0,170.97,171.0,200.0
170.92,170.98,170.92,170.9272,870.0
171.13,171.195,171.12,171.12,800.0
171.04,171.1,171.04,171.06,300.0
171.04,171.09,170.92,171.09,1600.0
171.01,171.01,170.97,170.97,200.0
170.985,170.985,170.92,170.95,608.0
171.03,171.03,170.92,170.92,400.0
171.03,171.16,170.96,170.97,1258.0
170.73,171.03,170.73,171.03,1055.0
170.58,170.72,170.58,170.72,1500.0
170.55,170.55,170.55,170.55,100.0
170.5,170.5,170.42,170.42,807.0
170.36,170.41,170.36,170.41,600.0
170.44,170.48,170.35,170.39,834.0
170.45,170.52,170.45,170.52,2156.0
170.35,170.38,170.33,170.38,3438.0
170.35,170.43,170.25,170.31,1200.0
170.24,170.31,170.24,170.31,655.0
170.21,170.26,170.21,170.26,300.0
169.89,170.13,169.89,170.13,743.0
169.91,170.0,169.91,169.99,300.0
169.85,169.96,169.85,169.96,625.0
169.92,169.99,169.92,169.98,1400.0
170.04,170.04,169.86,169.99,1900.0
169.89,170.05,169.89,170.05,2346.0
169.82,169.94,169.82,169.94,300.0
169.7,169.82,169.7,169.72,2545.0
169.96,170.0,169.74,169.79,2462.0
169.85,169.895,169.82,169.87,1623.0
170.02,170.02,169.84,169.84,600.0
170.25,170.25,170.18,170.18,400.0
170.16,170.25,170.15,170.25,600.0
170.06,170.15,170.06,170.15,400.0
170.23,170.23,170.115,170.115,1200.0
170.11,170.12,170.11,170.12,200.0
170.21,170.21,170.19,170.19,300.0
170.14,170.16,170.14,170.16,800.0
170.07,170.09,170.07,170.08,400.0
169.97,169.97,169.97,169.97,100.0
169.92,169.92,169.87,169.92,1200.0
169.94,170.09,169.93,169.94,1500.0
169.73,169.9,169.73,169.87,1935.0
169.74,169.74,169.74,169.74,200.0
169.67,169.775,169.67,169.71,900.0
169.68,169.68,169.635,169.68,1400.0
169.69,169.73,169.66,169.69,1000.0
169.58,169.62,169.58,169.62,300.0
169.6,169.66,169.555,169.62,1300.0
169.61,169.7,169.61,169.62,300.0
169.59,169.63,169.52,169.52,800.0
169.57,169.69,169.57,169.68,1200.0
169.51,169.53,169.51,169.53,200.0
169.52,169.52,169.48,169.48,400.0
169.53,169.53,169.48,169.48,200.0
169.46,169.49,169.46,169.48,700.0
169.47,169.47,169.33,169.47,3157.0
169.465,169.465,169.465,169.465,200.0
169.5,169.53,169.475,169.5299,850.0
169.64,169.64,169.59,169.59,500.0
169.79,169.845,169.64,169.64,700.0
169.68,169.71,169.68,169.71,600.0
169.54,169.67,169.49,169.67,1000.0
169.39,169.48,169.33,169.48,900.0
169.29,169.35,169.29,169.35,200.0
169.38,169.47,169.38,169.41,1700.0
169.24,169.38,169.22,169.38,1300.0
169.37,169.42,169.335,169.34,1426.0
169.38,169.43,169.38,169.43,400.0
169.28,169.3,169.25,169.3,400.0
169.36,169.36,169.21,169.23,2220.0
169.3,169.3,169.3,169.3,300.0
169.35,169.35,169.31,169.31,400.0
169.27,169.39,169.27,169.39,421.0
169.26,169.35,169.26,169.305,518.0
169.23,169.23,169.23,169.23,100.0
169.18,169.3,169.18,169.2799,1513.0
169.17,169.17,169.12,169.17,700.0
169.13,169.14,168.9674,169.14,2742.0
169.25,169.25,169.16,169.16,500.0
169.26,169.32,169.26,169.26,700.0
169.205,169.26,169.205,169.26,300.0
169.12,169.12,169.12,169.12,100.0
169.1,169.235,169.1,169.17,800.0
169.23,169.23,169.1,169.1,1100.0
169.33,169.33,169.26,169.26,500.0
169.36,169.36,169.28,169.28,499.0
169.33,169.33,169.33,169.33,100.0
169.19,169.3,169.16,169.3,600.0
168.861,169.19,168.861,169.19,1700.0
168.9,168.9,168.9,168.9,200.0
168.82,168.92,168.82,168.92,1000.0
168.71,168.78,168.71,168.78,800.0
168.8,168.86,168.745,168.76,1000.0
168.82,168.9,168.82,168.9,1100.0
168.675,168.79,168.65,168.79,1600.0
168.43,168.737,168.43,168.737,404.0
168.45,168.45,168.45,168.45,100.0
168.58,168.58,168.44,168.44,1745.0
168.58,168.58,168.58,168.58,200.0
168.47,168.53,168.47,168.53,200.0
168.45,168.55,168.45,168.55,1350.0
168.51,168.55,168.41,168.42,1400.0
168.51,168.61,168.51,168.61,200.0
168.57,168.57,168.51,168.511,1100.0
168.59,168.61,168.56,168.565,1295.0
168.62,168.62,168.531,168.531,200.0
168.6399,168.6399,168.53,168.531,400.0
168.7,168.7,168.62,168.62,1395.0
168.6,168.72,168.6,168.72,900.0
168.58,168.58,168.58,168.58,100.0
168.77,168.77,168.67,168.67,900.0
168.76,168.76,168.71,168.71,536.0
168.71,168.71,168.71,168.71,200.0
168.66,168.71,168.66,168.71,500.0
168.65,168.65,168.55,168.64,400.0
168.62,168.68,168.6,168.6,1749.0
168.563,168.563,168.563,168.563,100.0
168.61,168.64,168.595,168.62,700.0
168.63,168.69,168.63,168.65,1700.0
168.58,168.6,168.58,168.6,300.0
168.7784,168.7784,168.54,168.54,1949.0
168.74,168.74,168.74,168.74,200.0
168.85,168.85,168.795,168.8,700.0
168.78,168.845,168.78,168.845,300.0
168.71,168.825,168.7,168.825,2300.0
168.73,168.8,168.67,168.67,4445.0
168.8,168.8,168.765,168.765,400.0
168.75,168.81,168.75,168.81,300.0
168.65,168.75,168.65,168.75,900.0
168.59,168.59,168.59,168.59,200.0
168.49,168.49,168.49,168.49,100.0
168.63,168.65,168.56,168.61,3500.0
168.5884,168.625,168.56,168.625,500.0
168.57,168.58,168.57,168.58,200.0
168.5,168.52,168.5,168.52,200.0
168.4,168.5,168.4,168.5,417.0
168.41,168.46,168.37,168.4,5731.0
168.39,168.45,168.33,168.41,6293.0
168.35,168.45,168.35,168.39,1015.0
168.24,168.3,168.2,168.27,3170.0
168.33,168.36,168.25,168.3,2738.0
168.275,168.3139,168.25,168.3,1111.0
168.14,168.265,168.14,168.25,2611.0
168.07,168.11,168.07,168.11,300.0
168.06,168.09,168.005,168.005,2300.0
168.135,168.16,168.11,168.13,1600.0
168.17,168.17,168.14,168.15,1801.0
168.13,168.17,168.13,168.17,1500.0
168.14,168.15,168.08,168.14,1880.0
168.1001,168.1001,168.1,168.1,800.0
168.22,168.22,168.145,168.15,3152.0
168.265,168.265,168.25,168.25,700.0
168.27,168.3,168.265,168.265,1100.0
168.19,168.27,168.19,168.26,1572.0
168.205,168.23,168.205,168.23,400.0
168.235,168.24,168.18,168.18,2400.0
168.17,168.19,168.17,168.19,213.0
168.2,168.2,168.17,168.17,300.0
168.23,168.25,168.2,168.23,2155.0
168.27,168.31,168.25,168.28,1113.0
168.28,168.28,168.28,168.28,200.0
168.29,168.29,168.25,168.25,500.0
168.16,168.25,168.15,168.25,1738.0
168.19,168.21,168.12,168.18,3701.0
168.195,168.195,168.19,168.19,200.0
168.07,168.17,168.07,168.17,726.0
168.055,168.055,168.01,168.04,700.0
167.911,167.911,167.911,167.911,100.0
167.89,167.955,167.89,167.955,400.0
168.03,168.05,167.93,167.97,2564.0
167.975,167.99,167.935,167.98,4061.0
167.975,168.01,167.94,167.94,300.0
167.975,168.01,167.975,168.01,600.0
168.04,168.04,167.985,168.03,2948.0
167.93,168.045,167.93,168.045,1342.0
167.92,167.92,167.92,167.92,100.0
167.84,167.865,167.84,167.865,200.0
167.82,167.8807,167.82,167.8807,351.0
167.8004,167.8004,167.74,167.78,3452.0
167.67,167.77,167.67,167.77,1478.0
167.76,167.76,167.685,167.685,2698.0
167.6879,167.71,167.66,167.71,2397.0
167.65,167.65,167.65,167.65,200.0
167.72,167.72,167.64,167.64,2860.0
167.73,167.73,167.7,167.73,500.0
167.66,167.74,167.66,167.735,1600.0
167.64,167.66,167.64,167.66,200.0
167.56,167.56,167.56,167.56,400.0
167.52,167.52,167.52,167.52,100.0
167.58,167.62,167.49,167.52,4216.0
167.57,167.57,167.57,167.57,100.0
167.56,167.6,167.53,167.6,900.0
167.52,167.53,167.5,167.53,500.0
167.391,167.48,167.39,167.48,450.0
167.41,167.41,167.41,167.41,100.0
167.38,167.39,167.38,167.39,200.0
167.575,167.575,167.38,167.385,5299.0
167.54,167.58,167.53,167.53,1000.0
167.52,167.6,167.52,167.53,1800.0
167.59,167.63,167.54,167.54,2693.0
167.7,167.74,167.595,167.64,1900.0
167.64,167.68,167.635,167.68,600.0
167.64,167.64,167.64,167.64,100.0
167.54,167.64,167.54,167.64,1300.0
167.605,167.61,167.51,167.51,1564.0
167.615,167.615,167.61,167.61,300.0
167.7,167.74,167.62,167.65,2759.0
167.74,167.78,167.7,167.74,2100.0
167.75,167.78,167.71,167.74,2049.0
167.79,167.8,167.76,167.76,1999.0
167.765,167.79,167.74,167.77,6559.0
167.835,167.88,167.765,167.765,3761.0
167.835,167.86,167.8,167.86,800.0
167.85,167.85,167.7501,167.8,1910.0
167.845,167.845,167.83,167.83,400.0
167.77,167.835,167.77,167.81,1565.0
167.68,167.77,167.68,167.77,1200.0
167.6,167.67,167.6,167.67,2896.0
167.67,167.67,167.6,167.6,200.0
167.61,167.65,167.61,167.65,1000.0
167.63,167.63,167.59,167.6,1000.0
167.63,167.63,167.63,167.63,100.0
167.54,167.575,167.54,167.571,940.0
167.53,167.54,167.53,167.53,500.0
167.58,167.58,167.56,167.56,800.0
167.6,167.6,167.58,167.58,1709.0
167.595,167.595,167.595,167.595,300.0
167.595,167.63,167.595,167.63,879.0
167.53,167.6,167.51,167.6,2099.0
167.34,167.49,167.34,167.49,1654.0
167.34,167.34,167.33,167.33,400.0
167.405,167.41,167.28,167.35,4300.0
167.51,167.51,167.445,167.445,1200.0
167.54,167.55,167.46,167.52,2604.0
167.491,167.59,167.491,167.5,1800.0
167.53,167.58,167.53,167.57,1600.0
167.5,167.52,167.49,167.49,1750.0
167.53,167.53,167.51,167.51,1100.0
167.485,167.55,167.46,167.54,1695.0
167.52,167.52,167.46,167.46,803.0
167.56,167.56,167.47,167.47,487.0
167.595,167.6,167.56,167.57,1000.0
167.565,167.59,167.53,167.59,1800.0
167.56,167.59,167.54,167.56,1200.0
167.5,167.56,167.44,167.56,1300.0
167.44,167.475,167.41,167.475,700.0
167.445,167.445,167.41,167.445,1063.0
167.35,167.45,167.35,167.45,2200.0
167.21,167.3,167.21,167.3,530.0
167.21,167.26,167.21,167.24,934.0
167.2123,167.24,167.16,167.19,1854.0
167.23,167.26,167.23,167.24,1300.0
167.18,167.22,167.16,167.21,2676.0
167.065,167.2,167.03,167.2,1210.0
167.03,167.03,167.03,167.03,249.0
166.94,167.005,166.94,167.005,1100.0
166.841,166.93,166.84,166.93,730.0
166.98,166.98,166.85,166.85,3797.0
167.0,167.0,167.0,167.0,500.0
166.9903,167.05,166.9903,167.05,366.0
166.945,166.96,166.945,166.96,977.0
166.87,166.9,166.87,166.9,319.0
167.03,167.03,166.85,166.85,2850.0
167.05,167.085,167.04,167.05,1900.0
167.2,167.2,167.08,167.09,5390.0
167.3,167.3,167.155,167.16,1300.0
167.18,167.225,167.17,167.18,705.0
167.14,167.14,167.14,167.14,300.0
167.11,167.2,167.11,167.19,1400.0
167.14,167.14,167.04,167.07,2900.0
167.27,167.27,167.09,167.11,3216.0
167.315,167.36,167.24,167.24,1188.0
167.14,167.315,167.14,167.315,2300.0
167.09,167.12,167.09,167.12,500.0
167.11,167.14,167.08,167.08,400.0
167.13,167.14,167.06,167.08,1750.0
167.25,167.25,167.17,167.17,2908.0
167.12,167.23,167.12,167.2,1552.0
167.1,167.11,167.1,167.11,200.0
166.96,167.105,166.96,167.105,1200.0
166.995,167.0005,166.98,166.99,3084.0
166.93,166.98,166.93,166.98,1300.0
166.9937,167.005,166.93,166.96,3513.0
166.94,166.975,166.94,166.975,243.0
167.0,167.0499,166.97,167.0,1417.0
166.94,166.98,166.94,166.98,1016.0
166.96,167.01,166.95,167.0,1100.0
166.92,166.99,166.92,166.98,600.0
166.84,166.93,166.84,166.92,1100.0
166.88,166.88,166.84,166.84,200.0
166.83,166.87,166.79,166.84,4395.0
166.87,166.87,166.79,166.83,1702.0
166.88,166.88,166.82,166.82,630.0
166.875,166.9,166.87,166.88,1020.0
167.01,167.01,166.87,166.87,2538.0
166.99,166.99,166.93,166.9899,505.0
166.97,167.01,166.97,167.0,1500.0
166.86,166.95,166.86,166.95,1410.0
166.665,166.83,166.64,166.83,7600.0
166.72,166.72,166.63,166.66,7577.0
166.72,166.73,166.71,166.71,1029.0
166.7,166.7,166.66,166.68,1800.0
166.67,166.75,166.67,166.7,1863.0
166.64,166.68,166.64,166.68,691.0
166.7,166.73,166.69,166.69,900.0
166.68,166.72,166.68,166.7,300.0
166.68,166.7,166.68,166.69,500.0
166.64,166.7,166.63,166.68,3100.0
166.7,166.71,166.65,166.65,3534.0
166.64,166.69,166.63,166.69,700.0
166.625,166.625,166.625,166.625,100.0
166.6,166.625,166.6,166.62,900.0
166.64,166.64,166.59,166.59,1200.0
166.61,166.68,166.6,166.65,2342.0
166.58,166.65,166.57,166.65,1300.0
166.7,166.7,166.63,166.63,1775.0
166.78,166.78,166.685,166.7,2650.0
166.81,166.81,166.8,166.8,402.0
166.84,166.88,166.84,166.84,400.0
166.87,166.9,166.87,166.88,3165.0
166.93,166.97,166.88,166.89,3000.0
166.97,166.98,166.96,166.98,1229.0
166.93,166.96,166.89,166.95,3272.0
167.0,167.0,166.95,166.95,1353.0
167.08,167.08,166.98,166.98,500.0
167.11,167.11,167.08,167.08,414.0
167.19,167.19,167.13,167.13,1267.0
167.09,167.19,167.09,167.19,3259.0
166.96,167.12,166.96,167.12,1100.0
166.99,166.99,166.97,166.97,1085.0
167.025,167.03,166.98,166.98,1000.0
167.11,167.11,167.03,167.03,1522.0
167.18,167.18,167.09,167.11,1365.0
167.22,167.22,167.21,167.21,700.0
167.32,167.32,167.1801,167.1801,803.0
167.3,167.36,167.28,167.33,2224.0
167.27,167.33,167.27,167.3,1200.0
167.26,167.31,167.26,167.29,1000.0
167.2,167.27,167.2,167.26,1900.0
167.1,167.2,167.1,167.2,2300.0
166.99,167.04,166.99,167.04,600.0
167.12,167.13,166.92,166.96,3520.0
167.09,167.18,167.09,167.15,4842.0
167.13,167.13,167.055,167.09,1900.0
167.15,167.15,167.105,167.13,700.0
167.105,167.17,167.105,167.15,2950.0
167.05,167.08,167.04,167.08,1600.0
