Open,High,Low,Close,Volume
26.72,26.84,26.71,26.83,3003.0
26.725,26.8,26.71,26.71,8355.0
26.74,26.76,26.71,26.745,9225.0
26.795,26.8,26.74,26.77,3361.0
26.785,26.82,26.75,26.78,7006.0
26.8,26.8,26.76,26.76,1923.0
26.84,26.85,26.8,26.82,5628.0
26.86,26.86,26.83,26.842,2300.0
26.82,26.845,26.8,26.83,11723.0
26.91,26.91,26.84,26.84,3730.0
26.89,26.93,26.885,26.9187,4800.0
26.93,26.96,26.8786,26.88,15973.0
26.91,26.92,26.9,26.91,3895.0
26.97,26.97,26.9,26.9,2300.0
26.96,27.02,26.96,26.975,3600.0
26.947,26.99,26.94,26.97,2230.0
26.96,26.97,26.93,26.95,1580.0
26.98,26.99,26.97,26.97,2635.0
26.97,26.99,26.97,26.99,1200.0
26.97,26.98,26.95,26.97,3000.0
26.91,26.96,26.9,26.96,8386.0
26.91,26.936,26.91,26.92,1600.0
26.905,26.93,26.895,26.9,6114.0
26.91,26.91,26.89,26.9,8940.0
26.91,26.925,26.91,26.92,2849.0
26.92,26.92,26.89,26.92,15317.0
26.8975,26.93,26.8975,26.92,4083.0
26.92,26.925,26.9,26.91,2590.0
26.91,26.92,26.88,26.92,6645.0
26.93,26.95,26.92,26.92,4138.0
26.98,26.99,26.95,26.95,5046.0
26.98,27.0,26.96,26.96,6149.0
26.92,26.98,26.92,26.98,6144.0
26.92,26.92,26.9,26.92,4600.0
26.92,26.94,26.9025,26.94,4302.0
26.94,26.97,26.925,26.93,8700.0
26.945,26.96,26.92,26.95,8768.0
26.91,26.94,26.91,26.94,5873.0
26.93,26.93,26.9,26.9,5550.0
26.93,26.93,26.92,26.92,2700.0
26.92,26.93,26.92,26.93,2500.0
26.908,26.925,26.9,26.925,3260.0
26.89,26.925,26.89,26.92,6200.0
26.885,26.91,26.88,26.89,4300.0
26.91,26.915,26.88,26.88,9351.0
26.91,26.92,26.905,26.91,4300.0
26.92,26.92,26.9,26.91,3323.0
26.92,26.935,26.9,26.92,5850.0
26.94,26.95,26.93,26.93,3445.0
26.92,26.955,26.915,26.94,5776.0
26.89,26.92,26.87,26.91,9600.0
26.86,26.88,26.85,26.88,4263.0
26.86,26.88,26.86,26.88,700.0
26.89,26.89,26.86,26.86,1681.0
26.885,26.89,26.87,26.89,941.0
26.88,26.88,26.875,26.88,1000.0
26.885,26.9,26.88,26.88,2513.0
26.895,26.9,26.88,26.88,1660.0
26.89,26.905,26.875,26.905,2899.0
26.9,26.9,26.89,26.89,600.0
26.89,26.915,26.89,26.89,4101.0
26.89,26.895,26.87,26.895,8056.0
26.855,26.885,26.855,26.88,3400.0
26.85,26.87,26.85,26.85,16915.0
26.88,26.88,26.86,26.86,3900.0
26.87,26.895,26.87,26.895,3700.0
26.86,26.87,26.85,26.87,3800.0
26.85,26.87,26.85,26.87,4898.0
26.84,26.855,26.82,26.85,19062.0
26.82,26.845,26.8,26.84,29255.0
26.82,26.83,26.82,26.83,800.0
26.88,26.89,26.825,26.825,27236.0
26.87,26.89,26.86,26.88,6500.0
26.87,26.87,26.87,26.87,400.0
26.87,26.88,26.86,26.87,2216.0
26.88,26.9,26.86,26.87,14489.0
26.88,26.89,26.88,26.885,2300.0
26.9,26.9,26.88,26.89,4230.0
26.9,26.91,26.895,26.9,8988.0
27.12,27.21,26.905,26.91,43309.0
27.11,27.13,27.0601,27.11,6134.0
27.23,27.24,27.1,27.1,18333.0
27.17,27.25,27.16,27.249,5400.0
27.12,27.16,27.085,27.16,7789.0
27.06,27.09,27.06,27.09,1535.0
27.09,27.12,27.07,27.07,2601.0
27.06,27.07,27.06,27.07,300.0
27.03,27.06,27.03,27.06,11010.0
27.01,27.02,27.0,27.02,1479.0
27.05,27.05,27.02,27.02,1800.0
27.04,27.06,27.03,27.04,2700.0
27.04,27.068,27.03,27.03,3677.0
27.02,27.04,27.02,27.04,11866.0
27.091,27.11,27.025,27.03,18031.0
27.1,27.1,27.06,27.08,7655.0
27.11,27.13,27.11,27.11,3600.0
27.1,27.11,27.09,27.11,1863.0
27.11,27.11,27.1,27.1,2831.0
27.1,27.11,27.09,27.11,915.0
27.08,27.11,27.08,27.09,9531.0
27.12,27.12,27.085,27.085,23141.0
27.095,27.12,27.095,27.12,1307.0
27.09,27.095,27.083,27.095,6715.0
26.99,27.08,26.97,27.08,41329.0
26.97,26.99,26.96,26.98,2935.0
26.98,27.0099,26.97,26.98,4885.0
27.01,27.01,27.0,27.0,800.0
26.99,27.01,26.98,27.01,4100.0
26.99,26.99,26.98,26.99,3953.0
26.97,26.985,26.96,26.985,15143.0
26.96,27.0,26.96,26.97,31208.0
26.995,26.995,26.965,26.965,7800.0
26.96,26.995,26.96,26.995,6350.0
26.99,27.0,26.96,26.96,4300.0
26.98,26.99,26.97,26.99,4800.0
27.0,27.0,26.97,26.97,1500.0
27.05,27.06,27.0,27.0,9959.0
27.08,27.08,27.05,27.06,8567.0
27.1,27.1,27.06,27.06,3400.0
27.06,27.095,27.05,27.095,24400.0
27.0701,27.0701,27.06,27.06,4587.0
27.13,27.13,27.08,27.08,4453.0
27.14,27.17,27.14,27.14,4143.0
27.11,27.14,27.11,27.14,1701.0
27.09,27.12,27.09,27.11,2344.0
27.11,27.11,27.085,27.09,2327.0
27.1,27.12,27.1,27.11,1398.0
27.12,27.12,27.09,27.1,3387.0
27.13,27.13,27.115,27.12,2412.0
27.11,27.12,27.08,27.12,5919.0
27.11,27.12,27.105,27.12,1000.0
27.13,27.14,27.115,27.115,1500.0
27.11,27.12,27.11,27.12,500.0
27.13,27.13,27.1,27.1,3815.0
27.17,27.17,27.14,27.14,4000.0
27.15,27.19,27.15,27.16,8300.0
27.13,27.16,27.13,27.16,8030.0
27.16,27.16,27.12,27.13,3915.0
27.15,27.16,27.14,27.15,1500.0
27.13,27.145,27.13,27.14,900.0
27.17,27.17,27.13,27.13,1800.0
27.19,27.22,27.18,27.18,6221.0
27.15,27.19,27.15,27.19,1719.0
27.16,27.16,27.16,27.16,900.0
27.15,27.16,27.15,27.16,1100.0
27.18,27.18,27.15,27.15,2050.0
27.19,27.2,27.18,27.18,800.0
27.17,27.18,27.17,27.18,517.0
27.17,27.19,27.17,27.17,1600.0
27.15,27.17,27.15,27.17,500.0
27.15,27.15,27.13,27.14,1148.0
27.15,27.15,27.14,27.15,1700.0
27.16,27.16,27.14,27.15,4846.0
27.16,27.17,27.15,27.16,2300.0
27.15,27.155,27.14,27.155,13110.0
27.13,27.15,27.13,27.14,5182.0
27.155,27.155,27.14,27.14,1700.0
27.15,27.17,27.15,27.16,2349.0
27.13,27.15,27.125,27.15,13953.0
27.14,27.15,27.125,27.13,6734.0
27.15,27.17,27.15,27.15,2887.0
27.15,27.16,27.15,27.15,1300.0
27.12,27.14,27.12,27.14,1100.0
27.085,27.1147,27.085,27.1147,1600.0
27.06,27.08,27.06,27.08,4773.0
27.08,27.08,27.06,27.06,4273.0
27.09,27.1,27.065,27.075,6723.0
27.1,27.1,27.08,27.09,2299.0
27.11,27.11,27.109,27.11,2400.0
27.11,27.12,27.11,27.12,1200.0
27.14,27.14,27.1073,27.1073,5713.0
27.15,27.15,27.13,27.14,2800.0
27.16,27.16,27.14,27.15,1503.0
27.19,27.19,27.14,27.155,2700.0
27.175,27.19,27.175,27.19,1292.0
27.18,27.18,27.15,27.16,1700.0
27.17,27.1902,27.17,27.19,2367.0
27.19,27.2,27.18,27.18,1425.0
27.17,27.17,27.17,27.17,300.0
27.15,27.1621,27.15,27.16,3039.0
27.14,27.14,27.13,27.14,2175.0
27.14,27.14,27.14,27.14,1200.0
27.18,27.18,27.15,27.15,2381.0
27.17,27.185,27.17,27.17,1600.0
27.19,27.19,27.17,27.17,3100.0
27.17,27.186,27.17,27.186,800.0
27.19,27.19,27.165,27.165,1424.0
27.19,27.19,27.18,27.18,1200.0
27.17,27.19,27.17,27.19,1300.0
27.16,27.17,27.16,27.16,600.0
27.15,27.15,27.14,27.15,1600.0
27.13,27.14,27.12,27.14,2697.0
27.13,27.13,27.12,27.12,925.0
27.1362,27.14,27.1362,27.14,1931.0
27.11,27.1345,27.1,27.1345,2286.0
27.13,27.13,27.1048,27.11,2712.0
27.11,27.16,27.11,27.14,1956.0
27.09,27.11,27.09,27.11,1597.0
27.1,27.1,27.09,27.09,1749.0
27.155,27.155,27.11,27.11,2700.0
27.145,27.15,27.145,27.15,900.0
27.15,27.16,27.15,27.15,722.0
27.12,27.14,27.12,27.14,1200.0
27.11,27.12,27.11,27.12,1400.0
27.165,27.165,27.11,27.11,3301.0
27.15,27.16,27.135,27.16,1875.0
27.145,27.145,27.145,27.145,100.0
27.155,27.165,27.15,27.15,1800.0
27.16,27.16,27.145,27.15,1200.0
27.14,27.15,27.14,27.15,679.0
27.13,27.13,27.13,27.13,100.0
27.15,27.15,27.13,27.135,2287.0
27.14,27.14,27.14,27.14,1600.0
27.16,27.16,27.14,27.14,2300.0
27.16,27.16,27.16,27.16,700.0
27.15,27.16,27.15,27.16,600.0
27.16,27.16,27.15,27.15,1095.0
27.14,27.16,27.135,27.16,1600.0
27.155,27.155,27.14,27.14,11300.0
27.13,27.15,27.12,27.15,19133.0
27.13,27.13,27.13,27.13,700.0
27.124,27.124,27.124,27.124,8993.0
27.115,27.13,27.115,27.12,3658.0
27.08,27.11,27.08,27.11,8668.0
27.07,27.1,27.07,27.08,3200.0
27.085,27.09,27.085,27.09,600.0
