Open,High,Low,Close,Volume
44.64,44.67,44.64,44.67,79635.0
44.74,44.75,44.53,44.65,58138.0
44.7,44.73,44.65,44.7101,23189.0
44.73,44.79,44.65,44.6986,29452.0
44.7,44.72,44.61,44.72,22488.0
44.44,44.7,44.41,44.7,79677.0
44.45,44.55,44.41,44.42,75979.0
44.67,44.7,44.4,44.455,38472.0
44.71,44.71,44.66,44.69,8830.0
44.645,44.77,44.63,44.7,66559.0
44.78,44.7814,44.645,44.65,39575.0
44.8,44.83,44.78,44.79,14776.0
44.8,44.85,44.8,44.81,27115.0
44.95,44.96,44.74,44.78,36760.0
44.93,44.99,44.9,44.955,18347.0
45.04,45.1,44.94,44.94,87147.0
45.105,45.15,45.05,45.07,59721.0
45.07,45.21,45.07,45.11,72605.0
45.07,45.0999,45.0,45.0999,28100.0
45.13,45.15,45.08,45.08,16300.0
45.14,45.16,45.1208,45.14,25648.0
45.12,45.14,45.11,45.14,31093.0
45.05,45.12,45.05,45.12,16557.0
45.14,45.14,45.04,45.06,32522.0
45.13,45.14,45.09,45.14,19058.0
45.15,45.19,45.12,45.13,34488.0
45.06,45.145,45.04,45.14,30479.0
45.18,45.19,45.03,45.05,22774.0
45.185,45.19,45.17,45.19,4900.0
45.23,45.28,45.185,45.19,27654.0
45.25,45.28,45.225,45.23,10725.0
45.175,45.25,45.14,45.25,29722.0
45.26,45.26,45.18,45.18,22083.0
45.14,45.28,45.14,45.253,15399.0
44.94,45.14,44.93,45.14,80223.0
45.01,45.025,44.92,44.945,21626.0
45.14,45.15,45.02,45.02,19293.0
45.18,45.19,45.14,45.14,25422.0
45.21,45.22,45.18,45.18,30350.0
45.21,45.22,45.16,45.2,38217.0
45.185,45.22,45.18,45.22,8053.0
45.04,45.19,45.04,45.18,15386.0
45.09,45.09,45.02,45.02,21353.0
44.9,45.12,44.895,45.085,61027.0
44.89,44.91,44.79,44.89,29281.0
44.98,44.99,44.88,44.88,23000.0
44.9401,45.04,44.94,44.99,31178.0
44.92,44.955,44.9,44.95,14709.0
44.97,44.97,44.9,44.92,27706.0
44.88,44.97,44.86,44.96,52353.0
44.84,44.8825,44.81,44.88,20007.0
44.88,44.89,44.8,44.85,39144.0
44.91,44.92,44.84,44.88,25510.0
45.02,45.02,44.9101,44.92,24809.0
45.01,45.02,44.94,45.01,32095.0
44.945,45.019,44.93,45.019,61431.0
44.84,44.965,44.84,44.96,20156.0
44.86,44.93,44.84,44.84,21815.0
44.82,44.885,44.82,44.87,49153.0
44.92,44.92,44.8,44.81,29762.0
44.99,45.0,44.92,44.92,35853.0
44.96,45.0,44.96,44.99,11242.0
44.935,44.96,44.93,44.96,8869.0
44.93,44.97,44.93,44.93,10606.0
44.93,44.94,44.91,44.94,31957.0
44.97,45.0,44.94,44.94,17660.0
44.97,44.97,44.94,44.97,17697.0
44.98,44.98,44.96,44.96,8550.0
44.925,44.98,44.925,44.98,8021.0
44.96,44.96,44.91,44.93,19133.0
44.98,44.98,44.96,44.96,4595.0
44.975,44.98,44.95,44.97,15800.0
45.005,45.02,44.97,44.97,28746.0
44.9757,45.01,44.95,45.0,16413.0
44.98,44.99,44.96,44.98,17750.0
45.015,45.02,44.985,44.985,9316.0
44.995,45.04,44.99,45.01,20535.0
44.95,44.99,44.94,44.99,25796.0
44.95,44.96,44.92,44.945,16746.0
44.97,44.99,44.94,44.95,20250.0
45.0,45.01,44.93,44.96,41993.0
44.985,45.01,44.98,45.0,21675.0
44.98,44.99,44.95,44.985,28600.0
45.0,45.01,44.97,44.98,19415.0
45.01,45.01,45.0,45.0,3890.0
44.93,45.01,44.93,45.005,22139.0
44.93,44.94,44.92,44.925,6757.0
44.96,44.98,44.925,44.93,15658.0
44.93,44.95,44.92,44.95,21427.0
44.94,44.95,44.93,44.93,7389.0
44.9,44.95,44.9,44.94,7886.0
44.91,44.93,44.875,44.9,21599.0
44.96,44.96,44.895,44.9,21502.0
44.93,44.9571,44.92,44.95,12206.0
44.954,44.955,44.93,44.935,8608.0
44.96,44.98,44.95,44.95,15595.0
44.92,44.9712,44.92,44.965,9965.0
44.91,44.94,44.89,44.925,23500.0
44.94,44.94,44.88,44.9135,15250.0
44.93,44.945,44.93,44.945,15168.0
44.965,44.98,44.935,44.935,26998.0
44.95,44.97,44.95,44.965,8649.0
44.925,44.955,44.915,44.955,18200.0
44.9375,44.955,44.92,44.92,15217.0
44.96,44.96,44.92,44.9463,22921.0
44.96,44.97,44.94,44.96,8730.0
44.93,44.96,44.93,44.96,10420.0
44.95,44.95,44.925,44.94,13180.0
44.935,44.955,44.935,44.955,2500.0
44.96,44.97,44.94,44.94,8339.0
44.945,44.98,44.925,44.965,35245.0
44.96,44.97,44.94,44.945,11968.0
44.89,44.95,44.89,44.95,9999.0
44.945,44.945,44.895,44.895,25624.0
44.952,44.9651,44.94,44.94,8500.0
44.95,44.9605,44.95,44.95,12324.0
44.98,44.98,44.95,44.96,11584.0
44.97,45.0,44.97,44.98,14301.0
44.98,44.99,44.97,44.975,5715.0
45.02,45.03,44.98,44.98,27274.0
45.04,45.04,45.015,45.02,9740.0
45.05,45.05,45.03,45.04,6100.0
45.03,45.04,45.01,45.04,5731.0
45.034,45.055,45.02,45.035,19857.0
45.0,45.04,44.99,45.04,17566.0
44.99,45.0052,44.963,45.0,15568.0
44.96,44.98,44.95,44.98,10938.0
44.985,44.99,44.96,44.96,3501.0
45.01,45.01,44.97,44.98,5371.0
45.01,45.01,44.97,45.0,13300.0
45.01,45.01,45.0,45.0,3472.0
45.01,45.02,45.01,45.01,3040.0
44.98,45.01,44.98,45.01,6674.0
44.97,44.99,44.97,44.985,4374.0
45.0133,45.0133,44.975,44.975,11146.0
45.01,45.015,45.0,45.01,1800.0
45.03,45.03,45.0,45.01,6746.0
45.06,45.065,45.03,45.03,13184.0
45.09,45.1,45.051,45.06,11775.0
45.08,45.09,45.06,45.09,2629.0
45.11,45.12,45.07,45.09,20527.0
45.1099,45.13,45.1,45.11,6142.0
45.12,45.14,45.11,45.11,12042.0
45.155,45.16,45.13,45.13,9819.0
45.27,45.28,45.16,45.16,26231.0
45.27,45.301,45.26,45.275,18161.0
45.25,45.26,45.21,45.26,7286.0
45.31,45.32,45.24,45.24,12795.0
45.305,45.325,45.3,45.3095,15159.0
45.34,45.35,45.31,45.31,12219.0
45.39,45.3911,45.3,45.34,17515.0
45.41,45.41,45.38,45.385,13356.0
45.405,45.44,45.4,45.4,21900.0
45.43,45.43,45.38,45.405,19467.0
45.455,45.46,45.43,45.43,20272.0
45.51,45.52,45.45,45.45,20254.0
45.509,45.52,45.49,45.51,9516.0
45.525,45.525,45.49,45.505,13897.0
45.525,45.53,45.52,45.52,10066.0
45.515,45.53,45.51,45.525,9767.0
45.5,45.515,45.49,45.51,8582.0
45.505,45.51,45.49,45.5,6890.0
45.51,45.51,45.5,45.505,13756.0
45.53,45.53,45.5,45.5,12411.0
45.57,45.575,45.52,45.525,44911.0
45.57,45.59,45.565,45.565,20096.0
45.63,45.635,45.57,45.57,13247.0
45.66,45.66,45.62,45.63,15296.0
45.69,45.69,45.67,45.67,8709.0
45.69,45.72,45.68,45.685,29127.0
45.675,45.68,45.66,45.68,4200.0
45.72,45.72,45.67,45.67,10585.0
45.68,45.72,45.68,45.71,9300.0
45.47,45.685,45.47,45.685,44173.0
45.58,45.59,45.41,45.47,74639.0
45.45,45.585,45.41,45.58,135343.0
45.52,45.535,45.47,45.47,23220.0
45.59,45.6,45.51,45.51,12521.0
45.64,45.65,45.6016,45.61,8350.0
45.6322,45.6436,45.62,45.64,4863.0
45.66,45.66,45.62,45.62,18717.0
45.59,45.65,45.58,45.65,12636.0
45.6228,45.635,45.58,45.59,9480.0
45.6,45.65,45.58,45.62,12087.0
45.561,45.585,45.55,45.58,8288.0
45.58,45.58,45.545,45.56,4000.0
45.51,45.58,45.51,45.57,9620.0
45.53,45.54,45.5,45.51,7450.0
45.61,45.61,45.53,45.54,7275.0
45.5947,45.61,45.59,45.61,6163.0
45.66,45.66,45.59,45.6,6224.0
45.69,45.69,45.65,45.66,11265.0
45.69,45.71,45.69,45.695,10271.0
45.66,45.69,45.635,45.69,17050.0
45.6501,45.68,45.6501,45.665,6350.0
45.61,45.6568,45.6,45.655,7832.0
45.59,45.61,45.58,45.61,13750.0
45.59,45.5932,45.58,45.59,3200.0
45.62,45.62,45.585,45.59,11856.0
45.62,45.62,45.61,45.62,7882.0
45.59,45.62,45.58,45.62,6929.0
45.62,45.62,45.58,45.59,6682.0
45.57,45.615,45.56,45.61,13600.0
45.57,45.58,45.56,45.57,2700.0
45.605,45.605,45.56,45.56,5100.0
45.66,45.67,45.61,45.61,17819.0
45.66,45.67,45.65,45.66,10081.0
45.66,45.67,45.66,45.67,2900.0
45.71,45.71,45.6575,45.66,12255.0
45.6933,45.71,45.685,45.71,8292.0
45.67,45.7,45.67,45.6966,7194.0
45.65,45.67,45.65,45.67,12732.0
45.57,45.65,45.57,45.65,10397.0
45.59,45.6,45.58,45.58,3400.0
45.59,45.59,45.59,45.59,2300.0
45.62,45.62,45.595,45.6,5809.0
45.64,45.65,45.615,45.615,4715.0
45.64,45.66,45.63,45.64,12600.0
45.64,45.64,45.62,45.64,4730.0
45.63,45.64,45.62,45.64,3800.0
45.6,45.625,45.6,45.625,4000.0
45.6,45.61,45.58,45.61,8900.0
45.62,45.63,45.61,45.61,2810.0
45.64,45.645,45.625,45.625,5331.0
45.64,45.66,45.64,45.64,4872.0
45.645,45.65,45.615,45.65,5625.0
45.64,45.65,45.63,45.64,4200.0
45.615,45.65,45.615,45.65,15739.0
45.57,45.615,45.57,45.615,31800.0
45.5,45.56,45.48,45.56,10609.0
45.491,45.505,45.49,45.495,6100.0
45.49,45.5,45.47,45.49,7694.0
45.505,45.51,45.485,45.485,6582.0
45.55,45.55,45.5,45.505,12328.0
45.525,45.55,45.5,45.55,9854.0
45.535,45.54,45.52,45.52,5705.0
45.53,45.56,45.52,45.535,27793.0
45.5,45.53,45.5,45.53,9085.0
45.485,45.51,45.48,45.51,3709.0
45.52,45.52,45.485,45.49,6286.0
45.59,45.59,45.53,45.53,7485.0
45.59,45.59,45.58,45.59,1700.0
45.535,45.585,45.525,45.585,14888.0
45.531,45.54,45.525,45.53,3500.0
45.5453,45.55,45.53,45.53,6810.0
45.55,45.555,45.54,45.55,5945.0
45.6,45.6,45.56,45.56,10698.0
45.61,45.62,45.595,45.595,4424.0
45.58,45.6099,45.57,45.6099,8015.0
45.585,45.585,45.57,45.58,2300.0
45.59,45.59,45.58,45.585,2936.0
45.575,45.595,45.57,45.59,6231.0
45.6,45.6,45.58,45.58,3700.0
45.655,45.655,45.595,45.595,5452.0
45.62,45.655,45.62,45.655,8105.0
45.615,45.63,45.61,45.63,1892.0
45.58,45.611,45.58,45.611,5800.0
45.56,45.6,45.54,45.585,7267.0
45.55,45.571,45.55,45.55,4745.0
45.54,45.56,45.535,45.56,1700.0
45.5235,45.545,45.5235,45.54,3400.0
45.465,45.52,45.465,45.52,5994.0
45.47,45.485,45.46,45.47,3441.0
45.44,45.48,45.39,45.475,16923.0
45.46,45.46,45.43,45.4347,8334.0
45.47,45.49,45.46,45.46,7744.0
45.45,45.4634,45.45,45.461,2369.0
45.46,45.47,45.46,45.46,4588.0
45.48,45.48,45.46,45.47,2400.0
45.46,45.49,45.46,45.48,6132.0
45.42,45.46,45.41,45.46,5584.0
45.45,45.45,45.41,45.42,4300.0
45.49,45.49,45.45,45.46,4733.0
45.47,45.5,45.47,45.49,3106.0
45.5047,45.515,45.47,45.47,9508.0
45.375,45.5,45.375,45.5,18788.0
45.395,45.405,45.385,45.385,7073.0
45.415,45.415,45.39,45.39,3619.0
45.45,45.45,45.41,45.41,3450.0
45.44,45.45,45.44,45.45,2127.0
45.45,45.47,45.44,45.45,8983.0
45.42,45.45,45.42,45.44,6396.0
45.45,45.45,45.43,45.43,12777.0
45.53,45.53,45.45,45.45,13187.0
45.505,45.53,45.49,45.53,16329.0
45.51,45.54,45.5,45.51,4552.0
45.48,45.51,45.46,45.505,8207.0
45.5,45.5,45.45,45.47,4224.0
45.48,45.5,45.47,45.5,3900.0
45.48,45.5,45.48,45.485,3950.0
45.505,45.52,45.49,45.49,5176.0
45.545,45.55,45.505,45.5099,7659.0
45.52,45.55,45.52,45.545,6710.0
45.515,45.52,45.51,45.52,3985.0
45.5,45.515,45.5,45.51,4589.0
45.465,45.495,45.45,45.495,5099.0
45.49,45.53,45.46,45.465,16201.0
45.465,45.499,45.465,45.49,8028.0
45.535,45.54,45.43,45.46,18275.0
45.55,45.57,45.52,45.53,8687.0
45.6,45.6,45.56,45.56,9755.0
45.64,45.66,45.57,45.59,17841.0
45.6,45.66,45.6,45.64,9330.0
45.575,45.58,45.56,45.56,5107.0
45.6401,45.66,45.575,45.58,8516.0
45.665,45.67,45.64,45.66,8268.0
45.64,45.665,45.64,45.66,8066.0
45.68,45.68,45.65,45.65,15371.0
45.685,45.69,45.67,45.68,8727.0
45.7,45.7,45.69,45.69,5927.0
45.69,45.7,45.6858,45.7,10652.0
45.66,45.695,45.655,45.69,12842.0
45.66,45.68,45.66,45.66,8198.0
45.65,45.6658,45.65,45.66,8825.0
45.65,45.655,45.64,45.65,6684.0
45.63,45.65,45.63,45.65,7548.0
45.63,45.64,45.63,45.635,2730.0
45.67,45.67,45.63,45.63,12114.0
45.73,45.73,45.67,45.67,16076.0
45.72,45.73,45.71,45.73,8748.0
45.71,45.72,45.7,45.72,11205.0
45.71,45.72,45.695,45.705,10224.0
45.67,45.72,45.67,45.715,11380.0
45.6968,45.7,45.67,45.68,9752.0
45.65,45.7,45.64,45.7,10466.0
45.67,45.69,45.64,45.64,7889.0
45.63,45.67,45.63,45.67,5590.0
45.6,45.64,45.6,45.63,8472.0
45.645,45.65,45.6,45.61,8799.0
45.68,45.69,45.63,45.65,13422.0
45.65,45.68,45.65,45.68,4230.0
45.635,45.65,45.635,45.65,7679.0
45.6,45.63,45.6,45.63,6289.0
45.59,45.6,45.59,45.6,6900.0
45.61,45.61,45.585,45.585,7711.0
45.6,45.61,45.595,45.61,7070.0
45.61,45.61,45.6,45.605,3400.0
45.615,45.62,45.59,45.61,12929.0
45.66,45.67,45.61,45.61,29146.0
45.66,45.67,45.645,45.665,9735.0
45.65,45.66,45.64,45.65,7693.0
45.62,45.65,45.62,45.64,7123.0
45.61,45.63,45.595,45.62,15156.0
45.59,45.62,45.59,45.615,6423.0
45.58,45.585,45.57,45.585,3900.0
45.57,45.58,45.555,45.575,10423.0
45.53,45.565,45.52,45.565,6267.0
45.5107,45.54,45.51,45.525,9230.0
45.51,45.53,45.49,45.505,13664.0
45.51,45.54,45.495,45.495,9599.0
45.51,45.52,45.5,45.51,5419.0
45.52,45.53,45.51,45.52,5001.0
45.535,45.54,45.51,45.51,8027.0
45.56,45.57,45.535,45.535,11667.0
45.555,45.56,45.55,45.55,7821.0
45.535,45.56,45.52,45.56,14612.0
45.52,45.535,45.52,45.535,9200.0
45.51,45.5299,45.51,45.52,10448.0
45.52,45.52,45.5,45.515,9062.0
45.54,45.54,45.52,45.52,12408.0
45.53,45.55,45.52,45.535,13536.0
45.53,45.55,45.52,45.52,16383.0
45.515,45.54,45.51,45.535,10103.0
45.525,45.53,45.51,45.51,9643.0
45.515,45.5254,45.51,45.5254,15468.0
45.495,45.52,45.49,45.515,14190.0
45.49,45.52,45.48,45.495,32563.0
45.485,45.5,45.48,45.48,8578.0
45.485,45.49,45.48,45.48,6700.0
45.495,45.5,45.48,45.49,18344.0
45.485,45.5,45.48,45.49,12676.0
45.43,45.49,45.43,45.49,24519.0
45.4,45.435,45.4,45.435,16360.0
45.38,45.415,45.38,45.4,22530.0
45.36,45.39,45.35,45.385,18607.0
45.39,45.4,45.32,45.35,43613.0
45.42,45.43,45.365,45.39,35347.0
45.41,45.45,45.41,45.42,19257.0
45.42,45.43,45.4,45.41,19669.0
45.395,45.45,45.39,45.415,29920.0
45.4,45.425,45.37,45.395,50366.0
45.33,45.41,45.33,45.4,35601.0
45.32,45.34,45.28,45.33,60009.0
45.3,45.34,45.27,45.33,39968.0
45.295,45.305,45.285,45.3,21110.0
45.29,45.3,45.28,45.295,21130.0
45.29,45.29,45.27,45.29,48643.0
45.254,45.3,45.25,45.29,53612.0
45.275,45.28,45.23,45.25,69314.0
45.27,45.28,45.25,45.28,57606.0
45.28,45.3,45.25,45.265,256204.0
Open,High,Low,Close,Volume
44.64,44.67,44.64,44.67,79635.0
44.74,44.75,44.53,44.65,58138.0
44.7,44.73,44.65,44.7101,23189.0
44.73,44.79,44.65,44.6986,29452.0
44.7,44.72,44.61,44.72,22488.0
44.44,44.7,44.41,44.7,79677.0
44.45,44.55,44.41,44.42,75979.0
44.67,44.7,44.4,44.455,38472.0
44.71,44.71,44.66,44.69,8830.0
44.645,44.77,44.63,44.7,66559.0
44.78,44.7814,44.645,44.65,39575.0
44.8,44.83,44.78,44.79,14776.0
44.8,44.85,44.8,44.81,27115.0
44.95,44.96,44.74,44.78,36760.0
