Open,High,Low,Close,Volume
34.9,34.9,34.9,34.9,17253.0
34.7,34.9,34.7,34.897,8909.0
34.79,34.86,34.74,34.75,3949.0
34.81,34.82,34.75,34.7501,3535.0
34.81,34.88,34.81,34.83,6436.0
34.78,34.83,34.76,34.82,7525.0
34.67,34.805,34.65,34.7681,19366.0
34.62,34.68,34.57,34.68,27302.0
34.65,34.66,34.56,34.65,4459.0
34.61,34.67,34.59,34.65,11856.0
34.565,34.67,34.56,34.62,12900.0
34.5,34.58,34.49,34.56,27539.0
34.543,34.543,34.47,34.52,7328.0
34.47,34.54,34.47,34.53,5987.0
34.43,34.47,34.42,34.4648,28097.0
34.35,34.439,34.34,34.439,4618.0
34.38,34.4,34.32,34.34,22329.0
34.42,34.42,34.365,34.38,5118.0
34.4,34.43,34.39,34.425,10194.0
34.39,34.49,34.39,34.41,16446.0
34.41,34.41,34.36,34.4,7474.0
34.39,34.49,34.34,34.41,50664.0
34.48,34.49,34.4,34.4,21067.0
34.54,34.56,34.48,34.48,9205.0
34.515,34.55,34.49,34.55,26626.0
34.54,34.57,34.5,34.51,5781.0
34.47,34.545,34.47,34.54,6186.0
34.47,34.56,34.46,34.46,15077.0
34.55,34.55,34.48,34.48,5392.0
34.59,34.6,34.55,34.56,7769.0
34.62,34.64,34.59,34.6,8258.0
34.51,34.62,34.51,34.62,29553.0
34.5,34.55,34.48,34.51,14727.0
34.529,34.55,34.5,34.51,6653.0
34.47,34.5,34.45,34.5,16940.0
34.44,34.47,34.43,34.47,7011.0
34.4,34.4386,34.39,34.4386,3335.0
34.36,34.38,34.33,34.38,11575.0
34.42,34.44,34.34,34.359,8433.0
34.46,34.47,34.41,34.42,7670.0
34.5,34.5,34.4491,34.47,5732.0
34.49,34.53,34.49,34.52,3255.0
34.38,34.48,34.38,34.48,16171.0
34.405,34.415,34.38,34.38,8548.0
34.45,34.5,34.4,34.4,13187.0
34.4499,34.47,34.43,34.45,13360.0
34.47,34.48,34.43,34.445,8728.0
34.43,34.49,34.41,34.47,14491.0
34.37,34.435,34.36,34.43,8787.0
34.41,34.42,34.37,34.37,7018.0
34.4,34.41,34.37,34.41,4599.0
34.37,34.39,34.35,34.38,13506.0
34.35,34.37,34.335,34.37,21632.0
