Open,High,Low,Close,Volume
34.24,34.24,34.24,34.24,300.0
34.43,34.44,34.22,34.31,204196.0
34.2675,34.49,34.2,34.45,71217.0
34.04,34.31,34.02,34.29,54933.0
33.92,34.06,33.87,34.06,34272.0
33.77,33.94,33.75,33.94,68632.0
33.695,33.85,33.695,33.77,48943.0
33.68,33.76,33.66,33.68,31149.0
33.64,33.74,33.597,33.66,53774.0
33.6,33.69,33.53,33.63,53586.0
33.66,33.67,33.52,33.595,19944.0
33.7,33.72,33.6,33.68,39512.0
33.645,33.7,33.62,33.7,22585.0
33.605,33.65,33.6,33.645,37747.0
33.675,33.68,33.589,33.6,30320.0
33.61,33.6793,33.59,33.67,24661.0
33.42,33.6,33.42,33.6,54675.0
33.46,33.49,33.4001,33.42,27112.0
33.37,33.48,33.37,33.46,41009.0
33.4,33.415,33.37,33.38,29897.0
33.39,33.41,33.35,33.39,30764.0
33.39,33.48,33.39,33.395,18521.0
33.3852,33.41,33.37,33.385,13398.0
33.415,33.49,33.38,33.38,24895.0
33.35,33.42,33.34,33.42,22254.0
33.29,33.34,33.27,33.34,105638.0
33.3,33.35,33.26,33.29,62546.0
33.2866,33.31,33.25,33.3,33947.0
33.28,33.32,33.28,33.285,38075.0
33.39,33.4,33.29,33.29,45247.0
33.41,33.41,33.34,33.39,24136.0
33.39,33.41,33.36,33.41,25664.0
33.44,33.45,33.3189,33.38,89011.0
33.475,33.5,33.43,33.44,45223.0
33.55,33.55,33.43,33.47,24829.0
33.38,33.56,33.38,33.55,150613.0
33.33,33.38,33.32,33.37,23301.0
33.345,33.36,33.316,33.32,25180.0
33.409,33.44,33.35,33.35,22331.0
33.42,33.43,33.3899,33.4,9671.0
33.33,33.42,33.3157,33.42,24320.0
33.34,33.37,33.31,33.33,25885.0
33.37,33.4,33.33,33.34,29361.0
33.41,33.44,33.36,33.36,36500.0
33.34,33.43,33.33,33.41,23564.0
33.4,33.42,33.35,33.35,18686.0
33.43,33.43,33.34,33.39,37133.0
33.4,33.48,33.4,33.43,45060.0
33.39,33.41,33.38,33.39,10904.0
33.3,33.38,33.28,33.38,25179.0
33.31,33.32,33.28,33.3,14910.0
33.35,33.36,33.31,33.31,16280.0
33.36,33.39,33.35,33.35,18451.0
33.286,33.37,33.28,33.36,17669.0
33.25,33.285,33.24,33.28,34232.0
33.28,33.29,33.24,33.245,23626.0
33.2145,33.275,33.2145,33.275,25554.0
33.24,33.26,33.18,33.21,22831.0
33.26,33.27,33.22,33.23,10795.0
33.25,33.26,33.2,33.25,110383.0
33.26,33.29,33.23,33.25,16287.0
33.25,33.27,33.21,33.25,28417.0
33.29,33.29,33.245,33.245,17451.0
33.31,33.335,33.28,33.3,23217.0
33.33,33.33,33.28,33.3,17975.0
33.29,33.335,33.29,33.33,19365.0
33.32,33.325,33.28,33.29,13167.0
33.27,33.34,33.27,33.31,17744.0
33.265,33.27,33.24,33.27,14017.0
33.28,33.29,33.25,33.27,11440.0
33.28,33.31,33.28,33.29,11171.0
33.3048,33.31,33.28,33.28,4150.0
33.32,33.34,33.305,33.305,19443.0
33.3355,33.35,33.325,33.325,10084.0
33.33,33.3599,33.33,33.335,13459.0
33.305,33.335,33.295,33.335,9013.0
33.34,33.35,33.28,33.3,18500.0
33.329,33.355,33.329,33.34,18603.0
33.3,33.325,33.28,33.325,19532.0
33.33,33.355,33.31,33.31,14134.0
33.26,33.33,33.25,33.33,22478.0
33.23,33.26,33.22,33.26,18802.0
33.27,33.27,33.22,33.22,14490.0
33.23,33.27,33.22,33.27,19935.0
33.24,33.25,33.23,33.23,10427.0
33.19,33.24,33.19,33.23,40678.0
33.2,33.2,33.16,33.185,24125.0
33.22,33.25,33.205,33.205,13552.0
33.2,33.215,33.2,33.215,3138.0
33.2,33.22,33.2,33.205,6792.0
33.2,33.2457,33.2,33.2,10650.0
33.185,33.215,33.18,33.2,22037.0
33.179,33.19,33.175,33.18,6660.0
33.16,33.18,33.155,33.17,12226.0
33.17,33.18,33.13,33.17,31238.0
33.17,33.19,33.16,33.17,22850.0
33.15,33.17,33.15,33.17,12953.0
33.1525,33.18,33.1485,33.155,17248.0
33.145,33.165,33.14,33.16,13021.0
33.175,33.185,33.14,33.15,11318.0
33.18,33.186,33.17,33.175,5005.0
33.21,33.22,33.18,33.18,15397.0
33.16,33.215,33.16,33.21,6089.0
33.17,33.17,33.14,33.16,12000.0
33.23,33.24,33.1592,33.1592,18768.0
33.22,33.245,33.21,33.245,7067.0
33.315,33.315,33.225,33.225,16468.0
33.32,33.3389,33.314,33.314,12854.0
33.35,33.36,33.31,33.31,13489.0
33.335,33.365,33.32,33.35,14647.0
33.345,33.345,33.31,33.32,12700.0
33.27,33.355,33.26,33.35,30623.0
33.24,33.28,33.24,33.26,91478.0
33.23,33.245,33.22,33.24,7505.0
33.23,33.2354,33.21,33.23,9025.0
33.23,33.26,33.23,33.23,23142.0
33.17,33.23,33.17,33.23,39588.0
33.15,33.19,33.15,33.17,14505.0
33.18,33.18,33.15,33.155,12140.0
33.18,33.195,33.17,33.18,6665.0
33.105,33.16,33.1,33.16,24353.0
33.12,33.15,33.1,33.11,13140.0
33.105,33.135,33.1,33.13,5030.0
33.085,33.105,33.06,33.1,16883.0
33.06,33.085,33.04,33.08,12701.0
33.04,33.0652,33.03,33.06,7892.0
33.035,33.04,33.01,33.04,9353.0
33.055,33.06,33.03,33.04,5501.0
33.05,33.0899,33.05,33.06,14851.0
33.03,33.07,33.01,33.055,15764.0
33.04,33.04,33.01,33.03,5564.0
33.07,33.075,33.03,33.04,9261.0
33.045,33.08,33.04,33.07,10309.0
33.04,33.06,33.04,33.05,4500.0
33.025,33.045,33.02,33.045,8345.0
33.02,33.03,33.01,33.025,13786.0
33.06,33.07,33.01,33.03,15365.0
33.04,33.07,33.04,33.06,9395.0
33.04,33.06,33.03,33.035,4200.0
33.025,33.035,33.02,33.035,8594.0
32.975,33.02,32.97,33.02,45114.0
33.02,33.02,32.96,32.97,17507.0
33.015,33.0157,32.9987,33.01,8483.0
33.04,33.04,33.01,33.02,14762.0
33.05,33.06,33.035,33.04,12561.0
33.04,33.08,33.04,33.055,15557.0
33.07,33.07,33.04,33.05,6226.0
33.055,33.06,33.05,33.06,6568.0
33.085,33.09,33.035,33.05,15227.0
33.084,33.13,33.08,33.09,33000.0
33.09,33.1,33.06,33.089,60917.0
33.055,33.09,33.05,33.08,8451.0
33.055,33.06,33.04,33.05,9785.0
33.05,33.09,33.05,33.06,10024.0
33.06,33.07,33.05,33.05,12963.0
33.015,33.06,33.015,33.06,3200.0
32.9965,33.01,32.97,33.01,24936.0
33.0,33.02,32.99,32.99,11012.0
32.98,33.005,32.98,33.0,7313.0
32.98,33.0,32.98,32.98,5660.0
32.965,32.98,32.965,32.98,4431.0
32.95,32.96,32.94,32.96,7397.0
32.945,32.95,32.94,32.95,3100.0
32.92,32.95,32.92,32.94,5305.0
32.95,32.97,32.925,32.925,12493.0
32.93,32.95,32.93,32.9447,5961.0
32.94,32.95,32.92,32.93,11799.0
32.985,32.99,32.94,32.95,6960.0
33.01,33.02,32.96,32.98,20293.0
32.97,33.02,32.97,33.02,7838.0
33.02,33.025,32.975,32.98,6694.0
32.99,33.02,32.99,33.02,3118.0
32.99,33.0,32.97,32.99,6419.0
33.01,33.01,32.99,32.99,8740.0
33.08,33.08,33.02,33.02,28288.0
33.045,33.08,33.04,33.08,26085.0
33.015,33.06,33.01,33.0444,12266.0
33.015,33.03,33.01,33.03,6200.0
33.04,33.05,33.02,33.02,8800.0
33.04,33.05,33.02,33.0499,5582.0
33.08,33.09,33.04,33.045,22136.0
33.08,33.09,33.06,33.07,6588.0
33.04,33.075,33.04,33.075,12177.0
33.04,33.04,33.025,33.04,9607.0
33.025,33.03,33.02,33.03,3624.0
33.03,33.045,33.02,33.025,8346.0
33.07,33.07,33.035,33.035,7900.0
33.07,33.08,33.06,33.075,17351.0
33.03,33.07,33.03,33.07,6362.0
33.01,33.05,33.01,33.035,6531.0
33.0,33.01,32.995,33.01,14161.0
33.005,33.01,33.0,33.0,1000.0
32.99,33.0075,32.99,33.0,4999.0
32.98,33.0,32.98,33.0,3542.0
32.95,32.98,32.95,32.98,37812.0
32.95,32.96,32.95,32.955,5322.0
32.95,32.99,32.95,32.95,41586.0
32.94,32.96,32.94,32.95,20646.0
32.95,32.955,32.93,32.94,17669.0
32.97,32.975,32.95,32.95,14511.0
32.99,32.99,32.96,32.97,21828.0
32.98,32.98,32.97,32.98,6762.0
32.985,32.99,32.97,32.975,5874.0
32.97,32.99,32.97,32.98,5307.0
32.9774,32.98,32.975,32.98,11679.0
32.97,32.985,32.97,32.979,5900.0
32.98,33.0,32.975,32.98,16620.0
32.99,32.99,32.975,32.98,12729.0
32.99,32.99,32.95,32.99,31679.0
33.01,33.03,32.99,32.99,39692.0
33.025,33.03,33.02,33.02,10000.0
33.005,33.0292,33.0,33.0292,6975.0
33.01,33.02,33.0,33.0031,5592.0
32.98,33.006,32.95,33.0054,13904.0
32.97,32.99,32.97,32.99,6200.0
32.96,32.98,32.96,32.975,4490.0
32.94,32.965,32.94,32.96,14286.0
32.94,32.95,32.93,32.94,13517.0
32.94,32.95,32.93,32.94,6939.0
32.94,32.95,32.93,32.94,10488.0
32.89,32.94,32.89,32.94,18455.0
32.9157,32.92,32.89,32.895,5425.0
32.92,32.93,32.9,32.91,10771.0
32.94,32.95,32.91,32.91,8850.0
32.95,32.96,32.94,32.95,11713.0
32.965,32.97,32.95,32.95,2893.0
32.975,32.98,32.965,32.97,3673.0
32.95,32.98,32.94,32.9799,8767.0
32.97,32.985,32.94,32.945,14627.0
32.945,32.975,32.94,32.97,7725.0
32.94,32.95,32.94,32.94,3150.0
32.89,32.945,32.88,32.94,16260.0
32.9,32.9099,32.89,32.89,5516.0
32.9,32.91,32.89,32.895,5165.0
32.85,32.905,32.85,32.9,9209.0
32.86,32.86,32.85,32.8553,8438.0
32.83,32.8553,32.82,32.85,15516.0
32.81,32.84,32.8,32.84,9374.0
32.81,32.84,32.8,32.81,25468.0
32.81,32.83,32.77,32.81,57894.0
32.865,32.8699,32.81,32.81,13794.0
32.85,32.87,32.84,32.86,29555.0
32.81,32.85,32.8,32.85,9673.0
32.82,32.84,32.805,32.81,19455.0
32.79,32.825,32.785,32.82,17739.0
32.83,32.84,32.8,32.8,15800.0
32.835,32.84,32.82,32.84,6850.0
32.85,32.86,32.835,32.835,7960.0
32.81,32.855,32.795,32.855,20098.0
32.8,32.81,32.79,32.8,8565.0
32.775,32.81,32.775,32.8,10634.0
32.79,32.79,32.77,32.775,5812.0
32.78,32.79,32.77,32.79,8269.0
32.8,32.805,32.78,32.7826,21055.0
32.79,32.81,32.785,32.8,16834.0
32.795,32.8,32.79,32.79,2425.0
32.79,32.81,32.79,32.8,12368.0
32.78,32.79,32.78,32.79,2450.0
32.785,32.795,32.78,32.785,12797.0
32.785,32.79,32.775,32.785,15606.0
32.81,32.82,32.79,32.79,8719.0
32.84,32.86,32.79,32.805,37148.0
32.84,32.855,32.835,32.84,11449.0
32.84,32.85,32.83,32.85,13938.0
32.82,32.84,32.82,32.835,5669.0
32.835,32.84,32.815,32.815,6601.0
32.84,32.84,32.83,32.835,6100.0
32.83,32.84,32.83,32.835,2100.0
32.89,32.89,32.825,32.8321,62611.0
32.91,32.91,32.8774,32.89,46650.0
32.91,32.92,32.9,32.91,35937.0
32.92,32.92,32.905,32.91,51389.0
32.95,32.96,32.91,32.92,60475.0
32.95,32.955,32.925,32.95,49485.0
32.93,32.95,32.93,32.95,34863.0
32.91,32.92,32.905,32.92,19642.0
32.91,32.92,32.9,32.91,10191.0
32.9,32.91,32.89,32.9,7874.0
32.87,32.9,32.87,32.9,11748.0
32.88,32.88,32.86,32.87,4400.0
32.91,32.91,32.87,32.875,11535.0
32.905,32.92,32.9,32.92,9081.0
32.905,32.92,32.9,32.9,8452.0
32.88,32.91,32.88,32.91,14566.0
32.88,32.88,32.86,32.88,13107.0
