Open,High,Low,Close,Volume
54.5,54.97,54.5,54.76,1000644.0
54.5372,54.55,54.27,54.5,448968.0
54.56,54.63,54.35,54.5314,488118.0
54.4,54.72,54.4,54.5557,397940.0
54.35,54.52,54.23,54.41,335674.0
54.52,54.54,54.355,54.355,236950.0
54.5001,54.57,54.45,54.52,398311.0
54.495,54.55,54.47,54.505,335295.0
54.66,54.71,54.4708,54.5,225798.0
54.775,54.89,54.65,54.65,243448.0
54.75,54.79,54.66,54.775,257742.0
54.64,54.8,54.6,54.75,183509.0
54.73,54.77,54.605,54.64,185333.0
55.0,55.0,54.71,54.73,311526.0
54.82,55.0,54.79,54.995,177955.0
54.805,54.8899,54.79,54.83,136731.0
54.9001,54.93,54.78,54.81,360608.0
54.795,54.915,54.78,54.91,164590.0
54.9,54.91,54.78,54.7913,195384.0
54.905,54.98,54.875,54.895,220434.0
54.94,54.97,54.89,54.905,336497.0
54.995,55.0,54.92,54.94,185345.0
54.83,55.0,54.82,54.995,267978.0
54.835,54.87,54.82,54.83,192534.0
54.92,54.96,54.83,54.835,225242.0
54.895,54.95,54.8675,54.92,158382.0
54.86,55.0,54.84,54.9,316678.0
54.615,54.88,54.605,54.88,535699.0
54.66,54.67,54.6,54.61,227186.0
54.58,54.73,54.54,54.6637,169238.0
54.5,54.62,54.47,54.58,296168.0
54.4699,54.54,54.43,54.5,220265.0
54.47,54.49,54.42,54.46,120956.0
54.535,54.57,54.455,54.4699,160447.0
54.5253,54.59,54.51,54.53,114627.0
54.51,54.55,54.5,54.52,127054.0
54.6,54.66,54.518,54.518,157931.0
54.51,54.6,54.51,54.6,75162.0
54.53,54.58,54.5,54.5153,139126.0
54.49,54.53,54.47,54.52,250475.0
54.48,54.53,54.4675,54.49,209301.0
54.4851,54.51,54.46,54.49,142734.0
54.48,54.57,54.47,54.49,142505.0
54.42,54.5,54.42,54.485,100181.0
54.29,54.42,54.28,54.4107,240663.0
54.29,54.35,54.26,54.291,179404.0
54.39,54.39,54.25,54.29,143152.0
54.48,54.49,54.37,54.39,118316.0
54.43,54.475,54.4,54.475,93297.0
54.37,54.4747,54.33,54.422,90808.0
54.38,54.43,54.34,54.38,87255.0
54.44,54.45,54.34,54.37,66188.0
54.45,54.48,54.38,54.44,84753.0
54.51,54.54,54.45,54.4508,121060.0
54.5,54.5721,54.48,54.5099,106571.0
54.665,54.67,54.5,54.502,92642.0
54.69,54.71,54.59,54.6637,109992.0
54.6585,54.7199,54.58,54.71,95773.0
54.615,54.665,54.58,54.66,72081.0
54.6392,54.68,54.6,54.61,77372.0
54.65,54.67,54.6,54.63,64900.0
54.59,54.67,54.55,54.655,81228.0
54.58,54.62,54.55,54.59,74164.0
54.609,54.609,54.5669,54.57,37330.0
54.58,54.63,54.55,54.625,64175.0
54.6,54.65,54.58,54.59,64304.0
54.668,54.7,54.59,54.595,72241.0
54.796,54.82,54.665,54.665,136914.0
54.81,54.85,54.78,54.81,85943.0
54.7929,54.84,54.78,54.8127,77515.0
54.84,54.85,54.78,54.795,142632.0
54.845,54.9,54.84,54.842,106655.0
54.835,54.91,54.83,54.845,121302.0
54.78,54.84,54.77,54.84,156232.0
54.815,54.83,54.78,54.78,99621.0
54.82,54.84,54.8,54.815,114249.0
54.83,54.83,54.78,54.825,175881.0
54.8,54.88,54.78,54.83,106650.0
54.7951,54.82,54.78,54.8,82503.0
54.68,54.8,54.67,54.79,117193.0
54.6,54.681,54.6,54.681,117897.0
54.6,54.61,54.56,54.6,102922.0
54.6465,54.65,54.5901,54.595,111804.0
54.6484,54.76,54.64,54.65,112641.0
54.56,54.665,54.53,54.64,66144.0
54.57,54.5851,54.56,54.56,55908.0
54.61,54.62,54.55,54.5799,86091.0
54.58,54.61,54.57,54.6099,25913.0
54.62,54.6401,54.57,54.58,58100.0
54.6595,54.7,54.6,54.625,71129.0
54.605,54.7,54.595,54.66,61109.0
54.6039,54.62,54.57,54.6,85065.0
54.62,54.64,54.57,54.605,91413.0
54.585,54.64,54.57,54.6199,68535.0
54.59,54.65,54.5675,54.58,92233.0
54.61,54.64,54.57,54.59,89243.0
54.62,54.6232,54.57,54.6,60750.0
54.57,54.62,54.56,54.62,92327.0
54.505,54.6,54.5,54.57,76838.0
54.465,54.51,54.46,54.51,134000.0
54.4299,54.48,54.4,54.47,66793.0
54.41,54.44,54.394,54.42,67283.0
54.42,54.44,54.38,54.405,67489.0
54.34,54.4148,54.34,54.4148,49386.0
54.375,54.39,54.33,54.34,25882.0
54.44,54.46,54.37,54.38,88937.0
54.5401,54.55,54.43,54.44,65532.0
54.52,54.57,54.5101,54.53,78134.0
54.48,54.515,54.46,54.51,51762.0
54.4585,54.49,54.44,54.46,33698.0
54.47,54.48,54.45,54.45,21092.0
54.455,54.48,54.45,54.46,30303.0
54.4767,54.5,54.45,54.455,76002.0
54.49,54.5,54.465,54.48,35421.0
54.505,54.53,54.47,54.49,69621.0
54.495,54.54,54.485,54.51,45296.0
54.4,54.51,54.4,54.4901,59767.0
54.42,54.43,54.37,54.4,54729.0
54.4025,54.42,54.4,54.41,33373.0
54.419,54.42,54.4,54.4025,31662.0
54.4061,54.42,54.4,54.41,36742.0
54.37,54.41,54.36,54.41,80038.0
54.33,54.38,54.33,54.379,54836.0
54.34,54.36,54.3,54.33,85179.0
54.33,54.35,54.3,54.33,53834.0
54.379,54.4,54.329,54.3376,46234.0
54.3599,54.38,54.35,54.379,24433.0
54.3234,54.35,54.31,54.35,38874.0
54.3676,54.37,54.32,54.32,26978.0
54.35,54.37,54.3334,54.36,30740.0
54.35,54.37,54.33,54.35,32386.0
54.339,54.345,54.33,54.34,16984.0
54.325,54.37,54.32,54.335,48102.0
54.32,54.33,54.31,54.32,27034.0
54.3457,54.4,54.32,54.3299,35469.0
54.34,54.36,54.33,54.3442,26129.0
54.4,54.42,54.3301,54.3301,80386.0
54.44,54.47,54.3925,54.4,91114.0
54.46,54.476,54.4238,54.4416,41753.0
54.5,54.54,54.46,54.46,74718.0
54.54,54.595,54.5,54.5,46267.0
54.5,54.58,54.5,54.54,57603.0
54.51,54.53,54.48,54.505,53655.0
54.534,54.56,54.51,54.519,43760.0
54.5122,54.57,54.5101,54.54,33082.0
54.4799,54.53,54.46,54.515,50018.0
54.46,54.48,54.46,54.47,32120.0
54.43,54.485,54.43,54.4699,30914.0
54.42,54.44,54.4,54.435,21906.0
54.49,54.51,54.415,54.42,33470.0
54.44,54.484,54.42,54.48,33463.0
54.4099,54.44,54.394,54.44,24141.0
54.4034,54.43,54.4,54.405,23455.0
54.47,54.48,54.405,54.4099,30774.0
54.4389,54.5,54.4,54.47,106701.0
54.455,54.46,54.44,54.44,15498.0
54.5,54.51,54.45,54.46,58125.0
54.46,54.5,54.45,54.5,18871.0
54.4759,54.5,54.4622,54.4622,21585.0
54.477,54.5,54.47,54.475,25016.0
54.4442,54.48,54.43,54.48,22219.0
54.44,54.45,54.425,54.449,18027.0
54.46,54.47,54.43,54.44,16197.0
54.4,54.47,54.4,54.47,32142.0
54.37,54.43,54.37,54.409,40127.0
54.37,54.4,54.36,54.37,22127.0
54.39,54.39,54.35,54.37,16996.0
54.39,54.4,54.37,54.385,22560.0
54.4,54.4,54.37,54.395,29933.0
54.3901,54.405,54.38,54.3985,23261.0
54.34,54.3999,54.31,54.39,31348.0
54.3182,54.34,54.31,54.34,29010.0
54.32,54.3399,54.31,54.31,29507.0
54.32,54.33,54.31,54.32,14372.0
54.3899,54.39,54.31,54.32,29885.0
54.37,54.4,54.36,54.39,31773.0
54.345,54.365,54.34,54.36,13568.0
54.3866,54.4,54.34,54.345,42146.0
54.35,54.39,54.35,54.3854,26480.0
54.325,54.36,54.31,54.35,23512.0
54.34,54.34,54.32,54.33,21846.0
54.34,54.37,54.325,54.34,22339.0
54.3486,54.36,54.32,54.3366,25127.0
54.36,54.39,54.325,54.335,25013.0
54.39,54.39,54.36,54.3688,12231.0
54.435,54.44,54.385,54.39,67362.0
54.43,54.44,54.425,54.4397,27379.0
54.455,54.46,54.43,54.4342,19414.0
54.44,54.47,54.42,54.455,53145.0
54.4154,54.45,54.4,54.44,43189.0
54.4,54.42,54.4,54.4199,15329.0
54.4,54.42,54.37,54.4001,41374.0
54.41,54.42,54.39,54.4,36858.0
54.33,54.416,54.31,54.405,41061.0
54.32,54.35,54.3,54.33,63722.0
54.31,54.33,54.3,54.32,32233.0
54.3216,54.33,54.3,54.31,17480.0
54.3158,54.33,54.3,54.32,30449.0
54.305,54.32,54.3,54.31,12385.0
54.3101,54.33,54.3,54.3001,26089.0
54.3565,54.36,54.31,54.31,23341.0
54.3601,54.37,54.33,54.35,38817.0
54.3747,54.38,54.36,54.3652,10721.0
54.3201,54.375,54.32,54.37,35404.0
54.34,54.34,54.32,54.33,17124.0
54.3344,54.34,54.33,54.34,6910.0
54.36,54.405,54.33,54.34,55532.0
54.37,54.37,54.3448,54.3599,12250.0
54.36,54.39,54.35,54.3601,24606.0
54.359,54.36,54.35,54.3543,15422.0
54.3799,54.38,54.35,54.355,10537.0
54.365,54.38,54.35,54.38,34269.0
54.34,54.36,54.34,54.36,14281.0
54.25,54.34,54.13,54.34,297700.0
54.21,54.3,54.21,54.25,59358.0
54.15,54.25,54.14,54.21,58046.0
54.1837,54.2162,54.15,54.1557,41435.0
54.2269,54.23,54.1899,54.1899,24092.0
54.22,54.25,54.2175,54.22,46102.0
54.28,54.3,54.23,54.23,85631.0
54.2978,54.32,54.25,54.28,57571.0
54.35,54.35,54.28,54.3,33963.0
54.31,54.345,54.27,54.345,31418.0
54.29,54.31,54.28,54.31,25922.0
54.3053,54.32,54.28,54.3,22908.0
54.29,54.33,54.2753,54.3,26910.0
54.29,54.3,54.25,54.2865,48488.0
54.3,54.3,54.257,54.29,12992.0
54.35,54.38,54.26,54.3,87129.0
54.37,54.39,54.344,54.345,45459.0
54.39,54.4,54.3667,54.38,30271.0
54.4,54.4,54.371,54.39,17295.0
54.36,54.405,54.36,54.4,23322.0
54.355,54.37,54.321,54.36,28410.0
54.295,54.3599,54.2932,54.35,27109.0
54.275,54.32,54.27,54.3,17627.0
54.3399,54.36,54.275,54.275,45965.0
54.31,54.35,54.29,54.335,24960.0
54.2766,54.31,54.27,54.3,13822.0
54.275,54.28,54.27,54.28,6284.0
54.3,54.31,54.27,54.275,24594.0
54.33,54.33,54.2929,54.3,19269.0
