Open,High,Low,Close,Volume
122.0,122.0,122.0,122.0,11722.0
121.985,122.14,121.62,122.0,3733.0
121.965,121.965,121.965,121.965,200.0
121.78,122.09,121.78,121.83,3300.0
121.92,122.0,121.92,122.0,200.0
121.44,121.8,121.43,121.8,1601.0
121.62,121.62,121.28,121.28,800.0
121.72,121.72,121.72,121.72,100.0
121.75,121.8,121.72,121.78,1400.0
121.57,121.84,121.57,121.84,2763.0
121.61,121.69,121.6,121.67,800.0
121.68,121.68,121.67,121.67,200.0
121.82,121.83,121.73,121.745,1905.0
121.63,121.93,121.615,121.93,3434.0
121.824,121.96,121.74,121.75,2963.0
121.99,122.07,121.9,121.9,1360.0
121.91,122.05,121.91,122.0,2501.0
121.843,121.87,121.75,121.87,359.0
121.6,121.84,121.6,121.84,9900.0
121.75,121.78,121.66,121.67,5743.0
121.68,121.7452,121.68,121.681,634.0
121.79,121.79,121.79,121.79,500.0
121.78,121.82,121.73,121.79,2800.0
121.75,121.77,121.7,121.77,3200.0
121.715,121.72,121.66,121.71,900.0
121.71,121.715,121.57,121.715,3682.0
121.77,121.86,121.72,121.73,5300.0
121.83,121.89,121.83,121.83,1100.0
121.94,121.94,121.8,121.8,4109.0
121.725,122.02,121.72,121.99,4890.0
121.735,121.735,121.63,121.6693,8600.0
121.785,121.785,121.73,121.73,1200.0
121.87,121.87,121.7695,121.78,2210.0
122.0,122.0,121.74,121.84,4720.0
122.06,122.06,122.03,122.03,1282.0
121.99,122.06,121.99,122.06,1300.0
121.93,122.12,121.93,122.05,5720.0
121.85,121.93,121.85,121.92,1300.0
121.8,121.87,121.74,121.77,26058.0
121.73,121.86,121.72,121.83,7669.0
121.55,121.63,121.505,121.62,4145.0
121.58,121.61,121.48,121.48,1501.0
121.57,121.63,121.53,121.54,1800.0
121.61,121.61,121.51,121.54,2000.0
121.69,121.69,121.56,121.56,1100.0
121.72,121.74,121.59,121.7,1410.0
121.62,121.73,121.58,121.72,4200.0
121.54,121.615,121.38,121.5801,10803.0
121.47,121.54,121.41,121.54,4196.0
121.44,121.44,121.44,121.44,200.0
121.445,121.47,121.4,121.468,1097.0
121.51,121.51,121.3901,121.3901,2718.0
121.46,121.505,121.45,121.505,1005.0
121.54,121.58,121.48,121.54,1400.0
121.63,121.6599,121.56,121.58,1508.0
121.81,121.81,121.65,121.65,2766.0
121.935,121.99,121.79,121.79,1200.0
121.97,122.0,121.89,121.99,1900.0
121.91,121.99,121.86,121.99,1580.0
121.96,121.96,121.85,121.85,1100.0
121.98,121.99,121.89,121.98,800.0
121.83,121.98,121.83,121.9,3353.0
121.69,121.77,121.69,121.74,860.0
121.65,121.72,121.65,121.72,400.0
121.702,121.73,121.69,121.72,1942.0
121.62,121.69,121.62,121.69,1747.0
121.68,121.7,121.665,121.665,900.0
121.42,121.65,121.42,121.65,2410.0
121.47,121.5971,121.42,121.44,4231.0
121.454,121.485,121.45,121.47,800.0
121.54,121.56,121.48,121.48,2601.0
121.48,121.585,121.48,121.53,1715.0
121.53,121.55,121.49,121.49,2240.0
121.6,121.67,121.53,121.54,7593.0
121.72,121.72,121.6,121.6,5508.0
121.42,121.69,121.38,121.69,5400.0
121.43,121.5198,121.43,121.44,1695.0
121.29,121.43,121.29,121.43,2000.0
121.2401,121.3281,121.24,121.27,2786.0
121.29,121.4,121.24,121.24,6493.0
121.255,121.33,121.22,121.27,21039.0
121.18,121.35,121.16,121.255,11589.0
121.205,121.23,121.14,121.16,2900.0
121.31,121.31,121.23,121.23,400.0
121.425,121.43,121.2601,121.285,2797.0
121.44,121.45,121.4,121.45,1916.0
121.48,121.5,121.42,121.46,3043.0
121.5,121.53,121.42,121.455,11900.0
121.58,121.58,121.45,121.49,4414.0
121.515,121.57,121.5,121.5404,2300.0
121.53,121.58,121.5,121.5,5111.0
121.49,121.535,121.49,121.51,3300.0
121.49,121.525,121.49,121.51,2664.0
121.595,121.62,121.51,121.53,4808.0
121.495,121.585,121.47,121.56,7635.0
121.47,121.52,121.43,121.48,3608.0
121.21,121.45,121.21,121.45,5073.0
121.25,121.27,121.21,121.21,1400.0
121.3843,121.43,121.28,121.28,3718.0
121.46,121.48,121.41,121.44,4436.0
121.565,121.565,121.45,121.46,2000.0
121.4701,121.58,121.4701,121.55,4313.0
121.51,121.51,121.4,121.47,2054.0
121.465,121.465,121.4301,121.46,1000.0
121.52,121.52,121.5,121.5,1000.0
121.6,121.69,121.49,121.49,2552.0
121.75,121.77,121.62,121.66,2800.0
121.84,121.87,121.745,121.76,4500.0
121.65,121.83,121.64,121.83,4256.0
121.58,121.63,121.58,121.625,5890.0
121.49,121.57,121.49,121.54,5798.0
121.41,121.5,121.41,121.45,3281.0
121.46,121.5,121.41,121.44,1700.0
121.48,121.5399,121.47,121.495,2950.0
121.44,121.56,121.44,121.48,10017.0
121.46,121.5,121.42,121.48,8216.0
121.58,121.58,121.43,121.4401,5409.0
121.5901,121.64,121.55,121.61,5200.0
121.47,121.615,121.45,121.59,4100.0
121.39,121.51,121.39,121.51,2450.0
121.37,121.43,121.37,121.39,4806.0
121.3,121.41,121.3,121.41,5005.0
121.21,121.3,121.21,121.3,1200.0
121.19,121.32,121.19,121.3,5358.0
121.26,121.26,121.2115,121.2115,216.0
121.21,121.27,121.21,121.25,3362.0
121.265,121.33,121.22,121.235,6682.0
121.2352,121.27,121.22,121.22,1050.0
121.24,121.24,121.24,121.24,100.0
121.19,121.235,121.19,121.235,1200.0
121.19,121.26,121.18,121.18,5498.0
121.16,121.185,121.16,121.185,300.0
121.175,121.18,121.12,121.12,1706.0
121.181,121.181,121.15,121.18,3709.0
121.07,121.17,121.07,121.16,2600.0
121.015,121.12,120.98,121.11,1680.0
121.0,121.02,121.0,121.015,300.0
121.055,121.08,121.03,121.03,3070.0
121.235,121.235,121.07,121.07,1898.0
121.205,121.2426,121.17,121.2426,1105.0
121.18,121.26,121.18,121.22,2591.0
121.22,121.24,121.16,121.16,1900.0
121.18,121.22,121.17,121.18,5560.0
121.14,121.205,121.14,121.2,4300.0
121.23,121.23,121.1,121.13,2668.0
121.19,121.23,121.16,121.18,4360.0
121.16,121.21,121.14,121.188,2500.0
121.16,121.16,121.09,121.13,3974.0
121.205,121.22,121.155,121.155,1859.0
121.1,121.17,121.1,121.17,1100.0
121.05,121.1175,121.05,121.08,3315.0
121.05,121.05,121.05,121.05,700.0
121.11,121.25,121.07,121.07,7762.0
121.11,121.11,121.07,121.09,2200.0
121.13,121.13,121.05,121.09,3081.0
121.13,121.14,121.13,121.14,703.0
121.19,121.19,121.12,121.16,2032.0
121.25,121.25,121.2,121.2,4163.0
121.19,121.26,121.13,121.26,4897.0
121.22,121.22,121.17,121.195,2154.0
121.22,121.22,121.22,121.22,100.0
121.18,121.28,121.18,121.23,3184.0
121.09,121.18,121.09,121.18,940.0
121.09,121.1153,121.09,121.1153,1700.0
121.18,121.18,121.0998,121.0998,2269.0
121.21,121.21,121.1775,121.1775,684.0
121.29,121.29,121.1601,121.21,1225.0
121.33,121.33,121.277,121.29,800.0
121.37,121.37,121.3,121.3399,1373.0
121.47,121.47,121.41,121.41,2312.0
121.395,121.47,121.36,121.47,2585.0
121.41,121.41,121.37,121.41,1400.0
121.46,121.46,121.45,121.45,800.0
121.54,121.54,121.43,121.43,1100.0
121.49,121.57,121.49,121.55,3300.0
121.46,121.53,121.46,121.51,1367.0
121.53,121.53,121.45,121.49,486.0
121.46,121.56,121.46,121.56,1000.0
121.53,121.53,121.53,121.53,100.0
121.48,121.4823,121.48,121.48,820.0
121.58,121.58,121.52,121.53,1900.0
121.64,121.64,121.58,121.58,900.0
121.59,121.64,121.57,121.64,2632.0
121.6,121.6,121.57,121.57,1658.0
121.57,121.58,121.57,121.57,500.0
121.51,121.56,121.49,121.56,1707.0
121.48,121.49,121.48,121.49,1622.0
121.5136,121.5136,121.5,121.5,306.0
121.55,121.55,121.47,121.49,1293.0
121.56,121.56,121.56,121.56,500.0
121.49,121.53,121.46,121.53,1429.0
121.52,121.52,121.48,121.48,900.0
121.56,121.56,121.5199,121.5199,625.0
121.58,121.58,121.55,121.55,1193.0
121.42,121.56,121.42,121.56,2720.0
121.47,121.47,121.47,121.47,500.0
121.59,121.61,121.54,121.54,1300.0
121.46,121.55,121.46,121.55,1512.0
121.46,121.46,121.43,121.46,700.0
121.47,121.47,121.47,121.47,400.0
121.44,121.46,121.44,121.46,600.0
121.56,121.56,121.42,121.42,8854.0
121.59,121.65,121.56,121.56,7121.0
121.49,121.56,121.48,121.56,1100.0
121.45,121.48,121.45,121.48,300.0
121.46,121.49,121.45,121.49,700.0
121.46,121.46,121.46,121.46,200.0
121.45,121.5,121.45,121.49,11300.0
121.43,121.43,121.43,121.43,100.0
121.45,121.5,121.4401,121.4401,3389.0
121.46,121.46,121.4301,121.4301,800.0
121.44,121.47,121.44,121.45,1872.0
121.33,121.43,121.33,121.43,2900.0
121.31,121.33,121.31,121.33,500.0
121.32,121.36,121.31,121.33,2800.0
121.31,121.39,121.31,121.36,2100.0
121.31,121.31,121.28,121.28,200.0
121.3001,121.3001,121.3001,121.3001,180.0
121.3,121.35,121.3,121.31,2100.0
121.28,121.32,121.26,121.3,1400.0
121.26,121.31,121.26,121.29,2800.0
121.24,121.27,121.24,121.26,660.0
121.36,121.4,121.25,121.3,5812.0
121.38,121.43,121.31,121.34,3400.0
121.41,121.44,121.41,121.44,1300.0
121.4244,121.44,121.4244,121.44,343.0
121.36,121.45,121.36,121.45,3300.0
121.27,121.35,121.27,121.35,300.0
121.37,121.38,121.3101,121.3101,3357.0
121.25,121.37,121.25,121.37,900.0
121.34,121.34,121.27,121.3,2160.0
121.295,121.35,121.29,121.34,4660.0
121.3,121.35,121.3,121.3299,3005.0
121.3,121.33,121.3,121.33,1819.0
121.34,121.34,121.325,121.33,1450.0
121.32,121.34,121.32,121.34,1400.0
121.27,121.36,121.24,121.32,4516.0
121.29,121.29,121.24,121.24,2795.0
121.32,121.33,121.29,121.29,2305.0
121.26,121.31,121.26,121.28,400.0
121.3,121.3,121.26,121.26,1100.0
121.33,121.34,121.3,121.31,1453.0
121.27,121.3,121.26,121.29,1758.0
121.26,121.35,121.26,121.3,4179.0
121.32,121.34,121.25,121.26,3737.0
121.31,121.33,121.28,121.29,1300.0
121.38,121.38,121.31,121.342,1524.0
121.43,121.43,121.39,121.39,300.0
121.37,121.405,121.34,121.405,5164.0
121.4,121.4,121.4,121.4,200.0
121.39,121.43,121.39,121.43,1400.0
121.48,121.48,121.3801,121.3801,1515.0
121.51,121.51,121.45,121.45,800.0
121.42,121.5,121.42,121.5,5003.0
121.36,121.43,121.36,121.43,1018.0
121.45,121.45,121.34,121.34,2138.0
121.41,121.435,121.41,121.42,1400.0
121.36,121.41,121.36,121.41,3676.0
121.4725,121.49,121.36,121.36,1690.0
121.43,121.46,121.43,121.46,300.0
121.44,121.4418,121.42,121.43,1500.0
121.43,121.43,121.4,121.41,1200.0
121.44,121.44,121.44,121.44,300.0
121.4,121.5,121.4,121.421,5250.0
121.45,121.45,121.39,121.39,800.0
121.47,121.47,121.42,121.46,2800.0
121.48,121.48,121.45,121.47,820.0
121.4,121.47,121.4,121.45,1856.0
121.44,121.44,121.32,121.39,1500.0
121.45,121.45,121.39,121.39,1600.0
121.49,121.49,121.46,121.46,600.0
121.41,121.4786,121.41,121.4786,2782.0
121.45,121.45,121.43,121.43,867.0
121.45,121.45,121.43,121.45,2452.0
121.41,121.42,121.41,121.42,900.0
121.27,121.37,121.27,121.36,3724.0
121.16,121.26,121.16,121.26,2100.0
121.11,121.16,121.11,121.16,700.0
121.13,121.19,121.11,121.11,3400.0
121.18,121.18,121.15,121.15,1900.0
121.23,121.25,121.1686,121.175,3200.0
121.14,121.22,121.14,121.22,2300.0
121.11,121.14,121.11,121.14,600.0
121.0201,121.09,121.0201,121.09,1400.0
121.035,121.035,121.035,121.035,100.0
121.0,121.07,121.0,121.03,4150.0
121.01,121.01,120.98,120.99,2439.0
120.9,121.0,120.9,121.0,2930.0
120.93,120.95,120.86,120.94,8790.0
120.93,120.94,120.88,120.91,1217.0
120.9,120.91,120.9,120.9,500.0
120.8401,120.89,120.8401,120.89,1726.0
120.88,120.88,120.8,120.84,4600.0
120.92,120.92,120.83,120.84,3100.0
121.0,121.0,120.94,120.94,1200.0
120.91,120.96,120.91,120.96,2487.0
120.85,120.91,120.83,120.91,29920.0
120.7834,120.8201,120.77,120.8201,2600.0
120.695,120.77,120.66,120.74,3650.0
120.671,120.671,120.67,120.67,1128.0
120.64,120.68,120.61,120.67,6816.0
120.55,120.64,120.55,120.63,7272.0
120.575,120.61,120.55,120.57,4839.0
120.55,120.61,120.5,120.59,2628.0
120.54,120.57,120.52,120.52,1810.0
120.5,120.56,120.5,120.52,570.0
120.51,120.56,120.51,120.54,4850.0
120.48,120.56,120.47,120.55,4270.0
120.47,120.53,120.47,120.48,1750.0
120.4,120.46,120.4,120.44,2801.0
120.43,120.47,120.41,120.42,3300.0
120.47,120.47,120.43,120.43,1200.0
120.4475,120.48,120.4101,120.47,5900.0
120.4475,120.46,120.4,120.45,4137.0
120.31,120.47,120.31,120.47,2397.0
120.38,120.38,120.3,120.31,8160.0
120.39,120.41,120.35,120.35,3514.0
120.41,120.41,120.37,120.37,2100.0
120.44,120.46,120.44,120.45,2458.0
