Open,High,Low,Close,Volume
62.62,62.78,62.62,62.78,22401.0
62.887,62.99,62.887,62.99,2805.0
62.73,62.895,62.7,62.85,4145.0
62.83,63.0,62.66,62.66,4093.0
63.08,63.08,62.89,62.9,2893.0
62.81,63.11,62.81,63.11,3393.0
62.86,62.95,62.75,62.91,17348.0
62.72,62.77,62.685,62.77,8200.0
62.73,62.73,62.6,62.72,5743.0
62.61,62.7,62.61,62.66,2450.0
62.65,62.65,62.61,62.64,875.0
62.45,62.635,62.44,62.63,8103.0
62.5,62.56,62.46,62.49,7432.0
62.37,62.47,62.37,62.47,4394.0
62.51,62.56,62.39,62.4,8561.0
62.55,62.6,62.491,62.491,3414.0
62.595,62.595,62.51,62.52,2400.0
62.47,62.609,62.47,62.59,5898.0
62.43,62.5,62.43,62.5,2042.0
62.46,62.46,62.43,62.445,2587.0
62.425,62.45,62.4,62.45,1593.0
62.42,62.44,62.36,62.41,6725.0
62.45,62.48,62.41,62.42,3600.0
62.442,62.45,62.41,62.45,4901.0
62.445,62.48,62.405,62.423,1500.0
62.44,62.45,62.39,62.45,5100.0
62.43,62.43,62.41,62.41,1540.0
62.46,62.46,62.42,62.43,2900.0
62.46,62.49,62.43,62.44,8402.0
62.48,62.49,62.45,62.45,1700.0
62.48,62.515,62.46,62.515,2740.0
62.47,62.47,62.42,62.45,6200.0
62.49,62.51,62.45,62.45,3365.0
62.49,62.49,62.44,62.49,3763.0
62.5856,62.5856,62.4882,62.49,3212.0
62.55,62.58,62.52,62.58,2900.0
62.49,62.55,62.49,62.53,2361.0
62.47,62.51,62.47,62.48,3600.0
62.4065,62.47,62.4,62.47,2195.0
62.42,62.48,62.39,62.39,8124.0
62.3203,62.41,62.3203,62.41,7771.0
62.33,62.4,62.33,62.335,5118.0
62.2801,62.33,62.265,62.31,4000.0
62.25,62.28,62.23,62.28,3183.0
62.26,62.28,62.22,62.27,7145.0
62.17,62.29,62.17,62.29,3709.0
62.23,62.24,62.1675,62.17,1495.0
62.25,62.26,62.19,62.26,4341.0
62.28,62.28,62.2,62.24,2695.0
62.29,62.3,62.27,62.27,1300.0
62.32,62.33,62.28,62.28,1854.0
62.29,62.35,62.28,62.3,7037.0
62.265,62.3,62.25,62.26,4238.0
62.42,62.45,62.26,62.26,5335.0
62.43,62.44,62.4,62.4,2795.0
62.4187,62.43,62.4,62.43,1696.0
62.46,62.48,62.41,62.42,4500.0
62.51,62.51,62.45,62.48,3099.0
62.44,62.5,62.44,62.5,2800.0
62.46,62.46,62.43,62.45,3220.0
62.36,62.47,62.34,62.46,4778.0
62.44,62.47,62.37,62.37,4136.0
62.46,62.5,62.45,62.45,2275.0
62.45,62.4573,62.44,62.4573,2066.0
62.45,62.48,62.42,62.45,3913.0
62.48,62.5,62.435,62.45,2200.0
62.446,62.45,62.44,62.45,1300.0
62.43,62.45,62.43,62.45,2722.0
62.39,62.435,62.39,62.42,2556.0
62.35,62.4,62.35,62.38,3300.0
62.3,62.3502,62.3,62.3502,5162.0
62.28,62.3,62.26,62.3,3000.0
62.29,62.3,62.28,62.28,3374.0
62.34,62.34,62.29,62.29,3150.0
62.33,62.3696,62.31,62.3696,4924.0
62.34,62.36,62.33,62.33,2507.0
62.32,62.35,62.31,62.35,3366.0
62.2,62.32,62.2,62.31,3355.0
62.19,62.24,62.19,62.2,2100.0
62.17,62.17,62.15,62.16,3660.0
62.12,62.16,62.12,62.16,4202.0
62.18,62.18,62.14,62.14,4087.0
62.155,62.1821,62.155,62.17,2502.0
62.135,62.18,62.135,62.16,3500.0
62.165,62.2,62.15,62.15,3110.0
62.09,62.17,62.08,62.16,10661.0
62.1,62.13,62.08,62.1,4988.0
62.14,62.16,62.1,62.1,3200.0
62.13,62.15,62.13,62.14,12775.0
62.102,62.18,62.102,62.13,7671.0
62.09,62.11,62.08,62.11,1300.0
62.105,62.11,62.09,62.09,2710.0
62.12,62.13,62.09,62.11,9100.0
62.075,62.12,62.07,62.12,3610.0
62.07,62.09,62.05,62.09,5100.0
62.03,62.07,62.03,62.07,3096.0
61.99,62.04,61.98,62.04,8767.0
62.009,62.009,61.98,61.99,6624.0
62.0,62.0,61.96,62.0,6730.0
62.015,62.04,62.01,62.01,2100.0
62.04,62.05,62.001,62.001,3650.0
62.11,62.11,62.05,62.05,4000.0
62.07,62.1,62.07,62.1,612.0
62.05,62.08,62.05,62.07,1751.0
62.08,62.08,62.06,62.06,1400.0
62.02,62.07,62.02,62.07,2771.0
62.09,62.1,62.03,62.03,5062.0
62.1,62.1,62.05,62.09,3500.0
62.06,62.1,62.05,62.086,6886.0
62.06,62.07,62.05,62.06,3900.0
62.06,62.08,62.05,62.07,2600.0
62.06,62.06,62.06,62.06,100.0
62.06,62.08,62.05,62.06,4000.0
62.12,62.12,62.06,62.07,5468.0
62.11,62.12,62.09,62.11,3916.0
62.12,62.12,62.1076,62.1076,1375.0
62.08,62.11,62.06,62.1,2700.0
62.08,62.09,62.03,62.08,18057.0
62.04,62.07,62.02,62.07,3575.0
61.97,62.0233,61.965,62.0233,3621.0
61.96,62.0,61.96,61.98,2100.0
61.9301,61.96,61.9152,61.96,5230.0
61.94,61.95,61.92,61.93,11174.0
61.92,61.93,61.88,61.92,7917.0
61.94,61.97,61.94,61.94,1070.0
61.94,61.94,61.91,61.92,6986.0
61.98,61.98,61.92,61.945,4950.0
61.96,61.97,61.94,61.96,5700.0
61.89,61.95,61.89,61.9499,7685.0
61.92,61.94,61.89,61.899,3000.0
61.883,61.92,61.883,61.91,3450.0
61.91,61.91,61.9,61.9,1500.0
61.9185,61.92,61.91,61.91,1816.0
61.94,61.95,61.9,61.93,4000.0
61.94,61.94,61.94,61.94,500.0
61.92,61.9201,61.91,61.9201,2300.0
61.88,61.896,61.88,61.896,1480.0
61.88,61.89,61.86,61.87,4850.0
61.877,61.88,61.87,61.87,1200.0
61.9,61.9,61.88,61.88,1400.0
61.93,61.935,61.92,61.92,2002.0
61.95,61.95,61.93,61.93,2700.0
61.96,61.96,61.96,61.96,200.0
61.95,61.97,61.95,61.97,1500.0
61.9595,61.97,61.9595,61.97,1100.0
61.96,61.968,61.94,61.965,5600.0
62.01,62.0158,61.95,61.96,4073.0
61.94,62.0,61.94,62.0,1983.0
61.95,61.95,61.9271,61.9271,2612.0
61.97,61.97,61.94,61.95,3454.0
61.95,62.0,61.95,61.98,8724.0
61.95,61.97,61.94,61.96,12605.0
61.92,61.96,61.92,61.95,15085.0
61.91,61.91,61.89,61.9,1450.0
61.92,61.92,61.89,61.89,6241.0
61.92,61.93,61.92,61.92,887.0
61.94,61.94,61.92,61.92,3100.0
61.94,61.95,61.94,61.95,1240.0
61.98,61.98,61.94,61.94,2045.0
61.98,61.99,61.97,61.99,1305.0
61.9991,62.01,61.9528,61.97,3327.0
62.0,62.03,61.99,62.01,7787.0
61.9937,62.01,61.9937,62.0,2102.0
61.97,62.0,61.94,62.0,5970.0
61.92,61.95,61.9118,61.95,1923.0
61.86,61.892,61.86,61.892,5243.0
61.895,61.9,61.87,61.88,4667.0
61.875,61.9,61.87,61.9,3603.0
61.89,61.89,61.87,61.8742,4320.0
61.89,61.89,61.89,61.89,1373.0
61.92,61.92,61.882,61.9,1950.0
61.9,61.92,61.9,61.92,1607.0
61.92,61.92,61.8932,61.9,2051.0
61.91,61.94,61.91,61.92,2245.0
61.9013,61.9013,61.9,61.9,300.0
61.9,61.9,61.89,61.9,2900.0
61.91,61.91,61.895,61.9,2613.0
61.94,61.94,61.91,61.91,1100.0
61.95,61.9505,61.95,61.9505,1607.0
61.9568,61.96,61.95,61.95,611.0
61.9724,61.98,61.955,61.96,2275.0
61.94,61.97,61.9,61.97,5805.0
61.94,61.94,61.93,61.93,5900.0
61.95,61.95,61.94,61.94,1077.0
61.99,62.0,61.9405,61.95,8129.0
61.99,61.99,61.98,61.98,400.0
62.04,62.04,61.99,61.99,1406.0
62.035,62.04,62.03,62.04,1400.0
62.0689,62.07,62.03,62.03,1750.0
62.0747,62.08,62.06,62.0799,1000.0
62.07,62.08,62.02,62.07,5216.0
62.0759,62.09,62.0759,62.08,1455.0
62.08,62.08,62.08,62.08,100.0
62.08,62.085,62.075,62.075,2290.0
62.085,62.09,62.08,62.08,1805.0
62.07,62.08,62.06,62.08,3974.0
62.06,62.07,62.06,62.07,3513.0
62.07,62.07,62.056,62.06,1199.0
62.07,62.08,62.06,62.06,4481.0
62.065,62.07,62.065,62.07,306.0
62.08,62.08,62.0565,62.0565,2199.0
62.1,62.1025,62.0801,62.09,1679.0
62.11,62.11,62.0995,62.11,4339.0
62.1405,62.1405,62.1,62.1,3383.0
62.12,62.13,62.12,62.13,1100.0
62.12,62.1325,62.12,62.12,750.0
62.15,62.18,62.1201,62.1222,3780.0
62.1433,62.15,62.1433,62.15,200.0
62.11,62.15,62.11,62.14,3184.0
62.12,62.12,62.115,62.115,1000.0
62.15,62.15,62.12,62.12,2880.0
62.14,62.16,62.14,62.145,1100.0
62.1231,62.14,62.1231,62.14,606.0
62.08,62.11,62.08,62.11,2828.0
62.07,62.075,62.06,62.075,6000.0
62.06,62.07,62.06,62.07,3559.0
62.11,62.11,62.07,62.07,3104.0
62.07,62.11,62.07,62.11,2810.0
62.1,62.1,62.07,62.07,2716.0
62.08,62.0925,62.08,62.09,900.0
62.0736,62.0736,62.0658,62.07,1642.0
62.06,62.08,62.06,62.07,1800.0
62.0696,62.0696,62.0696,62.0696,300.0
62.07,62.07,62.07,62.07,300.0
62.06,62.0799,62.06,62.07,30235.0
62.0,62.07,61.99,62.07,31334.0
61.98,62.0,61.96,61.99,6500.0
62.01,62.01,61.96,61.99,5648.0
61.91,62.02,61.91,62.02,43892.0
61.89,61.93,61.87,61.93,2591.0
61.85,61.9,61.85,61.9,3483.0
61.8,61.85,61.8,61.8474,3871.0
61.765,61.83,61.76,61.81,5198.0
61.77,61.78,61.75,61.76,6234.0
61.76,61.78,61.76,61.78,1407.0
61.77,61.78,61.76,61.76,1976.0
61.76,61.78,61.76,61.77,2662.0
61.79,61.79,61.75,61.77,6853.0
61.77,61.8,61.77,61.78,1376.0
61.75,61.76,61.74,61.75,2900.0
61.76,61.77,61.745,61.745,6391.0
61.75,61.76,61.74,61.76,7567.0
61.74,61.76,61.73,61.74,2700.0
61.73,61.73,61.73,61.73,200.0
61.725,61.73,61.72,61.72,1804.0
61.71,61.73,61.71,61.73,1700.0
61.71,61.71,61.71,61.71,950.0
61.67,61.71,61.67,61.71,4156.0
61.67,61.67,61.66,61.66,2100.0
61.62,61.6624,61.62,61.65,4296.0
61.6,61.62,61.57,61.61,14126.0
61.63,61.64,61.6,61.605,2962.0
61.61,61.62,61.61,61.62,897.0
61.59,61.6,61.57,61.59,3860.0
61.56,61.6,61.55,61.59,3482.0
61.56,61.56,61.545,61.56,3447.0
61.5549,61.56,61.55,61.56,4544.0
61.55,61.56,61.55,61.55,3755.0
61.55,61.5599,61.54,61.55,5537.0
61.57,61.59,61.555,61.56,5287.0
61.57,61.57,61.5637,61.57,2455.0
61.54,61.57,61.54,61.57,3027.0
61.53,61.54,61.53,61.54,1601.0
61.53,61.54,61.51,61.53,3800.0
61.49,61.53,61.47,61.526,9649.0
61.48,61.49,61.47,61.48,2614.0
61.47,61.48,61.46,61.48,4027.0
61.47,61.49,61.46,61.47,3401.0
61.46,61.47,61.46,61.47,600.0
61.44,61.47,61.4311,61.47,4936.0
61.436,61.44,61.43,61.44,1953.0
61.46,61.46,61.42,61.44,12798.0
61.49,61.49,61.4605,61.4605,2378.0
61.49,61.49,61.48,61.49,1400.0
61.47,61.51,61.47,61.51,2518.0
61.51,61.53,61.47,61.47,3501.0
61.5,61.515,61.5,61.515,2404.0
61.54,61.54,61.5,61.5,3181.0
61.5395,61.55,61.5395,61.54,2000.0
61.54,61.54,61.53,61.535,2606.0
61.5499,61.5547,61.54,61.54,2766.0
61.64,61.64,61.54,61.54,3374.0
61.65,61.6599,61.64,61.65,1640.0
61.64,61.6599,61.64,61.6599,8688.0
61.61,61.6488,61.61,61.64,6510.0
61.62,61.63,61.61,61.63,3130.0
61.57,61.63,61.56,61.62,4336.0
61.58,61.58,61.5627,61.57,1000.0
61.61,61.62,61.58,61.58,3985.0
61.57,61.61,61.5636,61.605,2853.0
61.6038,61.6038,61.57,61.57,2075.0
61.63,61.63,61.6,61.605,2639.0
61.61,61.6298,61.6099,61.62,3077.0
61.606,61.62,61.606,61.62,1927.0
61.58,61.6088,61.58,61.6088,9964.0
61.57,61.58,61.56,61.57,900.0
61.54,61.57,61.53,61.57,3395.0
61.53,61.53,61.52,61.53,1000.0
61.51,61.525,61.5,61.525,4449.0
61.49,61.52,61.49,61.51,4862.0
61.5,61.5,61.49,61.49,560.0
61.48,61.4901,61.47,61.4901,4900.0
61.46,61.47,61.455,61.47,1800.0
61.43,61.4503,61.4275,61.4503,2575.0
61.4245,61.46,61.4245,61.4399,7188.0
61.42,61.43,61.39,61.43,6752.0
61.41,61.42,61.41,61.42,795.0
61.395,61.41,61.39,61.409,5382.0
61.43,61.44,61.4,61.4,2500.0
61.44,61.45,61.43,61.43,2800.0
61.4363,61.45,61.4363,61.45,4058.0
61.45,61.45,61.44,61.44,3020.0
61.43,61.465,61.42,61.46,4325.0
61.419,61.425,61.419,61.42,570.0
61.36,61.41,61.36,61.41,5323.0
61.3624,61.3679,61.36,61.36,800.0
61.29,61.36,61.29,61.36,6859.0
61.275,61.29,61.24,61.29,8427.0
61.24,61.27,61.235,61.27,6741.0
61.24,61.24,61.207,61.23,7263.0
61.26,61.26,61.24,61.2499,5752.0
61.3,61.31,61.24,61.26,10053.0
61.28,61.29,61.24,61.29,6759.0
61.2732,61.28,61.2732,61.28,1424.0
61.25,61.27,61.23,61.27,7018.0
61.29,61.29,61.25,61.25,8317.0
61.25,61.3081,61.25,61.3,3582.0
61.24,61.26,61.24,61.25,3265.0
61.2375,61.24,61.23,61.24,7007.0
61.24,61.25,61.23,61.2352,4860.0
61.26,61.26,61.245,61.25,5103.0
61.211,61.26,61.211,61.26,6282.0
61.22,61.22,61.21,61.215,4300.0
61.23,61.23,61.21,61.21,4191.0
61.195,61.23,61.1901,61.22,7645.0
61.14,61.2,61.12,61.1901,14202.0
61.15,61.15,61.13,61.131,5101.0
61.19,61.194,61.16,61.16,5189.0
61.19,61.19,61.19,61.19,2000.0
61.12,61.18,61.12,61.18,5945.0
61.13,61.14,61.12,61.13,9019.0
61.13,61.14,61.125,61.14,3943.0
61.12,61.13,61.1,61.13,4884.0
61.13,61.14,61.102,61.102,6172.0
61.14,61.14,61.13,61.13,6125.0
61.13,61.14,61.125,61.14,4158.0
61.16,61.16,61.13,61.13,5667.0
61.145,61.1627,61.14,61.16,9039.0
61.13,61.145,61.13,61.145,4055.0
61.1353,61.15,61.13,61.14,6100.0
61.12,61.1347,61.12,61.13,3631.0
61.13,61.14,61.12,61.13,6903.0
61.11,61.13,61.1,61.12,8692.0
61.15,61.15,61.111,61.12,7642.0
61.16,61.16,61.14,61.15,5610.0
61.16,61.17,61.16,61.16,5915.0
61.15,61.1644,61.15,61.1644,3800.0
61.13,61.16,61.13,61.16,7391.0
61.12,61.14,61.12,61.13,4615.0
61.105,61.12,61.1,61.12,8694.0
61.16,61.18,61.11,61.11,12875.0
61.14,61.16,61.14,61.16,6087.0
61.141,61.15,61.14,61.14,6699.0
61.1,61.145,61.1,61.145,8835.0
61.06,61.11,61.05,61.1,14092.0
61.16,61.16,61.07,61.07,12711.0
61.1,61.16,61.1,61.151,15305.0
61.133,61.14,61.095,61.095,8947.0
61.12,61.13,61.12,61.13,3509.0
61.11,61.12,61.09,61.12,9752.0
61.06,61.13,61.045,61.11,15933.0
61.03,61.07,61.02,61.06,10941.0
61.02,61.08,61.02,61.02,17164.0
61.0,61.03,61.0,61.02,6811.0
61.03,61.05,61.0,61.01,22651.0
61.07,61.08,61.05,61.08,7435.0
61.0001,61.07,61.0,61.07,12154.0
61.01,61.02,61.005,61.02,7154.0
60.98,61.015,60.96,61.015,19340.0
61.025,61.03,60.98,60.98,16069.0
61.02,61.05,61.01,61.02,22227.0
60.99,61.03,60.99,61.03,14107.0
60.98,61.0,60.98,60.99,8563.0
60.96,60.98,60.95,60.98,14227.0
60.97,60.98,60.95,60.95,14543.0
61.03,61.03,60.98,60.98,15830.0
60.99,61.03,60.99,61.025,15666.0
60.98,61.02,60.96,61.0,32185.0
60.97,60.975,60.93,60.97,45868.0
60.93,60.98,60.88,60.95,90066.0
