Open,High,Low,Close,Volume
101.23,101.31,100.86,101.12,56363.0
100.87,101.2,100.8,101.2,41992.0
101.1132,101.2,100.81,100.96,52464.0
101.09,101.16,100.9197,101.12,41440.0
100.9,101.1,100.82,101.09,28884.0
101.15,101.22,100.7,100.8844,76078.0
101.38,101.6599,101.06,101.13,130966.0
101.53,101.66,101.395,101.395,93062.0
101.67,101.67,101.39,101.5,80545.0
101.55,101.73,101.47,101.6832,61738.0
101.362,101.58,101.36,101.53,42159.0
101.29,101.5,101.26,101.36,72583.0
101.4448,101.4965,101.29,101.29,38477.0
100.98,101.46,100.96,101.46,52996.0
101.1851,101.19,100.96,100.97,61508.0
101.0603,101.199,101.05,101.1314,22042.0
101.07,101.13,100.98,101.05,42165.0
100.85,101.1636,100.84,101.0618,48919.0
100.87,100.93,100.7801,100.8771,43030.0
100.83,100.9,100.7995,100.88,33103.0
100.9779,100.9999,100.81,100.83,43215.0
100.94,100.97,100.87,100.97,27913.0
100.56,100.8953,100.56,100.8801,60059.0
100.56,100.7199,100.55,100.55,32462.0
100.3,100.5636,100.25,100.56,108795.0
100.43,100.48,100.3,100.3,41950.0
100.25,100.48,100.25,100.4,28449.0
100.15,100.29,100.15,100.27,50945.0
100.166,100.2,100.0571,100.17,52024.0
100.0235,100.1799,100.01,100.17,62963.0
100.03,100.07,99.8,100.021,114933.0
100.1799,100.21,100.04,100.0495,66858.0
100.012,100.2336,99.97,100.14,48483.0
100.092,100.14,100.01,100.03,42325.0
100.1408,100.17,100.01,100.1,36014.0
100.08,100.15,100.03,100.13,39531.0
100.2091,100.21,100.01,100.09,29111.0
100.2,100.22,100.0603,100.19,46418.0
100.25,100.32,100.14,100.22,60556.0
100.23,100.3192,100.19,100.3192,28021.0
100.134,100.24,100.09,100.23,63432.0
100.1164,100.17,100.03,100.1281,53768.0
99.99,100.11,99.89,100.11,77270.0
99.94,100.01,99.85,99.9899,60305.0
99.89,100.0,99.8,99.9416,46138.0
99.7899,99.97,99.72,99.9,71667.0
99.835,99.855,99.77,99.79,48273.0
99.81,99.99,99.8,99.84,50620.0
99.87,99.94,99.79,99.81,44512.0
99.9299,99.94,99.83,99.85,35498.0
100.04,100.09,99.901,99.901,56561.0
99.93,100.08,99.93,100.075,34389.0
99.9,99.97,99.83,99.92,22245.0
99.95,100.03,99.87,99.8999,39626.0
100.0392,100.09,99.9346,99.97,28079.0
100.08,100.13,100.01,100.03,38328.0
100.17,100.22,100.06,100.0732,47818.0
100.11,100.19,100.08,100.17,32774.0
100.28,100.32,100.1,100.125,77030.0
100.22,100.31,100.2001,100.28,40044.0
100.16,100.35,100.16,100.27,48698.0
100.19,100.2,100.14,100.17,16520.0
100.135,100.195,100.09,100.195,21136.0
100.13,100.16,100.07,100.1401,27499.0
