Open,High,Low,Close,Volume
59.26,59.26,59.26,59.26,200.0
59.44,59.44,59.35,59.41,2615.0
59.36,59.39,59.32,59.39,331125.0
59.279,59.279,59.279,59.279,670.0
59.23,59.23,59.19,59.2,1650.0
58.98,59.14,58.98,59.12,2222.0
59.05,59.11,59.03,59.03,3153.0
59.0535,59.085,59.0535,59.085,300.0
59.18,59.23,59.07,59.12,4500.0
59.21,59.23,59.15,59.1854,3900.0
59.2,59.23,59.19,59.22,2100.0
59.28,59.28,59.21,59.21,1000.0
59.3,59.37,59.3,59.32,657.0
59.26,59.34,59.24,59.325,4636.0
59.25,59.28,59.24,59.26,4303.0
59.25,59.27,59.24,59.24,900.0
59.25,59.28,59.18,59.225,13502.0
59.29,59.29,59.27,59.27,1254.0
59.36,59.38,59.3,59.32,6700.0
59.39,59.39,59.37,59.37,500.0
59.37,59.41,59.37,59.4,5717.0
59.3656,59.41,59.36,59.37,3050.0
59.31,59.35,59.31,59.35,700.0
59.22,59.31,59.22,59.31,5444.0
59.26,59.27,59.246,59.27,808.0
59.27,59.28,59.27,59.28,365.0
59.38,59.4,59.28,59.28,2600.0
59.33,59.47,59.33,59.42,3464.0
59.29,59.35,59.29,59.35,4200.0
59.45,59.45,59.32,59.32,1400.0
59.44,59.49,59.43,59.44,2300.0
59.3774,59.4525,59.3774,59.4525,1572.0
59.35,59.405,59.35,59.4,920.0
59.36,59.39,59.27,59.3,2830.0
59.37,59.41,59.37,59.41,500.0
59.47,59.47,59.39,59.39,893.0
59.53,59.53,59.46,59.48,5438.0
59.475,59.5,59.45,59.5,1600.0
59.485,59.54,59.47,59.49,8501.0
59.55,59.58,59.495,59.5,3046.0
59.465,59.55,59.44,59.55,4200.0
59.51,59.54,59.48,59.48,1200.0
59.58,59.58,59.53,59.54,4300.0
59.594,59.61,59.55,59.55,2048.0
59.65,59.66,59.58,59.58,4626.0
59.67,59.69,59.67,59.69,1500.0
59.67,59.69,59.63,59.65,2311.0
59.6301,59.65,59.6301,59.65,2200.0
59.56,59.64,59.55,59.63,8110.0
59.63,59.64,59.57,59.58,3000.0
59.64,59.64,59.58,59.59,4561.0
59.63,59.6564,59.62,59.65,1823.0
59.61,59.61,59.61,59.61,612.0
59.54,59.6,59.54,59.6,2086.0
59.62,59.62,59.5401,59.56,1992.0
59.6192,59.6192,59.6,59.6,1900.0
59.61,59.61,59.57,59.6,3400.0
59.54,59.6,59.54,59.6,1802.0
59.48,59.523,59.48,59.523,794.0
59.56,59.56,59.48,59.48,1200.0
59.52,59.57,59.52,59.57,1615.0
59.55,59.55,59.49,59.52,12074.0
59.56,59.56,59.53,59.5301,1182.0
59.5698,59.5698,59.55,59.56,2700.0
59.48,59.55,59.48,59.55,2600.0
59.52,59.52,59.51,59.51,950.0
59.43,59.49,59.41,59.49,5564.0
59.47,59.47,59.46,59.46,700.0
59.4244,59.455,59.4045,59.44,2255.0
59.5,59.5144,59.4276,59.4276,3982.0
59.41,59.49,59.4,59.47,2000.0
59.4,59.45,59.39,59.42,3625.0
59.4,59.41,59.371,59.39,3808.0
59.42,59.42,59.36,59.36,1100.0
59.45,59.455,59.4172,59.4172,2375.0
59.42,59.47,59.42,59.47,1955.0
59.41,59.4241,59.37,59.4241,2279.0
59.44,59.44,59.39,59.41,1070.0
59.45,59.45,59.43,59.43,850.0
59.38,59.45,59.38,59.44,1952.0
59.38,59.39,59.38,59.39,544.0
59.35,59.3894,59.35,59.3881,3939.0
59.3906,59.4,59.36,59.36,2600.0
59.32,59.4,59.31,59.38,1900.0
59.42,59.42,59.33,59.33,3325.0
59.44,59.44,59.38,59.385,1000.0
59.62,59.62,59.45,59.45,9303.0
59.57,59.65,59.55,59.6001,9397.0
59.72,59.73,59.53,59.54,16201.0
59.6,59.7,59.59,59.7,4971.0
59.61,59.61,59.6006,59.61,870.0
59.61,59.64,59.61,59.62,2288.0
59.585,59.592,59.57,59.592,1962.0
59.54,59.56,59.54,59.56,600.0
59.52,59.54,59.52,59.54,1000.0
59.45,59.54,59.45,59.53,2613.0
59.49,59.49,59.42,59.423,2967.0
59.507,59.52,59.49,59.5,2146.0
59.5323,59.5323,59.51,59.51,868.0
59.54,59.56,59.5001,59.52,4751.0
59.54,59.54,59.5,59.54,468.0
59.53,59.5403,59.52,59.5228,2300.0
59.529,59.55,59.52,59.54,2000.0
59.56,59.58,59.54,59.55,5383.0
59.56,59.56,59.56,59.56,100.0
59.59,59.59,59.54,59.56,1700.0
59.58,59.59,59.56,59.59,2565.0
59.61,59.61,59.58,59.59,2369.0
59.6,59.6,59.5899,59.6,2207.0
59.59,59.59,59.59,59.59,200.0
59.54,59.585,59.54,59.585,1299.0
59.537,59.59,59.52,59.54,13969.0
59.53,59.56,59.53,59.55,2294.0
59.6001,59.6001,59.55,59.55,2626.0
59.61,59.6299,59.61,59.61,2734.0
59.58,59.609,59.57,59.609,1300.0
59.62,59.62,59.55,59.56,2910.0
59.62,59.62,59.605,59.605,200.0
59.61,59.63,59.58,59.62,7976.0
59.601,59.61,59.58,59.58,1226.0
59.57,59.61,59.54,59.6,6850.0
59.58,59.58,59.56,59.56,800.0
59.59,59.6,59.5894,59.5894,1848.0
59.6,59.633,59.59,59.6,4548.0
59.656,59.656,59.6,59.61,1845.0
59.64,59.64,59.61,59.63,2752.0
59.624,59.65,59.62,59.63,2404.0
59.62,59.659,59.62,59.6394,1270.0
59.67,59.67,59.62,59.62,1653.0
59.6798,59.6798,59.66,59.675,1396.0
59.63,59.67,59.63,59.66,1050.0
59.69,59.69,59.645,59.645,500.0
59.64,59.67,59.63,59.67,1237.0
59.65,59.65,59.65,59.65,600.0
59.65,59.66,59.6103,59.63,3801.0
59.67,59.67,59.64,59.6433,695.0
59.69,59.69,59.68,59.68,300.0
59.66,59.6798,59.66,59.675,400.0
59.64,59.675,59.63,59.675,3100.0
59.72,59.74,59.65,59.65,7067.0
59.66,59.695,59.66,59.695,651.0
59.69,59.71,59.675,59.69,4500.0
59.67,59.71,59.67,59.71,900.0
59.7,59.7,59.6818,59.6818,1980.0
59.66,59.6959,59.64,59.6959,3929.0
59.69,59.69,59.655,59.67,1935.0
59.7,59.7,59.6576,59.68,3242.0
59.71,59.71,59.68,59.71,2367.0
59.69,59.71,59.68,59.68,1265.0
59.66,59.7,59.66,59.7,2029.0
59.635,59.635,59.63,59.63,610.0
59.6226,59.64,59.62,59.62,1242.0
59.6,59.65,59.6,59.6,3100.0
59.5944,59.6,59.5944,59.6,600.0
59.6071,59.62,59.58,59.58,2512.0
59.56,59.6,59.56,59.58,55300.0
59.58,59.6,59.58,59.58,2361.0
59.575,59.5852,59.56,59.58,3657.0
59.5756,59.59,59.56,59.59,631.0
59.5138,59.5682,59.5138,59.5682,1411.0
59.53,59.55,59.5264,59.53,2068.0
59.54,59.54,59.52,59.52,2543.0
59.51,59.53,59.5,59.53,3159.0
59.5399,59.5399,59.5097,59.5097,500.0
59.55,59.57,59.54,59.54,1300.0
59.54,59.55,59.54,59.5401,2017.0
59.56,59.56,59.54,59.55,800.0
59.569,59.569,59.569,59.569,200.0
59.58,59.59,59.55,59.59,1033.0
59.57,59.585,59.55,59.55,5911.0
59.523,59.5701,59.523,59.5701,3150.0
59.535,59.535,59.535,59.535,100.0
59.5797,59.59,59.55,59.55,3802.0
59.61,59.61,59.58,59.6,2610.0
59.6,59.62,59.6,59.61,1900.0
59.64,59.64,59.61,59.61,1757.0
59.63,59.63,59.63,59.63,100.0
59.65,59.65,59.62,59.64,4108.0
59.645,59.65,59.63,59.6302,1050.0
59.6934,59.7,59.65,59.67,2240.0
59.67,59.7,59.6663,59.7,1401.0
59.7,59.7,59.63,59.6654,3567.0
59.685,59.7,59.685,59.7,1550.0
59.73,59.73,59.69,59.7,4351.0
59.6949,59.73,59.68,59.73,2983.0
59.69,59.73,59.67,59.67,4261.0
59.695,59.72,59.68,59.705,3373.0
59.7,59.73,59.68,59.71,5972.0
59.7,59.74,59.66,59.73,5227.0
59.68,59.7,59.68,59.7,1100.0
59.73,59.75,59.7,59.7,3816.0
59.7101,59.72,59.7101,59.72,1553.0
59.76,59.76,59.73,59.73,2916.0
59.77,59.79,59.76,59.77,2900.0
59.6921,59.77,59.6921,59.77,2131.0
59.73,59.76,59.72,59.73,2400.0
59.7368,59.7368,59.7368,59.7368,253.0
59.72,59.75,59.72,59.7208,1250.0
59.74,59.75,59.74,59.75,1600.0
59.755,59.76,59.73,59.73,1200.0
59.74,59.77,59.74,59.77,900.0
59.73,59.74,59.73,59.74,1335.0
59.75,59.75,59.71,59.73,3935.0
59.73,59.76,59.71,59.75,2530.0
59.69,59.77,59.69,59.74,16295.0
59.68,59.7199,59.68,59.71,1260.0
59.67,59.7,59.67,59.68,2293.0
59.6601,59.69,59.66,59.68,1983.0
59.7,59.73,59.68,59.69,3709.0
59.74,59.74,59.74,59.74,100.0
59.72,59.72,59.69,59.7,1701.0
59.7052,59.7052,59.7,59.7,267.0
59.69,59.7,59.69,59.7,400.0
59.695,59.695,59.68,59.68,700.0
59.68,59.71,59.68,59.71,2020.0
59.71,59.72,59.69,59.71,848.0
59.71,59.716,59.7,59.716,2288.0
59.7,59.715,59.7,59.71,3388.0
59.72,59.73,59.7,59.7,3300.0
59.72,59.73,59.71,59.72,1400.0
59.74,59.74,59.72,59.72,300.0
59.71,59.74,59.69,59.74,4988.0
59.6856,59.6898,59.685,59.6898,4732.0
59.7,59.7,59.7,59.7,100.0
59.68,59.7,59.68,59.6897,1013.0
59.71,59.72,59.69,59.69,2826.0
59.71,59.72,59.71,59.72,932.0
59.7,59.71,59.7,59.71,1750.0
59.71,59.71,59.69,59.7,1351.0
59.71,59.72,59.7043,59.71,1612.0
59.75,59.75,59.7134,59.72,3019.0
59.754,59.77,59.75,59.75,2900.0
59.8,59.8,59.77,59.78,2526.0
59.81,59.81,59.78,59.79,7132.0
59.805,59.83,59.8,59.82,4828.0
59.8,59.83,59.78,59.81,1151.0
59.79,59.82,59.781,59.7851,1305.0
