Open,High,Low,Close,Volume
62.78,62.8,62.66,62.78,529520.0
62.76,62.81,62.63,62.79,5845.0
62.84,62.84,62.715,62.75,5968.0
62.94,62.94,62.81,62.87,500.0
62.93,62.94,62.88,62.94,800.0
62.9,62.93,62.81,62.93,4170.0
62.855,62.92,62.855,62.91,1304.0
62.78,62.82,62.78,62.82,1292.0
62.75,62.79,62.73,62.79,1889.0
62.72,62.75,62.69,62.75,1100.0
62.64,62.71,62.64,62.71,1400.0
62.7234,62.74,62.67,62.67,1294.0
62.76,62.76,62.73,62.75,1500.0
62.69,62.79,62.65,62.76,2592.0
62.64,62.68,62.64,62.66,2360.0
62.64,62.64,62.64,62.64,100.0
62.74,62.74,62.68,62.68,1852.0
62.72,62.76,62.72,62.75,1800.0
62.77,62.77,62.73,62.73,1635.0
62.76,62.76,62.74,62.76,2500.0
62.82,62.82,62.76,62.76,2937.0
62.7996,62.82,62.79,62.82,2004.0
62.83,62.83,62.79,62.79,2100.0
62.82,62.82,62.8,62.82,1400.0
62.89,62.89,62.835,62.835,3100.0
62.8824,62.9,62.88,62.9,923.0
62.87,62.89,62.87,62.89,2000.0
62.83,62.86,62.83,62.86,1100.0
62.82,62.84,62.81,62.83,2100.0
62.81,62.82,62.81,62.81,1300.0
62.79,62.79,62.79,62.79,400.0
62.82,62.84,62.8,62.8,2800.0
62.83,62.83,62.81,62.81,702.0
62.8,62.83,62.8,62.83,1700.0
62.8,62.81,62.8,62.81,1200.0
62.83,62.83,62.81,62.81,600.0
62.79,62.82,62.79,62.82,800.0
62.81,62.83,62.79,62.79,1624.0
62.8,62.83,62.8,62.82,1400.0
62.805,62.82,62.8,62.8,1700.0
62.805,62.81,62.805,62.81,702.0
62.8,62.8,62.8,62.8,600.0
62.8,62.8001,62.79,62.8001,1600.0
62.83,62.83,62.81,62.81,1300.0
62.83,62.84,62.83,62.84,700.0
62.79,62.85,62.78,62.84,3935.0
62.79,62.795,62.78,62.79,2325.0
62.82,62.82,62.8,62.8,1300.0
62.82,62.825,62.8,62.82,2656.0
62.8,62.8322,62.8,62.83,1750.0
62.76,62.8,62.76,62.79,1843.0
62.76,62.76,62.75,62.75,2212.0
62.77,62.77,62.77,62.77,500.0
62.76,62.77,62.76,62.77,1660.0
62.7,62.755,62.7,62.75,5456.0
62.71,62.72,62.71,62.71,1007.0
62.69,62.7,62.69,62.7,3128.0
62.66,62.69,62.66,62.69,2742.0
62.69,62.7,62.667,62.667,2000.0
62.69,62.69,62.69,62.69,600.0
62.73,62.73,62.69,62.69,1991.0
62.745,62.75,62.74,62.74,1212.0
62.74,62.75,62.73,62.75,900.0
62.75,62.75,62.74,62.75,1000.0
62.77,62.78,62.74,62.74,5925.0
