Open,High,Low,Close,Volume
13.34,13.34,13.34,13.34,41109.0
13.36,13.36,13.34,13.34,3067.0
13.39,13.41,13.36,13.36,7441.0
13.43,13.43,13.39,13.39,8328.0
13.43,13.436,13.42,13.42,5500.0
13.41,13.44,13.41,13.43,1200.0
13.425,13.425,13.425,13.425,1000.0
13.42,13.44,13.42,13.43,2600.0
13.41,13.4101,13.41,13.4101,700.0
13.41,13.41,13.41,13.41,300.0
13.41,13.41,13.4,13.4,600.0
13.39,13.39,13.39,13.39,100.0
13.41,13.41,13.39,13.39,4861.0
13.41,13.41,13.41,13.41,100.0
13.41,13.41,13.41,13.41,400.0
13.365,13.4,13.365,13.4,1278.0
13.37,13.39,13.37,13.37,3680.0
13.375,13.39,13.375,13.375,3600.0
13.375,13.3788,13.371,13.371,776.0
13.39,13.39,13.38,13.38,1600.0
13.385,13.385,13.385,13.385,100.0
13.4,13.4001,13.39,13.39,2181.0
13.39,13.39,13.38,13.39,2100.0
13.4,13.405,13.38,13.39,3000.0
13.395,13.4,13.3915,13.3915,600.0
13.4,13.4,13.39,13.39,1259.0
13.39,13.4,13.3754,13.4,3250.0
13.395,13.395,13.39,13.39,300.0
13.39,13.41,13.375,13.4,7782.0
13.375,13.41,13.375,13.4,7800.0
13.4,13.41,13.38,13.38,3900.0
13.405,13.41,13.3947,13.3947,2114.0
13.39,13.39,13.39,13.39,200.0
13.395,13.395,13.395,13.395,300.0
13.3901,13.395,13.3901,13.395,200.0
13.395,13.4,13.39,13.39,2404.0
13.395,13.4,13.395,13.395,600.0
13.395,13.4,13.39,13.391,5814.0
13.405,13.405,13.395,13.4,3800.0
13.38,13.41,13.38,13.41,2730.0
13.37,13.39,13.37,13.385,4946.0
13.39,13.39,13.375,13.375,2918.0
13.4053,13.4053,13.4,13.4,400.0
13.401,13.41,13.401,13.4023,3824.0
13.4,13.4,13.39,13.4,1907.0
13.405,13.405,13.395,13.4,600.0
13.4,13.4,13.4,13.4,100.0
13.409,13.409,13.405,13.405,244.0
13.395,13.4,13.39,13.4,1300.0
13.41,13.41,13.39,13.39,1800.0
13.42,13.42,13.41,13.41,2300.0
13.41,13.415,13.41,13.41,3000.0
13.41,13.41,13.41,13.41,715.0
13.415,13.415,13.41,13.41,1000.0
13.41,13.4161,13.4,13.41,6579.0
13.412,13.415,13.4,13.4,3658.0
13.415,13.415,13.41,13.41,1600.0
13.41,13.415,13.405,13.41,2600.0
13.41,13.415,13.41,13.415,1457.0
13.41,13.41,13.41,13.41,1100.0
13.4199,13.4199,13.4199,13.4199,300.0
13.415,13.42,13.415,13.42,200.0
13.405,13.4199,13.4,13.415,5100.0
13.38,13.405,13.38,13.4,9704.0
13.38,13.39,13.37,13.38,6300.0
13.38,13.38,13.377,13.38,3120.0
13.39,13.39,13.385,13.385,1340.0
13.4,13.4,13.39,13.39,4996.0
13.405,13.41,13.4,13.4,1400.0
13.4,13.405,13.395,13.4,1800.0
13.395,13.4,13.39,13.39,4200.0
13.38,13.395,13.375,13.395,5300.0
13.3851,13.39,13.385,13.385,450.0
13.395,13.395,13.39,13.39,2100.0
13.38,13.395,13.38,13.39,1500.0
13.4,13.4,13.39,13.39,1900.0
13.397,13.4,13.39,13.4,3900.0
13.4,13.4,13.4,13.4,100.0
13.4,13.4,13.39,13.39,400.0
13.38,13.3999,13.38,13.3999,5950.0
13.37,13.38,13.36,13.38,7400.0
13.365,13.3701,13.36,13.37,1900.0
13.365,13.37,13.355,13.36,3151.0
13.3315,13.37,13.33,13.37,16774.0
13.32,13.345,13.32,13.34,4100.0
13.34,13.34,13.325,13.325,3800.0
13.34,13.34,13.34,13.34,900.0
13.345,13.345,13.335,13.34,1700.0
13.35,13.35,13.34,13.34,2384.0
13.345,13.355,13.34,13.35,7100.0
13.35,13.35,13.34,13.34,1500.0
13.35,13.35,13.35,13.35,100.0
13.33,13.36,13.33,13.35,6294.0
13.33,13.3388,13.33,13.3388,2400.0
13.34,13.34,13.33,13.335,4600.0
13.34,13.34,13.34,13.34,1000.0
13.34,13.35,13.34,13.35,2012.0
13.35,13.35,13.335,13.335,1815.0
13.35,13.3599,13.35,13.35,1171.0
13.35,13.35,13.33,13.35,7212.0
13.355,13.355,13.34,13.34,2300.0
13.35,13.35,13.35,13.35,1026.0
13.35,13.35,13.335,13.34,3001.0
13.35,13.35,13.35,13.35,900.0
13.36,13.365,13.36,13.36,1212.0
13.375,13.375,13.36,13.36,1700.0
13.37,13.37,13.37,13.37,100.0
13.37,13.38,13.37,13.37,1000.0
13.37,13.3771,13.37,13.3771,317.0
13.365,13.375,13.365,13.37,2800.0
13.36,13.36,13.36,13.36,1000.0
13.365,13.37,13.35,13.355,3900.0
13.36,13.37,13.36,13.36,2100.0
13.36,13.36,13.36,13.36,300.0
13.35,13.35,13.35,13.35,100.0
13.37,13.37,13.355,13.36,2700.0
13.365,13.375,13.36,13.375,1779.0
13.38,13.38,13.37,13.37,1100.0
13.37,13.37,13.37,13.37,3964.0
13.36,13.365,13.36,13.365,500.0
13.37,13.37,13.37,13.37,300.0
13.36,13.37,13.36,13.37,1100.0
13.37,13.37,13.37,13.37,100.0
13.35,13.37,13.35,13.36,2300.0
13.36,13.36,13.36,13.36,400.0
13.36,13.36,13.35,13.36,300.0
13.36,13.36,13.35,13.3599,1700.0
13.37,13.38,13.35,13.35,3103.0
