Open,High,Low,Close,Volume
67.81,67.81,67.81,67.81,14944.0
67.81,67.85,67.785,67.785,7556.0
67.85,68.03,67.85,67.9,3120.0
67.91,67.94,67.84,67.91,1650.0
67.95,67.95,67.93,67.93,700.0
67.91,67.95,67.9,67.95,1150.0
67.95,68.0,67.94,67.94,1200.0
68.01,68.02,67.97,67.97,1100.0
67.9,67.9939,67.9,67.9939,1868.0
67.91,67.93,67.91,67.915,400.0
67.95,67.95,67.91,67.915,300.0
67.83,67.89,67.75,67.89,5341.0
67.88,67.88,67.77,67.78,1900.0
67.97,67.97,67.85,67.85,1070.0
67.88,67.98,67.85,67.96,2300.0
67.9,67.9,67.9,67.9,700.0
67.81,67.87,67.81,67.87,1300.0
67.86,67.86,67.8,67.82,1500.0
67.87,67.89,67.87,67.8787,849.0
67.82,67.84,67.81,67.84,1595.0
67.85,67.85,67.85,67.85,100.0
67.92,67.92,67.9,67.91,600.0
67.93,67.98,67.93,67.96,1350.0
67.91,67.91,67.89,67.91,300.0
67.98,67.98,67.95,67.95,700.0
67.95,67.98,67.93,67.98,707.0
67.97,67.98,67.94,67.96,1900.0
67.94,67.99,67.94,67.99,1300.0
67.95,67.96,67.94,67.95,700.0
67.95,67.95,67.91,67.93,1500.0
67.96,67.995,67.96,67.96,1700.0
67.98,67.98,67.94,67.94,1200.0
67.95,67.99,67.95,67.99,1500.0
67.97,67.98,67.94,67.94,935.0
67.91,67.95,67.91,67.95,1100.0
67.9,67.91,67.9,67.91,1200.0
67.85,67.9,67.85,67.89,2100.0
67.86,67.86,67.82,67.85,3551.0
67.86,67.86,67.83,67.86,1300.0
68.01,68.07,67.88,67.88,26251.0
68.06,68.06,68.02,68.02,3800.0
68.12,68.12,68.06,68.07,3600.0
68.11,68.13,68.1,68.1,1110.0
68.11,68.1239,68.08,68.12,2550.0
68.14,68.14,68.09,68.09,1600.0
68.09,68.14,68.08,68.13,3209.0
68.05,68.1,68.05,68.08,1200.0
68.07,68.07,68.05,68.05,647.0
68.0729,68.1,68.0729,68.09,1050.0
68.06,68.09,68.06,68.09,600.0
68.02,68.04,68.01,68.04,4200.0
68.02,68.03,68.02,68.03,1000.0
68.02,68.04,68.01,68.04,900.0
68.08,68.08,68.03,68.03,2300.0
68.09,68.09,68.06,68.09,1700.0
68.07,68.09,68.07,68.09,1000.0
68.1,68.1,68.07,68.08,1000.0
68.05,68.06,68.05,68.06,400.0
68.07,68.09,68.04,68.04,3876.0
68.15,68.15,68.07,68.07,2600.0
68.17,68.19,68.13,68.13,9524.0
68.2,68.2,68.18,68.2,1100.0
68.17,68.2,68.17,68.2,600.0
68.14,68.1705,68.13,68.1624,2495.0
68.155,68.1551,68.14,68.14,2786.0
68.13,68.14,68.13,68.14,1800.0
68.11,68.13,68.09,68.11,3900.0
68.15,68.15,68.1,68.12,9500.0
68.1799,68.1799,68.13,68.15,4919.0
68.16,68.18,68.15,68.18,1502.0
68.13,68.14,68.13,68.13,700.0
68.14,68.16,68.14,68.14,1800.0
68.14,68.15,68.14,68.15,500.0
68.13,68.14,68.13,68.14,200.0
68.14,68.14,68.11,68.13,1400.0
68.09,68.14,68.09,68.14,900.0
68.08,68.1,68.08,68.08,1199.0
68.01,68.07,68.01,68.06,1730.0
