Open,High,Low,Close,Volume
66.23,66.23,66.22,66.22,1000.0
66.14,66.14,66.14,66.14,1500.0
66.18,66.18,66.12,66.12,200.0
66.15,66.22,66.15,66.17,2900.0
66.31,66.31,66.12,66.16,664427.0
66.4,66.4,66.3,66.3,3000.0
66.38,66.42,66.29,66.42,4857.0
66.31,66.37,66.26,66.32,4905.0
66.34,66.38,66.32,66.32,1700.0
66.38,66.39,66.36,66.36,1875.0
66.45,66.48,66.39,66.39,5040.0
66.48,66.51,66.43,66.4512,2406.0
66.35,66.48,66.35,66.48,3182.0
66.38,66.42,66.37,66.37,6755.0
66.42,66.42,66.3,66.34,2791.0
66.43,66.46,66.42,66.42,19929.0
66.5,66.5,66.44,66.44,1120.0
66.52,66.52,66.48,66.5,600.0
66.5,66.52,66.5,66.5,6300.0
66.45,66.54,66.45,66.515,9993.0
66.42,66.46,66.39,66.45,3320.0
66.382,66.41,66.38,66.41,2128.0
66.36,66.39,66.36,66.38,1917.0
66.43,66.43,66.35,66.35,2204.0
66.45,66.45,66.42,66.43,4771.0
66.47,66.5,66.42,66.45,5452.0
66.47,66.51,66.46,66.5,7155.0
66.43,66.47,66.39,66.46,7380.0
66.42,66.43,66.39,66.42,3550.0
66.46,66.46,66.42,66.43,2550.0
66.5,66.54,66.44,66.47,11032.0
66.45,66.5101,66.45,66.5,11200.0
66.49,66.52,66.45,66.45,5484.0
66.45,66.49,66.45,66.49,1790.0
66.48,66.4999,66.46,66.46,1928.0
66.44,66.51,66.44,66.48,6208.0
66.51,66.52,66.44,66.44,4506.0
66.49,66.52,66.48,66.52,3800.0
66.46,66.49,66.46,66.49,1200.0
66.41,66.46,66.37,66.46,5300.0
66.43,66.44,66.43,66.43,1800.0
66.46,66.47,66.44,66.44,5488.0
66.5,66.5,66.46,66.47,3802.0
66.52,66.52,66.49,66.5,500.0
66.57,66.57,66.49,66.49,4603.0
66.56,66.6,66.53,66.59,6090.0
66.6,66.6,66.58,66.58,1050.0
66.57,66.61,66.57,66.61,2675.0
66.55,66.57,66.53,66.57,2149.0
66.57,66.58,66.55,66.56,2151.0
66.55,66.57,66.52,66.56,1600.0
66.54,66.56,66.54,66.54,1300.0
66.51,66.525,66.5,66.51,3300.0
66.41,66.5001,66.41,66.5,2337.0
66.41,66.43,66.39,66.43,2771.0
66.39,66.44,66.39,66.41,1988.0
66.44,66.44,66.39,66.39,800.0
66.37,66.44,66.37,66.44,2984.0
66.35,66.37,66.32,66.37,1700.0
66.38,66.39,66.36,66.36,1943.0
66.41,66.41,66.4,66.4,1000.0
66.35,66.39,66.35,66.39,2500.0
66.33,66.38,66.33,66.35,850.0
66.35,66.35,66.31,66.32,2045.0
66.33,66.33,66.3,66.33,4153.0
66.33,66.33,66.31,66.31,900.0
66.35,66.35,66.33,66.3391,5711.0
66.34,66.35,66.34,66.35,600.0
66.35,66.35,66.33,66.34,4292.0
66.37,66.37,66.35,66.35,700.0
66.3586,66.38,66.34,66.38,3100.0
66.35,66.35,66.34,66.35,1000.0
66.37,66.38,66.34,66.35,3101.0
66.4,66.4,66.37,66.37,3384.0
66.4,66.41,66.38,66.4,8045.0
66.44,66.45,66.41,66.41,2600.0
66.43,66.44,66.41,66.435,3900.0
66.45,66.46,66.41,66.425,6250.0
66.46,66.46,66.44,66.445,3201.0
66.49,66.5,66.465,66.47,16900.0
66.47,66.505,66.47,66.49,5815.0
66.48,66.49,66.46,66.47,2298.0
66.45,66.495,66.43,66.48,7501.0
66.43,66.45,66.42,66.44,14584.0
66.42,66.465,66.42,66.4375,10446.0
66.37,66.44,66.37,66.425,4556.0
66.37,66.38,66.33,66.37,18342.0
66.41,66.41,66.37,66.39,1700.0
66.41,66.44,66.4,66.4349,7132.0
66.47,66.47,66.41,66.41,2952.0
66.47,66.485,66.45,66.48,7050.0
66.45,66.46,66.45,66.4501,1000.0
66.45,66.45,66.42,66.45,3599.0
66.42,66.45,66.42,66.45,1860.0
66.43,66.44,66.41,66.41,3169.0
66.45,66.45,66.42,66.42,1450.0
66.41,66.45,66.41,66.45,3271.0
66.44,66.44,66.38,66.38,2922.0
66.45,66.47,66.44,66.44,2050.0
66.5,66.5,66.45,66.45,1572.0
66.5,66.5,66.47,66.5,4321.0
66.45,66.49,66.45,66.49,2300.0
66.42,66.43,66.42,66.43,2000.0
66.46,66.46,66.42,66.42,2483.0
66.5,66.5,66.46,66.46,4900.0
66.5,66.51,66.47,66.5,3813.0
66.49,66.5,66.47,66.5,2578.0
66.475,66.48,66.47,66.48,800.0
66.52,66.52,66.475,66.475,2572.0
66.49,66.52,66.49,66.52,2584.0
66.45,66.4999,66.45,66.491,2890.0
66.46,66.47,66.46,66.46,1750.0
66.47,66.47,66.44,66.45,2185.0
66.4922,66.4922,66.47,66.47,700.0
66.5,66.5,66.47,66.48,1325.0
66.51,66.52,66.51,66.51,1350.0
66.49,66.51,66.49,66.51,1500.0
66.5,66.5,66.46,66.49,1600.0
66.53,66.53,66.51,66.51,1115.0
66.5,66.53,66.5,66.53,1000.0
66.5,66.5,66.5,66.5,400.0
66.52,66.52,66.49,66.49,2033.0
66.49,66.535,66.49,66.53,1304.0
66.5,66.5,66.48,66.48,1100.0
66.48,66.5,66.48,66.5,1562.0
66.515,66.52,66.48,66.48,1968.0
66.53,66.53,66.52,66.52,706.0
66.49,66.515,66.49,66.51,2000.0
66.51,66.53,66.4874,66.4874,1635.0
66.51,66.53,66.51,66.51,700.0
66.54,66.54,66.51,66.5119,2006.0
66.59,66.59,66.54,66.54,1300.0
66.6,66.6,66.58,66.59,1400.0
66.64,66.65,66.5728,66.5728,7015.0
66.6197,66.63,66.615,66.63,3886.0
66.61,66.62,66.61,66.61,2800.0
66.585,66.61,66.585,66.61,3000.0
66.61,66.62,66.59,66.59,4386.0
66.615,66.62,66.61,66.61,1220.0
66.65,66.65,66.62,66.62,4585.0
66.63,66.6425,66.6,66.64,4567.0
66.64,66.66,66.63,66.63,4437.0
66.65,66.66,66.65,66.65,2400.0
66.68,66.69,66.65,66.65,1550.0
66.69,66.7,66.68,66.69,1777.0
66.68,66.71,66.68,66.69,4300.0
66.67,66.67,66.66,66.67,1402.0
66.64,66.675,66.64,66.67,1200.0
66.63,66.65,66.63,66.64,1300.0
66.64,66.66,66.62,66.62,1837.0
66.64,66.65,66.64,66.64,1100.0
66.6,66.63,66.6,66.629,1169.0
66.59,66.6,66.57,66.59,1705.0
66.58,66.59,66.58,66.59,1400.0
66.57,66.59,66.57,66.57,2800.0
66.53,66.56,66.53,66.56,1200.0
66.56,66.56,66.53,66.53,8503.0
66.55,66.55,66.54,66.54,1004.0
66.57,66.585,66.55,66.55,2309.0
66.56,66.57,66.56,66.56,700.0
66.55,66.56,66.54,66.56,3000.0
66.535,66.54,66.52,66.54,3601.0
66.55,66.55,66.54,66.54,2029.0
66.57,66.57,66.544,66.55,2918.0
66.58,66.58,66.57,66.57,1970.0
66.6,66.6,66.56,66.57,10598.0
66.61,66.61,66.59,66.6,10311.0
66.59,66.6,66.563,66.6,18672.0
66.6,66.61,66.59,66.6,6971.0
66.64,66.64,66.59,66.59,8340.0
66.62,66.65,66.61,66.645,2930.0
66.61,66.625,66.6,66.61,2700.0
66.62,66.62,66.61,66.61,500.0
66.6,66.6,66.59,66.6,2353.0
66.615,66.615,66.5801,66.59,3000.0
66.63,66.64,66.62,66.62,1151.0
66.61,66.61,66.6,66.61,400.0
66.6,66.6,66.6,66.6,800.0
66.59,66.595,66.59,66.59,600.0
66.59,66.595,66.58,66.59,4050.0
66.585,66.605,66.58,66.59,1931.0
66.59,66.6,66.575,66.59,600.0
66.59,66.6,66.59,66.59,1800.0
66.56,66.6,66.56,66.6,9016.0
66.57,66.57,66.57,66.57,200.0
66.59,66.59,66.57,66.57,13459.0
66.59,66.6,66.58,66.585,5200.0
66.59,66.59,66.59,66.59,100.0
66.585,66.6,66.585,66.59,1600.0
66.585,66.6,66.585,66.6,660.0
66.59,66.595,66.585,66.59,1898.0
66.59,66.595,66.58,66.595,11810.0
66.61,66.61,66.59,66.59,3121.0
66.59,66.61,66.585,66.61,4196.0
66.61,66.61,66.58,66.58,1701.0
66.6,66.61,66.59,66.61,1841.0
66.59,66.6,66.59,66.6,2863.0
66.6,66.6,66.59,66.59,1506.0
66.61,66.61,66.61,66.61,100.0
66.59,66.62,66.59,66.62,1800.0
66.59,66.59,66.585,66.59,1424.0
66.61,66.61,66.59,66.59,1200.0
66.61,66.61,66.61,66.61,700.0
66.615,66.6163,66.61,66.6163,2805.0
