Open,High,Low,Close,Volume
45.92,45.92,45.92,45.92,6437.0
45.98,45.98,45.97,45.97,400.0
45.96,45.96,45.96,45.96,100.0
45.96,45.96,45.96,45.96,100.0
45.98,46.05,45.98,45.98,600.0
45.88,46.03,45.88,45.98,600.0
45.88,45.89,45.88,45.89,200.0
45.87,45.94,45.86,45.88,1200.0
45.88,45.92,45.87,45.91,2250.0
45.86,45.86,45.83,45.84,1100.0
45.84,45.88,45.82,45.82,1700.0
45.8,45.85,45.8,45.85,200.0
45.7401,45.77,45.74,45.74,477.0
45.77,45.79,45.77,45.78,400.0
45.7699,45.79,45.7699,45.79,1701.0
45.72,45.74,45.72,45.73,900.0
45.74,45.74,45.73,45.73,474.0
45.765,45.765,45.765,45.765,100.0
45.81,45.82,45.77,45.77,2771.0
45.815,45.8199,45.815,45.8199,400.0
45.86,45.8697,45.85,45.85,518.0
45.83,45.85,45.83,45.85,800.0
45.82,45.82,45.82,45.82,200.0
45.84,45.85,45.815,45.84,1925.0
45.83,45.83,45.83,45.83,200.0
45.8,45.84,45.8,45.82,2700.0
45.77,45.78,45.77,45.78,200.0
45.75,45.76,45.75,45.76,600.0
45.74,45.74,45.74,45.74,100.0
45.72,45.72,45.72,45.72,200.0
45.72,45.72,45.72,45.72,200.0
45.72,45.72,45.72,45.72,100.0
45.75,45.76,45.74,45.76,1527.0
45.74,45.75,45.73,45.75,600.0
45.7301,45.75,45.7301,45.74,700.0
45.7498,45.75,45.73,45.73,500.0
45.735,45.75,45.735,45.75,900.0
45.74,45.74,45.7201,45.73,500.0
45.69,45.72,45.69,45.72,600.0
45.67,45.7,45.67,45.6801,1657.0
45.6401,45.66,45.6401,45.66,500.0
45.57,45.61,45.57,45.61,800.0
45.55,45.59,45.55,45.58,400.0
45.63,45.64,45.59,45.59,4400.0
45.58,45.64,45.57,45.63,5300.0
45.5301,45.5853,45.53,45.5853,1649.0
45.57,45.57,45.55,45.55,200.0
45.54,45.57,45.54,45.57,600.0
45.57,45.57,45.56,45.56,541.0
45.5705,45.59,45.55,45.56,1500.0
45.55,45.6,45.54,45.575,3100.0
45.55,45.55,45.54,45.55,1477.0
45.55,45.55,45.55,45.55,100.0
45.5601,45.57,45.56,45.57,700.0
45.56,45.59,45.56,45.59,900.0
45.58,45.58,45.5301,45.55,2303.0
45.58,45.6,45.5675,45.58,3500.0
45.59,45.59,45.55,45.56,2699.0
45.65,45.65,45.6,45.61,1000.0
45.67,45.69,45.6601,45.67,2300.0
45.67,45.68,45.67,45.68,400.0
45.66,45.7185,45.66,45.7185,825.0
45.65,45.67,45.64,45.67,1200.0
45.6101,45.64,45.6101,45.64,500.0
45.61,45.61,45.61,45.61,100.0
45.61,45.61,45.61,45.61,100.0
45.61,45.62,45.6,45.6,1700.0
45.61,45.62,45.61,45.62,1000.0
45.63,45.64,45.63,45.63,800.0
45.65,45.65,45.6101,45.64,3412.0
45.68,45.68,45.66,45.66,300.0
45.68,45.7,45.66,45.7,1208.0
45.6601,45.6768,45.6601,45.6768,350.0
45.66,45.66,45.66,45.66,100.0
45.6401,45.6745,45.6401,45.6745,950.0
45.64,45.66,45.64,45.64,1399.0
45.61,45.63,45.61,45.63,1000.0
45.56,45.61,45.54,45.61,2215.0
45.56,45.57,45.56,45.57,800.0
45.56,45.56,45.54,45.54,2180.0
45.59,45.59,45.5601,45.5601,1768.0
45.52,45.59,45.52,45.5801,1700.0
45.5001,45.5001,45.5001,45.5001,100.0
45.5,45.5,45.5,45.5,100.0
45.5,45.5,45.4501,45.5,3400.0
45.51,45.51,45.5,45.5,500.0
45.52,45.52,45.5001,45.51,300.0
45.54,45.54,45.5201,45.53,506.0
45.55,45.555,45.54,45.54,1400.0
45.56,45.56,45.5401,45.56,600.0
45.58,45.58,45.55,45.56,753.0
45.5895,45.59,45.57,45.5701,4142.0
45.585,45.59,45.58,45.58,500.0
45.58,45.585,45.58,45.58,950.0
45.6,45.6,45.58,45.58,1400.0
45.62,45.62,45.61,45.61,400.0
45.62,45.62,45.61,45.61,1000.0
45.61,45.62,45.6,45.62,1881.0
45.63,45.63,45.63,45.63,300.0
45.62,45.63,45.62,45.63,800.0
45.625,45.625,45.625,45.625,300.0
45.62,45.635,45.62,45.625,1700.0
45.62,45.62,45.62,45.62,300.0
45.65,45.65,45.63,45.64,2093.0
45.65,45.67,45.64,45.64,2800.0
45.6,45.66,45.6,45.63,3099.0
45.6,45.6,45.59,45.59,1619.0
45.61,45.61,45.6,45.6,400.0
45.61,45.61,45.61,45.61,700.0
45.602,45.602,45.602,45.602,1489.0
45.6,45.6,45.6,45.6,200.0
45.58,45.58,45.58,45.58,200.0
45.6,45.6,45.58,45.585,3515.0
45.59,45.59,45.59,45.59,1114.0
45.5793,45.5793,45.5793,45.5793,1179.0
45.56,45.59,45.56,45.59,3000.0
45.565,45.565,45.56,45.56,400.0
45.55,45.55,45.55,45.55,203.0
45.57,45.57,45.57,45.57,300.0
45.55,45.57,45.55,45.57,2954.0
45.58,45.59,45.55,45.55,5073.0
45.63,45.63,45.6,45.6,5043.0
45.6101,45.62,45.6,45.62,5238.0
45.606,45.61,45.606,45.61,855.0
45.61,45.61,45.61,45.61,100.0
45.61,45.61,45.609,45.609,200.0
45.61,45.61,45.6,45.6,729.0
45.62,45.62,45.62,45.62,900.0
45.65,45.65,45.64,45.64,700.0
45.65,45.65,45.65,45.65,600.0
45.65,45.65,45.64,45.65,700.0
45.65,45.65,45.64,45.65,700.0
45.6777,45.6777,45.65,45.65,1385.0
45.66,45.66,45.66,45.66,300.0
45.65,45.66,45.65,45.66,500.0
45.64,45.64,45.64,45.64,200.0
45.631,45.635,45.63,45.635,3000.0
45.65,45.65,45.63,45.63,800.0
45.67,45.67,45.66,45.66,2000.0
45.65,45.66,45.65,45.66,700.0
45.66,45.66,45.66,45.66,200.0
45.66,45.66,45.66,45.66,400.0
45.655,45.655,45.655,45.655,200.0
45.65,45.65,45.65,45.65,100.0
45.65,45.65,45.65,45.65,400.0
45.65,45.65,45.64,45.64,500.0
45.66,45.66,45.66,45.66,400.0
45.6418,45.6418,45.6418,45.6418,100.0
45.65,45.65,45.65,45.65,1700.0
45.66,45.66,45.66,45.66,300.0
45.65,45.66,45.65,45.66,900.0
45.65,45.65,45.65,45.65,800.0
45.65,45.65,45.65,45.65,200.0
45.66,45.66,45.65,45.65,300.0
45.66,45.66,45.66,45.66,100.0
45.66,45.66,45.66,45.66,300.0
45.66,45.66,45.66,45.66,100.0
45.66,45.66,45.66,45.66,200.0
45.65,45.65,45.65,45.65,500.0
45.65,45.65,45.65,45.65,1000.0
45.66,45.66,45.66,45.66,100.0
45.65,45.65,45.65,45.65,300.0
45.63,45.64,45.63,45.64,600.0
45.61,45.61,45.6,45.6,600.0
45.63,45.63,45.62,45.62,800.0
45.64,45.64,45.64,45.64,305.0
45.64,45.64,45.64,45.64,100.0
45.64,45.64,45.64,45.64,100.0
45.65,45.65,45.63,45.63,400.0
45.65,45.65,45.65,45.65,800.0
45.65,45.65,45.64,45.65,1000.0
45.66,45.66,45.64,45.65,1200.0
45.66,45.66,45.66,45.66,400.0
45.6462,45.6699,45.6462,45.6699,898.0
