Open,High,Low,Close,Volume
39.73,39.73,39.59,39.59,17253.0
39.6001,39.6001,39.6001,39.6001,850.0
39.66,39.66,39.66,39.66,100.0
39.63,39.71,39.62,39.69,3300.0
39.67,39.72,39.65,39.65,4425.0
39.69,39.69,39.69,39.69,200.0
39.69,39.69,39.66,39.679,1100.0
39.7,39.7,39.7,39.7,100.0
39.7,39.71,39.7,39.7,1200.0
39.7125,39.7125,39.71,39.71,502.0
39.69,39.69,39.69,39.69,200.0
39.7092,39.72,39.7092,39.713,2848.0
39.69,39.71,39.69,39.71,2100.0
39.67,39.695,39.67,39.69,4111.0
39.64,39.68,39.64,39.675,6550.0
39.6,39.65,39.6,39.63,2700.0
39.635,39.635,39.62,39.62,2935.0
39.645,39.65,39.635,39.635,4527.0
39.65,39.65,39.625,39.635,3583.0
39.63,39.64,39.63,39.64,700.0
39.61,39.62,39.61,39.62,2129.0
39.58,39.62,39.57,39.61,5900.0
39.57,39.59,39.57,39.59,2775.0
39.55,39.57,39.55,39.57,700.0
39.57,39.57,39.55,39.55,1886.0
39.56,39.58,39.56,39.57,1100.0
39.57,39.57,39.55,39.56,1500.0
39.6,39.6,39.56,39.56,8954.0
39.61,39.61,39.59,39.6,4972.0
39.6,39.61,39.6,39.61,3600.0
39.6,39.62,39.6,39.605,6298.0
39.58,39.6,39.58,39.6,10729.0
39.59,39.59,39.57,39.58,2900.0
39.59,39.6,39.59,39.59,3965.0
39.56,39.59,39.56,39.59,2347.0
39.55,39.56,39.55,39.56,4727.0
39.58,39.58,39.53,39.54,24210.0
39.59,39.59,39.59,39.59,600.0
39.62,39.62,39.59,39.59,5881.0
39.63,39.63,39.6,39.62,10534.0
39.64,39.64,39.63,39.63,700.0
39.625,39.63,39.625,39.63,1100.0
39.64,39.64,39.625,39.625,1311.0
39.65,39.65,39.645,39.645,600.0
39.64,39.645,39.64,39.645,6002.0
39.63,39.64,39.63,39.64,5515.0
39.635,39.635,39.63,39.635,1465.0
39.57,39.63,39.57,39.63,3500.0
39.5944,39.6,39.57,39.57,2714.0
39.58,39.595,39.58,39.595,1700.0
39.6,39.61,39.58,39.58,8093.0
39.6335,39.6335,39.605,39.605,3382.0
39.61,39.63,39.61,39.63,4700.0
39.62,39.62,39.61,39.6173,2478.0
39.625,39.65,39.62,39.63,17830.0
39.64,39.64,39.62,39.63,1729.0
39.65,39.66,39.64,39.64,25021.0
39.65,39.67,39.65,39.66,28357.0
39.65,39.65,39.64,39.65,12900.0
39.66,39.66,39.64,39.65,3204.0
39.66,39.66,39.645,39.66,7206.0
39.655,39.665,39.65,39.66,3400.0
39.65,39.65,39.645,39.65,3516.0
39.665,39.665,39.655,39.655,8360.0
39.66,39.66,39.65,39.66,3250.0
39.67,39.67,39.66,39.66,1816.0
39.665,39.665,39.66,39.66,500.0
39.67,39.67,39.66,39.66,600.0
39.66,39.665,39.66,39.66,7219.0
39.67,39.67,39.655,39.66,2700.0
39.68,39.68,39.67,39.67,2000.0
39.69,39.69,39.69,39.69,200.0
39.68,39.69,39.675,39.69,4126.0
39.675,39.68,39.67,39.67,3073.0
39.69,39.69,39.675,39.675,4396.0
39.685,39.7,39.68,39.69,9107.0
39.69,39.7,39.69,39.69,12716.0
39.69,39.7,39.69,39.7,700.0
39.695,39.7,39.685,39.69,4527.0
39.69,39.7,39.69,39.695,3077.0
39.695,39.695,39.685,39.69,4926.0
39.691,39.7,39.69,39.7,8951.0
39.69,39.695,39.69,39.69,2662.0
39.68,39.695,39.68,39.69,6000.0
39.67,39.68,39.67,39.68,3093.0
39.67,39.67,39.66,39.67,2900.0
39.67,39.675,39.67,39.67,6548.0
39.67,39.67,39.67,39.67,2960.0
39.665,39.67,39.665,39.67,1000.0
39.66,39.66,39.66,39.66,100.0
39.67,39.67,39.67,39.67,100.0
39.665,39.67,39.665,39.67,700.0
39.685,39.685,39.67,39.67,3199.0
39.69,39.695,39.68,39.69,14000.0
39.69,39.69,39.69,39.69,1300.0
39.685,39.685,39.68,39.68,200.0
39.67,39.68,39.67,39.68,2100.0
39.6616,39.6699,39.66,39.6699,842.0
39.68,39.68,39.66,39.66,4175.0
39.68,39.68,39.68,39.68,200.0
39.675,39.675,39.67,39.675,850.0
39.67,39.68,39.67,39.68,5000.0
39.66,39.67,39.66,39.67,300.0
39.67,39.67,39.66,39.66,300.0
39.665,39.67,39.66,39.6699,2975.0
39.67,39.67,39.665,39.665,200.0
39.67,39.67,39.665,39.665,2700.0
39.665,39.665,39.665,39.665,100.0
39.66,39.66,39.66,39.66,600.0
39.66,39.665,39.66,39.665,500.0
39.67,39.67,39.66,39.66,1926.0
39.68,39.685,39.665,39.665,3900.0
39.67,39.685,39.67,39.68,6832.0
39.651,39.665,39.65,39.665,1967.0
39.66,39.67,39.65,39.65,4783.0
39.64,39.66,39.635,39.66,4249.0
39.635,39.635,39.63,39.635,484.0
39.6,39.635,39.6,39.635,1924.0
39.605,39.615,39.605,39.61,2723.0
39.61,39.615,39.605,39.61,1950.0
39.605,39.61,39.6,39.61,3700.0
39.6,39.61,39.6,39.61,3900.0
39.59,39.6,39.59,39.6,2928.0
39.565,39.585,39.565,39.58,3580.0
39.54,39.56,39.54,39.56,6262.0
39.54,39.54,39.54,39.54,315.0
39.58,39.58,39.54,39.54,14071.0
39.597,39.597,39.58,39.58,1100.0
39.595,39.6,39.59,39.595,2839.0
39.595,39.595,39.59,39.595,400.0
39.59,39.6,39.59,39.59,1096.0
39.58,39.59,39.58,39.59,2800.0
39.6,39.61,39.58,39.58,5290.0
39.59,39.61,39.59,39.61,1621.0
39.595,39.5999,39.59,39.5999,1187.0
39.6,39.6,39.59,39.59,2803.0
