Open,High,Low,Close,Volume
54.47,54.61,54.47,54.61,7588.0
54.49,54.49,54.47,54.47,285.0
54.66,54.66,54.66,54.66,100.0
54.4801,54.65,54.4801,54.63,2598.0
54.49,54.49,54.49,54.49,100.0
54.49,54.49,54.49,54.49,100.0
54.5,54.5,54.5,54.5,100.0
54.48,54.51,54.48,54.51,700.0
54.51,54.51,54.481,54.481,500.0
54.48,54.52,54.48,54.52,5300.0
54.66,54.66,54.54,54.55,1300.0
54.71,54.71,54.71,54.71,200.0
54.67,54.68,54.67,54.68,600.0
54.7,54.73,54.69,54.7,1800.0
54.77,54.77,54.68,54.71,2900.0
54.77,54.82,54.76,54.76,2614.0
54.785,54.785,54.76,54.77,900.0
54.73,54.785,54.73,54.785,12500.0
54.82,54.82,54.74,54.74,1700.0
54.85,54.85,54.81,54.83,18900.0
54.79,54.93,54.79,54.85,3100.0
54.8,54.8,54.79,54.8,300.0
54.75,54.8,54.75,54.8,2100.0
54.8,54.8,54.78,54.78,400.0
54.805,54.81,54.78,54.78,1500.0
54.77,54.8,54.77,54.8,800.0
54.74,54.76,54.74,54.76,400.0
54.73,54.77,54.73,54.74,1100.0
54.71,54.73,54.71,54.72,500.0
54.78,54.78,54.74,54.74,200.0
54.78,54.83,54.78,54.82,1000.0
54.78,54.78,54.78,54.78,200.0
54.79,54.79,54.76,54.79,1200.0
54.82,54.83,54.79,54.79,1000.0
54.85,54.85,54.82,54.82,400.0
54.905,54.92,54.86,54.86,1309.0
54.88,54.9,54.88,54.89,800.0
54.92,54.93,54.9,54.9,900.0
54.93,54.93,54.92,54.92,200.0
54.96,54.96,54.95,54.95,400.0
54.95,54.96,54.92,54.94,1952.0
54.92,54.95,54.89,54.95,3700.0
54.9,54.9,54.88,54.9,1458.0
54.96,55.05,54.91,54.91,4925.0
54.92,54.955,54.92,54.95,1291.0
54.9,54.92,54.88,54.92,2008.0
54.9,54.91,54.9,54.91,1500.0
54.87,54.88,54.87,54.88,900.0
54.83,54.86,54.83,54.86,400.0
54.82,54.82,54.82,54.82,200.0
54.85,54.85,54.85,54.85,100.0
54.83,54.84,54.83,54.83,300.0
54.84,54.885,54.84,54.85,1720.0
54.83,54.83,54.82,54.83,500.0
54.77,54.82,54.77,54.82,940.0
54.79,54.79,54.77,54.77,500.0
54.78,54.8,54.78,54.8,800.0
54.77,54.77,54.74,54.76,1400.0
54.81,54.81,54.78,54.78,301.0
54.81,54.81,54.81,54.81,200.0
54.84,54.85,54.8,54.8,800.0
54.77,54.79,54.75,54.79,600.0
54.7897,54.8,54.77,54.77,1362.0
54.74,54.78,54.72,54.78,1100.0
54.73,54.75,54.73,54.75,802.0
54.69,54.71,54.66,54.71,1100.0
54.69,54.69,54.68,54.68,737.0
54.71,54.71,54.71,54.71,100.0
54.71,54.71,54.66,54.67,900.0
54.7,54.72,54.69,54.69,2000.0
54.68,54.71,54.68,54.71,700.0
54.65,54.66,54.65,54.66,1867.0
54.69,54.69,54.67,54.67,531.0
54.69,54.7,54.68,54.68,500.0
54.65,54.69,54.63,54.69,1401.0
54.65,54.67,54.65,54.67,400.0
54.63,54.66,54.63,54.66,800.0
54.64,54.64,54.63,54.63,400.0
54.62,54.62,54.62,54.62,200.0
54.6325,54.6325,54.63,54.63,300.0
54.62,54.62,54.62,54.62,600.0
54.58,54.6,54.57,54.6,500.0
54.57,54.57,54.57,54.57,200.0
54.6,54.6,54.57,54.57,600.0
54.65,54.65,54.6,54.6,900.0
54.67,54.67,54.67,54.67,100.0
54.69,54.69,54.69,54.69,200.0
54.68,54.695,54.66,54.69,1712.0
54.67,54.67,54.67,54.67,300.0
54.66,54.66,54.66,54.66,200.0
54.675,54.675,54.675,54.675,100.0
54.64,54.67,54.63,54.67,800.0
54.65,54.65,54.65,54.65,100.0
54.67,54.7,54.66,54.68,3669.0
54.66,54.66,54.66,54.66,500.0
54.61,54.64,54.61,54.64,700.0
54.63,54.63,54.63,54.63,200.0
54.64,54.64,54.64,54.64,100.0
54.69,54.69,54.68,54.68,500.0
54.75,54.76,54.74,54.74,500.0
54.73,54.73,54.73,54.73,100.0
54.74,54.75,54.74,54.75,700.0
54.75,54.75,54.75,54.75,100.0
54.78,54.78,54.78,54.78,100.0
54.79,54.79,54.79,54.79,300.0
54.78,54.79,54.77,54.79,1700.0
54.77,54.77,54.77,54.77,900.0
54.71,54.71,54.71,54.71,100.0
54.74,54.74,54.71,54.71,300.0
54.72,54.75,54.72,54.75,700.0
54.73,54.73,54.73,54.73,100.0
54.73,54.73,54.73,54.73,100.0
54.78,54.78,54.78,54.78,100.0
54.73,54.775,54.73,54.77,2300.0
54.74,54.74,54.74,54.74,100.0
54.75,54.75,54.74,54.74,200.0
54.78,54.805,54.78,54.8,1467.0
54.8,54.8,54.78,54.78,400.0
54.81,54.81,54.81,54.81,200.0
54.8,54.8,54.8,54.8,100.0
54.8,54.81,54.8,54.8,600.0
54.79,54.8,54.79,54.8,200.0
54.815,54.815,54.81,54.81,300.0
54.78,54.79,54.78,54.79,300.0
54.78,54.78,54.78,54.78,100.0
54.76,54.76,54.76,54.76,687.0
54.76,54.76,54.74,54.75,800.0
54.76,54.76,54.76,54.76,100.0
54.74,54.74,54.73,54.74,400.0
54.74,54.74,54.74,54.74,100.0
54.75,54.76,54.75,54.75,400.0
54.76,54.76,54.74,54.74,1800.0
54.77,54.77,54.77,54.77,300.0
54.74,54.76,54.74,54.76,500.0
54.74,54.74,54.74,54.74,400.0
54.735,54.735,54.735,54.735,100.0
54.74,54.74,54.735,54.735,627.0
54.77,54.77,54.74,54.74,400.0
54.75,54.78,54.75,54.78,900.0
54.77,54.77,54.77,54.77,100.0
54.76,54.76,54.76,54.76,200.0
54.75,54.75,54.74,54.74,300.0
54.8,54.8,54.77,54.77,900.0
54.77,54.78,54.77,54.78,1200.0
54.77,54.77,54.77,54.77,100.0
54.81,54.81,54.78,54.78,500.0
54.77,54.79,54.77,54.79,1300.0
54.78,54.78,54.78,54.78,200.0
54.8,54.8,54.8,54.8,200.0
54.79,54.79,54.79,54.79,200.0
54.8,54.8,54.78,54.78,700.0
54.8,54.8,54.8,54.8,100.0
54.84,54.84,54.8,54.81,1000.0
54.84,54.84,54.83,54.83,200.0
54.87,54.88,54.87,54.88,900.0
54.85,54.85,54.85,54.85,100.0
54.85,54.85,54.85,54.85,100.0
54.87,54.87,54.87,54.87,100.0
54.85,54.87,54.85,54.87,700.0
54.89,54.89,54.84,54.84,500.0
54.875,54.875,54.87,54.87,400.0
54.87,54.87,54.87,54.87,100.0
54.87,54.89,54.87,54.88,1200.0
54.9,54.9,54.89,54.89,500.0
54.9,54.9,54.9,54.9,200.0
54.865,54.885,54.865,54.88,900.0
54.86,54.86,54.86,54.86,100.0
54.82,54.83,54.82,54.83,200.0
54.855,54.855,54.84,54.84,400.0
54.8399,54.85,54.8399,54.85,400.0
54.85,54.85,54.84,54.84,505.0
54.84,54.85,54.84,54.85,500.0
54.78,54.82,54.78,54.82,1600.0
54.77,54.77,54.77,54.77,200.0
54.77,54.77,54.77,54.77,200.0
54.68,54.75,54.68,54.75,1800.0
54.68,54.68,54.68,54.68,300.0
54.68,54.68,54.68,54.68,100.0
54.69,54.69,54.68,54.68,200.0
54.68,54.68,54.68,54.68,100.0
54.7,54.7,54.69,54.69,700.0
54.71,54.72,54.71,54.71,600.0
54.72,54.72,54.71,54.72,600.0
54.73,54.73,54.73,54.73,100.0
54.73,54.74,54.73,54.74,500.0
54.69,54.69,54.69,54.69,100.0
54.69,54.69,54.69,54.69,300.0
54.68,54.69,54.68,54.69,2600.0
54.7,54.71,54.7,54.7,700.0
54.71,54.72,54.71,54.71,700.0
54.71,54.71,54.71,54.71,100.0
54.71,54.72,54.71,54.715,1721.0
54.71,54.72,54.71,54.72,538.0
54.715,54.715,54.715,54.715,100.0
54.71,54.72,54.71,54.72,800.0
54.7,54.71,54.7,54.71,795.0
54.67,54.69,54.67,54.68,300.0
54.59,54.65,54.59,54.65,400.0
54.55,54.56,54.54,54.54,1201.0
54.56,54.56,54.55,54.55,300.0
54.57,54.57,54.57,54.57,200.0
54.55,54.55,54.55,54.55,291.0
54.51,54.53,54.51,54.53,500.0
54.5,54.51,54.5,54.51,600.0
54.53,54.53,54.5,54.5,1118.0
54.54,54.55,54.54,54.54,400.0
54.53,54.53,54.53,54.53,300.0
54.5,54.52,54.5,54.52,500.0
54.43,54.48,54.43,54.48,1200.0
54.46,54.46,54.45,54.45,200.0
54.47,54.47,54.46,54.46,500.0
54.47,54.47,54.465,54.47,917.0
54.49,54.49,54.49,54.49,500.0
54.495,54.52,54.495,54.52,200.0
54.5,54.5,54.5,54.5,100.0
54.51,54.51,54.51,54.51,300.0
54.55,54.56,54.53,54.53,700.0
