Open,High,Low,Close,Volume
58.76,58.81,58.76,58.81,4526.0
58.92,58.93,58.92,58.9248,700.0
59.0,59.0,58.94,58.94,1212.0
59.15,59.205,59.02,59.1783,971.0
59.2099,59.2099,59.14,59.14,1000.0
59.1236,59.15,59.1236,59.15,800.0
59.06,59.09,59.06,59.08,1000.0
59.05,59.05,59.05,59.05,200.0
59.05,59.0505,59.05,59.0505,1137.0
59.04,59.05,59.04,59.05,700.0
59.11,59.11,59.02,59.02,1653.0
59.1399,59.1399,59.1,59.1,407.0
59.08,59.09,59.08,59.09,400.0
59.0,59.06,59.0,59.06,500.0
58.93,58.9569,58.93,58.94,440.0
58.92,58.93,58.92,58.93,200.0
58.84,58.92,58.84,58.92,400.0
58.79,58.84,58.79,58.84,400.0
58.73,58.7602,58.73,58.755,1899.0
58.6742,58.77,58.67,58.77,1950.0
58.63,58.63,58.58,58.63,500.0
58.61,58.65,58.61,58.65,600.0
58.56,58.6,58.56,58.6,800.0
58.58,58.58,58.56,58.56,700.0
58.59,58.59,58.55,58.5603,505.0
58.68,58.68,58.56,58.6,900.0
58.69,58.7,58.66,58.66,1700.0
58.71,58.71,58.71,58.71,100.0
58.65,58.705,58.65,58.705,490.0
58.65,58.65,58.65,58.65,400.0
58.58,58.58,58.58,58.58,100.0
58.62,58.62,58.62,58.62,300.0
58.66,58.66,58.62,58.62,500.0
58.66,58.66,58.63,58.64,800.0
58.62,58.65,58.62,58.65,400.0
58.65,58.65,58.65,58.65,100.0
58.625,58.625,58.625,58.625,202.0
58.68,58.68,58.68,58.68,100.0
58.62,58.67,58.62,58.67,900.0
58.6,58.64,58.6,58.63,500.0
58.6,58.61,58.6,58.6,500.0
58.535,58.573,58.535,58.573,500.0
58.52,58.52,58.51,58.51,500.0
58.4,58.52,58.4,58.52,500.0
58.46,58.46,58.42,58.42,200.0
58.37,58.4799,58.37,58.4799,2261.0
58.39,58.39,58.34,58.34,1400.0
58.37,58.4,58.37,58.4,1000.0
58.42,58.42,58.42,58.42,100.0
58.42,58.42,58.42,58.42,100.0
58.39,58.42,58.38,58.42,500.0
58.4,58.4,58.4,58.4,200.0
58.51,58.51,58.51,58.51,200.0
58.48,58.4801,58.48,58.48,400.0
58.44,58.48,58.44,58.48,500.0
58.44,58.44,58.42,58.42,200.0
58.4,58.41,58.4,58.41,800.0
58.406,58.406,58.406,58.406,649.0
58.44,58.44,58.4,58.41,1100.0
58.48,58.49,58.45,58.45,1503.0
58.49,58.49,58.49,58.49,100.0
58.52,58.52,58.52,58.52,432.0
58.55,58.55,58.54,58.54,300.0
58.58,58.58,58.58,58.58,100.0
58.62,58.62,58.58,58.58,1000.0
58.64,58.64,58.64,58.64,100.0
58.675,58.69,58.66,58.66,700.0
58.64,58.6975,58.64,58.6975,2050.0
58.65,58.66,58.65,58.65,500.0
58.65,58.65,58.65,58.65,200.0
58.64,58.66,58.63,58.64,1225.0
58.6491,58.6597,58.64,58.6597,496.0
58.64,58.64,58.63,58.63,200.0
58.62,58.65,58.62,58.645,1900.0
58.6,58.61,58.6,58.61,200.0
58.51,58.54,58.51,58.54,200.0
58.49,58.49,58.47,58.47,500.0
58.42,58.4866,58.42,58.4866,500.0
58.48,58.48,58.44,58.44,1227.0
58.485,58.485,58.485,58.485,100.0
58.43,58.47,58.43,58.47,600.0
58.42,58.42,58.42,58.42,200.0
58.43,58.43,58.43,58.43,200.0
58.45,58.45,58.43,58.45,400.0
58.45,58.45,58.42,58.45,1600.0
58.44,58.46,58.44,58.46,1400.0
58.42,58.42,58.42,58.42,200.0
58.42,58.42,58.42,58.42,200.0
58.43,58.43,58.42,58.42,700.0
58.4234,58.43,58.42,58.43,1063.0
58.42,58.43,58.42,58.43,500.0
58.43,58.43,58.43,58.43,100.0
58.41,58.41,58.41,58.41,100.0
58.42,58.43,58.42,58.43,400.0
58.39,58.41,58.39,58.41,800.0
58.36,58.36,58.36,58.36,500.0
58.39,58.39,58.38,58.38,500.0
58.38,58.38,58.38,58.38,100.0
58.44,58.44,58.4,58.4,1300.0
58.52,58.52,58.52,58.52,100.0
58.53,58.53,58.52,58.52,400.0
58.55,58.55,58.54,58.54,200.0
58.57,58.57,58.56,58.56,800.0
58.54,58.57,58.54,58.56,2500.0
58.5316,58.55,58.5316,58.55,1561.0
58.55,58.55,58.55,58.55,200.0
58.55,58.55,58.53,58.53,6170.0
58.58,58.58,58.54,58.54,500.0
58.61,58.61,58.59,58.59,1700.0
58.615,58.62,58.6,58.62,1200.0
58.59,58.59,58.54,58.57,950.0
58.56,58.58,58.55,58.58,1200.0
58.6,58.6,58.55,58.55,2193.0
58.5825,58.585,58.56,58.585,1800.0
58.62,58.62,58.59,58.59,1499.0
58.65,58.65,58.61,58.61,1300.0
58.7,58.7,58.65,58.65,1200.0
58.68,58.705,58.68,58.7,1887.0
58.6699,58.67,58.66,58.67,1101.0
58.6,58.655,58.6,58.65,1229.0
58.605,58.605,58.6,58.6,300.0
58.58,58.6042,58.58,58.6042,900.0
58.58,58.58,58.54,58.57,1728.0
58.6,58.6,58.59,58.59,500.0
58.59,58.59,58.58,58.59,1401.0
58.64,58.64,58.64,58.64,200.0
58.63,58.635,58.63,58.63,500.0
58.62,58.6335,58.62,58.63,424.0
58.64,58.64,58.64,58.64,700.0
58.6748,58.6748,58.6748,58.6748,200.0
58.67,58.69,58.67,58.68,1200.0
58.68,58.68,58.66,58.67,500.0
58.69,58.695,58.66,58.66,2040.0
58.68,58.68,58.68,58.68,400.0
58.675,58.68,58.675,58.68,700.0
58.64,58.67,58.64,58.67,900.0
58.63,58.64,58.63,58.64,900.0
58.61,58.63,58.61,58.63,300.0
58.61,58.63,58.61,58.63,800.0
58.61,58.61,58.61,58.61,200.0
58.6086,58.62,58.6086,58.62,703.0
58.61,58.618,58.6,58.6,670.0
58.59,58.6,58.59,58.6,700.0
58.585,58.595,58.57,58.58,800.0
58.58,58.585,58.57,58.57,2223.0
58.6,58.6,58.58,58.585,4504.0
58.59,58.595,58.585,58.59,10076.0
58.62,58.62,58.595,58.595,2497.0
58.62,58.64,58.62,58.64,2940.0
58.6,58.61,58.595,58.61,3000.0
58.61,58.61,58.595,58.6,1800.0
58.62,58.62,58.62,58.62,300.0
58.63,58.63,58.63,58.63,100.0
58.65,58.66,58.635,58.64,2100.0
58.64,58.66,58.64,58.66,1100.0
58.62,58.62,58.62,58.62,100.0
58.64,58.64,58.625,58.63,1756.0
58.64,58.64,58.64,58.64,100.0
58.65,58.65,58.65,58.65,300.0
58.64,58.65,58.63,58.65,1900.0
58.7,58.7,58.64,58.64,2933.0
58.7,58.7,58.7,58.7,500.0
58.69,58.69,58.69,58.69,300.0
58.7,58.7,58.69,58.69,300.0
58.69,58.7,58.69,58.7,400.0
58.68,58.69,58.68,58.69,1100.0
58.66,58.66,58.66,58.66,100.0
