Open,High,Low,Close,Volume
111.56,111.57,111.42,111.5,34382.0
111.73,111.73,111.48,111.6,2918.0
111.63,111.87,111.62,111.87,1865.0
111.44,111.62,111.44,111.62,9851.0
111.48,111.72,111.44,111.44,13594.0
111.5,111.65,111.44,111.53,7505.0
111.26,111.415,111.26,111.415,900.0
111.46,111.49,111.28,111.28,3262.0
111.49,111.61,111.49,111.49,2397.0
111.5834,111.63,111.53,111.53,1130.0
111.65,111.77,111.54,111.54,8098.0
111.66,111.69,111.64,111.67,805.0
111.78,111.8,111.58,111.65,3400.0
111.65,111.7466,111.65,111.7466,3395.0
111.63,111.7,111.57,111.697,4679.0
111.56,111.66,111.56,111.63,1667.0
111.62,111.63,111.46,111.52,1300.0
111.79,111.79,111.69,111.69,1400.0
111.8,111.86,111.77,111.79,2700.0
111.89,111.89,111.8,111.8,1400.0
111.83,111.88,111.82,111.83,1100.0
111.9278,111.93,111.83,111.83,2591.0
111.88,111.91,111.85,111.88,2111.0
111.9166,111.9166,111.85,111.86,2778.0
112.11,112.11,111.95,111.95,4995.0
112.0525,112.16,111.97,112.1599,8631.0
111.99,112.03,111.98,111.981,4024.0
111.97,112.01,111.94,112.01,1975.0
112.02,112.13,112.01,112.01,1600.0
112.0022,112.11,112.0022,112.0722,1900.0
111.98,112.02,111.95,111.965,2569.0
112.01,112.03,111.955,111.98,4029.0
112.07,112.08,111.99,112.015,3113.0
111.918,112.04,111.918,112.04,1900.0
111.89,111.9766,111.89,111.96,1825.0
111.97,111.97,111.85,111.88,1800.0
111.99,112.04,111.955,112.04,1300.0
112.01,112.03,111.98,111.98,2387.0
112.11,112.13,112.0,112.0,1700.0
112.09,112.11,112.04,112.09,3050.0
112.1,112.135,112.06,112.06,1301.0
112.12,112.13,112.11,112.11,1026.0
112.1,112.13,112.1,112.13,600.0
112.13,112.1697,112.11,112.11,2650.0
112.1,112.13,112.03,112.12,2555.0
112.09,112.14,112.085,112.14,1000.0
112.06,112.06,112.05,112.06,900.0
112.0,112.035,111.99,112.03,3763.0
111.99,112.05,111.99,112.02,1600.0
111.95,111.97,111.9,111.97,1200.0
111.82,111.92,111.82,111.9,4595.0
111.92,111.9361,111.84,111.84,1988.0
111.91,111.95,111.9,111.91,3400.0
112.02,112.02,111.91,111.91,2300.0
111.97,112.07,111.97,112.02,2600.0
111.96,112.0,111.95,111.96,1200.0
111.97,111.97,111.93,111.96,500.0
111.82,111.94,111.81,111.94,1956.0
111.84,111.86,111.84,111.86,1000.0
111.82,111.83,111.78,111.83,801.0
111.8,111.81,111.76,111.81,1445.0
111.72,111.82,111.72,111.77,1403.0
111.72,111.73,111.69,111.71,600.0
111.6979,111.7322,111.6961,111.7322,4150.0
111.68,111.68,111.62,111.67,2204.0
