Open,High,Low,Close,Volume
77.07,77.07,77.07,77.07,500.0
77.41,77.41,77.4,77.4,400.0
77.45,77.45,77.41,77.41,4529.0
77.6,77.6,77.6,77.6,400.0
77.74,77.78,77.73,77.78,770.0
77.9,77.9,77.85,77.88,1000.0
77.745,77.815,77.63,77.815,600.0
77.79,77.82,77.71,77.77,1200.0
77.92,77.92,77.7,77.815,3900.0
77.76,77.8,77.76,77.78,3400.0
77.92,77.92,77.85,77.85,1100.0
77.81,77.82,77.73,77.82,900.0
77.915,77.92,77.85,77.85,5406.0
77.88,77.94,77.88,77.94,400.0
77.79,77.79,77.79,77.79,101.0
77.9658,77.9658,77.835,77.835,494.0
77.84,77.92,77.84,77.86,400.0
78.01,78.055,77.92,77.94,1500.0
77.845,77.94,77.84,77.94,1000.0
77.99,77.99,77.88,77.88,1285.0
78.005,78.02,78.005,78.01,300.0
78.05,78.05,78.05,78.05,100.0
78.16,78.2,78.16,78.2,350.0
78.262,78.263,78.11,78.12,600.0
78.18,78.18,78.07,78.17,887.0
78.18,78.287,78.135,78.135,804.0
78.23,78.23,78.175,78.19,400.0
78.11,78.15,78.11,78.15,1100.0
78.055,78.055,78.055,78.055,100.0
78.05,78.09,78.02,78.09,629.0
78.01,78.04,77.96,78.04,3770.0
77.91,77.95,77.89,77.94,1800.0
77.86,77.92,77.86,77.92,550.0
77.97,77.97,77.86,77.86,810.0
77.97,78.01,77.97,78.01,1889.0
78.01,78.01,77.96,77.97,5767.0
78.02,78.06,77.99,77.99,1094.0
78.23,78.23,78.09,78.09,900.0
78.33,78.33,78.23,78.28,1600.0
78.37,78.375,78.33,78.375,1192.0
78.425,78.425,78.425,78.425,200.0
78.49,78.49,78.49,78.49,100.0
78.44,78.44,78.44,78.44,200.0
78.35,78.4,78.35,78.4,1380.0
78.16,78.3,78.16,78.3,1400.0
78.145,78.145,78.075,78.075,300.0
78.18,78.2,78.16,78.17,1800.0
78.25,78.25,78.165,78.165,1366.0
78.22,78.25,78.19,78.25,1600.0
78.08,78.13,78.08,78.13,200.0
78.1,78.1,78.08,78.08,400.0
78.12,78.12,78.12,78.12,100.0
78.1,78.1,78.1,78.1,125.0
78.02,78.09,78.02,78.07,2342.0
77.92,78.035,77.91,77.98,700.0
77.79,77.79,77.79,77.79,100.0
77.91,77.91,77.82,77.82,1000.0
77.84,77.905,77.83,77.905,900.0
77.87,77.88,77.87,77.87,1638.0
77.875,77.875,77.87,77.87,600.0
77.87,77.92,77.84,77.895,4000.0
77.835,77.84,77.8,77.84,700.0
77.69,77.79,77.69,77.79,3024.0
77.6,77.67,77.6,77.67,1200.0
77.54,77.61,77.54,77.61,700.0
77.56,77.595,77.52,77.555,4200.0
77.48,77.5,77.48,77.5,200.0
77.47,77.47,77.47,77.47,100.0
77.44,77.44,77.43,77.43,200.0
77.47,77.52,77.47,77.48,1400.0
77.44,77.47,77.43,77.47,700.0
77.42,77.42,77.42,77.42,400.0
77.51,77.53,77.45,77.48,4001.0
77.54,77.54,77.51,77.51,300.0
77.58,77.61,77.56,77.56,2610.0
77.58,77.58,77.57,77.57,821.0
77.575,77.59,77.56,77.59,800.0
77.54,77.57,77.54,77.57,500.0
77.61,77.62,77.59,77.6,803.0
77.625,77.69,77.6142,77.6142,1400.0
77.67,77.71,77.67,77.71,800.0
77.745,77.75,77.6701,77.6701,1873.0
77.71,77.74,77.71,77.74,600.0
77.71,77.71,77.675,77.7,300.0
77.665,77.75,77.665,77.75,1200.0
77.69,77.69,77.67,77.67,400.0
77.72,77.72,77.695,77.72,788.0
77.7,77.77,77.69,77.72,1200.0
77.73,77.73,77.73,77.73,106.0
77.74,77.74,77.68,77.71,300.0
77.75,77.785,77.71,77.75,800.0
77.77,77.78,77.76,77.77,700.0
77.74,77.775,77.74,77.775,200.0
77.82,77.82,77.82,77.82,200.0
77.811,77.87,77.811,77.87,615.0
77.86,77.87,77.83,77.86,400.0
77.87,77.87,77.87,77.87,100.0
77.87,77.87,77.87,77.87,200.0
77.83,77.865,77.81,77.84,900.0
77.74,77.78,77.74,77.78,400.0
77.74,77.761,77.725,77.725,421.0
77.815,77.815,77.76,77.76,486.0
77.87,77.87,77.84,77.84,200.0
77.81,77.87,77.79,77.87,1000.0
77.79,77.79,77.79,77.79,100.0
77.765,77.815,77.76,77.815,3810.0
77.79,77.8,77.79,77.8,500.0
77.83,77.83,77.83,77.83,100.0
77.83,77.83,77.8,77.8,200.0
77.885,77.885,77.87,77.87,900.0
77.885,77.885,77.85,77.87,600.0
77.91,77.91,77.91,77.91,100.0
77.78,77.84,77.76,77.84,1329.0
77.725,77.725,77.725,77.725,100.0
77.7519,77.7519,77.7519,77.7519,255.0
77.71,77.73,77.71,77.73,400.0
77.84,77.885,77.75,77.76,3679.0
77.79,77.84,77.79,77.84,500.0
77.9,77.92,77.86,77.87,1400.0
77.91,77.94,77.91,77.94,200.0
77.82,77.9,77.82,77.87,1000.0
77.825,77.825,77.825,77.825,200.0
77.86,77.87,77.85,77.85,400.0
77.89,77.89,77.89,77.89,200.0
77.8947,77.8947,77.885,77.885,300.0
77.93,77.95,77.9,77.9,400.0
77.8,77.96,77.8,77.94,700.0
77.79,77.79,77.79,77.79,200.0
77.8,77.8,77.8,77.8,100.0
77.815,77.83,77.8,77.8,300.0
77.805,77.85,77.805,77.81,500.0
77.84,77.84,77.84,77.84,100.0
77.83,77.87,77.82,77.87,2000.0
77.8,77.92,77.8,77.87,1500.0
77.84,77.84,77.82,77.82,1000.0
77.845,77.86,77.8,77.8,2300.0
77.96,77.96,77.89,77.89,900.0
78.01,78.01,78.0,78.0,500.0
77.96,77.995,77.94,77.98,1000.0
77.98,77.98,77.94,77.97,300.0
77.989,78.0,77.989,78.0,1000.0
77.91,78.0137,77.91,78.0137,600.0
77.96,77.96,77.96,77.96,200.0
77.97,77.97,77.97,77.97,100.0
77.99,77.99,77.98,77.98,200.0
77.97,77.97,77.95,77.95,400.0
77.94,77.97,77.94,77.97,600.0
77.9,77.92,77.88,77.88,1227.0
77.94,77.94,77.93,77.93,473.0
78.0,78.0,77.98,77.98,400.0
77.99,78.0,77.98,77.98,500.0
77.98,78.0,77.96,77.99,1936.0
78.02,78.02,77.96,77.96,200.0
77.985,77.985,77.985,77.985,100.0
78.0289,78.07,78.0,78.01,3100.0
78.08,78.08,78.08,78.08,100.0
78.1,78.1,78.07,78.07,200.0
78.06,78.06,78.04,78.058,800.0
78.02,78.02,78.02,78.02,100.0
78.1,78.1,78.06,78.06,300.0
78.14,78.14,78.12,78.12,797.0
78.21,78.21,78.12,78.13,700.0
78.21,78.21,78.21,78.21,100.0
78.275,78.275,78.235,78.235,300.0
78.24,78.26,78.22,78.26,1000.0
