Open,High,Low,Close,Volume
15.335,15.365,15.335,15.35,102505.0
15.41,15.41,15.34,15.35,103305.0
15.4,15.4116,15.3752,15.4,118843.0
15.4201,15.4201,15.39,15.4,70919.0
15.35,15.43,15.35,15.4268,102601.0
15.375,15.41,15.355,15.355,130956.0
15.381,15.39,15.36,15.38,82046.0
15.395,15.41,15.39,15.39,287096.0
15.44,15.45,15.39,15.4,58190.0
15.425,15.445,15.42,15.44,47796.0
15.45,15.46,15.42,15.42,40941.0
15.45,15.4611,15.45,15.45,28716.0
15.47,15.475,15.44,15.45,75258.0
15.4757,15.48,15.46,15.471,50208.0
15.475,15.5,15.475,15.4763,84367.0
15.4799,15.48,15.465,15.475,23834.0
15.46,15.47,15.45,15.47,34041.0
15.42,15.46,15.42,15.45,56314.0
15.415,15.43,15.41,15.4211,89612.0
15.42,15.42,15.41,15.41,18658.0
15.43,15.44,15.4192,15.42,100857.0
15.45,15.45,15.4309,15.4309,31623.0
15.46,15.46,15.435,15.445,39292.0
15.43,15.4501,15.42,15.4501,25537.0
15.43,15.44,15.43,15.43,27042.0
15.415,15.435,15.41,15.43,7701.0
15.41,15.43,15.4,15.4101,58796.0
15.41,15.415,15.4,15.4142,21158.0
15.39,15.41,15.39,15.41,41891.0
15.41,15.41,15.3833,15.39,29777.0
15.43,15.43,15.4,15.415,40682.0
15.47,15.48,15.43,15.43,100043.0
15.475,15.48,15.46,15.47,69770.0
15.47,15.48,15.44,15.47,1061860.0
15.47,15.48,15.455,15.47,69444.0
15.49,15.49,15.465,15.47,56265.0
15.49,15.49,15.47,15.49,58836.0
15.485,15.49,15.47,15.485,64313.0
15.495,15.5,15.485,15.49,72298.0
15.475,15.495,15.47,15.495,170909.0
15.48,15.49,15.47,15.4776,43716.0
15.46,15.4885,15.46,15.48,47834.0
15.47,15.47,15.45,15.46,60081.0
15.47,15.48,15.47,15.47,31040.0
15.475,15.475,15.47,15.47,7400.0
15.47,15.48,15.47,15.475,14282.0
15.47,15.475,15.455,15.475,87813.0
15.47,15.48,15.465,15.47,128160.0
15.455,15.47,15.45,15.47,14500.0
15.46,15.46,15.45,15.455,11149.0
15.4343,15.45,15.425,15.45,47654.0
15.43,15.45,15.43,15.43,51724.0
15.395,15.43,15.39,15.43,108305.0
15.42,15.42,15.39,15.395,40628.0
15.42,15.43,15.42,15.42,26223.0
15.41,15.43,15.41,15.42,84527.0
15.4,15.405,15.4,15.405,3625.0
15.4,15.41,15.39,15.4,38826.0
15.4,15.4,15.39,15.4,30196.0
15.4,15.4,15.391,15.4,11759.0
15.37,15.4,15.37,15.395,64196.0
15.38,15.39,15.37,15.37,36182.0
15.365,15.375,15.36,15.37,9760.0
15.35,15.37,15.35,15.37,26014.0
15.34,15.37,15.34,15.35,68726.0
15.341,15.35,15.34,15.345,19497.0
15.34,15.36,15.34,15.345,96724.0
15.345,15.35,15.335,15.34,91635.0
15.365,15.37,15.345,15.345,90366.0
15.38,15.385,15.365,15.365,32826.0
15.39,15.3985,15.375,15.375,33420.0
15.38,15.4,15.38,15.395,33246.0
15.36,15.375,15.36,15.37,12453.0
15.37,15.38,15.36,15.36,31139.0
15.375,15.38,15.375,15.38,36900.0
15.365,15.375,15.36,15.375,51077.0
15.365,15.37,15.36,15.365,2900.0
15.375,15.38,15.36,15.36,40789.0
15.37,15.375,15.37,15.375,4036.0
15.375,15.375,15.37,15.37,3500.0
15.38,15.38,15.37,15.375,37951.0
15.375,15.38,15.37,15.38,83854.0
15.3831,15.39,15.3734,15.38,100578.0
15.38,15.39,15.38,15.3899,9514.0
15.37,15.385,15.37,15.385,17984.0
15.38,15.38,15.375,15.38,11192.0
15.37,15.375,15.36,15.375,23547.0
15.35,15.37,15.35,15.365,22475.0
15.35,15.36,15.35,15.35,3700.0
15.32,15.35,15.32,15.35,53769.0
15.325,15.34,15.32,15.32,61776.0
15.32,15.33,15.32,15.3231,34703.0
15.315,15.325,15.31,15.32,17953.0
15.33,15.33,15.315,15.315,21053.0
15.345,15.35,15.33,15.33,15380.0
15.36,15.36,15.34,15.35,32353.0
15.36,15.36,15.35,15.36,6840.0
15.36,15.37,15.355,15.37,18007.0
15.3644,15.37,15.355,15.36,10010.0
15.355,15.369,15.35,15.36,11754.0
15.36,15.36,15.35,15.35,23552.0
15.37,15.38,15.355,15.355,28677.0
15.37,15.375,15.37,15.375,20647.0
15.37,15.37,15.37,15.37,2403.0
15.355,15.375,15.35,15.37,17552.0
15.355,15.36,15.355,15.355,2844.0
15.355,15.365,15.35,15.355,14690.0
15.355,15.36,15.35,15.35,5760.0
15.36,15.36,15.35,15.355,39785.0
15.355,15.365,15.35,15.36,4600.0
15.36,15.36,15.35,15.355,29539.0
15.355,15.36,15.35,15.3543,5599.0
15.35,15.36,15.35,15.36,38872.0
15.335,15.35,15.335,15.34,17405.0
15.35,15.36,15.335,15.335,77452.0
15.345,15.35,15.34,15.35,4800.0
15.335,15.345,15.335,15.34,14515.0
15.335,15.35,15.33,15.34,150910.0
15.34,15.34,15.33,15.34,16100.0
15.32,15.34,15.32,15.33,10504.0
15.32,15.33,15.32,15.32,24367.0
15.33,15.33,15.32,15.32,9811.0
15.34,15.34,15.325,15.325,15532.0
15.345,15.35,15.335,15.34,25921.0
15.345,15.35,15.335,15.34,35620.0
15.34,15.345,15.34,15.345,6449.0
15.34,15.345,15.34,15.34,3300.0
15.335,15.34,15.33,15.34,15199.0
15.34,15.345,15.335,15.335,42532.0
15.345,15.35,15.34,15.34,11050.0
15.355,15.36,15.3427,15.35,33160.0
15.35,15.355,15.34,15.35,23527.0
15.35,15.35,15.34,15.35,28300.0
