Open,High,Low,Close,Volume
79.78,79.78,79.78,79.78,11418.0
79.51,79.54,79.5,79.54,915.0
79.75,79.75,79.65,79.65,2467.0
79.635,79.635,79.635,79.635,100.0
79.635,79.635,79.53,79.55,700.0
79.63,79.72,79.63,79.72,300.0
79.34,79.65,79.34,79.625,8313.0
79.11,79.365,79.11,79.34,3750.0
79.24,79.24,79.03,79.11,3748.0
79.49,79.56,79.24,79.26,13640.0
79.6,79.6,79.4733,79.4733,2135.0
79.6,79.74,79.6,79.6,5441.0
79.74,79.74,79.63,79.7,1600.0
79.78,79.78,79.78,79.78,12948.0
79.71,79.71,79.71,79.71,100.0
79.82,79.82,79.78,79.78,1016.0
79.66,79.83,79.66,79.75,2441.0
79.6,79.68,79.6,79.68,400.0
79.48,79.59,79.48,79.59,2980.0
79.4,79.465,79.4,79.465,900.0
79.23,79.46,79.23,79.46,3800.0
79.29,79.29,79.1993,79.22,4973.0
79.38,79.41,79.36,79.36,1181.0
79.35,79.37,79.35,79.37,500.0
79.31,79.31,79.25,79.296,3342.0
79.2915,79.2915,79.2915,79.2915,100.0
79.42,79.45,79.28,79.29,1550.0
79.52,79.52,79.42,79.44,3600.0
79.52,79.55,79.45,79.45,700.0
79.36,79.51,79.35,79.51,8465.0
79.29,79.35,79.29,79.29,300.0
79.29,79.335,79.29,79.335,800.0
79.39,79.45,79.31,79.33,6100.0
79.315,79.43,79.25,79.38,1780.0
79.21,79.3169,79.21,79.315,3090.0
79.36,79.36,79.2,79.23,9951.0
79.3,79.36,79.245,79.32,10200.0
79.225,79.3,79.18,79.26,6608.0
79.212,79.225,79.13,79.225,2542.0
79.05,79.14,79.05,79.14,1400.0
79.03,79.03,79.03,79.03,100.0
79.09,79.12,79.02,79.055,2272.0
79.05,79.095,79.05,79.095,1700.0
79.28,79.28,79.08,79.08,4224.0
79.1,79.28,79.1,79.2101,5622.0
79.06,79.1547,79.06,79.1547,1400.0
79.07,79.11,79.07,79.11,1300.0
79.16,79.17,79.07,79.07,5300.0
79.14,79.17,79.1,79.16,2062.0
79.075,79.11,79.06,79.1,2827.0
79.14,79.14,79.07,79.08,3629.0
79.17,79.17,79.17,79.17,500.0
79.17,79.2,79.17,79.19,2180.0
79.13,79.16,79.13,79.16,800.0
79.19,79.19,79.17,79.17,2038.0
79.18,79.18,79.14,79.14,300.0
79.13,79.14,79.13,79.14,1100.0
79.1,79.12,79.08,79.12,900.0
79.095,79.095,79.095,79.095,200.0
79.0725,79.105,79.06,79.105,8034.0
79.08,79.08,79.0601,79.0601,400.0
79.038,79.08,79.0,79.08,4127.0
79.0,79.01,78.98,79.0,1100.0
78.98,79.0,78.91,79.0,10901.0
78.935,78.95,78.93,78.95,1100.0
78.95,78.96,78.92,78.92,2388.0
78.95,78.965,78.94,78.94,2286.0
78.99,79.0,78.97,78.97,1400.0
79.05,79.05,79.0,79.0,700.0
79.07,79.07,79.07,79.07,300.0
79.08,79.08,79.04,79.04,1800.0
79.11,79.11,79.09,79.09,400.0
79.1,79.1,79.06,79.07,4400.0
79.08,79.08,79.06,79.06,2291.0
79.09,79.09,79.05,79.06,2486.0
79.12,79.12,79.11,79.11,800.0
79.26,79.26,79.14,79.14,2400.0
79.16,79.22,79.15,79.19,3650.0
79.11,79.14,79.1,79.14,3963.0
79.05,79.105,79.05,79.095,2400.0
79.01,79.06,79.01,79.06,600.0
79.07,79.07,79.04,79.04,3000.0
79.11,79.11,79.09,79.09,300.0
79.18,79.18,79.13,79.13,1000.0
79.16,79.17,79.14,79.17,2400.0
79.25,79.25,79.13,79.1562,3896.0
79.18,79.21,79.18,79.21,2100.0
79.195,79.2,79.195,79.2,1662.0
79.2,79.23,79.2,79.23,1500.0
79.24,79.24,79.19,79.19,900.0
79.19,79.19,79.19,79.19,100.0
79.19,79.2,79.16,79.2,3799.0
79.16,79.19,79.16,79.185,700.0
79.17,79.19,79.17,79.17,2800.0
79.15,79.16,79.12,79.16,1900.0
79.11,79.11,79.1,79.11,300.0
79.11,79.16,79.11,79.15,1050.0
79.14,79.14,79.09,79.11,3200.0
79.1361,79.1361,79.1331,79.1331,442.0
79.16,79.16,79.14,79.14,1500.0
79.23,79.23,79.13,79.15,5200.0
79.2,79.2,79.19,79.19,719.0
79.1922,79.1922,79.1922,79.1922,100.0
79.23,79.23,79.18,79.209,3400.0
79.21,79.22,79.21,79.22,800.0
79.26,79.26,79.21,79.22,3350.0
79.32,79.32,79.27,79.27,2804.0
79.4032,79.4032,79.32,79.34,4167.0
79.44,79.445,79.39,79.39,3477.0
79.38,79.45,79.38,79.45,2757.0
79.42,79.47,79.395,79.395,1202.0
79.43,79.44,79.43,79.44,500.0
79.48,79.49,79.44,79.44,2119.0
79.47,79.47,79.47,79.47,100.0
79.5052,79.5052,79.5052,79.5052,100.0
79.47,79.52,79.46,79.49,1894.0
