Open,High,Low,Close,Volume
153.18,153.18,153.18,153.18,5865.0
153.22,153.385,153.2,153.2,300.0
153.38,153.38,153.23,153.34,800.0
154.069,154.069,153.41,153.48,2200.0
154.11,154.11,153.46,154.04,400.0
154.09,154.09,154.09,154.09,100.0
154.0,154.0,153.84,153.84,200.0
153.58,153.92,153.58,153.83,1600.0
153.735,153.735,153.57,153.57,2900.0
153.77,153.88,153.61,153.735,4000.0
153.56,153.895,153.56,153.77,2500.0
153.3301,153.53,153.33,153.53,2792.0
153.36,153.36,153.08,153.33,5164.0
153.4592,153.475,153.385,153.475,514.0
153.2,153.34,153.02,153.34,5841.0
153.285,153.35,153.06,153.2,4604.0
153.08,153.29,153.06,153.29,2100.0
152.9525,153.14,152.76,153.14,6296.0
153.05,153.15,152.92,152.92,1700.0
152.87,153.06,152.83,153.055,2642.0
152.955,152.955,152.87,152.87,1461.0
152.83,152.94,152.83,152.94,2581.0
152.79,152.9325,152.71,152.84,1949.0
152.6,152.76,152.6,152.74,2100.0
152.61,152.72,152.61,152.65,3916.0
152.57,152.65,152.57,152.6,1140.0
152.61,152.6106,152.52,152.6106,650.0
152.35,152.58,152.35,152.58,1800.0
152.19,152.41,152.13,152.24,8262.0
152.287,152.287,152.155,152.155,272.0
151.92,152.31,151.91,152.31,10660.0
151.99,152.08,151.9,151.92,2300.0
152.05,152.13,152.0,152.09,2924.0
152.17,152.17,152.08,152.14,700.0
152.08,152.19,152.08,152.1202,1820.0
152.25,152.32,152.11,152.15,1800.0
152.31,152.421,152.31,152.38,2865.0
152.32,152.38,152.3,152.34,1100.0
152.41,152.41,152.36,152.36,378.0
152.54,152.56,152.39,152.47,1400.0
152.57,152.65,152.53,152.54,1100.0
152.65,152.68,152.65,152.68,500.0
152.56,152.74,152.56,152.74,1631.0
152.59,152.68,152.59,152.68,500.0
152.72,152.72,152.67,152.67,2100.0
152.52,152.69,152.5,152.69,7336.0
152.42,152.55,152.42,152.54,900.0
152.13,152.36,152.08,152.36,8782.0
152.095,152.11,152.08,152.11,500.0
151.84,152.08,151.81,152.08,3841.0
151.83,151.89,151.83,151.89,300.0
151.69,151.89,151.69,151.88,1524.0
151.69,151.74,151.57,151.62,4850.0
151.76,151.76,151.65,151.6797,5699.0
151.81,151.81,151.71,151.73,3500.0
151.82,151.86,151.8,151.81,3118.0
151.735,151.78,151.68,151.78,2274.0
151.89,151.91,151.77,151.79,6097.0
151.92,151.93,151.88,151.88,1000.0
151.87,151.97,151.87,151.96,1724.0
151.86,151.86,151.86,151.86,320.0
151.83,151.9,151.8,151.85,1520.0
151.84,151.84,151.8,151.82,654.0
151.7,151.845,151.7,151.78,1300.0
151.83,151.83,151.76,151.81,1378.0
151.91,151.91,151.75,151.795,1760.0
151.925,151.925,151.86,151.86,300.0
152.04,152.05,151.83,151.85,3164.0
151.97,152.04,151.94,152.02,3808.0
152.08,152.09,151.995,152.02,3731.0
152.055,152.07,152.02,152.05,1998.0
152.045,152.05,152.01,152.04,2052.0
152.065,152.09,151.98,152.03,6994.0
152.13,152.175,152.08,152.09,1974.0
152.11,152.16,152.1,152.14,1950.0
152.13,152.13,152.09,152.09,4246.0
152.11,152.12,152.05,152.11,3300.0
152.09,152.12,152.08,152.1,1722.0
152.07,152.12,152.07,152.12,4012.0
152.18,152.19,152.095,152.11,4564.0
152.25,152.28,152.19,152.19,400.0
152.38,152.38,152.3,152.3,950.0
152.35,152.4,152.34,152.38,1550.0
152.33,152.33,152.31,152.32,1122.0
152.16,152.29,152.16,152.29,2052.0
152.2,152.2,152.16,152.16,1403.0
152.12,152.23,152.12,152.2,1300.0
152.16,152.16,152.06,152.07,800.0
152.02,152.06,152.02,152.06,534.0
151.9795,152.035,151.9795,151.99,940.0
152.0348,152.06,151.97,151.99,2197.0
152.09,152.11,152.055,152.06,834.0
152.16,152.16,152.06,152.08,800.0
152.09,152.09,152.09,152.09,100.0
152.18,152.18,152.18,152.18,100.0
152.1,152.18,152.09,152.18,2220.0
152.15,152.15,152.075,152.08,1501.0
152.23,152.23,152.18,152.18,1450.0
152.25,152.27,152.25,152.27,300.0
152.2,152.22,152.2,152.22,300.0
152.12,152.19,152.12,152.19,1280.0
152.13,152.13,152.13,152.13,100.0
152.08,152.15,152.08,152.15,1000.0
152.04,152.05,152.04,152.05,200.0
152.085,152.1,152.08,152.08,500.0
152.07,152.12,152.065,152.11,1300.0
152.16,152.16,152.08,152.08,600.0
152.2607,152.2607,152.25,152.25,200.0
152.25,152.3044,152.25,152.295,754.0
152.29,152.33,152.29,152.33,400.0
152.34,152.41,152.34,152.34,1100.0
152.25,152.31,152.23,152.31,1000.0
152.3,152.3,152.3,152.3,100.0
152.28,152.3,152.23,152.3,1000.0
152.21,152.28,152.185,152.26,2213.0
152.29,152.29,152.22,152.22,1300.0
152.33,152.35,152.32,152.332,900.0
152.4,152.4,152.38,152.38,300.0
