Open,High,Low,Close,Volume
47.23,47.23,47.23,47.23,11133.0
47.25,47.25,47.06,47.06,1142.0
47.245,47.245,47.245,47.245,300.0
47.27,47.3,47.265,47.3,400.0
47.21,47.26,47.18,47.26,2600.0
47.12,47.195,47.12,47.195,3500.0
47.22,47.22,47.12,47.12,1285.0
47.08,47.17,47.07,47.17,3508.0
47.076,47.076,47.076,47.076,200.0
47.12,47.12,47.12,47.12,100.0
47.23,47.23,47.135,47.16,2500.0
47.22,47.22,47.22,47.22,500.0
47.26,47.3,47.24,47.25,1900.0
47.22,47.26,47.19,47.26,3100.0
47.215,47.215,47.215,47.215,100.0
47.21,47.24,47.19,47.19,1500.0
47.185,47.2216,47.18,47.21,3951.0
47.155,47.17,47.155,47.17,600.0
47.1275,47.14,47.11,47.14,1701.0
47.2,47.2,47.13,47.15,2600.0
47.17,47.17,47.17,47.17,300.0
47.11,47.12,47.11,47.12,300.0
47.12,47.12,47.0901,47.1,1544.0
47.14,47.14,47.12,47.13,600.0
47.17,47.17,47.14,47.17,1857.0
47.18,47.19,47.17,47.19,900.0
47.16,47.19,47.16,47.18,1800.0
47.22,47.22,47.15,47.15,1100.0
47.14,47.17,47.14,47.17,1670.0
47.18,47.18,47.145,47.15,1400.0
47.19,47.22,47.19,47.2,1700.0
47.16,47.18,47.16,47.17,1800.0
47.17,47.18,47.17,47.17,600.0
47.19,47.19,47.16,47.16,1100.0
47.17,47.2,47.17,47.18,1600.0
47.14,47.1647,47.14,47.1647,1033.0
47.1,47.13,47.1,47.13,1200.0
47.0358,47.09,47.0358,47.09,1040.0
47.03,47.04,47.02,47.03,1400.0
46.97,47.04,46.97,47.04,3111.0
46.97,46.98,46.95,46.96,1573.0
46.971,46.98,46.97,46.98,500.0
46.98,46.98,46.98,46.98,100.0
46.99,46.99,46.98,46.98,300.0
47.01,47.01,46.98,46.98,2360.0
47.005,47.01,47.005,47.005,400.0
47.01,47.03,47.01,47.01,1800.0
47.02,47.02,47.01,47.01,300.0
47.02,47.04,47.01,47.03,2100.0
47.0,47.03,47.0,47.03,2800.0
47.01,47.01,46.99,46.99,600.0
47.02,47.02,47.02,47.02,100.0
47.01,47.01,47.01,47.01,100.0
47.0,47.005,46.99,47.0,800.0
47.025,47.03,46.99,47.0,2300.0
47.01,47.045,47.01,47.03,3300.0
47.0101,47.0101,47.01,47.01,500.0
46.995,47.0,46.99,47.0,700.0
46.945,46.99,46.9401,46.99,4100.0
46.98,46.99,46.95,46.95,2000.0
46.99,46.99,46.985,46.985,900.0
46.99,46.99,46.99,46.99,100.0
