Open,High,Low,Close,Volume
64.68,64.68,64.68,64.68,200.0
64.8999,64.94,64.81,64.93,18694.0
64.65,64.96,64.38,64.83,4400.0
64.7,64.89,64.6,64.61,6492.0
64.79,64.8,64.61,64.75,11200.0
64.685,64.75,64.62,64.62,2000.0
64.52,64.79,64.52,64.69,9021.0
64.65,64.65,64.51,64.51,3238.0
64.7,64.7,64.6276,64.6276,4099.0
64.8,64.8,64.695,64.695,3199.0
64.82,64.82,64.73,64.79,10482.0
64.8,64.84,64.73,64.82,13817.0
64.83,64.84,64.73,64.77,18024.0
64.65,64.84,64.615,64.84,10598.0
64.35,64.65,64.35,64.62,6030.0
64.53,64.54,64.34,64.35,2342.0
64.54,64.71,64.48,64.545,7757.0
64.51,64.62,64.47,64.505,8451.0
64.5,64.59,64.39,64.47,7575.0
64.4,64.57,64.36,64.57,3300.0
64.02,64.38,64.02,64.3,7021.0
64.12,64.12,64.01,64.01,4298.0
64.32,64.43,64.13,64.13,5531.0
64.37,64.42,64.25,64.28,2901.0
64.47,64.47,64.34,64.34,2401.0
64.41,64.48,64.29,64.48,3000.0
64.19,64.35,64.19,64.35,1500.0
64.37,64.37,64.21,64.21,1803.0
64.27,64.38,64.26,64.26,1135.0
64.27,64.28,64.2,64.2488,1000.0
64.19,64.31,64.17,64.215,7026.0
64.09,64.17,64.06,64.17,7427.0
64.16,64.16,64.0793,64.11,4466.0
63.98,64.25,63.94,64.16,10196.0
63.86,63.99,63.86,63.98,3334.0
63.94,63.94,63.84,63.92,7189.0
63.94,64.015,63.88,63.89,7942.0
64.1622,64.18,63.97,63.97,7172.0
64.14,64.21,64.07,64.18,4706.0
64.12,64.16,64.03,64.16,5200.0
64.06,64.12,64.06,64.07,1000.0
64.22,64.36,64.05,64.05,7355.0
64.27,64.27,64.2,64.2,3150.0
64.43,64.43,64.25,64.25,3478.0
64.44,64.44,64.41,64.41,1249.0
64.43,64.51,64.4,64.44,5300.0
64.5199,64.52,64.39,64.42,2299.0
64.44,64.46,64.41,64.46,800.0
64.48,64.48,64.46,64.46,1032.0
64.5609,64.57,64.43,64.43,3325.0
64.57,64.6,64.55,64.58,2781.0
64.55,64.61,64.5,64.61,3105.0
64.4875,64.53,64.42,64.53,1400.0
64.22,64.38,64.22,64.38,3600.0
64.2148,64.31,64.2148,64.23,4103.0
64.215,64.26,64.2,64.24,2600.0
64.34,64.4,64.24,64.26,11100.0
64.385,64.4,64.34,64.34,4400.0
64.31,64.42,64.31,64.4,2746.0
64.34,64.4,64.28,64.335,12866.0
64.34,64.4,64.34,64.365,9269.0
64.42,64.42,64.36,64.36,7577.0
64.5,64.58,64.43,64.43,8008.0
64.44,64.525,64.41,64.525,6211.0
64.34,64.4,64.32,64.38,4000.0
64.28,64.33,64.24,64.3299,7009.0
64.3,64.3,64.27,64.27,1801.0
64.22,64.275,64.22,64.25,1200.0
64.285,64.29,64.2,64.2,2500.0
64.29,64.315,64.25,64.3,5015.0
64.3,64.31,64.275,64.275,1300.0
64.28,64.32,64.2754,64.278,9180.0
64.34,64.37,64.28,64.29,12375.0
64.25,64.335,64.22,64.32,4500.0
64.35,64.4,64.275,64.275,10391.0
64.3195,64.35,64.3,64.35,3524.0
64.33,64.35,64.32,64.33,3100.0
64.34,64.35,64.3,64.3,2699.0
64.345,64.37,64.33,64.33,2901.0
64.39,64.42,64.35,64.36,5859.0
64.52,64.52,64.41,64.41,3306.0
64.48,64.6,64.48,64.55,5300.0
