Open,High,Low,Close,Volume
79.66,79.66,79.66,79.66,4537.0
79.38,79.48,79.07,79.095,500.0
79.78,79.8,79.52,79.52,1150.0
79.84,79.84,79.79,79.79,900.0
79.82,79.82,79.82,79.82,100.0
79.9,80.0,79.87,79.92,1708.0
79.6,79.93,79.5,79.91,3300.0
79.53,79.6,79.53,79.6,600.0
79.57,79.585,79.5111,79.585,1351.0
79.63,79.72,79.565,79.565,1700.0
79.59,79.7,79.59,79.64,600.0
79.47,79.53,79.47,79.53,600.0
79.45,79.51,79.45,79.49,700.0
79.65,79.69,79.64,79.65,700.0
79.555,79.65,79.54,79.65,500.0
79.53,79.62,79.5,79.5,500.0
79.57,79.6,79.57,79.6,400.0
79.59,79.59,79.59,79.59,651.0
79.64,79.73,79.63,79.65,1259.0
79.7,79.8,79.7,79.7,5206.0
79.72,79.7519,79.7,79.7,502.0
79.71,79.71,79.71,79.71,500.0
79.73,79.78,79.72,79.72,1921.0
79.76,79.79,79.76,79.765,300.0
79.825,79.825,79.825,79.825,300.0
79.83,79.83,79.815,79.815,500.0
79.825,79.825,79.76,79.76,500.0
79.85,79.89,79.79,79.839,1502.0
79.88,79.88,79.88,79.88,100.0
79.91,79.93,79.89,79.89,600.0
79.76,79.86,79.73,79.86,2086.0
79.71,79.75,79.67,79.74,500.0
79.69,79.75,79.69,79.75,1600.0
79.67,79.69,79.63,79.68,700.0
79.59,79.62,79.59,79.62,400.0
79.54,79.55,79.54,79.55,500.0
79.47,79.54,79.47,79.54,300.0
79.41,79.45,79.41,79.45,600.0
79.46,79.46,79.4,79.4,1300.0
79.56,79.56,79.48,79.49,2023.0
79.55,79.58,79.47,79.58,4334.0
79.5,79.53,79.47,79.5,19317.0
79.45,79.5,79.45,79.5,1100.0
79.43,79.47,79.42,79.42,2500.0
79.51,79.52,79.47,79.47,1331.0
79.44,79.49,79.44,79.48,1401.0
79.43,79.46,79.41,79.42,500.0
79.46,79.46,79.46,79.46,100.0
79.43,79.43,79.43,79.43,200.0
79.4,79.4,79.4,79.4,700.0
79.33,79.355,79.33,79.355,200.0
79.36,79.36,79.36,79.36,500.0
79.43,79.43,79.36,79.375,1100.0
79.48,79.48,79.47,79.47,300.0
79.5,79.51,79.48,79.51,1700.0
79.46,79.54,79.46,79.49,2500.0
79.45,79.46,79.41,79.445,800.0
79.51,79.52,79.465,79.465,700.0
79.52,79.52,79.52,79.52,300.0
79.55,79.58,79.52,79.52,800.0
79.5,79.57,79.5,79.57,2400.0
79.5426,79.55,79.515,79.54,820.0
79.49,79.52,79.47,79.52,1268.0
79.485,79.485,79.475,79.475,200.0
79.52,79.52,79.47,79.47,900.0
79.49,79.54,79.46,79.54,2500.0
79.5,79.53,79.5,79.51,400.0
79.34,79.37,79.34,79.37,300.0
79.3,79.32,79.28,79.32,1000.0
79.3,79.32,79.3,79.3,600.0
79.32,79.33,79.3,79.33,500.0
79.3,79.32,79.3,79.32,600.0
79.31,79.31,79.31,79.31,200.0
79.3,79.31,79.3,79.31,500.0
79.3,79.3,79.3,79.3,200.0
79.33,79.33,79.29,79.29,800.0
79.31,79.31,79.31,79.31,100.0
79.39,79.39,79.31,79.31,400.0
79.35,79.35,79.35,79.35,100.0
79.35,79.35,79.35,79.35,100.0
79.38,79.38,79.32,79.35,600.0
79.32,79.32,79.32,79.32,100.0
79.3,79.32,79.29,79.32,1128.0
79.28,79.3,79.28,79.2875,700.0
79.28,79.3,79.28,79.29,400.0
79.3,79.3,79.29,79.29,1470.0
79.29,79.29,79.29,79.29,100.0
79.37,79.37,79.29,79.29,1600.0
79.33,79.43,79.33,79.41,2500.0
79.3,79.3,79.3,79.3,200.0
79.31,79.32,79.295,79.3,1302.0
79.33,79.37,79.28,79.28,1000.0
79.48,79.49,79.45,79.45,300.0
79.57,79.57,79.48,79.48,900.0
79.56,79.56,79.545,79.56,1100.0
79.51,79.53,79.51,79.53,600.0
79.48,79.5,79.48,79.5,700.0
79.43,79.46,79.43,79.46,400.0
79.45,79.46,79.44,79.44,505.0
79.43,79.43,79.43,79.43,100.0
79.41,79.44,79.41,79.44,200.0
79.5,79.5,79.44,79.44,1000.0
79.55,79.58,79.55,79.56,300.0
79.49,79.56,79.49,79.56,1900.0
79.55,79.55,79.485,79.485,300.0
79.56,79.56,79.53,79.55,1100.0
79.56,79.56,79.54,79.54,300.0
79.47,79.51,79.47,79.51,400.0
79.45,79.45,79.45,79.45,100.0
79.43,79.49,79.43,79.49,200.0
79.47,79.47,79.47,79.47,100.0
79.43,79.51,79.42,79.48,2600.0
79.39,79.39,79.39,79.39,100.0
79.36,79.4,79.36,79.39,600.0
79.37,79.37,79.36,79.36,200.0
79.35,79.35,79.35,79.35,200.0
79.41,79.41,79.34,79.34,900.0
