Open,High,Low,Close,Volume
9.27,9.27,9.27,9.27,66860.0
9.22,9.27,9.21,9.27,24541.0
9.19,9.23,9.19,9.22,18733.0
9.1816,9.2,9.18,9.19,35651.0
9.17,9.185,9.17,9.18,5626.0
9.16,9.17,9.16,9.17,900.0
9.1601,9.17,9.15,9.16,77868.0
9.12,9.16,9.12,9.16,25783.0
9.13,9.13,9.12,9.13,25361.0
9.1238,9.1238,9.12,9.12,2414.0
9.12,9.125,9.12,9.125,1400.0
9.13,9.13,9.12,9.12,20296.0
9.125,9.126,9.12,9.12,1300.0
9.13,9.13,9.12,9.1212,25653.0
9.125,9.13,9.11,9.12,16746.0
9.14,9.14,9.123,9.13,13515.0
9.14,9.14,9.13,9.14,2648.0
9.11,9.14,9.11,9.135,20114.0
9.105,9.11,9.1,9.11,7145.0
9.1,9.105,9.1,9.105,2700.0
9.09,9.1001,9.09,9.1001,22445.0
9.08,9.09,9.08,9.09,4764.0
9.07,9.09,9.07,9.085,31850.0
9.06,9.08,9.06,9.075,11747.0
9.06,9.0688,9.06,9.06,5300.0
9.055,9.065,9.05,9.06,6007.0
9.05,9.06,9.05,9.055,40511.0
9.05,9.06,9.05,9.05,4100.0
9.04,9.06,9.04,9.05,26895.0
9.02,9.045,9.02,9.04,30334.0
9.01,9.0201,9.01,9.0201,35956.0
8.97,9.02,8.97,9.02,75417.0
8.989,8.99,8.97,8.97,94982.0
8.97,8.985,8.97,8.98,38496.0
8.965,8.9799,8.96,8.9799,9400.0
8.95,8.965,8.95,8.965,21300.0
8.935,8.96,8.93,8.95,87015.0
8.935,8.935,8.93,8.935,4100.0
8.94,8.94,8.93,8.935,15299.0
8.935,8.94,8.93,8.93,23300.0
8.94,8.94,8.93,8.94,37488.0
8.94,8.94,8.93,8.94,13159.0
8.98,8.98,8.935,8.935,64825.0
8.98,8.98,8.97,8.98,1316.0
8.975,8.98,8.97,8.98,3718.0
8.97,8.98,8.97,8.98,4200.0
8.975,8.98,8.97,8.98,3700.0
8.995,9.0,8.97,8.98,58496.0
9.01,9.015,8.9999,9.0,36466.0
9.005,9.01,9.0,9.0,35916.0
9.0352,9.05,9.005,9.005,61137.0
9.01,9.0387,9.01,9.035,18767.0
9.01,9.01,9.005,9.005,1200.0
9.02,9.02,9.01,9.01,31004.0
9.02,9.02,9.015,9.02,10595.0
9.015,9.02,9.01,9.015,21050.0
9.02,9.02,9.015,9.02,5700.0
9.015,9.02,9.015,9.015,3455.0
9.0135,9.02,9.0135,9.015,23162.0
9.02,9.02,9.015,9.015,3750.0
9.02,9.02,9.01,9.02,3592.0
9.02,9.02,9.011,9.02,4317.0
9.015,9.02,9.01,9.02,4818.0
9.02,9.02,9.01,9.01,4800.0
9.0022,9.015,9.0,9.01,34980.0
9.005,9.01,9.0,9.0,2600.0
9.01,9.01,9.0,9.005,5888.0
8.97,9.01,8.97,9.005,101265.0
8.96,8.98,8.96,8.97,149171.0
8.95,8.961,8.95,8.96,16763.0
8.94,8.955,8.935,8.95,31596.0
8.94,8.95,8.94,8.945,12786.0
8.95,8.9561,8.94,8.94,39508.0
