Open,High,Low,Close,Volume
53.46,53.875,53.33,53.84,33890.0
53.61,53.68,53.38,53.41,15122.0
53.87,54.17,53.6,53.65,22187.0
53.79,53.93,53.76,53.87,4000.0
53.82,53.85,53.71,53.71,93145.0
53.9,53.92,53.79,53.84,45771.0
54.06,54.06,53.905,53.91,15215.0
53.92,54.12,53.905,54.08,22407.0
53.99,54.05,53.94,53.94,24696.0
54.029,54.13,54.0,54.02,39056.0
54.055,54.13,54.01,54.02,42422.0
53.91,54.13,53.9,54.055,48186.0
53.85,53.91,53.82,53.91,18465.0
53.77,53.87,53.755,53.84,11835.0
53.7675,53.82,53.74,53.77,14365.0
54.01,54.01,53.7675,53.77,22895.0
54.12,54.13,54.01,54.01,15132.0
54.14,54.15,54.07,54.11,11090.0
54.03,54.13,54.01,54.13,9769.0
53.99,54.11,53.99,54.05,12551.0
53.905,53.98,53.9,53.98,12366.0
53.8375,53.91,53.825,53.9,26040.0
53.775,53.83,53.755,53.83,17167.0
53.73,53.7766,53.725,53.7766,11652.0
53.69,53.74,53.6375,53.74,29612.0
53.59,53.7,53.58,53.69,23217.0
53.77,53.77,53.59,53.59,16784.0
53.71,53.82,53.71,53.78,9195.0
53.76,53.76,53.69,53.6901,17498.0
53.79,53.79,53.72,53.77,20891.0
53.92,53.94,53.79,53.79,33037.0
54.1,54.11,53.92,53.92,16367.0
54.04,54.0901,54.03,54.08,8572.0
53.94,54.03,53.94,54.03,9212.0
54.06,54.065,53.95,53.95,8743.0
54.21,54.22,54.05,54.05,20336.0
54.08,54.198,54.08,54.19,9033.0
53.96,54.07,53.96,54.07,6625.0
54.04,54.06,53.97,53.97,50751.0
53.99,54.06,53.98,54.04,23624.0
53.88,53.98,53.86,53.98,23184.0
53.995,53.995,53.87,53.87,31269.0
53.9,54.01,53.9,54.0,18506.0
53.96,53.97,53.88,53.91,20755.0
54.09,54.1,53.97,53.97,42911.0
54.03,54.11,54.025,54.08,11571.0
54.13,54.14,54.03,54.03,58552.0
54.18,54.18,54.105,54.12,28443.0
54.17,54.22,54.16,54.1627,9794.0
54.19,54.2,54.1,54.16,22864.0
54.31,54.31,54.19,54.19,5112.0
54.28,54.31,54.27,54.31,31542.0
54.19,54.28,54.17,54.28,24295.0
54.205,54.27,54.14,54.19,67473.0
54.2,54.21,54.16,54.2,26518.0
54.33,54.33,54.19,54.2,83278.0
54.31,54.35,54.295,54.33,19158.0
54.24,54.35,54.24,54.32,10680.0
54.22,54.25,54.2,54.24,6817.0
54.22,54.26,54.2,54.22,11608.0
54.19,54.2,54.15,54.2,10427.0
54.31,54.34,54.19,54.21,19954.0
54.35,54.37,54.285,54.3,24400.0
54.4,54.44,54.325,54.34,21792.0
54.6,54.64,54.38,54.4,60973.0
54.57,54.61,54.54,54.6,28656.0
54.65,54.67,54.57,54.57,10503.0
54.66,54.72,54.62,54.651,11442.0
54.58,54.7099,54.58,54.65,15634.0
54.635,54.68,54.58,54.58,18487.0
54.53,54.62,54.53,54.61,8901.0
54.56,54.57,54.53,54.53,5982.0
54.51,54.59,54.5,54.56,19716.0
54.48,54.56,54.48,54.51,4511.0
54.56,54.56,54.45,54.47,14862.0
54.52,54.56,54.48,54.56,14724.0
54.6,54.6,54.511,54.52,9420.0
54.595,54.61,54.535,54.595,17260.0
54.63,54.67,54.6,54.61,24967.0
54.625,54.67,54.625,54.63,10000.0
54.61,54.62,54.56,54.62,15178.0
54.73,54.75,54.61,54.615,26059.0
54.77,54.78,54.72,54.72,78527.0
54.78,54.8,54.765,54.77,20481.0
54.72,54.8,54.7,54.785,9400.0
54.66,54.73,54.66,54.72,7866.0
54.71,54.715,54.65,54.65,5941.0
54.7,54.755,54.7,54.72,30359.0
54.7,54.72,54.66,54.7,9190.0
54.67,54.71,54.67,54.68,5000.0
54.61,54.67,54.605,54.67,11771.0
54.58,54.61,54.54,54.61,8215.0
54.5401,54.57,54.54,54.57,6200.0
54.63,54.63,54.54,54.54,4041.0
54.615,54.64,54.59,54.64,11529.0
54.6,54.63,54.58,54.62,6899.0
54.605,54.63,54.59,54.59,6253.0
54.605,54.65,54.59,54.61,6500.0
54.58,54.625,54.565,54.61,13313.0
54.59,54.6075,54.57,54.59,18139.0
54.5,54.59,54.495,54.59,9016.0
54.45,54.51,54.42,54.5,22900.0
54.42,54.47,54.42,54.45,2900.0
54.5,54.52,54.42,54.42,13823.0
54.609,54.62,54.51,54.51,7852.0
54.6,54.62,54.56,54.6,8454.0
54.58,54.6001,54.58,54.59,12704.0
54.63,54.66,54.59,54.59,8497.0
54.62,54.63,54.605,54.625,18194.0
54.6,54.62,54.56,54.62,6148.0
54.59,54.61,54.58,54.6,4421.0
54.56,54.59,54.56,54.59,3456.0
54.575,54.6,54.57,54.57,14767.0
54.58,54.6,54.57,54.58,11774.0
54.6,54.6,54.57,54.58,5964.0
54.49,54.59,54.48,54.59,12095.0
54.49,54.5,54.48,54.49,10461.0
54.42,54.49,54.41,54.49,15681.0
54.44,54.45,54.41,54.43,6007.0
54.455,54.465,54.45,54.45,7259.0
54.38,54.45,54.38,54.45,4049.0
54.34,54.39,54.34,54.38,5485.0
54.39,54.39,54.32,54.35,4705.0
54.38,54.41,54.38,54.4,5520.0
54.33,54.385,54.33,54.38,15361.0
54.32,54.35,54.3,54.335,3160.0
54.4,54.4,54.33,54.33,6320.0
54.4,54.42,54.38,54.39,5101.0
54.4,54.4,54.39,54.39,1800.0
54.45,54.45,54.41,54.41,4569.0
54.46,54.47,54.46,54.47,1100.0
54.49,54.49,54.46,54.47,2100.0
54.51,54.51,54.485,54.49,2700.0
54.53,54.53,54.5,54.51,4745.0
54.52,54.55,54.51,54.53,11701.0
54.51,54.55,54.5,54.53,7155.0
54.47,54.52,54.47,54.52,2755.0
54.44,54.46,54.405,54.46,6191.0
54.43,54.51,54.43,54.44,9633.0
54.44,54.47,54.43,54.43,2106.0
54.49,54.49,54.445,54.45,4590.0
54.42,54.5,54.4,54.49,13574.0
54.42,54.42,54.36,54.41,15800.0
54.45,54.46,54.4,54.42,16173.0
54.45,54.48,54.445,54.45,11145.0
54.46,54.46,54.42,54.45,7941.0
54.5,54.51,54.43,54.45,8253.0
54.45,54.5,54.43,54.5,10156.0
54.469,54.469,54.415,54.44,7683.0
54.4,54.47,54.39,54.47,6830.0
54.355,54.42,54.355,54.41,7657.0
