Open,High,Low,Close,Volume
47.25,47.25,47.24,47.24,42638.0
47.18,47.355,47.18,47.24,8004.0
46.95,47.2,46.95,47.18,20247.0
46.9,47.0,46.82,47.0,14101.0
46.915,46.92,46.89,46.89,13149.0
46.79,46.91,46.75,46.91,22115.0
46.53,46.82,46.4256,46.81,44495.0
46.53,46.62,46.51,46.53,28683.0
46.43,46.55,46.42,46.52,39542.0
46.45,46.47,46.4,46.469,35370.0
46.41,46.43,46.36,46.43,23641.0
46.33,46.4499,46.33,46.3968,10582.0
46.3492,46.39,46.33,46.35,5787.0
46.33,46.36,46.32,46.34,10680.0
46.31,46.385,46.31,46.34,18617.0
46.24,46.34,46.24,46.315,21404.0
46.285,46.3,46.2399,46.24,35296.0
46.36,46.42,46.27,46.29,17205.0
46.3,46.3846,46.3,46.383,13220.0
46.25,46.32,46.22,46.305,37541.0
46.26,46.27,46.22,46.24,12824.0
46.1674,46.29,46.13,46.255,35231.0
46.245,46.2602,46.165,46.1691,12799.0
46.24,46.25,46.18,46.2245,9055.0
46.19,46.27,46.18,46.25,13520.0
46.21,46.2199,46.18,46.18,4800.0
46.18,46.29,46.18,46.21,17874.0
46.18,46.25,46.18,46.18,5400.0
46.2,46.21,46.18,46.18,8340.0
46.22,46.22,46.2,46.2,3032.0
46.19,46.23,46.15,46.225,14958.0
46.09,46.18,46.07,46.18,16468.0
46.055,46.1,46.055,46.09,13000.0
46.14,46.14,46.05,46.055,9755.0
46.3,46.3,46.14,46.14,8997.0
46.295,46.31,46.28,46.295,12735.0
46.27,46.27,46.2225,46.25,8034.0
46.26,46.31,46.26,46.28,13823.0
46.24,46.27,46.23,46.27,12900.0
46.1729,46.225,46.1729,46.225,6389.0
46.185,46.19,46.15,46.17,6150.0
46.24,46.25,46.18,46.19,9965.0
46.3,46.3,46.23,46.23,9151.0
46.275,46.3,46.261,46.3,8969.0
46.245,46.28,46.2301,46.27,6505.0
46.26,46.26,46.23,46.24,2700.0
46.26,46.265,46.2316,46.26,5916.0
46.27,46.28,46.25,46.254,6170.0
46.22,46.27,46.22,46.265,14397.0
46.22,46.26,46.21,46.22,6874.0
46.15,46.205,46.15,46.2,4724.0
46.24,46.24,46.149,46.155,9550.0
46.22,46.26,46.21,46.24,11507.0
46.22,46.2339,46.2186,46.2339,6000.0
46.27,46.27,46.2244,46.2244,3618.0
46.25,46.2897,46.245,46.2897,3775.0
46.315,46.315,46.23,46.25,5700.0
46.3,46.33,46.3,46.315,11475.0
46.275,46.29,46.27,46.28,2300.0
46.27,46.32,46.27,46.2793,13000.0
46.24,46.31,46.24,46.28,7466.0
46.21,46.27,46.2,46.23,14703.0
46.22,46.22,46.165,46.201,8105.0
46.22,46.23,46.1656,46.21,9047.0
46.24,46.245,46.21,46.215,5410.0
46.2458,46.2458,46.23,46.24,7478.0
46.2547,46.26,46.24,46.245,2450.0
46.205,46.255,46.205,46.255,11244.0
46.229,46.2385,46.21,46.21,11098.0
46.23,46.24,46.21,46.23,6528.0
46.23,46.23,46.2031,46.225,50907.0
46.18,46.22,46.11,46.22,24604.0
46.185,46.21,46.175,46.18,7950.0
46.18,46.24,46.17,46.1878,7600.0
46.14,46.185,46.14,46.17,20153.0
46.11,46.1685,46.11,46.15,9706.0
46.12,46.12,46.09,46.1,11558.0
46.125,46.145,46.08,46.11,32996.0
46.2,46.2,46.11,46.12,17611.0
46.18,46.2,46.17,46.19,3651.0
46.24,46.24,46.164,46.164,12696.0
46.241,46.25,46.22,46.24,3050.0
46.32,46.32,46.2468,46.2468,7030.0
46.32,46.3299,46.305,46.31,4430.0
46.34,46.355,46.32,46.32,9734.0
46.304,46.34,46.28,46.34,4040.0
46.33,46.34,46.31,46.31,2300.0
