Open,High,Low,Close,Volume
251.19,253.05,251.19,253.05,11652.0
252.21,254.02,251.19,251.19,2450.0
253.655,253.655,253.655,253.655,100.0
253.65,253.65,253.65,253.65,100.0
253.11,253.12,253.11,253.12,200.0
254.02,254.09,254.02,254.07,400.0
253.02,253.25,253.02,253.25,200.0
253.0,253.54,252.96,253.02,500.0
252.995,253.08,252.995,253.08,200.0
253.28,253.28,253.0,253.0,1508.0
253.49,253.61,253.0,253.03,5961.0
254.09,254.16,253.52,253.52,1300.0
254.13,254.4,254.12,254.12,1700.0
254.06,254.125,253.71,253.71,1100.0
254.21,254.32,254.065,254.065,1000.0
254.25,254.25,254.25,254.25,100.0
254.43,254.43,254.11,254.11,700.0
254.3175,254.515,254.3175,254.33,400.0
254.5,254.5,254.5,254.5,100.0
254.16,254.63,254.06,254.36,24659.0
253.64,254.155,253.58,254.06,9900.0
253.35,253.72,253.17,253.715,10175.0
253.335,253.5,253.295,253.48,900.0
252.855,253.48,252.72,253.48,9154.0
252.72,252.98,252.71,252.87,1535.0
253.01,253.1,252.72,252.85,3180.0
253.2,253.2,253.09,253.09,500.0
252.92,253.155,252.92,253.07,4153.0
253.3925,253.43,252.942,252.995,3200.0
253.72,253.72,253.32,253.42,2700.0
253.5,253.79,253.5,253.785,3467.0
253.5,253.565,253.4,253.565,1200.0
253.44,253.44,253.44,253.44,100.0
254.02,254.02,253.51,253.51,2088.0
254.12,254.12,253.7703,254.02,937.0
254.29,254.35,253.975,253.975,4779.0
254.235,254.235,254.235,254.235,100.0
254.195,254.36,254.0,254.22,2200.0
254.55,254.55,254.28,254.28,2560.0
254.56,254.56,254.56,254.56,100.0
254.41,254.56,254.39,254.44,1174.0
254.25,254.25,254.25,254.25,100.0
254.22,254.22,254.22,254.22,100.0
254.33,254.33,254.33,254.33,100.0
254.22,254.22,254.22,254.22,300.0
254.231,254.231,254.231,254.231,105.0
254.3,254.3,254.19,254.25,1050.0
254.12,254.43,254.12,254.43,300.0
254.3,254.3,254.3,254.3,100.0
254.26,254.26,254.26,254.26,100.0
254.5,254.57,254.39,254.39,1600.0
