Open,High,Low,Close,Volume
76.38,76.38,76.38,76.38,1100.0
76.24,76.33,76.23,76.33,2967.0
76.23,76.28,76.22,76.23,287917.0
76.14,76.22,76.14,76.19,1900.0
76.24,76.25,76.17,76.17,400.0
76.13,76.19,76.13,76.15,1731.0
76.17,76.17,76.11,76.17,4528.0
76.28,76.29,76.18,76.18,900.0
76.32,76.33,76.28,76.2818,1249.0
76.18,76.32,76.18,76.32,3962.0
76.25,76.275,76.195,76.195,5600.0
76.2,76.25,76.19,76.24,1990.0
76.14,76.215,76.14,76.19,1690.0
76.09,76.09,76.09,76.09,100.0
76.15,76.19,76.13,76.14,900.0
76.11,76.18,76.11,76.18,200.0
76.05,76.1173,76.05,76.1173,2208.0
76.07,76.07,76.07,76.07,300.0
76.09,76.09,76.03,76.04,1200.0
76.22,76.22,76.15,76.15,1800.0
76.24,76.24,76.2,76.21,2801.0
76.19,76.25,76.18,76.24,4826.0
76.19,76.23,76.19,76.19,3600.0
76.18,76.19,76.14,76.19,14196.0
76.15,76.2,76.15,76.175,2700.0
76.13,76.17,76.13,76.16,2620.0
76.16,76.16,76.14,76.14,700.0
76.17,76.17,76.15,76.15,300.0
76.1673,76.1673,76.15,76.165,3532.0
76.13,76.17,76.13,76.17,2056.0
76.1,76.13,76.1,76.12,1200.0
76.14,76.14,76.07,76.08,2600.0
76.1,76.13,76.09,76.13,1500.0
76.095,76.095,76.095,76.095,1300.0
76.08,76.08,76.08,76.08,300.0
76.04,76.08,76.04,76.08,3400.0
76.01,76.04,76.01,76.03,2709.0
75.96,76.005,75.96,76.0,5930.0
75.97,75.98,75.97,75.98,600.0
76.005,76.02,75.98,75.98,2700.0
76.0,76.02,76.0,76.005,3703.0
75.96,75.99,75.95,75.99,1205.0
75.95,75.955,75.94,75.95,1300.0
75.94,75.97,75.94,75.95,1300.0
75.85,75.94,75.85,75.94,3300.0
75.86,75.88,75.85,75.86,4630.0
75.95,75.95,75.865,75.865,4400.0
75.91,75.97,75.89,75.95,8026.0
75.94,75.95,75.93,75.93,2022.0
75.95,75.95,75.95,75.95,200.0
75.99,75.99,75.9641,75.9641,1460.0
75.98,75.99,75.98,75.99,613.0
75.92,75.98,75.92,75.98,2013.0
75.91,75.925,75.91,75.925,1000.0
75.98,75.98,75.91,75.92,3575.0
75.96,75.99,75.95,75.99,1008.0
75.96,75.97,75.94,75.94,900.0
75.97,75.98,75.96,75.96,900.0
75.99,76.01,75.98,75.98,1531.0
75.99,75.99,75.98,75.98,800.0
75.98,75.98,75.98,75.98,400.0
75.97,75.99,75.97,75.98,1239.0
75.98,75.99,75.97,75.97,1250.0
76.0,76.0,75.99,75.99,1703.0
75.98,75.98,75.98,75.98,100.0
75.97,75.98,75.95,75.98,1702.0
75.94,75.96,75.93,75.96,2701.0
75.93,75.93,75.93,75.93,200.0
75.93,75.94,75.91,75.91,1304.0
75.96,75.96,75.96,75.96,300.0
75.94,75.945,75.94,75.94,700.0
75.94,75.94,75.92,75.94,1230.0
75.92,75.92,75.92,75.92,300.0
75.88,75.91,75.88,75.91,1328.0
75.89,75.89,75.87,75.88,1095.0
75.93,75.93,75.8795,75.88,2500.0
75.92,75.92,75.91,75.91,600.0
75.91,75.92,75.9,75.92,2900.0
75.89,75.91,75.89,75.91,2300.0
75.8897,75.89,75.88,75.89,1200.0
75.89,75.89,75.86,75.89,1600.0
75.9,75.91,75.9,75.9,850.0
75.88,75.8999,75.88,75.89,866.0
75.87,75.88,75.87,75.88,300.0
75.89,75.89,75.87,75.88,1700.0
75.8999,75.91,75.8999,75.9,2774.0
75.9071,75.9071,75.89,75.89,436.0
75.9,75.9,75.88,75.89,1900.0
75.88,75.88,75.88,75.88,100.0
75.865,75.89,75.86,75.89,1202.0
75.84,75.8747,75.81,75.87,4939.0
75.75,75.82,75.75,75.82,2116.0
75.76,75.76,75.75,75.75,700.0
75.77,75.77,75.76,75.76,2900.0
75.76,75.78,75.76,75.78,1900.0
75.81,75.82,75.75,75.75,2240.0
75.81,75.81,75.8,75.8,808.0
75.84,75.84,75.8,75.805,6479.0
75.84,75.84,75.83,75.84,1700.0
75.82,75.855,75.82,75.84,3287.0
75.83,75.83,75.82,75.82,700.0
75.83,75.83,75.81,75.82,1100.0
75.83,75.83,75.83,75.83,100.0
75.84,75.84,75.81,75.81,3500.0
75.84,75.8525,75.84,75.84,3658.0
75.8525,75.8525,75.83,75.84,3300.0
75.82,75.85,75.81,75.85,5023.0
75.83,75.83,75.82,75.82,371.0
75.83,75.86,75.82,75.85,6532.0
75.82,75.83,75.81,75.82,3800.0
75.82,75.82,75.81,75.81,600.0
75.81,75.82,75.8,75.82,4931.0
75.81,75.81,75.8,75.8,1900.0
75.84,75.84,75.815,75.815,2300.0
75.835,75.85,75.835,75.85,1450.0
75.85,75.85,75.84,75.84,1491.0
75.79,75.85,75.79,75.85,12516.0
75.8,75.8,75.79,75.795,5469.0
75.79,75.8,75.77,75.79,17220.0
75.7601,75.77,75.75,75.77,2180.0
75.76,75.77,75.76,75.77,900.0
75.77,75.78,75.755,75.76,2200.0
75.795,75.8,75.765,75.78,6841.0
75.82,75.82,75.795,75.8,2700.0
75.805,75.83,75.805,75.815,3701.0
75.805,75.81,75.8,75.8,6471.0
75.79,75.81,75.79,75.8075,1600.0
75.78,75.79,75.77,75.77,1500.0
75.81,75.81,75.79,75.79,4400.0
75.76,75.81,75.76,75.81,4522.0
75.85,75.85,75.76,75.76,9878.0
75.85,75.865,75.8366,75.8366,6815.0
75.84,75.87,75.84,75.85,2596.0
75.82,75.84,75.8,75.84,3344.0
