Open,High,Low,Close,Volume
26.09,26.09,26.06,26.06,28661.0
26.23,26.61,26.04,26.09,85660.0
26.37,26.41,26.27,26.29,4950.0
26.05,26.37,26.05,26.37,17463.0
26.3,26.34,26.06,26.06,52515.0
26.35,26.44,26.28,26.3,71828.0
26.3,26.335,26.28,26.3275,7504.0
26.295,26.36,26.28,26.29,22808.0
26.27,26.36,26.27,26.3,5299.0
26.24,26.27,26.15,26.27,133410.0
26.25,26.28,26.2475,26.25,19700.0
26.25,26.28,26.23,26.25,34255.0
26.24,26.26,26.21,26.25,16816.0
26.21,26.24,26.19,26.235,5689.0
26.19,26.21,26.18,26.2,4223.0
26.18,26.22,26.13,26.2,7450.0
26.25,26.25,26.19,26.19,7550.0
26.28,26.32,26.26,26.28,14408.0
26.28,26.305,26.27,26.3,9990.0
26.25,26.3,26.22,26.29,19783.0
26.27,26.28,26.21,26.26,39281.0
26.26,26.3,26.25,26.27,25184.0
26.29,26.29,26.24,26.265,7363.0
26.35,26.38,26.3,26.3,26568.0
26.335,26.35,26.3,26.35,24143.0
26.32,26.3325,26.31,26.3325,6739.0
26.35,26.36,26.32,26.33,11956.0
26.4,26.4,26.355,26.355,19669.0
26.35,26.42,26.35,26.4032,10892.0
26.35,26.39,26.32,26.36,20893.0
26.35,26.36,26.31,26.36,4792.0
26.34,26.35,26.29,26.35,6950.0
26.35,26.36,26.32,26.34,8111.0
26.35,26.36,26.35,26.35,13692.0
26.33,26.36,26.33,26.35,9500.0
26.32,26.34,26.31,26.31,7810.0
26.35,26.36,26.32,26.33,7500.0
26.33,26.35,26.32,26.35,8592.0
26.28,26.325,26.24,26.325,10699.0
26.26,26.28,26.24,26.28,7484.0
26.33,26.33,26.28,26.28,2500.0
26.3,26.33,26.3,26.32,9383.0
26.27,26.32,26.27,26.29,10293.0
26.25,26.31,26.25,26.285,12705.0
26.26,26.28,26.23,26.27,36228.0
26.25,26.27,26.24,26.26,33130.0
26.3,26.33,26.25,26.26,66284.0
26.3,26.31,26.28,26.31,61122.0
26.36,26.37,26.29,26.305,15471.0
26.35,26.37,26.34,26.36,22542.0
26.37,26.37,26.34,26.35,27365.0
26.39,26.4,26.3699,26.3699,9929.0
26.41,26.415,26.39,26.39,9195.0
26.42,26.42,26.4,26.42,6052.0
26.47,26.48,26.41,26.41,122644.0
26.46,26.48,26.46,26.47,4400.0
26.51,26.51,26.47,26.48,13824.0
26.53,26.55,26.51,26.51,11016.0
26.59,26.6,26.53,26.53,11012.0
26.57,26.63,26.57,26.6,17389.0
26.55,26.58,26.54,26.57,253762.0
26.43,26.545,26.41,26.54,23353.0
26.36,26.43,26.35,26.43,17258.0
26.37,26.37,26.36,26.37,8617.0
26.31,26.37,26.31,26.365,7746.0
26.335,26.34,26.305,26.31,3695.0
26.34,26.34,26.33,26.34,300.0
26.37,26.37,26.33,26.335,5580.0
26.35,26.365,26.35,26.365,4500.0
26.33,26.35,26.32,26.35,3900.0
26.32,26.33,26.31,26.325,5100.0
26.3,26.325,26.3,26.325,6474.0
26.3,26.3,26.28,26.29,3950.0
26.32,26.32,26.305,26.305,1387.0
26.32,26.33,26.31,26.33,2800.0
26.32,26.345,26.315,26.32,10459.0
26.375,26.375,26.325,26.325,7214.0
26.38,26.38,26.37,26.37,3499.0
26.41,26.41,26.375,26.38,4497.0
26.39,26.405,26.39,26.4015,6645.0
26.395,26.4,26.39,26.3939,7003.0
26.38,26.4,26.38,26.4,9200.0
26.38,26.39,26.38,26.38,1400.0
26.33,26.385,26.33,26.38,7900.0
26.33,26.35,26.32,26.335,8803.0
26.34,26.35,26.335,26.34,3714.0
26.365,26.37,26.34,26.34,1750.0
26.38,26.38,26.365,26.37,3200.0
26.36,26.38,26.355,26.38,7100.0
26.4,26.4,26.36,26.36,10142.0
26.41,26.41,26.39,26.39,7426.0
26.42,26.42,26.4,26.415,3443.0
26.42,26.435,26.42,26.42,4284.0
26.43,26.43,26.41,26.41,2600.0
26.42,26.425,26.42,26.425,553.0
26.41,26.42,26.41,26.415,700.0
26.415,26.415,26.415,26.415,300.0
26.416,26.44,26.41,26.41,11450.0
26.41,26.42,26.41,26.415,2977.0
26.37,26.41,26.365,26.41,10986.0
26.38,26.38,26.36,26.37,4000.0
26.335,26.37,26.335,26.37,7533.0
26.36,26.36,26.34,26.34,3300.0
26.35,26.36,26.35,26.36,400.0
26.35,26.355,26.34,26.35,4000.0
26.36,26.36,26.34,26.35,5711.0
26.36,26.36,26.36,26.36,2094.0
26.36,26.36,26.35,26.355,6600.0
26.35,26.37,26.34,26.37,8265.0
26.37,26.37,26.35,26.35,3201.0
26.3693,26.375,26.35,26.36,7716.0
26.35,26.36,26.35,26.36,1800.0
26.315,26.35,26.315,26.345,2301.0
26.285,26.31,26.28,26.31,4305.0
26.275,26.29,26.275,26.28,8434.0
26.27,26.29,26.27,26.27,5137.0
26.23,26.27,26.22,26.27,10609.0
26.21,26.24,26.2,26.23,11402.0
26.23,26.23,26.2,26.205,3913.0
26.2493,26.25,26.24,26.24,2739.0
26.25,26.26,26.24,26.25,4811.0
26.24,26.27,26.24,26.26,8429.0
26.25,26.26,26.24,26.24,5100.0
26.26,26.26,26.24,26.24,5195.0
26.26,26.265,26.25,26.26,5233.0
26.26,26.26,26.2501,26.255,1321.0
26.22,26.255,26.21,26.25,18728.0
26.2,26.22,26.2,26.22,7950.0
26.18,26.2,26.16,26.2,15771.0
26.18,26.18,26.16,26.165,5899.0
26.18,26.19,26.18,26.18,946.0
26.195,26.22,26.18,26.18,36775.0
26.17,26.195,26.16,26.19,14257.0
26.18,26.18,26.16,26.17,6300.0
26.15,26.18,26.14,26.18,8977.0
26.13,26.15,26.13,26.15,5500.0
26.14,26.14,26.13,26.135,5000.0
26.18,26.18,26.14,26.14,5085.0
26.22,26.22,26.19,26.19,3513.0
26.22,26.22,26.215,26.22,3926.0
26.25,26.25,26.22,26.22,11043.0
26.27,26.27,26.24,26.25,4825.0
26.27,26.27,26.25,26.27,8792.0
26.26,26.27,26.255,26.27,5124.0
26.3,26.3,26.26,26.26,11150.0
26.28,26.3,26.28,26.29,4974.0
26.3,26.3,26.29,26.29,1700.0
26.29,26.3,26.28,26.29,8000.0
26.31,26.31,26.29,26.29,5326.0
26.31,26.32,26.31,26.31,2878.0
26.31,26.32,26.31,26.31,2206.0
26.32,26.32,26.31,26.32,3447.0
26.35,26.36,26.32,26.32,10230.0
26.34,26.355,26.33,26.35,11385.0
26.34,26.34,26.33,26.33,1500.0
26.35,26.3525,26.34,26.34,6125.0
26.335,26.34,26.335,26.34,1100.0
26.315,26.33,26.315,26.33,3400.0
26.3,26.31,26.3,26.31,2400.0
26.31,26.32,26.305,26.31,8358.0
26.29,26.305,26.285,26.305,72632.0
26.28,26.3,26.28,26.3,7933.0
26.27,26.28,26.265,26.28,5146.0
26.26,26.265,26.26,26.265,3000.0
26.26,26.27,26.25,26.26,5969.0
26.26,26.27,26.2589,26.26,1200.0
26.285,26.29,26.27,26.27,3411.0
26.265,26.29,26.26,26.29,1824.0
26.29,26.29,26.26,26.26,6193.0
26.32,26.32,26.2899,26.2899,4800.0
26.355,26.36,26.33,26.33,3553.0
26.345,26.36,26.34,26.36,3900.0
26.35,26.36,26.35,26.35,6743.0
26.32,26.36,26.32,26.36,9504.0
26.295,26.33,26.29,26.33,13355.0
26.31,26.31,26.3,26.3,700.0
26.305,26.305,26.305,26.305,100.0
26.295,26.305,26.295,26.3,1997.0
26.325,26.325,26.29,26.29,5600.0
26.32,26.33,26.32,26.33,653.0
26.305,26.32,26.305,26.32,1600.0
26.3,26.31,26.3,26.3,400.0
26.33,26.335,26.31,26.31,4000.0
26.35,26.35,26.335,26.34,2800.0
26.31,26.36,26.31,26.35,25894.0
26.32,26.33,26.32,26.32,4380.0
26.3,26.32,26.3,26.32,3500.0
26.28,26.3,26.28,26.29,7304.0
26.28,26.28,26.27,26.28,3300.0
26.275,26.28,26.27,26.28,4244.0
26.26,26.28,26.26,26.28,2700.0
26.26,26.265,26.26,26.265,200.0
26.27,26.28,26.265,26.265,2764.0
26.28,26.28,26.27,26.27,1886.0
26.29,26.3,26.28,26.28,4100.0
26.3,26.3,26.29,26.295,4600.0
26.3166,26.3166,26.305,26.31,1600.0
26.31,26.32,26.3,26.32,3319.0
26.3,26.31,26.3,26.31,2558.0
26.3043,26.31,26.3,26.31,1000.0
26.3,26.305,26.3,26.3,600.0
26.25,26.305,26.25,26.3,11300.0
26.2433,26.255,26.2433,26.25,3100.0
