Open,High,Low,Close,Volume
78.0,78.0,77.93,77.95,3168.0
77.88,77.91,77.88,77.88,840.0
77.89,77.9,77.86,77.87,1066.0
77.85,77.85,77.85,77.85,100.0
77.89,77.92,77.87,77.92,1500.0
77.95,77.95,77.91,77.91,700.0
78.02,78.02,77.99,77.99,200.0
77.97,78.02,77.97,78.02,400.0
77.9,77.905,77.86,77.89,1200.0
77.95,77.95,77.93,77.93,800.0
77.97,77.97,77.95,77.95,300.0
77.92,77.92,77.92,77.92,500.0
77.93,77.93,77.93,77.93,300.0
77.91,77.91,77.91,77.91,100.0
77.87,77.91,77.87,77.91,400.0
77.81,77.88,77.81,77.88,400.0
77.81,77.81,77.81,77.81,300.0
77.79,77.82,77.79,77.82,801.0
77.85,77.85,77.83,77.83,400.0
77.93,77.93,77.93,77.93,100.0
77.93,77.93,77.93,77.93,100.0
77.89,77.89,77.86,77.88,1717.0
77.9,77.94,77.9,77.94,500.0
77.96,77.96,77.94,77.94,713.0
77.94,77.94,77.94,77.94,100.0
77.93,77.93,77.93,77.93,100.0
77.93,77.93,77.93,77.93,100.0
77.99,77.99,77.99,77.99,800.0
77.96,77.96,77.96,77.96,100.0
77.91,77.96,77.91,77.96,800.0
78.01,78.01,77.91,77.91,800.0
77.99,78.01,77.99,78.01,400.0
77.93,77.93,77.93,77.93,200.0
77.94,77.94,77.91,77.91,500.0
77.92,77.94,77.92,77.94,300.0
77.92,77.92,77.92,77.92,100.0
77.9,77.92,77.9,77.92,400.0
77.92,77.92,77.92,77.92,400.0
77.96,77.98,77.95,77.98,400.0
77.96,77.99,77.96,77.99,547.0
77.95,77.95,77.95,77.95,100.0
77.94,77.95,77.94,77.95,400.0
77.94,77.94,77.92,77.94,400.0
77.88,77.94,77.88,77.94,500.0
77.905,77.91,77.87,77.87,2100.0
77.94,77.94,77.895,77.895,616.0
77.96,77.96,77.92,77.92,300.0
77.85,77.875,77.85,77.875,292.0
77.88,77.88,77.88,77.88,100.0
77.83,77.83,77.83,77.83,200.0
77.84,77.84,77.84,77.84,200.0
77.84,77.84,77.84,77.84,200.0
77.85,77.88,77.85,77.88,500.0
77.87,77.89,77.85,77.85,600.0
77.99,77.99,77.94,77.94,1000.0
77.92,77.96,77.92,77.96,403.0
78.01,78.01,77.96,77.96,300.0
78.02,78.02,78.01,78.01,700.0
78.0,78.0,77.98,77.98,505.0
77.99,78.0,77.96,78.0,700.0
78.03,78.03,77.99,77.99,1100.0
78.01,78.01,78.01,78.01,300.0
78.0,78.0,77.99,77.99,300.0
78.0,78.0,78.0,78.0,700.0
78.03,78.03,78.0,78.01,900.0
78.1,78.1,78.06,78.06,600.0
78.09,78.1,78.09,78.09,500.0
78.1,78.11,78.08,78.11,700.0
78.15,78.15,78.12,78.12,1376.0
78.18,78.18,78.14,78.16,500.0
78.17,78.17,78.14,78.14,300.0
78.14,78.18,78.14,78.18,200.0
78.18,78.18,78.18,78.18,200.0
78.16,78.18,78.16,78.18,300.0
78.15,78.15,78.15,78.15,300.0
78.13,78.14,78.1,78.14,600.0
78.12,78.12,78.12,78.12,100.0
78.12,78.15,78.12,78.13,500.0
78.17,78.17,78.15,78.15,1035.0
78.15,78.1505,78.12,78.1438,5775.0
78.115,78.175,78.11,78.16,6047.0
78.18,78.18,78.12,78.13,2585.0
78.13,78.17,78.13,78.16,3946.0
78.16,78.16,78.11,78.12,4200.0
78.19,78.19,78.16,78.18,700.0
78.22,78.22,78.2,78.2,700.0
78.23,78.25,78.23,78.24,1000.0
78.25,78.27,78.25,78.25,2742.0
78.24,78.24,78.23,78.24,500.0
78.23,78.23,78.23,78.23,200.0
78.22,78.22,78.22,78.22,701.0
78.18,78.19,78.18,78.19,500.0
78.21,78.21,78.21,78.21,200.0
78.225,78.225,78.225,78.225,100.0
78.25,78.26,78.225,78.225,1060.0
78.2599,78.2599,78.2599,78.2599,139.0
78.32,78.33,78.32,78.33,600.0
78.36,78.36,78.36,78.36,400.0
78.34,78.36,78.34,78.36,400.0
78.32,78.32,78.32,78.32,400.0
78.35,78.35,78.34,78.34,300.0
78.37,78.37,78.37,78.37,100.0
78.37,78.37,78.37,78.37,100.0
78.36,78.37,78.36,78.37,600.0
78.25,78.29,78.25,78.29,1202.0
78.26,78.26,78.26,78.26,100.0
78.25,78.26,78.25,78.26,300.0
78.22,78.22,78.22,78.22,100.0
78.29,78.3,78.29,78.29,800.0
78.27,78.29,78.25,78.29,700.0
78.27,78.27,78.25,78.27,1440.0
78.28,78.28,78.275,78.275,801.0
78.29,78.29,78.29,78.29,200.0
78.29,78.29,78.285,78.29,500.0
78.27,78.27,78.265,78.27,500.0
78.275,78.28,78.275,78.28,300.0
78.28,78.28,78.28,78.28,1592.0
78.29,78.29,78.29,78.29,300.0
78.265,78.265,78.26,78.265,500.0
78.265,78.265,78.265,78.265,200.0
78.28,78.28,78.255,78.265,2015.0
78.27,78.28,78.255,78.27,2956.0
78.26,78.26,78.26,78.26,200.0
78.24,78.26,78.24,78.26,800.0
78.21,78.21,78.21,78.21,900.0
78.2,78.23,78.2,78.21,1276.0
78.19,78.2,78.19,78.19,500.0
78.195,78.2,78.15,78.19,2223.0
78.16,78.185,78.14,78.18,2011.0
78.26,78.26,78.2,78.2,900.0
78.245,78.26,78.24,78.26,1434.0
78.28,78.28,78.26,78.26,1300.0
78.29,78.29,78.28,78.28,1400.0
78.3,78.3,78.28,78.28,900.0
78.3,78.3,78.29,78.29,400.0
78.25,78.27,78.25,78.27,890.0
78.22,78.24,78.2,78.24,1100.0
78.24,78.25,78.24,78.25,551.0
78.26,78.26,78.26,78.26,100.0
78.23,78.23,78.23,78.23,100.0
78.25,78.25,78.215,78.215,1400.0
78.29,78.29,78.29,78.29,100.0
78.28,78.28,78.28,78.28,500.0
78.27,78.3,78.27,78.3,1000.0
78.26,78.26,78.26,78.26,1000.0
78.31,78.31,78.28,78.28,600.0
78.28,78.305,78.26,78.305,1300.0
78.33,78.33,78.28,78.28,1700.0
78.29,78.31,78.29,78.31,2426.0
78.3,78.3,78.3,78.3,500.0
78.31,78.31,78.31,78.31,100.0
78.34,78.34,78.34,78.34,100.0
78.31,78.33,78.31,78.33,200.0
78.31,78.32,78.31,78.32,200.0
78.3,78.34,78.3,78.34,700.0
78.31,78.31,78.31,78.31,200.0
78.33,78.33,78.32,78.32,300.0
78.33,78.33,78.33,78.33,500.0
78.28,78.29,78.28,78.29,200.0
78.29,78.29,78.29,78.29,100.0
78.29,78.29,78.29,78.29,200.0
78.28,78.28,78.28,78.28,200.0
78.28,78.28,78.28,78.28,100.0
78.27,78.28,78.27,78.28,200.0
78.25,78.25,78.25,78.25,1600.0
78.25,78.25,78.25,78.25,100.0
78.26,78.26,78.25,78.25,200.0
78.23,78.25,78.23,78.25,400.0
78.21,78.21,78.21,78.21,300.0
78.19,78.19,78.19,78.19,100.0
78.16,78.19,78.16,78.17,500.0
78.1,78.16,78.1,78.16,1300.0
78.12,78.12,78.09,78.09,1100.0
78.15,78.1599,78.12,78.12,1700.0
78.18,78.18,78.16,78.16,404.0
78.15,78.18,78.15,78.18,800.0
78.17,78.17,78.17,78.17,100.0
78.2,78.2,78.18,78.18,1900.0
78.19,78.2,78.19,78.2,500.0
78.15,78.18,78.15,78.18,400.0
78.17,78.18,78.17,78.18,400.0
78.17,78.17,78.17,78.17,200.0
78.16,78.16,78.15,78.15,400.0
78.15,78.18,78.15,78.16,1050.0
78.14,78.14,78.14,78.14,100.0
78.14,78.14,78.14,78.14,356.0
78.2,78.2,78.17,78.17,400.0
78.22,78.22,78.2,78.2,602.0
78.18,78.18,78.17,78.18,300.0
78.1703,78.1703,78.1703,78.1703,108.0
78.2,78.2,78.19,78.19,2668.0
78.2,78.2,78.2,78.2,200.0
78.23,78.24,78.2,78.2,6116.0
78.21,78.25,78.21,78.25,2036.0
78.22,78.22,78.22,78.22,100.0
78.17,78.22,78.17,78.22,800.0
78.1795,78.1795,78.16,78.16,370.0
78.08,78.16,78.08,78.16,200.0
78.13,78.13,78.07,78.07,1231.0
78.08,78.13,78.08,78.13,600.0
78.07,78.07,78.07,78.07,100.0
78.07,78.07,78.07,78.07,100.0
78.09,78.09,78.07,78.07,200.0
78.1,78.1,78.1,78.1,100.0
78.06,78.1,78.06,78.1,400.0
78.06,78.09,78.01,78.01,4100.0
78.04,78.05,78.04,78.05,250.0
77.98,78.015,77.98,78.015,600.0
77.96,77.98,77.96,77.98,931.0
77.96,77.97,77.96,77.96,300.0
78.04,78.04,78.04,78.04,200.0
77.99,77.99,77.99,77.99,300.0
78.005,78.005,78.005,78.005,141.0
78.03,78.03,78.02,78.02,897.0
78.045,78.045,78.035,78.035,400.0
78.08,78.08,78.04,78.045,1857.0
78.08,78.08,78.06,78.06,300.0
78.05,78.05,78.05,78.05,200.0
78.07,78.07,78.06,78.06,400.0
78.07,78.08,78.07,78.08,500.0
78.05,78.07,78.05,78.07,800.0
78.04,78.05,78.04,78.05,300.0
78.03,78.04,78.03,78.04,600.0
78.05,78.05,78.03,78.03,700.0
78.06,78.06,78.06,78.06,400.0
78.11,78.11,78.08,78.08,700.0
78.09,78.1,78.08,78.1,1300.0
78.065,78.08,78.065,78.08,866.0
78.11,78.12,78.08,78.08,1066.0
78.15,78.15,78.14,78.14,450.0
78.13,78.15,78.13,78.15,600.0
78.15,78.15,78.15,78.15,400.0
78.135,78.17,78.13,78.15,4358.0
78.14,78.14,78.13,78.135,400.0
78.165,78.165,78.16,78.16,1400.0
78.17,78.17,78.16,78.16,2700.0
78.17,78.17,78.15,78.16,621.0
78.19,78.19,78.16,78.16,675.0
78.225,78.25,78.19,78.19,9951.0
78.23,78.24,78.21,78.21,2698.0
78.23,78.24,78.22,78.24,600.0
78.19,78.21,78.19,78.21,1300.0
78.18,78.18,78.15,78.17,910.0
78.2,78.2,78.17,78.18,1166.0
78.2,78.2,78.2,78.2,400.0
78.19,78.19,78.19,78.19,100.0
78.22,78.22,78.16,78.17,1300.0
78.23,78.23,78.21,78.225,1120.0
78.22,78.23,78.22,78.22,700.0
78.21,78.22,78.21,78.22,1001.0
78.23,78.23,78.23,78.23,582.0
78.22,78.24,78.22,78.24,600.0
78.21,78.21,78.19,78.21,700.0
78.25,78.28,78.22,78.22,2741.0
78.27,78.27,78.2397,78.25,4525.0
78.27,78.29,78.26,78.26,602.0
78.265,78.265,78.26,78.26,400.0
78.28,78.28,78.25,78.28,527.0
78.21,78.244,78.21,78.244,559.0
78.25,78.25,78.24,78.24,1332.0
78.23,78.23,78.23,78.23,200.0
78.29,78.29,78.24,78.24,464.0
78.24,78.29,78.24,78.29,700.0
78.24,78.24,78.23,78.23,700.0
78.25,78.25,78.24,78.24,500.0
78.24,78.25,78.24,78.25,823.0
78.21,78.23,78.21,78.23,400.0
78.19,78.19,78.19,78.19,100.0
78.22,78.22,78.22,78.22,1626.0
78.19,78.22,78.19,78.22,1100.0
78.23,78.23,78.22,78.22,766.0
78.23,78.23,78.23,78.23,500.0
78.26,78.26,78.22,78.23,1300.0
78.25,78.25,78.241,78.25,3323.0
78.2614,78.2614,78.24,78.24,1208.0
78.24,78.25,78.24,78.25,500.0
78.26,78.27,78.25,78.26,1340.0
78.28,78.28,78.27,78.27,600.0
78.29,78.29,78.28,78.29,800.0
78.27,78.27,78.26,78.27,1100.0
78.27,78.29,78.27,78.27,1605.0
78.25,78.28,78.25,78.28,2000.0
78.26,78.26,78.23,78.25,1052.0
78.21,78.26,78.21,78.26,1750.0
78.17,78.2,78.17,78.2,1400.0
78.18,78.19,78.15,78.15,1200.0
78.17,78.17,78.17,78.17,1105.0
78.18,78.18,78.15,78.17,657.0
78.2,78.2,78.14,78.17,4347.0
78.19,78.2,78.19,78.2,1800.0
78.21,78.21,78.19,78.19,3189.0
78.23,78.23,78.21,78.21,2398.0
78.21,78.23,78.21,78.23,1522.0
78.18,78.21,78.18,78.21,702.0
78.18,78.21,78.18,78.19,2339.0
78.19,78.19,78.17,78.19,2600.0
78.2,78.2,78.1803,78.1803,300.0
78.19,78.2,78.16,78.19,1900.0
78.17,78.2,78.17,78.2,2139.0
