Open,High,Low,Close,Volume
120.28,120.28,120.28,120.28,4257.0
120.18,120.18,120.18,120.18,100.0
120.28,120.67,120.28,120.425,300.0
120.7,120.94,120.56,120.56,9700.0
120.81,121.0,120.81,120.895,300.0
120.67,120.87,120.64,120.8,2601.0
120.66,120.66,120.66,120.66,100.0
120.63,120.8,120.5,120.66,2904.0
120.78,120.78,120.595,120.6,1742.0
120.9,120.9,120.82,120.82,301.0
120.875,120.875,120.875,120.875,300.0
120.795,120.95,120.78,120.88,1973.0
120.79,120.98,120.79,120.86,2708.0
120.91,120.91,120.91,120.91,100.0
120.8,120.8,120.7,120.72,1100.0
120.81,120.81,120.77,120.77,800.0
120.81,120.81,120.81,120.81,100.0
120.81,120.81,120.81,120.81,100.0
120.73,120.81,120.69,120.81,700.0
120.67,120.675,120.61,120.62,400.0
120.7,120.7,120.61,120.61,200.0
120.71,120.71,120.675,120.7,773.0
120.68,120.71,120.63,120.7,1400.0
120.63,120.63,120.63,120.63,100.0
120.69,120.7,120.65,120.68,1203.0
120.61,120.65,120.58,120.65,1270.0
120.685,120.71,120.59,120.63,2295.0
120.66,120.74,120.65,120.7,2600.0
120.63,120.63,120.63,120.63,100.0
120.63,120.65,120.615,120.64,900.0
120.63,120.63,120.63,120.63,100.0
120.66,120.7,120.66,120.66,1628.0
120.59,120.69,120.59,120.69,1401.0
120.47,120.54,120.47,120.54,900.0
120.48,120.48,120.48,120.48,100.0
120.3601,120.44,120.3601,120.44,400.0
120.43,120.43,120.37,120.37,2225.0
120.3,120.36,120.3,120.36,2000.0
120.3599,120.3599,120.26,120.26,3007.0
120.35,120.36,120.35,120.36,300.0
120.35,120.35,120.35,120.35,200.0
120.21,120.26,120.21,120.26,1152.0
120.05,120.22,120.05,120.2,700.0
120.2,120.2,120.09,120.12,3227.0
120.225,120.225,120.2,120.2,300.0
120.18,120.22,120.13,120.22,1800.0
120.16,120.19,120.16,120.19,200.0
120.175,120.23,120.17,120.17,1663.0
120.27,120.27,120.27,120.27,100.0
120.12,120.17,120.12,120.17,1100.0
120.11,120.12,120.07,120.07,1502.0
120.16,120.16,120.13,120.14,300.0
120.16,120.16,120.14,120.14,200.0
120.11,120.14,120.11,120.12,1100.0
120.11,120.14,120.1,120.1,801.0
120.13,120.14,120.11,120.14,700.0
120.125,120.16,120.12,120.16,700.0
120.18,120.2,120.05,120.08,2985.0
120.14,120.17,120.14,120.17,700.0
120.17,120.2,120.125,120.125,2600.0
120.15,120.165,120.14,120.165,1100.0
120.09,120.135,120.09,120.135,15600.0
120.13,120.13,120.13,120.13,100.0
120.19,120.2,120.15,120.18,5602.0
120.1701,120.21,120.1701,120.21,400.0
120.225,120.24,120.225,120.24,300.0
120.3,120.3,120.2,120.2,1100.0
120.39,120.39,120.35,120.35,1096.0
120.39,120.39,120.39,120.39,100.0
120.365,120.4,120.36,120.39,500.0
120.33,120.35,120.32,120.35,2000.0
120.43,120.43,120.36,120.36,1074.0
120.53,120.53,120.37,120.43,3070.0
120.57,120.57,120.545,120.545,300.0
120.505,120.585,120.5,120.585,1810.0
120.425,120.54,120.37,120.51,3600.0
120.48,120.535,120.41,120.47,2600.0
120.39,120.48,120.35,120.48,2500.0
120.42,120.42,120.35,120.39,2800.0
120.45,120.45,120.45,120.45,100.0
120.47,120.48,120.47,120.48,300.0
120.52,120.52,120.52,120.52,100.0
120.65,120.65,120.57,120.57,700.0
120.64,120.64,120.64,120.64,199.0
120.715,120.75,120.71,120.71,654.0
120.75,120.75,120.75,120.75,100.0
120.75,120.76,120.74,120.76,1800.0
120.71,120.71,120.7,120.71,800.0
120.74,120.77,120.74,120.77,873.0
120.75,120.76,120.72,120.76,1500.0
120.72,120.73,120.72,120.73,400.0
120.75,120.75,120.75,120.75,100.0
120.75,120.77,120.725,120.75,1568.0
120.76,120.79,120.72,120.73,700.0
120.76,120.79,120.73,120.765,2001.0
120.77,120.77,120.77,120.77,200.0
120.75,120.75,120.71,120.75,900.0
120.77,120.8,120.75,120.75,2715.0
120.8,120.81,120.75,120.77,1897.0
120.75,120.75,120.7,120.74,700.0
120.64,120.7,120.64,120.7,700.0
120.62,120.62,120.62,120.62,100.0
120.68,120.68,120.65,120.68,945.0
120.68,120.68,120.68,120.68,100.0
120.67,120.705,120.67,120.705,700.0
120.69,120.69,120.69,120.69,100.0
120.7,120.7,120.655,120.67,500.0
120.72,120.72,120.72,120.72,100.0
120.72,120.72,120.685,120.685,500.0
120.675,120.72,120.675,120.72,300.0
