Open,High,Low,Close,Volume
55.005,55.08,54.97,55.08,1229661.0
55.01,55.05,55.01,55.01,2789.0
55.02,55.06,55.0058,55.0058,4613.0
55.11,55.11,55.04,55.0562,5259.0
55.09,55.1179,55.06,55.09,19525.0
55.05,55.12,55.02,55.08,17005.0
55.06,55.06,55.04,55.05,5209.0
55.05,55.08,55.04,55.07,5727.0
54.99,55.04,54.99,55.04,6700.0
54.99,55.0,54.96,54.98,9212.0
54.99,55.02,54.97,55.0,8791.0
54.94,55.01,54.92,54.99,19963.0
54.9454,54.96,54.94,54.94,4677.0
54.95,54.9568,54.92,54.9499,32902.0
55.01,55.01,54.96,54.96,7255.0
54.97,55.0,54.96,55.0,6781.0
54.97,54.98,54.95,54.97,28517.0
54.97,54.98,54.97,54.97,5951.0
54.99,55.0,54.96,54.98,20007.0
55.03,55.04,54.99,54.99,6514.0
55.02,55.03,55.01,55.02,8400.0
55.05,55.05,55.0201,55.03,6704.0
55.06,55.07,55.0456,55.0462,6966.0
55.06,55.08,55.06,55.07,2835.0
55.02,55.065,55.02,55.065,4779.0
54.98,55.02,54.97,55.02,16898.0
54.995,55.0,54.97,54.97,5238.0
55.0,55.03,55.0,55.0,9197.0
54.99,55.01,54.985,55.01,5022.0
54.98,54.995,54.9799,54.99,5803.0
54.97,55.0,54.97,54.99,5875.0
54.985,54.99,54.96,54.97,6215.0
54.96,54.99,54.955,54.98,17253.0
54.98,54.98,54.95,54.97,8612.0
54.975,54.98,54.97,54.98,13829.0
55.0,55.0,54.97,54.97,9116.0
54.96,54.99,54.96,54.99,15026.0
54.95,54.965,54.9401,54.96,10216.0
54.97,54.97,54.95,54.95,3960.0
55.0,55.01,54.98,54.98,3949.0
54.98,54.995,54.97,54.99,17266.0
54.965,54.98,54.96,54.98,19061.0
54.98,54.98,54.9674,54.9674,3743.0
54.98,54.99,54.98,54.99,2400.0
54.93,54.99,54.92,54.985,30364.0
54.9,54.93,54.9,54.92,10053.0
54.9,54.9,54.89,54.9,6247.0
54.87,54.9,54.86,54.9,5526.0
54.88,54.88,54.86,54.87,5727.0
54.875,54.88,54.87,54.88,6300.0
54.835,54.89,54.835,54.88,33106.0
54.855,54.86,54.83,54.835,4332.0
54.85,54.86,54.84,54.86,13405.0
54.84,54.85,54.84,54.85,5074.0
54.84,54.85,54.835,54.84,5331.0
54.85,54.8568,54.8434,54.85,7261.0
54.82,54.86,54.82,54.85,19162.0
54.845,54.85,54.83,54.83,8893.0
54.86,54.86,54.84,54.84,3263.0
54.88,54.89,54.86,54.86,5565.0
54.85,54.88,54.84,54.8761,13611.0
54.88,54.88,54.835,54.84,10484.0
54.8499,54.87,54.8499,54.87,12444.0
54.88,54.88,54.845,54.845,9200.0
54.89,54.9,54.87,54.88,17274.0
54.864,54.88,54.864,54.88,6394.0
54.855,54.867,54.85,54.86,6035.0
54.835,54.85,54.835,54.85,14393.0
54.845,54.87,54.8301,54.8301,25497.0
54.87,54.87,54.845,54.85,5973.0
54.87,54.88,54.87,54.88,2048.0
54.88,54.88,54.87,54.87,2377.0
54.87,54.88,54.865,54.88,4602.0
54.865,54.87,54.86,54.865,2000.0
54.835,54.855,54.83,54.855,5289.0
54.83,54.84,54.8233,54.84,5535.0
54.825,54.83,54.81,54.82,8329.0
54.82,54.83,54.82,54.82,2139.0
54.845,54.85,54.82,54.82,154840.0
54.805,54.845,54.805,54.845,13630.0
54.82,54.82,54.8,54.805,7980.0
54.8,54.82,54.8,54.815,8006.0
54.77,54.8053,54.76,54.8,12728.0
54.7386,54.77,54.73,54.77,34622.0
54.744,54.75,54.73,54.73,5839.0
54.76,54.76,54.74,54.745,8188.0
54.7701,54.785,54.77,54.77,8314.0
54.77,54.78,54.77,54.77,3050.0
54.75,54.775,54.745,54.77,7847.0
54.73,54.755,54.73,54.75,4771.0
54.72,54.73,54.71,54.7225,10968.0
54.72,54.72,54.71,54.71,2263.0
54.7,54.715,54.7,54.71,8418.0
54.73,54.73,54.7,54.7,4926.0
54.72,54.73,54.72,54.73,1510.0
54.735,54.735,54.72,54.72,6303.0
54.76,54.76,54.73,54.73,8310.0
54.76,54.78,54.755,54.7637,23831.0
54.78,54.79,54.75,54.755,12380.0
54.755,54.78,54.75,54.78,2385.0
54.74,54.75,54.73,54.75,10752.0
54.74,54.7499,54.74,54.74,1759.0
54.755,54.77,54.75,54.75,4414.0
54.74,54.75,54.73,54.75,3002.0
54.72,54.74,54.72,54.74,3392.0
54.73,54.73,54.71,54.71,3154.0
54.73,54.73,54.72,54.73,3802.0
54.74,54.74,54.73,54.73,2180.0
54.7253,54.75,54.7247,54.74,2350.0
54.71,54.72,54.71,54.72,4389.0
54.73,54.73,54.71,54.71,8645.0
54.74,54.745,54.73,54.73,1621.0
