Open,High,Low,Close,Volume
90.1,90.27,90.09,90.27,131298.0
90.06,90.18,90.01,90.09,32370.0
89.83,90.05,89.79,90.05,65763.0
89.95,89.96,89.84,89.85,18198.0
89.89,89.95,89.885,89.95,28845.0
89.98,90.03,89.89,89.9,27087.0
89.95,90.02,89.93,90.01,35869.0
89.905,89.95,89.86,89.95,35423.0
90.04,90.06,89.9,89.9,22084.0
89.97,90.05,89.96,90.04,28994.0
89.96,90.0,89.95,89.98,25568.0
89.99,89.9958,89.925,89.96,19174.0
89.97,89.99,89.96,89.98,21330.0
89.935,89.98,89.91,89.96,22006.0
90.025,90.03,89.93,89.935,15557.0
90.02,90.025,90.01,90.025,14073.0
89.96,90.03,89.95,90.025,23189.0
89.955,89.97,89.91,89.97,12508.0
89.9535,89.9697,89.94,89.9697,5328.0
90.0,90.05,89.955,89.955,28035.0
90.0563,90.057,90.0,90.01,11230.0
90.035,90.06,90.03,90.05,13668.0
90.025,90.035,89.99,90.035,13673.0
89.99,90.04,89.975,90.03,11194.0
90.0,90.005,89.935,89.99,24428.0
90.02,90.06,90.0,90.0,31821.0
90.02,90.025,90.015,90.025,6630.0
90.03,90.07,90.02,90.03,19740.0
90.03,90.035,90.02,90.03,11197.0
89.965,90.03,89.96,90.03,17324.0
90.065,92.05,89.96,89.96,68803.0
90.05,90.07,90.03,90.0699,18206.0
90.07,90.11,90.03,90.04,16175.0
90.04,90.07,90.04,90.07,21939.0
90.0331,90.06,90.025,90.05,40495.0
90.025,90.04,90.025,90.035,15914.0
90.025,90.04,90.02,90.03,14026.0
90.005,90.04,90.0,90.0264,26475.0
90.005,90.01,90.0,90.005,5417.0
90.0299,90.03,90.0,90.01,53596.0
90.025,90.03,90.02,90.025,19277.0
90.03,90.03,90.02,90.025,8152.0
90.02,90.03,90.02,90.02,7507.0
90.015,90.03,90.01,90.025,26092.0
89.99,90.02,89.99,90.02,22479.0
89.994,90.0,89.99,89.99,4230.0
90.0001,90.01,89.995,90.0,8353.0
89.95,90.0055,89.95,90.0055,17794.0
89.9358,89.96,89.9358,89.96,18880.0
89.91,89.97,89.91,89.9301,26082.0
89.905,89.92,89.9,89.92,22953.0
89.9,89.92,89.88,89.9,23183.0
89.89,89.91,89.89,89.9,4990.0
89.89,89.9,89.89,89.9,8502.0
89.875,89.9,89.87,89.895,23027.0
89.92,89.92,89.88,89.88,19281.0
89.885,89.92,89.885,89.915,17893.0
89.83,89.89,89.83,89.88,51968.0
89.84,89.84,89.83,89.83,13705.0
89.825,89.85,89.82,89.84,20628.0
89.815,89.83,89.81,89.83,22195.0
89.785,89.82,89.785,89.82,63525.0
89.78,89.79,89.78,89.785,6397.0
89.73,89.78,89.73,89.78,10449.0
89.71,89.75,89.705,89.74,11977.0
89.69,89.72,89.69,89.71,23020.0
89.675,89.7,89.67,89.69,13395.0
89.65,89.68,89.65,89.68,7860.0
89.66,89.66,89.65,89.655,9200.0
89.65,89.67,89.625,89.67,29729.0
89.655,89.66,89.64,89.65,16579.0
89.63,89.657,89.62,89.65,15254.0
89.629,89.64,89.61,89.631,11302.0
89.6,89.635,89.6,89.62,19037.0
89.5958,89.61,89.59,89.61,10332.0
89.58,89.6,89.57,89.6,13285.0
89.52,89.58,89.51,89.58,32408.0
89.53,89.53,89.5,89.53,27110.0
89.59,89.62,89.53,89.53,23656.0
89.57,89.6,89.57,89.6,14939.0
89.515,89.58,89.51,89.58,23148.0
89.5,89.52,89.5,89.515,21031.0
89.51,89.51,89.5,89.51,11385.0
89.4799,89.51,89.47,89.505,18104.0
89.47,89.48,89.46,89.4745,13897.0
89.45,89.475,89.44,89.465,17461.0
89.455,89.47,89.44,89.45,14497.0
89.44,89.455,89.42,89.45,12807.0
89.44,89.44,89.43,89.44,18219.0
89.47,89.52,89.43,89.44,35924.0
89.475,89.49,89.47,89.47,29536.0
89.495,89.52,89.47,89.48,67132.0
89.48,89.51,89.47,89.5,64988.0
89.455,89.48,89.4,89.48,48665.0
89.435,89.46,89.43,89.456,12620.0
89.37,89.44,89.36,89.44,49467.0
89.34,89.37,89.33,89.37,20693.0
89.32,89.37,89.32,89.33,26490.0
89.3393,89.3499,89.32,89.33,29105.0
