Open,High,Low,Close,Volume
44.11,44.12,44.1,44.1,565429.0
43.89,44.11,43.87,44.0,10949.0
43.91,43.98,43.88,43.98,5756.0
43.9,43.99,43.89,43.965,3740.0
44.0,44.0,43.94,43.95,7436.0
44.0,44.0,43.92,44.0,18000.0
43.98,44.01,43.965,44.0,13906.0
43.99,44.01,43.985,44.0,3385.0
43.98,44.01,43.94,43.99,4470.0
43.995,44.0,43.96,43.96,10444.0
43.985,44.01,43.96,44.0,10901.0
43.95,44.01,43.92,44.0,22399.0
43.92,43.99,43.88,43.95,9383.0
43.8,43.93,43.8,43.93,3700.0
43.71,43.8,43.71,43.78,11151.0
43.73,43.75,43.7,43.71,8300.0
43.74,43.75,43.71,43.72,9700.0
43.72,43.74,43.71,43.73,1600.0
43.72,43.75,43.72,43.73,9677.0
43.72,43.73,43.7,43.73,2345.0
43.72,43.75,43.72,43.73,7586.0
43.78,43.78,43.68,43.71,19200.0
43.75,43.77,43.75,43.75,13655.0
43.78,43.78,43.75,43.75,16049.0
43.75,43.77,43.73,43.77,13300.0
43.755,43.78,43.75,43.76,9380.0
43.75,43.765,43.75,43.75,22822.0
43.6599,43.755,43.64,43.75,15797.0
43.695,43.695,43.65,43.66,7614.0
43.72,43.72,43.68,43.685,2700.0
43.705,43.73,43.7,43.72,6735.0
43.71,43.72,43.7,43.7,10200.0
43.73,43.74,43.72,43.72,3100.0
43.7,43.75,43.7,43.735,6504.0
43.7,43.715,43.7,43.705,2100.0
43.72,43.72,43.7,43.7,3482.0
43.78,43.78,43.72,43.72,21532.0
43.75,43.775,43.75,43.775,5898.0
43.755,43.78,43.755,43.76,5620.0
43.755,43.76,43.7547,43.7547,1436.0
43.765,43.77,43.755,43.76,6444.0
43.715,43.755,43.715,43.75,6577.0
43.73,43.73,43.7,43.7,2515.0
43.735,43.74,43.72,43.72,1900.0
43.74,43.75,43.74,43.74,3400.0
43.765,43.765,43.74,43.7468,6629.0
43.77,43.77,43.75,43.77,12200.0
43.76,43.77,43.75,43.77,10001.0
43.76,43.765,43.76,43.76,2900.0
43.76,43.765,43.75,43.76,5500.0
43.76,43.77,43.75,43.76,11800.0
43.76,43.77,43.75,43.77,11700.0
43.765,43.77,43.76,43.765,2100.0
43.75,43.77,43.75,43.765,25566.0
43.75,43.76,43.75,43.75,12700.0
43.75,43.76,43.75,43.75,3900.0
43.75,43.75,43.75,43.75,1500.0
43.7525,43.755,43.75,43.75,7690.0
43.75,43.76,43.75,43.755,3900.0
43.705,43.75,43.705,43.75,5057.0
43.705,43.71,43.67,43.7097,4600.0
43.69,43.7,43.675,43.7,2849.0
43.69,43.69,43.68,43.69,5100.0
43.665,43.685,43.66,43.68,1979.0
43.66,43.67,43.64,43.6601,4644.0
43.66,43.665,43.645,43.665,1200.0
43.657,43.657,43.65,43.65,2000.0
43.625,43.655,43.625,43.655,2800.0
43.625,43.625,43.61,43.625,2734.0
43.58,43.61,43.58,43.595,5933.0
43.58,43.6,43.58,43.5846,2800.0
43.55,43.59,43.55,43.57,3458.0
43.5508,43.57,43.55,43.55,2100.0
43.55,43.56,43.55,43.5599,2300.0
43.57,43.58,43.55,43.55,4600.0
43.555,43.575,43.555,43.575,2000.0
43.58,43.58,43.555,43.555,3223.0
43.595,43.6,43.58,43.58,4800.0
43.61,43.61,43.595,43.595,4195.0
43.635,43.64,43.62,43.62,1800.0
43.67,43.68,43.625,43.63,6056.0
43.66,43.67,43.66,43.67,1200.0
43.65,43.66,43.64,43.655,2250.0
43.665,43.665,43.6447,43.645,3095.0
43.67,43.67,43.665,43.6699,1267.0
43.66,43.67,43.65,43.67,2100.0
43.69,43.69,43.66,43.67,6408.0
43.685,43.71,43.68,43.7,5820.0
43.7,43.71,43.69,43.69,1400.0
43.68,43.71,43.68,43.705,3828.0
43.71,43.71,43.675,43.68,11849.0
43.695,43.71,43.69,43.71,3300.0
43.71,43.71,43.685,43.69,5000.0
43.7007,43.72,43.7,43.72,3949.0
43.695,43.705,43.69,43.7,7400.0
43.68,43.7,43.68,43.7,2199.0
43.685,43.685,43.68,43.68,2400.0
43.71,43.71,43.67,43.68,9639.0
43.705,43.72,43.705,43.715,1800.0
43.69,43.71,43.69,43.71,2500.0
43.695,43.7,43.68,43.7,5700.0
43.76,43.76,43.7,43.7,15013.0
43.76,43.76,43.75,43.76,14464.0
43.8,43.8,43.755,43.76,12900.0
43.76,43.79,43.76,43.79,6900.0
43.755,43.765,43.75,43.76,4100.0
43.79,43.79,43.75,43.75,4199.0
43.775,43.79,43.76,43.79,6700.0
43.775,43.775,43.77,43.775,900.0
43.8,43.8,43.77,43.775,5000.0
43.775,43.79,43.775,43.79,2810.0
43.775,43.78,43.77,43.77,1100.0
43.775,43.78,43.77,43.77,4200.0
43.765,43.77,43.765,43.77,2496.0
43.795,43.8,43.74,43.76,10900.0
43.785,43.8,43.785,43.8,3000.0
43.82,43.82,43.77,43.78,7700.0
43.81,43.81,43.8,43.8,300.0
43.775,43.8,43.77,43.8,3700.0
43.8,43.8,43.775,43.775,3600.0
43.78,43.8,43.78,43.795,2400.0
43.76,43.78,43.755,43.775,3300.0
43.78,43.78,43.755,43.765,4500.0
43.765,43.78,43.765,43.78,2950.0
43.74,43.765,43.74,43.765,6500.0
43.745,43.76,43.745,43.75,3700.0
43.72,43.75,43.715,43.75,3300.0
43.74,43.74,43.715,43.715,1600.0
43.725,43.74,43.725,43.735,2300.0
43.7,43.725,43.7,43.72,2200.0
43.735,43.735,43.705,43.705,6000.0
43.73,43.73,43.72,43.73,1800.0
43.74,43.74,43.725,43.725,5000.0
43.725,43.75,43.725,43.74,4300.0
43.73,43.74,43.715,43.73,2500.0
43.725,43.725,43.7175,43.725,2100.0
43.72,43.74,43.72,43.73,2403.0
43.71,43.725,43.71,43.725,700.0
43.72,43.72,43.71,43.71,2400.0
43.7,43.715,43.695,43.715,1300.0
43.66,43.695,43.65,43.695,2500.0
43.665,43.67,43.645,43.65,3796.0
43.665,43.67,43.665,43.665,1000.0
43.65,43.67,43.65,43.66,3200.0
43.65,43.66,43.64,43.66,3106.0
43.625,43.64,43.625,43.64,3600.0
43.62,43.64,43.62,43.635,2112.0
43.62,43.64,43.62,43.62,5376.0
43.63,43.63,43.62,43.62,2160.0
43.62,43.63,43.61,43.62,1100.0
43.63,43.65,43.62,43.62,8664.0
43.655,43.66,43.635,43.64,3000.0
43.66,43.66,43.655,43.66,600.0
43.65,43.66,43.65,43.66,1900.0
43.67,43.67,43.64,43.6443,3449.0
43.665,43.665,43.665,43.665,200.0
43.67,43.68,43.665,43.67,2429.0
43.68,43.68,43.66,43.675,3275.0
43.68,43.68,43.67,43.68,2416.0
43.72,43.72,43.685,43.69,4781.0
43.725,43.73,43.725,43.73,1617.0
43.72,43.73,43.705,43.72,4300.0
43.735,43.76,43.73,43.73,24790.0
43.72,43.74,43.715,43.74,3764.0
43.705,43.715,43.7,43.715,1000.0
43.68,43.7,43.68,43.7,6300.0
43.705,43.71,43.69,43.69,1800.0
43.72,43.72,43.7,43.705,6632.0
43.71,43.72,43.71,43.715,3100.0
43.72,43.72,43.715,43.715,1100.0
43.72,43.72,43.715,43.715,600.0
43.715,43.72,43.71,43.71,3267.0
43.701,43.71,43.69,43.71,3334.0
43.71,43.71,43.695,43.7,1900.0
43.7,43.705,43.7,43.7,900.0
43.69,43.695,43.69,43.695,900.0
43.66,43.68,43.66,43.68,2771.0
43.64,43.66,43.64,43.66,1700.0
43.62,43.64,43.615,43.64,3100.0
43.615,43.63,43.61,43.63,900.0
43.64,43.64,43.61,43.615,4332.0
43.645,43.645,43.64,43.645,500.0
43.645,43.65,43.645,43.65,600.0
43.645,43.65,43.645,43.645,1000.0
43.67,43.67,43.645,43.65,5000.0
43.66,43.67,43.66,43.665,900.0
43.68,43.68,43.65,43.655,2900.0
43.675,43.6775,43.67,43.67,300.0
43.67,43.68,43.66,43.68,2285.0
43.65,43.66,43.65,43.66,200.0
43.655,43.66,43.65,43.66,1100.0
43.65,43.655,43.65,43.65,400.0
43.65,43.66,43.65,43.66,1322.0
43.65,43.66,43.65,43.65,3434.0
43.665,43.67,43.655,43.66,3842.0
43.66,43.66,43.66,43.66,400.0
43.645,43.655,43.645,43.65,2904.0
43.645,43.645,43.645,43.645,600.0
43.65,43.65,43.645,43.645,500.0
43.645,43.645,43.64,43.645,1100.0
43.66,43.66,43.64,43.645,4768.0
43.69,43.7,43.655,43.655,6741.0
43.685,43.685,43.685,43.685,400.0
43.67,43.68,43.67,43.68,1700.0
43.66,43.665,43.66,43.665,300.0
43.655,43.655,43.65,43.65,1000.0
43.665,43.67,43.655,43.66,3244.0
43.675,43.675,43.655,43.665,4516.0
43.67,43.675,43.665,43.675,900.0
43.67,43.67,43.665,43.67,1000.0
43.665,43.67,43.6625,43.665,4473.0
43.665,43.67,43.665,43.665,1600.0
43.665,43.67,43.665,43.67,600.0
43.665,43.67,43.665,43.665,1000.0
43.7,43.7,43.665,43.665,3800.0
43.685,43.695,43.685,43.6948,6397.0
43.685,43.69,43.685,43.685,900.0
43.685,43.685,43.6831,43.685,1080.0
43.705,43.705,43.69,43.69,3400.0
43.735,43.74,43.705,43.705,11042.0
43.75,43.75,43.735,43.735,2000.0
43.74,43.75,43.74,43.75,1047.0
43.73,43.745,43.73,43.74,3200.0
43.735,43.74,43.735,43.735,1600.0
43.745,43.75,43.725,43.74,20531.0
43.745,43.75,43.74,43.745,900.0
43.745,43.75,43.74,43.745,1012.0
43.8,43.815,43.74,43.745,9665.0
43.8,43.81,43.795,43.81,3400.0
43.76,43.8,43.76,43.8,1651.0
43.75,43.76,43.75,43.75,1200.0
43.755,43.76,43.75,43.76,700.0
43.74,43.755,43.74,43.755,6947.0
43.73,43.75,43.73,43.745,1600.0
43.72,43.735,43.72,43.73,2900.0
43.72,43.72,43.72,43.72,100.0
