Open,High,Low,Close,Volume
61.17,61.17,61.17,61.17,19149.0
60.975,61.12,60.93,61.12,9375.0
60.93,60.96,60.86,60.93,1030.0
60.87,60.9999,60.86,60.9999,863.0
60.98,61.01,60.88,60.88,2200.0
61.055,61.055,60.98,60.98,740.0
61.2,61.2,61.07,61.09,4300.0
61.17,61.23,61.11,61.23,2167.0
61.165,61.2,61.14,61.1571,813.0
61.16,61.18,61.15,61.18,580.0
61.12,61.16,61.05,61.16,2314.0
61.06,61.09,61.02,61.09,1600.0
61.14,61.18,61.065,61.065,1100.0
61.135,61.21,61.06,61.15,2245.0
61.1,61.205,61.1,61.17,1038.0
61.17,61.23,61.165,61.165,3022.0
61.16,61.18,61.1,61.13,3000.0
61.21,61.21,61.14,61.14,5329.0
61.24,61.27,61.19,61.19,2400.0
61.25,61.265,61.19,61.265,2639.0
61.25,61.26,61.245,61.25,900.0
61.1934,61.29,61.1934,61.29,4600.0
61.24,61.27,61.21,61.212,3485.0
61.245,61.27,61.245,61.27,700.0
61.22,61.27,61.22,61.22,1195.0
61.2,61.245,61.2,61.22,1718.0
61.26,61.26,61.19,61.19,2315.0
61.25,61.25,61.23,61.23,1800.0
61.28,61.28,61.24,61.24,1300.0
61.26,61.26,61.215,61.25,1812.0
61.29,61.29,61.24,61.24,2071.0
61.325,61.36,61.315,61.32,8700.0
61.295,61.34,61.295,61.3,1419.0
61.3,61.34,61.295,61.32,3689.0
61.18,61.26,61.17,61.26,1600.0
61.245,61.26,61.19,61.1972,2712.0
61.24,61.26,61.21,61.23,800.0
61.27,61.287,61.24,61.24,5500.0
61.24,61.27,61.2,61.27,6252.0
61.21,61.24,61.18,61.24,5100.0
61.185,61.225,61.16,61.21,13196.0
61.2,61.21,61.165,61.165,1400.0
61.1,61.21,61.08,61.2,5767.0
61.12,61.14,61.09,61.09,1100.0
61.11,61.12,61.07,61.11,2109.0
61.17,61.17,61.09,61.09,2250.0
61.19,61.24,61.12,61.145,176410.0
61.21,61.25,61.19,61.21,12954.0
61.224,61.23,61.17,61.23,11041.0
61.22,61.23,61.2004,61.2004,1948.0
61.18,61.27,61.18,61.23,6976.0
61.14,61.185,61.14,61.17,1900.0
61.19,61.19,61.13,61.145,1100.0
61.205,61.24,61.19,61.19,1800.0
61.18,61.22,61.16,61.22,2745.0
61.16,61.2,61.16,61.2,1571.0
61.08,61.15,61.08,61.14,6650.0
61.09,61.1035,61.03,61.08,3188.0
61.08,61.14,61.08,61.14,400.0
61.06,61.08,61.04,61.08,1900.0
61.045,61.07,61.03,61.045,1500.0
61.08,61.08,61.04,61.06,1742.0
61.11,61.11,61.065,61.065,1901.0
61.14,61.16,61.1,61.1,1317.0
61.17,61.17,61.12,61.14,2905.0
61.1795,61.18,61.14,61.14,1450.0
61.17,61.17,61.14,61.14,3600.0
61.11,61.16,61.11,61.16,2675.0
61.08,61.12,61.06,61.11,2292.0
61.04,61.0685,61.04,61.04,800.0
61.05,61.08,61.05,61.06,2769.0
61.06,61.11,61.06,61.0707,1703.0
61.05,61.085,61.03,61.085,1875.0
61.03,61.06,61.01,61.01,4005.0
61.015,61.05,61.0,61.05,1500.0
60.99,61.03,60.99,61.0,1100.0
61.02,61.04,61.0,61.0,2300.0
61.08,61.1,61.01,61.01,2600.0
61.04,61.09,61.04,61.09,4800.0
60.975,61.05,60.97,61.04,3211.0
61.02,61.03,61.0,61.01,2630.0
61.04,61.04,61.0134,61.0134,1400.0
61.0,61.03,60.99,61.03,3000.0
60.97,61.01,60.97,60.98,800.0
60.93,60.97,60.93,60.95,1600.0
60.9395,60.97,60.91,60.95,7699.0
60.93,60.955,60.92,60.94,3509.0
60.93,60.93,60.925,60.93,1808.0
60.97,60.97,60.935,60.94,3410.0
60.95,60.97,60.95,60.96,3330.0
60.9,60.94,60.89,60.94,4475.0
60.88,60.9099,60.88,60.89,2021.0
60.88,60.9,60.87,60.89,6163.0
60.88,60.9,60.87,60.87,3200.0
60.84,60.9,60.82,60.89,10582.0
60.81,60.85,60.81,60.85,2808.0
60.8,60.8,60.8,60.8,500.0
60.8,60.82,60.8,60.81,2138.0
60.79,60.82,60.79,60.8,3801.0
60.79,60.805,60.78,60.79,7196.0
60.8,60.8,60.79,60.79,3073.0
60.81,60.825,60.8,60.8,11559.0
60.83,60.83,60.81,60.81,2299.0
60.815,60.83,60.815,60.815,1088.0
60.81,60.8225,60.78,60.815,7700.0
60.79,60.8175,60.79,60.81,2011.0
60.81,60.81,60.8,60.8,1300.0
60.83,60.83,60.8,60.81,1427.0
60.885,60.885,60.815,60.83,3534.0
60.94,60.94,60.895,60.9,1800.0
60.9334,60.94,60.915,60.93,6445.0
60.92,60.94,60.92,60.9322,1935.0
60.925,60.95,60.9178,60.93,2100.0
60.895,60.91,60.88,60.91,2165.0
60.93,60.94,60.89,60.89,7210.0
60.94,60.95,60.93,60.95,3025.0
60.96,60.96,60.93,60.935,2500.0
60.95,60.9678,60.95,60.95,2148.0
60.97,60.97,60.96,60.96,1700.0
60.97,60.98,60.96,60.97,2145.0
60.975,60.98,60.97,60.97,1100.0
60.98,60.99,60.98,60.98,1526.0
60.94,60.97,60.92,60.97,3149.0
60.975,60.99,60.93,60.94,3367.0
60.95,60.99,60.95,60.98,2236.0
60.97,60.98,60.94,60.95,2418.0
60.97,60.98,60.96,60.97,1200.0
60.97,60.99,60.97,60.97,7174.0
60.99,60.99,60.97,60.98,13530.0
60.99,60.99,60.98,60.99,10385.0
60.99,60.993,60.98,60.993,800.0
61.0,61.0,60.99,60.99,961.0
61.0173,61.0173,61.01,61.01,809.0
61.03,61.03,61.015,61.02,1927.0
