Open,High,Low,Close,Volume
152.05,154.29,152.05,154.29,2124.0
153.5,154.21,152.8002,152.8002,11400.0
154.41,154.41,154.145,154.23,705.0
154.82,154.85,154.76,154.76,713.0
154.62,154.62,154.62,154.62,100.0
154.75,154.83,154.555,154.81,900.0
154.6,154.65,154.58,154.64,2539.0
154.545,154.56,154.545,154.56,700.0
154.45,154.47,154.32,154.41,1014.0
154.5,154.5,154.5,154.5,100.0
154.46,154.46,154.46,154.46,100.0
154.31,154.39,154.31,154.39,600.0
154.37,154.37,154.21,154.21,200.0
154.2525,154.37,154.2525,154.32,2100.0
154.27,154.34,154.22,154.31,3400.0
153.98,154.14,153.98,154.14,1100.0
153.98,153.98,153.925,153.96,1800.0
153.94,153.94,153.94,153.94,100.0
153.7,153.87,153.7,153.87,2400.0
153.7,153.75,153.61,153.7,4800.0
153.825,153.91,153.535,153.68,4054.0
153.845,153.845,153.845,153.845,100.0
153.91,153.91,153.8,153.8,20400.0
153.91,153.91,153.69,153.86,14200.0
153.7,153.88,153.7,153.88,1732.0
153.71,153.71,153.71,153.71,100.0
153.785,153.84,153.78,153.8,700.0
153.71,153.71,153.71,153.71,100.0
153.77,153.77,153.77,153.77,700.0
153.72,153.72,153.67,153.67,200.0
153.72,153.73,153.68,153.72,3500.0
153.91,153.91,153.72,153.72,3200.0
153.84,153.92,153.84,153.89,700.0
153.7,153.83,153.66,153.8,1200.0
153.74,153.74,153.735,153.74,900.0
153.76,153.76,153.71,153.75,1100.0
153.65,153.66,153.65,153.66,1300.0
153.65,153.65,153.64,153.65,800.0
153.7,153.74,153.7,153.7,1400.0
153.81,153.95,153.81,153.81,1100.0
153.77,153.825,153.76,153.825,2000.0
153.71,153.8,153.65,153.8,1500.0
153.8,153.91,153.67,153.67,1300.0
153.66,153.72,153.66,153.72,738.0
153.54,153.69,153.54,153.69,1300.0
153.54,153.55,153.54,153.55,800.0
153.51,153.54,153.51,153.54,700.0
153.45,153.465,153.45,153.465,400.0
153.31,153.37,153.31,153.37,700.0
153.33,153.385,153.26,153.26,16700.0
153.39,153.39,153.39,153.39,100.0
153.43,153.47,153.27,153.28,2700.0
153.45,153.45,153.45,153.45,100.0
153.45,153.455,153.45,153.455,200.0
153.58,153.665,153.46,153.46,3000.0
153.6,153.67,153.6,153.67,200.0
153.7,153.7,153.66,153.66,500.0
153.68,153.73,153.68,153.72,1750.0
153.59,153.62,153.59,153.62,400.0
153.58,153.61,153.575,153.575,1000.0
153.535,153.58,153.535,153.58,500.0
153.52,153.62,153.52,153.56,1800.0
153.56,153.67,153.56,153.62,1255.0
153.51,153.53,153.51,153.53,400.0
153.48,153.505,153.44,153.505,500.0
153.44,153.44,153.44,153.44,100.0
153.43,153.43,153.43,153.43,400.0
153.45,153.45,153.45,153.45,100.0
153.29,153.41,153.29,153.41,1200.0
153.47,153.56,153.355,153.38,3987.0
153.43,153.47,153.43,153.44,300.0
153.555,153.555,153.47,153.51,900.0
153.49,153.59,153.49,153.59,4000.0
153.55,153.55,153.44,153.47,1200.0
153.47,153.56,153.44,153.56,1852.0
153.28,153.43,153.28,153.43,1800.0
153.28,153.39,153.245,153.35,3100.0
153.25,153.33,153.21,153.3,3300.0
153.2,153.26,153.18,153.25,4200.0
153.14,153.24,153.13,153.2,4099.0
153.14,153.19,153.11,153.14,1969.0
153.03,153.14,153.03,153.13,5500.0
153.13,153.13,153.05,153.05,3900.0
153.08,153.205,153.08,153.15,2800.0
153.16,153.22,153.095,153.095,2600.0
153.0695,153.13,153.06,153.13,3587.0
153.095,153.11,153.0,153.05,2578.0
153.02,153.09,153.02,153.09,1100.0
153.1895,153.19,152.97,153.04,9100.0
153.3,153.32,153.145,153.2,5000.0
153.26,153.33,153.2,153.32,3099.0
153.27,153.33,153.27,153.33,500.0
153.45,153.45,153.28,153.28,3780.0
153.3,153.42,153.3,153.42,2900.0
153.34,153.4,153.305,153.305,800.0
153.46,153.46,153.32,153.34,4622.0
153.26,153.39,153.26,153.38,7200.0
153.23,153.23,153.17,153.21,2699.0
153.18,153.3,153.18,153.22,2465.0
153.16,153.18,153.07,153.18,3000.0
153.0895,153.15,153.04,153.15,8147.0
153.1,153.13,153.08,153.08,3400.0
153.11,153.18,153.11,153.15,3102.0
153.07,153.12,153.0,153.11,8500.0
153.04,153.07,152.98,153.07,3794.0
152.95,153.05,152.91,152.98,5300.0
152.955,152.9999,152.77,152.95,7258.0
152.9201,153.04,152.9201,152.99,4341.0
152.97,153.0,152.97,153.0,500.0
153.05,153.05,153.005,153.005,1700.0
153.0,153.01,153.0,153.01,300.0
152.95,152.97,152.92,152.97,1300.0
152.925,152.945,152.925,152.945,200.0
152.89,152.94,152.89,152.94,688.0
152.91,152.97,152.9,152.92,1400.0
152.93,152.93,152.89,152.89,1800.0
152.94,152.94,152.86,152.89,1300.0
152.93,152.93,152.93,152.93,599.0
153.0,153.0,152.939,152.939,1700.0
153.05,153.05,153.01,153.01,1500.0
