Open,High,Low,Close,Volume
70.82,70.83,70.81,70.81,122041.0
70.76,70.83,70.76,70.82,20399.0
70.79,70.82,70.66,70.76,22070.0
70.88,70.91,70.7643,70.7643,16069.0
70.96,70.99,70.87,70.88,24781.0
70.813,71.02,70.8,70.97,43334.0
70.67,70.83,70.67,70.82,26495.0
70.65,70.76,70.62,70.69,17070.0
70.7,70.74,70.62,70.6455,15102.0
70.57,70.71,70.57,70.6854,12100.0
70.59,70.61,70.57,70.6,7853.0
70.57,70.63,70.57,70.62,19044.0
70.58,70.63,70.57,70.57,13590.0
70.49,70.64,70.48,70.58,19842.0
70.56,70.58,70.49,70.5,19781.0
70.51,70.56,70.43,70.55,14311.0
70.46,70.51,70.43,70.5,35947.0
70.3801,70.47,70.37,70.44,42689.0
70.4,70.43,70.38,70.3886,18856.0
70.417,70.458,70.4,70.4,19860.0
70.59,70.59,70.43,70.43,24178.0
70.505,70.61,70.505,70.6,19865.0
70.55,70.58,70.505,70.51,6405.0
70.47,70.56,70.46,70.56,16603.0
70.56,70.57,70.46,70.47,15534.0
70.5,70.62,70.5,70.57,23892.0
70.54,70.56,70.51,70.52,6244.0
70.52,70.55,70.5,70.54,14705.0
70.54,70.54,70.51,70.51,15360.0
70.56,70.59,70.53,70.53,5665.0
70.54,70.5849,70.54,70.56,11997.0
70.5,70.54,70.47,70.54,15993.0
70.39,70.51,70.38,70.5087,20879.0
70.42,70.42,70.38,70.39,9000.0
70.44,70.46,70.42,70.43,22060.0
70.35,70.47,70.35,70.45,55414.0
70.34,70.41,70.34,70.35,23479.0
70.29,70.36,70.25,70.345,40731.0
70.28,70.29,70.27,70.29,4572.0
70.28,70.31,70.27,70.27,12195.0
70.2601,70.29,70.26,70.285,5630.0
70.27,70.28,70.16,70.263,58784.0
70.1709,70.28,70.17,70.28,28662.0
70.27,70.27,70.19,70.19,17832.0
70.3,70.325,70.27,70.27,16272.0
70.26,70.3,70.245,70.3,12535.0
70.27,70.275,70.26,70.26,8623.0
70.21,70.26,70.18,70.26,29049.0
70.22,70.23,70.15,70.2146,33960.0
70.295,70.3,70.2,70.22,21774.0
70.34,70.34,70.3,70.3,10871.0
70.29,70.34,70.27,70.34,13706.0
70.2599,70.31,70.23,70.29,18771.0
70.2,70.27,70.19,70.26,44881.0
70.2065,70.22,70.18,70.21,19386.0
70.25,70.25,70.1931,70.1931,10973.0
70.26,70.29,70.24,70.27,17448.0
70.27,70.3,70.25,70.261,10667.0
70.3,70.32,70.23,70.27,21409.0
70.31,70.33,70.29,70.3047,10649.0
70.275,70.325,70.25,70.31,10045.0
70.24,70.27,70.24,70.27,14028.0
70.265,70.2653,70.23,70.24,9438.0
70.28,70.28,70.25,70.26,12277.0
70.22,70.2856,70.21,70.2856,16547.0
70.24,70.2555,70.22,70.225,8687.0
70.22,70.26,70.21,70.24,10704.0
70.205,70.24,70.2,70.22,7239.0
70.2559,70.2559,70.18,70.21,19021.0
70.27,70.28,70.25,70.26,16372.0
70.2657,70.29,70.26,70.26,36785.0
70.289,70.3,70.26,70.26,23679.0
70.27,70.3,70.26,70.29,18334.0
70.29,70.3,70.25,70.26,29436.0
70.3001,70.31,70.29,70.3,7123.0
70.29,70.299,70.26,70.29,9016.0
70.29,70.305,70.28,70.3,18059.0
70.27,70.31,70.27,70.3,8034.0
70.21,70.27,70.21,70.27,15100.0
70.18,70.215,70.165,70.215,28498.0
70.19,70.22,70.1846,70.19,13705.0
70.19,70.225,70.19,70.19,11676.0
70.18,70.19,70.15,70.19,9945.0
70.16,70.19,70.16,70.1893,8607.0
70.15,70.1688,70.11,70.1688,21411.0
70.15,70.16,70.13,70.155,14557.0
70.17,70.17,70.15,70.1549,12594.0
70.13,70.165,70.13,70.165,8997.0
70.13,70.14,70.13,70.13,21002.0
70.1168,70.1299,70.095,70.12,32953.0
70.06,70.12,70.06,70.12,19989.0
70.08,70.1,70.06,70.061,24329.0
70.06,70.09,70.06,70.085,14583.0
70.1,70.1,70.06,70.065,8817.0
70.1266,70.13,70.11,70.11,5851.0
70.12,70.15,70.12,70.13,8194.0
70.09,70.13,70.09,70.12,11535.0
70.075,70.1,70.07,70.1,5916.0
70.045,70.079,70.01,70.079,37713.0
70.07,70.07,70.0412,70.05,6855.0
70.1,70.1,70.04,70.0601,19468.0
70.12,70.12,70.06,70.1,18462.0
70.09,70.13,70.075,70.1189,18095.0
70.083,70.11,70.06,70.095,20949.0
70.06,70.09,70.06,70.085,6894.0
70.02,70.065,70.02,70.065,18193.0
70.045,70.06,70.02,70.02,11679.0
70.06,70.07,70.0435,70.05,7328.0
70.04,70.07,70.03,70.06,10781.0
70.01,70.055,70.01,70.049,15840.0
70.015,70.03,70.0,70.02,34296.0
69.95,70.03,69.93,70.01,172991.0
69.97,69.985,69.96,69.96,10806.0
69.97,69.98,69.94,69.9649,11114.0
69.9935,70.0,69.97,69.9746,15326.0
70.0,70.015,69.99,69.9901,14252.0
70.005,70.01,69.99,69.995,11093.0
69.965,70.005,69.955,70.0038,11003.0
69.97,69.9732,69.96,69.965,6351.0
69.94,69.97,69.92,69.97,18379.0
69.9201,69.95,69.92,69.94,5360.0
69.91,69.92,69.91,69.92,13719.0
69.93,69.94,69.91,69.91,4860.0
69.94,69.97,69.93,69.935,19424.0
69.93,69.9454,69.93,69.945,14890.0
69.91,69.92,69.88,69.92,33364.0
69.925,69.9295,69.8999,69.9,12376.0
69.929,69.95,69.92,69.925,7582.0
69.9557,69.9557,69.92,69.925,10669.0
69.94,69.955,69.93,69.95,11514.0
69.965,69.99,69.95,69.95,18213.0
69.959,69.97,69.95,69.97,4699.0
