Open,High,Low,Close,Volume
20.24,20.24,20.23,20.23,224.0
20.24,20.31,20.24,20.31,15884.0
20.22,20.24,20.21,20.24,14488.0
20.235,20.24,20.21,20.22,9836.0
20.23,20.25,20.225,20.24,6000.0
20.23,20.24,20.225,20.23,10713.0
20.225,20.23,20.22,20.23,6850.0
20.21,20.225,20.21,20.225,7900.0
20.22,20.22,20.21,20.22,21800.0
20.2,20.215,20.2,20.215,20922.0
20.205,20.21,20.2,20.205,6867.0
20.21,20.21,20.18,20.21,34103.0
20.21,20.21,20.21,20.21,1200.0
20.215,20.22,20.2,20.22,15797.0
20.23,20.23,20.22,20.22,2100.0
20.225,20.235,20.225,20.23,7758.0
20.241,20.245,20.23,20.23,15730.0
20.25,20.255,20.24,20.25,9234.0
20.25,20.26,20.25,20.25,1671.0
20.265,20.27,20.25,20.25,10450.0
20.28,20.28,20.265,20.27,8126.0
20.255,20.275,20.255,20.27,17737.0
20.25,20.255,20.25,20.25,1800.0
20.25,20.25,20.25,20.25,1300.0
20.25,20.255,20.25,20.25,2100.0
20.255,20.255,20.25,20.255,400.0
20.255,20.255,20.25,20.25,1500.0
20.24,20.25,20.24,20.25,15653.0
20.21,20.24,20.2,20.24,38753.0
20.22,20.23,20.2,20.205,20775.0
20.2,20.21,20.2,20.21,3000.0
20.22,20.22,20.205,20.21,2401.0
20.21,20.215,20.205,20.21,15548.0
20.2,20.205,20.2,20.2,300.0
20.18,20.2,20.18,20.2,8323.0
20.14,20.185,20.14,20.185,21605.0
20.16,20.16,20.145,20.1499,15528.0
20.145,20.16,20.14,20.155,11100.0
20.135,20.145,20.13,20.145,21231.0
20.135,20.145,20.13,20.135,31340.0
20.135,20.14,20.13,20.135,26225.0
20.165,20.17,20.135,20.14,17600.0
20.16,20.17,20.15,20.16,33515.0
20.165,20.17,20.155,20.16,9300.0
20.18,20.18,20.16,20.17,4073.0
20.19,20.19,20.18,20.18,4700.0
20.19,20.19,20.18,20.19,16575.0
20.17,20.19,20.16,20.19,25440.0
20.165,20.17,20.165,20.17,300.0
20.165,20.17,20.165,20.17,10300.0
20.16,20.17,20.16,20.17,1200.0
20.16,20.17,20.155,20.17,18801.0
20.135,20.155,20.13,20.155,23445.0
20.135,20.1399,20.13,20.13,1914.0
20.135,20.14,20.13,20.13,8500.0
20.115,20.13,20.1,20.13,28128.0
20.13,20.13,20.1,20.11,8726.0
20.13,20.13,20.13,20.13,100.0
20.12,20.13,20.11,20.13,10930.0
20.13,20.13,20.13,20.13,656.0
20.1325,20.14,20.13,20.13,3101.0
20.15,20.15,20.135,20.135,7250.0
20.15,20.15,20.15,20.15,1600.0
20.17,20.17,20.15,20.15,19700.0
20.18,20.18,20.17,20.17,16300.0
20.16,20.18,20.15,20.18,32459.0
20.1485,20.16,20.14,20.155,18148.0
20.15,20.15,20.135,20.145,10900.0
20.155,20.16,20.155,20.16,300.0
20.155,20.16,20.155,20.16,1300.0
20.155,20.16,20.1549,20.155,2894.0
20.17,20.17,20.15,20.155,10400.0
20.175,20.18,20.165,20.17,13187.0
20.185,20.19,20.17,20.175,31712.0
20.185,20.19,20.18,20.185,15650.0
20.2,20.2,20.18,20.185,8598.0
20.21,20.215,20.2,20.2,25071.0
20.205,20.22,20.2,20.215,12808.0
20.18,20.205,20.18,20.2,19744.0
