Open,High,Low,Close,Volume
43.24,43.24,43.01,43.05,38144.0
43.08,43.24,43.05,43.13,10173.0
43.12,43.12,43.03,43.06,5758.0
43.0747,43.1,43.07,43.07,1036.0
43.18,43.19,43.04,43.0582,2403.0
43.22,43.22,43.11,43.14,3200.0
43.34,43.36,43.22,43.22,22835.0
43.25,43.32,43.25,43.32,7618.0
43.31,43.34,43.27,43.27,7208.0
43.28,43.32,43.25,43.31,19057.0
43.26,43.28,43.23,43.28,2851.0
43.29,43.3,43.25,43.26,16844.0
43.31,43.335,43.28,43.28,10839.0
43.265,43.31,43.265,43.31,4834.0
43.28,43.29,43.26,43.26,7124.0
43.25,43.3,43.225,43.28,10995.0
43.23,43.26,43.23,43.26,3134.0
43.24,43.27,43.24,43.24,7668.0
43.27,43.28,43.25,43.25,9037.0
43.31,43.31,43.27,43.27,11542.0
43.34,43.34,43.31,43.31,17513.0
43.3243,43.35,43.3,43.3432,11928.0
43.36,43.36,43.32,43.33,5867.0
43.36,43.37,43.35,43.36,5214.0
43.39,43.39,43.36,43.37,4800.0
43.41,43.42,43.39,43.39,3236.0
43.39,43.41,43.39,43.4,4224.0
43.37,43.39,43.36,43.39,5228.0
43.34,43.36,43.33,43.36,11240.0
43.33,43.34,43.32,43.34,4517.0
43.33,43.33,43.33,43.33,397.0
43.3,43.32,43.29,43.31,1685.0
43.25,43.29,43.25,43.28,3250.0
43.26,43.27,43.24,43.25,6293.0
43.305,43.31,43.26,43.26,5740.0
43.3,43.325,43.29,43.305,8008.0
43.31,43.32,43.3,43.3,4801.0
43.28,43.31,43.27,43.31,7829.0
43.23,43.285,43.22,43.28,4866.0
43.24,43.26,43.23,43.23,5407.0
43.24,43.26,43.23,43.25,3162.0
43.19,43.24,43.18,43.24,11824.0
43.2,43.215,43.18,43.2,3981.0
43.22,43.22,43.195,43.2,4532.0
43.23,43.24,43.22,43.22,8809.0
43.25,43.25,43.23,43.24,2983.0
43.23,43.245,43.22,43.245,3453.0
43.2201,43.24,43.22,43.23,3152.0
43.22,43.22,43.21,43.22,4684.0
43.21,43.22,43.2,43.215,5828.0
43.225,43.23,43.21,43.215,1319.0
43.23,43.2497,43.225,43.23,2687.0
43.21,43.23,43.21,43.23,1405.0
43.2,43.21,43.2,43.21,4104.0
43.21,43.21,43.1969,43.2,5248.0
43.21,43.21,43.2,43.21,3355.0
43.2,43.215,43.19,43.21,7711.0
43.19,43.215,43.19,43.195,4923.0
43.175,43.19,43.17,43.19,3111.0
43.14,43.17,43.14,43.17,2548.0
43.15,43.15,43.13,43.14,1665.0
43.15,43.155,43.15,43.15,1409.0
43.165,43.165,43.14,43.15,1900.0
43.2,43.2,43.165,43.17,2600.0
43.24,43.24,43.21,43.21,3213.0
43.265,43.265,43.23,43.24,2744.0
43.25,43.27,43.25,43.26,2335.0
43.3,43.3,43.26,43.26,2046.0
43.29,43.29,43.286,43.29,1050.0
43.3,43.3,43.29,43.29,500.0
43.32,43.33,43.3,43.3,3385.0
43.32,43.33,43.32,43.33,1100.0
43.3,43.31,43.3,43.31,2052.0
43.29,43.3,43.29,43.3,2467.0
43.27,43.28,43.26,43.28,4385.0
