Open,High,Low,Close,Volume
81.0,81.0,81.0,81.0,100.0
80.83,81.02,80.8,80.96,217272.0
80.895,80.95,80.8,80.83,34617.0
80.98,81.04,80.85,80.89,31415.0
80.94,81.05,80.92,80.9899,34923.0
81.12,81.15,80.93,80.93,28894.0
81.04,81.13,81.03,81.13,24030.0
81.0662,81.09,80.97,81.01,13565.0
81.07,81.1299,81.05,81.08,19189.0
81.02,81.08,81.0,81.07,21675.0
81.0,81.05,80.9668,81.012,31673.0
81.03,81.04,80.99,80.99,13478.0
80.96,81.03,80.95,81.025,22393.0
80.93,80.97,80.9,80.97,31156.0
80.92,80.935,80.895,80.93,30521.0
80.8899,80.96,80.875,80.91,39525.0
80.86,80.89,80.8,80.88,32002.0
80.85,80.88,80.84,80.855,19614.0
80.85,80.86,80.81,80.85,21836.0
80.88,80.88,80.85,80.86,14487.0
80.9199,80.93,80.875,80.88,21270.0
80.84,80.94,80.84,80.92,23133.0
80.82,80.8899,80.82,80.84,20796.0
80.72,80.84,80.72,80.825,39897.0
80.88,80.89,80.72,80.73,26837.0
80.9,80.93,80.85,80.88,30900.0
80.9056,80.92,80.87,80.9,18708.0
80.93,80.935,80.87,80.9,16241.0
80.94,80.94,80.904,80.935,21016.0
80.93,80.93,80.9,80.93,12280.0
80.89,80.94,80.89,80.93,67884.0
80.88,80.895,80.83,80.89,15026.0
80.905,80.92,80.83,80.88,18296.0
80.96,80.96,80.9,80.91,16213.0
81.0599,81.06,80.955,80.955,23239.0
81.03,81.07,81.03,81.05,13663.0
81.0001,81.03,80.97,81.03,16046.0
80.98,81.05,80.98,81.005,17695.0
81.12,81.125,80.98,80.98,37536.0
81.07,81.12,81.05,81.11,31803.0
81.04,81.125,81.02,81.07,22704.0
81.0,81.0501,80.98,81.0501,29101.0
80.975,81.015,80.95,81.0,37250.0
80.98,80.99,80.96,80.9862,26445.0
81.01,81.02,80.965,80.97,12032.0
81.055,81.065,81.0,81.02,12042.0
80.97,81.06,80.96,81.06,17293.0
80.92,80.97,80.9,80.97,13663.0
80.84,80.92,80.84,80.91,17573.0
80.82,80.88,80.82,80.8439,31476.0
80.78,80.83,80.76,80.83,24491.0
80.795,80.809,80.76,80.762,17809.0
80.81,80.842,80.79,80.79,15348.0
80.81,80.85,80.8,80.82,15649.0
80.81,80.815,80.8,80.81,6473.0
80.82,80.82,80.8,80.815,8967.0
80.8,80.82,80.7934,80.8102,22697.0
80.8,80.807,80.78,80.8,11273.0
80.73,80.795,80.7257,80.79,34509.0
80.745,80.77,80.73,80.736,15359.0
80.71,80.76,80.71,80.74,24838.0
80.675,80.73,80.67,80.72,31866.0
80.6847,80.7,80.6542,80.68,17410.0
80.709,80.71,80.67,80.69,14468.0
80.66,80.71,80.65,80.705,32099.0
80.625,80.667,80.61,80.667,56838.0
80.64,80.65,80.62,80.63,19806.0
80.6,80.66,80.6,80.6373,35882.0
80.62,80.6263,80.6,80.605,20774.0
80.555,80.64,80.55,80.615,71959.0
80.5257,80.575,80.51,80.55,97088.0
80.54,80.5575,80.52,80.53,34163.0
80.5185,80.54,80.51,80.53,34800.0
80.505,80.54,80.5,80.515,151974.0
80.5399,80.56,80.451,80.51,138261.0
80.4531,80.5747,80.45,80.54,62179.0
80.5,80.52,80.44,80.45,54706.0
80.56,80.5673,80.5,80.505,19392.0
80.55,80.59,80.54,80.56,25976.0
80.57,80.57,80.53,80.541,15558.0
80.61,80.61,80.56,80.56,20740.0
80.66,80.665,80.6,80.61,26541.0
80.67,80.67,80.64,80.66,41133.0
80.68,80.69,80.66,80.6601,25927.0
80.67,80.735,80.67,80.69,44868.0
80.63,80.675,80.6,80.67,23210.0
80.65,80.67,80.62,80.63,18455.0
80.62,80.65,80.6,80.65,20798.0
80.615,80.62,80.6,80.619,15120.0
80.58,80.615,80.57,80.615,26178.0
80.609,80.6247,80.58,80.58,26685.0
80.66,80.675,80.605,80.61,29217.0
80.68,80.69,80.66,80.661,9333.0
80.71,80.71,80.66,80.69,30110.0
80.71,80.73,80.7,80.707,45011.0
80.68,80.71,80.675,80.7,23117.0
80.62,80.68,80.595,80.68,22417.0
80.67,80.67,80.611,80.6133,18926.0
80.699,80.699,80.6631,80.6631,17739.0
80.71,80.71,80.675,80.6953,18189.0
80.78,80.78,80.72,80.72,20741.0
80.712,80.78,80.71,80.771,22565.0
80.67,80.71,80.66,80.71,23820.0
80.65,80.685,80.64,80.68,15352.0
80.65,80.67,80.64,80.65,10618.0
80.69,80.6957,80.65,80.65,6797.0
80.86,80.89,80.66,80.682,75080.0
80.8757,80.91,80.79,80.85,40155.0
80.93,80.95,80.86,80.879,31926.0
81.0,81.015,80.88,80.92,33197.0
81.065,81.08,81.01,81.01,31841.0
81.01,81.055,81.01,81.055,14376.0
81.081,81.1,81.02,81.02,21186.0
81.08,81.1139,81.07,81.08,22535.0
81.03,81.07,80.99,81.07,22108.0
81.03,81.039,80.95,81.02,49286.0
81.09,81.12,81.03,81.03,37148.0
81.18,81.19,81.07,81.08,54816.0
81.16,81.19,81.09,81.18,36250.0
81.18,81.2,81.12,81.15,29286.0
81.2,81.21,81.1435,81.185,41281.0
81.17,81.21,81.14,81.2,53106.0
81.1032,81.17,81.08,81.17,40265.0
81.08,81.12,81.0799,81.1,13060.0
81.04,81.07,81.01,81.07,19654.0
81.05,81.07,81.032,81.032,9288.0
81.04,81.07,81.03,81.06,25541.0
81.045,81.05,81.0,81.04,17561.0
81.075,81.08,81.04,81.04,14479.0
81.06,81.09,81.04,81.08,12969.0
81.08,81.085,81.05,81.0668,16266.0
81.125,81.13,81.08,81.08,14991.0
81.16,81.169,81.13,81.13,40092.0
81.105,81.16,81.105,81.16,15269.0
81.1343,81.1343,81.09,81.1,13882.0
81.11,81.159,81.1,81.14,14325.0
81.06,81.1053,81.06,81.1,13107.0
81.08,81.09,81.05,81.06,8147.0
81.1,81.1,81.08,81.08,9206.0
81.165,81.165,81.11,81.11,22247.0
81.165,81.1682,81.135,81.165,18144.0
81.179,81.2,81.15,81.16,27825.0
81.18,81.21,81.17,81.18,20817.0
81.19,81.195,81.17,81.19,17780.0
81.2,81.229,81.17,81.185,16682.0
81.15,81.22,81.15,81.21,14166.0
81.14,81.165,81.14,81.15,9544.0
81.11,81.136,81.11,81.135,5821.0
81.095,81.11,81.085,81.1,11153.0
81.1041,81.12,81.09,81.1,10297.0
81.11,81.115,81.09,81.1,12395.0
