Open,High,Low,Close,Volume
48.72,48.72,48.72,48.72,8914.0
48.69,48.69,48.19,48.36,1000.0
48.42,48.51,48.42,48.51,2200.0
48.42,48.45,48.37,48.37,700.0
48.49,48.57,48.49,48.57,300.0
48.51,48.516,48.51,48.516,850.0
48.43,48.59,48.43,48.59,1300.0
48.49,48.58,48.44,48.5299,1200.0
48.48,48.5499,48.46,48.52,3847.0
48.59,48.6,48.54,48.55,1100.0
48.6,48.6,48.585,48.6,300.0
48.595,48.615,48.59,48.615,400.0
48.65,48.67,48.63,48.63,700.0
48.64,48.658,48.62,48.62,2362.0
48.73,48.74,48.61,48.64,8680.0
48.65,48.75,48.65,48.75,5600.0
48.64,48.68,48.63,48.655,3000.0
48.62,48.64,48.62,48.63,900.0
48.66,48.668,48.63,48.65,2104.0
48.69,48.69,48.67,48.67,462.0
48.68,48.7,48.68,48.69,1700.0
48.64,48.675,48.64,48.675,807.0
48.68,48.68,48.62,48.63,800.0
48.71,48.71,48.7,48.7,550.0
48.6499,48.66,48.64,48.66,1000.0
48.6799,48.6799,48.6799,48.6799,229.0
48.64,48.64,48.64,48.64,900.0
48.64,48.64,48.62,48.62,589.0
48.69,48.69,48.67,48.67,400.0
48.71,48.71,48.71,48.71,200.0
48.72,48.725,48.72,48.725,937.0
48.73,48.73,48.73,48.73,301.0
48.72,48.74,48.72,48.74,1000.0
48.74,48.74,48.72,48.72,700.0
48.7199,48.75,48.7199,48.735,2022.0
48.71,48.74,48.6901,48.71,6405.0
48.75,48.76,48.7,48.7,2303.0
48.76,48.77,48.74,48.75,1300.0
48.78,48.78,48.7481,48.75,4300.0
48.75,48.785,48.75,48.785,1403.0
48.76,48.77,48.74,48.76,2300.0
48.75,48.76,48.71,48.76,3751.0
48.715,48.745,48.715,48.745,1200.0
48.64,48.64,48.64,48.64,100.0
48.67,48.67,48.65,48.67,1255.0
48.66,48.68,48.66,48.67,1200.0
48.68,48.68,48.65,48.67,4400.0
48.63,48.67,48.63,48.67,1500.0
48.6,48.63,48.6,48.63,2134.0
48.585,48.59,48.571,48.59,1200.0
48.525,48.57,48.525,48.57,1400.0
48.54,48.56,48.53,48.54,2005.0
48.56,48.56,48.5299,48.53,4842.0
48.56,48.57,48.56,48.57,1200.0
48.55,48.56,48.55,48.55,1200.0
48.59,48.59,48.57,48.57,645.0
48.57,48.6,48.57,48.59,2700.0
48.6,48.6,48.5819,48.59,2500.0
48.6117,48.62,48.605,48.62,1237.0
48.63,48.63,48.6,48.6145,300.0
48.65,48.67,48.64,48.64,5729.0
48.65,48.65,48.64,48.64,500.0
48.655,48.66,48.645,48.6592,2193.0
48.64,48.65,48.64,48.65,2400.0
48.67,48.68,48.65,48.65,1200.0
48.6699,48.69,48.66,48.68,2000.0
48.69,48.69,48.68,48.68,700.0
48.66,48.69,48.66,48.69,2100.0
48.65,48.65,48.64,48.65,1500.0
48.65,48.65,48.65,48.65,100.0
48.62,48.63,48.62,48.63,800.0
48.58,48.61,48.58,48.61,3000.0
48.62,48.64,48.58,48.58,4325.0
48.63,48.63,48.62,48.62,800.0
48.66,48.66,48.62,48.63,1500.0
48.64,48.65,48.64,48.65,1100.0
48.63,48.66,48.63,48.66,600.0
48.65,48.65,48.615,48.63,3530.0
48.68,48.7,48.68,48.7,2200.0
48.73,48.73,48.685,48.69,3400.0
48.73,48.73,48.715,48.715,600.0
48.72,48.74,48.72,48.74,900.0
48.72,48.73,48.71,48.73,1051.0
48.7,48.72,48.7,48.72,1700.0
48.69,48.69,48.69,48.69,500.0
48.655,48.66,48.6484,48.66,1700.0
48.64,48.66,48.64,48.66,800.0
48.64,48.64,48.62,48.64,5075.0
48.64,48.64,48.6267,48.6267,1100.0
48.65,48.67,48.62,48.67,5118.0
48.63,48.64,48.63,48.64,1594.0
48.61,48.63,48.6,48.62,3800.0
48.58,48.59,48.58,48.59,2200.0
48.557,48.57,48.52,48.57,4711.0
48.56,48.58,48.54,48.56,3758.0
48.56,48.56,48.54,48.55,1795.0
48.5521,48.5521,48.5521,48.5521,200.0
