Open,High,Low,Close,Volume
46.62,46.73,46.62,46.73,1415992.0
46.56,46.73,46.54,46.73,21921.0
46.57,46.57,46.55,46.55,3791.0
46.54,46.57,46.54,46.57,6180.0
46.65,46.67,46.5,46.54,24454.0
46.67,46.72,46.65,46.65,25195.0
46.86,46.9,46.67,46.67,94524.0
46.79,46.88,46.78,46.86,12895.0
46.71,46.8,46.7,46.79,9368.0
46.67,46.72,46.6684,46.71,17441.0
46.71,46.71,46.65,46.67,11671.0
46.67,46.71,46.66,46.71,15124.0
46.67,46.68,46.64,46.675,35250.0
46.68,46.73,46.66,46.67,36095.0
46.69,46.7,46.66,46.69,15647.0
46.765,46.77,46.675,46.69,25502.0
46.7,46.77,46.7,46.77,16723.0
46.71,46.71,46.67,46.7,7414.0
46.65,46.72,46.64,46.71,6091.0
46.68,46.69,46.65,46.65,6369.0
46.67,46.68,46.65,46.68,4000.0
46.7,46.7,46.675,46.68,3442.0
46.68,46.6946,46.68,46.6946,2700.0
46.72,46.73,46.68,46.68,19113.0
46.74,46.74,46.7,46.72,23872.0
46.75,46.76,46.74,46.75,9017.0
46.7344,46.74,46.73,46.74,10295.0
46.75,46.76,46.74,46.74,4397.0
46.7207,46.74,46.72,46.74,5658.0
46.71,46.73,46.7,46.73,4064.0
46.67,46.69,46.67,46.69,1000.0
46.65,46.69,46.65,46.66,21608.0
46.67,46.67,46.64,46.64,45158.0
46.65,46.68,46.63,46.67,9503.0
46.62,46.63,46.6,46.63,6252.0
46.64,46.65,46.615,46.62,13495.0
46.61,46.64,46.609,46.63,37204.0
46.65,46.66,46.61,46.61,41376.0
46.69,46.69,46.65,46.65,36484.0
46.68,46.69,46.66,46.69,14867.0
46.7,46.7,46.68,46.69,3100.0
46.73,46.765,46.71,46.71,27997.0
46.82,46.82,46.74,46.74,71614.0
46.825,46.83,46.8101,46.82,15190.0
46.8,46.84,46.77,46.83,35295.0
46.76,46.8,46.73,46.8,40178.0
46.79,46.79,46.75,46.75,20708.0
46.78,46.791,46.76,46.79,16512.0
46.8,46.8,46.78,46.79,3300.0
46.79,46.8,46.76,46.8,4322.0
46.78,46.8,46.78,46.79,1700.0
46.77,46.79,46.77,46.79,5621.0
46.78,46.79,46.78,46.78,1705.0
46.75,46.78,46.74,46.78,5188.0
46.75,46.75,46.73,46.74,4274.0
46.74,46.76,46.72,46.75,3556.0
46.73,46.75,46.73,46.75,10323.0
46.75,46.75,46.73,46.73,8150.0
46.76,46.76,46.75,46.75,3600.0
46.7554,46.77,46.75,46.76,2775.0
46.75,46.77,46.75,46.76,4255.0
46.735,46.75,46.73,46.75,5500.0
46.72,46.73,46.72,46.73,1000.0
46.72,46.73,46.71,46.721,7705.0
46.73,46.74,46.72,46.721,2550.0
46.71,46.74,46.71,46.74,2749.0
46.71,46.71,46.71,46.71,1000.0
